idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-3.062990739941597,-3.1036130360194614,-2.562814846634865,-3.1036130360194614,-2.2356267316000804,-2.7742107255118236
2,-3.136458158493042,-3.187575800078256,-2.5993253886699677,-3.187575800078256,-2.2773530653544833,-2.8581734895706177
3,-3.124341979622841,-3.173728738512312,-2.5839028507471085,-3.173728738512312,-2.2597273077283586,-2.8443264280046736
4,-3.0627736896276474,-3.103364978517805,-2.5616784393787384,-3.103364978517805,-2.2343279804502214,-2.7739626680101668
5,-3.092574119567871,-3.1374226127352034,-2.6279237419366837,-3.1374226127352034,-2.3100368976593018,-2.808020302227565
6,-3.085529401898384,-3.150004897798811,-2.629084885120392,-3.150004897798811,-2.2961851017815724,-2.7742107255118236
7,-3.158996820449829,-3.233967661857605,-2.704600051045418,-3.233967661857605,-2.3824881485530307,-2.8581734895706177
8,-3.146880641579628,-3.220120600291661,-2.661513566970825,-3.220120600291661,-2.3332464524677823,-2.8443264280046736
9,-3.0853123515844345,-3.149756840297154,-2.57232528924942,-3.149756840297154,-2.2313169922147478,-2.7739626680101668
10,-3.115112781524658,-3.1838144745145525,-2.6840772181749344,-3.1838144745145525,-2.3590334824153354,-2.808020302227565
11,-3.1517801135778427,-3.298166581562587,-2.772861421108246,-3.298166581562587,-2.4762571709496632,-2.7742107255118236
12,-3.2252475321292877,-3.3821293456213817,-2.9101406186819077,-3.3821293456213817,-2.6331476824624196,-2.8581734895706177
13,-3.2131313532590866,-3.368282284055437,-2.8332775831222534,-3.368282284055437,-2.5453042132513866,-2.8443264280046736
14,-3.151563063263893,-3.2979185240609303,-2.5968145430088043,-3.2979185240609303,-2.275060738836016,-2.7739626680101668
15,-3.181363493204117,-3.331976158278329,-2.7614860087633133,-3.331976158278329,-2.463256699698312,-2.808020302227565
16,-3.004823759198189,-3.0371364865984236,-2.4822810143232346,-3.0371364865984236,-2.2356267316000804,-2.6821720940726146
17,-3.078291177749634,-3.1210992506572177,-2.5187915563583374,-3.1210992506572177,-2.2773530653544833,-2.7661348581314087
18,-3.0661749988794327,-3.1072521890912737,-2.503369018435478,-3.1072521890912737,-2.2597273077283586,-2.7522877965654646
19,-3.004606708884239,-3.036888429096767,-2.481144607067108,-3.036888429096767,-2.2343279804502214,-2.681924036570958
20,-3.034407138824463,-3.070946063314165,-2.5473899096250534,-3.070946063314165,-2.3100368976593018,-2.715981670788356
21,-3.027362421154976,-3.0835283483777727,-2.548551082611084,-3.0835283483777727,-2.2961851017815724,-2.6821720940726146
22,-3.100829839706421,-3.1674911124365672,-2.62406624853611,-3.1674911124365672,-2.3824881485530307,-2.7661348581314087
23,-3.08871366083622,-3.1536440508706227,-2.5809797644615173,-3.1536440508706227,-2.3332464524677823,-2.7522877965654646
24,-3.0271453708410263,-3.083280290876116,-2.4917914867401123,-3.083280290876116,-2.2313169922147478,-2.681924036570958
25,-3.05694580078125,-3.1173379250935147,-2.6035434156656265,-3.1173379250935147,-2.3590334824153354,-2.715981670788356
26,-3.0936131328344345,-3.2316900321415494,-2.692327618598938,-3.2316900321415494,-2.4762571709496632,-2.6821720940726146
27,-3.1670805513858795,-3.3156527962003435,-2.8296068161726,-3.3156527962003435,-2.6331476824624196,-2.7661348581314087
28,-3.1549643725156784,-3.3018057346343994,-2.7527437806129456,-3.3018057346343994,-2.5453042132513866,-2.7522877965654646
29,-3.093396082520485,-3.2314419746398926,-2.5162807404994965,-3.2314419746398926,-2.275060738836016,-2.681924036570958
30,-3.1231965124607086,-3.265499608857291,-2.6809522062540054,-3.265499608857291,-2.463256699698312,-2.715981670788356
31,-2.9475765973329544,-2.9717111587524414,-2.523100808262825,-2.9717111587524414,-2.2356267316000804,-2.728823287146432
32,-3.0210440158843994,-3.0556739228112355,-2.559611350297928,-3.0556739228112355,-2.2773530653544833,-2.8127860512052263
33,-3.0089278370141983,-3.0418268612452914,-2.5441888123750687,-3.0418268612452914,-2.2597273077283586,-2.7989389896392822
34,-2.94735948741436,-2.9714630331311906,-2.5219644010066986,-2.9714630331311906,-2.2343279804502214,-2.7285751615251814
35,-2.9771599769592285,-3.0055207354681834,-2.588209703564644,-3.0055207354681834,-2.3100368976593018,-2.7626328638621738
36,-3.045374646782875,-3.104113749095372,-2.5893708169460297,-3.104113749095372,-2.2961851017815724,-2.728823287146432
37,-3.11884206533432,-3.188076513154166,-2.6648859828710556,-3.188076513154166,-2.3824881485530307,-2.8127860512052263
38,-3.106725886464119,-3.174229451588222,-2.621799498796463,-3.174229451588222,-2.3332464524677823,-2.7989389896392822
39,-3.0451575368642807,-3.103865623474121,-2.532611221075058,-3.103865623474121,-2.2313169922147478,-2.7285751615251814
40,-3.074958026409149,-3.1379233258111134,-2.644363150000572,-3.1379233258111134,-2.3590334824153354,-2.7626328638621738
41,-3.1116253584623337,-3.252275432859148,-2.7331474125385284,-3.252275432859148,-2.4762571709496632,-2.728823287146432
42,-3.1850927770137787,-3.3362381969179427,-2.8704266101121902,-3.3362381969179427,-2.6331476824624196,-2.8127860512052263
43,-3.1729765981435776,-3.3223911353519986,-2.793563574552536,-3.3223911353519986,-2.5453042132513866,-2.7989389896392822
44,-3.1114082485437393,-3.252027307237898,-2.557100534439087,-3.252027307237898,-2.275060738836016,-2.7285751615251814
45,-3.141208738088608,-3.28608500957489,-2.721772000193596,-3.28608500957489,-2.463256699698312,-2.7626328638621738
46,-3.067108705639839,-3.1083192825317383,-2.5722014605998993,-3.1083192825317383,-2.2356267316000804,-2.784938318388803
47,-3.140576124191284,-3.1922820465905324,-2.608712002635002,-3.1922820465905324,-2.2773530653544833,-2.868901082447597
48,-3.128459945321083,-3.1784349850245883,-2.593289464712143,-3.1784349850245883,-2.2597273077283586,-2.855054020881653
49,-3.0668916553258896,-3.1080712250300815,-2.571065053343773,-3.1080712250300815,-2.2343279804502214,-2.784690260887146
50,-3.0966920852661133,-3.1421288592474803,-2.637310355901718,-3.1421288592474803,-2.3100368976593018,-2.8187478951045444
51,-3.0896473675966263,-3.1547111443110873,-2.6384715288877487,-3.1547111443110873,-2.2961851017815724,-2.784938318388803
52,-3.1631147861480713,-3.238673908369882,-2.7139866948127747,-3.238673908369882,-2.3824881485530307,-2.868901082447597
53,-3.15099860727787,-3.224826846803938,-2.670900210738182,-3.224826846803938,-2.3332464524677823,-2.855054020881653
54,-3.0894303172826767,-3.154463086809431,-2.581711933016777,-3.154463086809431,-2.2313169922147478,-2.784690260887146
55,-3.1192307472229004,-3.1885207210268294,-2.6934638619422913,-3.1885207210268294,-2.3590334824153354,-2.8187478951045444
56,-3.155898079276085,-3.302872828074864,-2.7822480648756027,-3.302872828074864,-2.4762571709496632,-2.784938318388803
57,-3.22936549782753,-3.386835592133658,-2.9195272624492645,-3.386835592133658,-2.6331476824624196,-2.868901082447597
58,-3.217249318957329,-3.372988530567714,-2.8426642268896103,-3.372988530567714,-2.5453042132513866,-2.855054020881653
59,-3.1556810289621353,-3.3026247705732072,-2.606201186776161,-3.3026247705732072,-2.275060738836016,-2.784690260887146
60,-3.185481458902359,-3.3366824047906056,-2.77087265253067,-3.3366824047906056,-2.463256699698312,-2.8187478951045444
61,-3.050214543938637,-3.0890116691589355,-2.564175993204117,-3.0890116691589355,-2.2356267316000804,-2.7757663556507657
62,-3.123681962490082,-3.1729744332177297,-2.6006865352392197,-3.1729744332177297,-2.2773530653544833,-2.85972911970956
63,-3.1115657836198807,-3.1591273716517856,-2.5852639973163605,-3.1591273716517856,-2.2597273077283586,-2.8458820581436157
64,-3.049997493624687,-3.0887636116572788,-2.5630395859479904,-3.0887636116572788,-2.2343279804502214,-2.775518298149109
65,-3.079797923564911,-3.1228212458746776,-2.6292848885059357,-3.1228212458746776,-2.3100368976593018,-2.8095759323665073
66,-3.072753205895424,-3.1354035309382846,-2.6304460614919662,-3.1354035309382846,-2.2961851017815724,-2.7757663556507657
67,-3.146220624446869,-3.219366294997079,-2.705961227416992,-3.219366294997079,-2.3824881485530307,-2.85972911970956
68,-3.134104445576668,-3.205519233431135,-2.6628747433423996,-3.205519233431135,-2.3332464524677823,-2.8458820581436157
69,-3.0725361555814743,-3.1351554734366283,-2.5736864656209946,-3.1351554734366283,-2.2313169922147478,-2.775518298149109
70,-3.102336585521698,-3.1692131076540266,-2.685438394546509,-3.1692131076540266,-2.3590334824153354,-2.8095759323665073
71,-3.1390039175748825,-3.2835652147020613,-2.7742225974798203,-3.2835652147020613,-2.4762571709496632,-2.7757663556507657
72,-3.2124713361263275,-3.3675279787608554,-2.911501795053482,-3.3675279787608554,-2.6331476824624196,-2.85972911970956
73,-3.2003551572561264,-3.3536809171949113,-2.834638759493828,-3.3536809171949113,-2.5453042132513866,-2.8458820581436157
74,-3.138786867260933,-3.2833171572004045,-2.5981757193803787,-3.2833171572004045,-2.275060738836016,-2.775518298149109
75,-3.1685872972011566,-3.317374791417803,-2.7628471851348877,-3.317374791417803,-2.463256699698312,-2.8095759323665073
76,-3.0540991574525833,-3.0934512274605885,-2.437533438205719,-3.0934512274605885,-2.2356267316000804,-2.745556746210371
77,-3.1275665760040283,-3.177413991519383,-2.474043980240822,-3.177413991519383,-2.2773530653544833,-2.829519510269165
78,-3.115450397133827,-3.163566929953439,-2.4586214423179626,-3.163566929953439,-2.2597273077283586,-2.815672448703221
79,-3.053882047533989,-3.093203101839338,-2.4363970309495926,-3.093203101839338,-2.2343279804502214,-2.74530862058912
