idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.664381980895996,-5.50685453414917,-3.8130762577056885,-5.50685453414917,-5.01098108291626,-6.46821403503418
2,-6.967798709869385,-5.862879276275635,-3.867382764816284,-5.862879276275635,-5.109682083129883,-6.772285461425781
3,-7.005372524261475,-5.901836395263672,-3.7989604473114014,-5.901836395263672,-5.135730266571045,-6.743729114532471
4,-6.838608741760254,-5.718533992767334,-3.7425804138183594,-5.718533992767334,-5.235132217407227,-6.729200839996338
5,-7.058252334594727,-6.219968318939209,-3.9901554584503174,-6.219968318939209,-5.200247287750244,-6.346846103668213
6,-6.812321662902832,-5.901899337768555,-3.85321307182312,-5.901899337768555,-5.503610134124756,-6.46821403503418
7,-7.321220397949219,-6.419826984405518,-4.050858020782471,-6.419826984405518,-6.048465251922607,-6.772285461425781
8,-7.2190141677856445,-6.277566909790039,-3.812613010406494,-6.277566909790039,-5.840872287750244,-6.743729114532471
9,-6.875493049621582,-5.928189754486084,-3.6907448768615723,-5.928189754486084,-5.730260848999023,-6.729200839996338
10,-7.116959095001221,-6.464017391204834,-3.9813458919525146,-6.464017391204834,-5.805557727813721,-6.346846103668213
11,-7.86219596862793,-8.10263729095459,-4.993114948272705,-8.10263729095459,-6.490861892700195,-6.46821403503418
12,-8.535361289978027,-8.792174339294434,-5.469854354858398,-8.792174339294434,-7.571863174438477,-6.772285461425781
13,-8.319969177246094,-8.478363990783691,-5.253422737121582,-8.478363990783691,-7.340267181396484,-6.743729114532471
14,-7.698935508728027,-7.778190612792969,-4.616733551025391,-7.778190612792969,-6.207775592803955,-6.729200839996338
15,-8.013731956481934,-8.420138359069824,-5.020341873168945,-8.420138359069824,-6.8053059577941895,-6.346846103668213
16,-6.179899215698242,-4.866892337799072,-3.5835726261138916,-4.866892337799072,-5.01098108291626,-5.903910160064697
17,-6.553214073181152,-5.3157172203063965,-3.6953487396240234,-5.3157172203063965,-5.109682083129883,-6.375579833984375
18,-6.736271381378174,-5.530607223510742,-3.6605145931243896,-5.530607223510742,-5.135730266571045,-6.402871608734131
19,-6.462795734405518,-5.112127304077148,-3.6173481941223145,-5.112127304077148,-5.235132217407227,-6.244299411773682
20,-6.755876541137695,-5.88396692276001,-3.774390697479248,-5.88396692276001,-5.200247287750244,-5.887716770172119
21,-6.457388877868652,-5.24582576751709,-3.7381715774536133,-5.24582576751709,-5.503610134124756,-5.903910160064697
22,-6.985542297363281,-5.809812068939209,-3.9785525798797607,-5.809812068939209,-6.048465251922607,-6.375579833984375
23,-7.022214889526367,-5.842597961425781,-3.765420913696289,-5.842597961425781,-5.840872287750244,-6.402871608734131
24,-6.545162200927734,-5.25275182723999,-3.7060155868530273,-5.25275182723999,-5.730260848999023,-6.244299411773682
25,-6.811256408691406,-5.956603527069092,-3.9194397926330566,-5.956603527069092,-5.805557727813721,-5.887716770172119
26,-7.313318252563477,-7.44424295425415,-4.811346054077148,-7.44424295425415,-6.490861892700195,-5.903910160064697
27,-8.00726318359375,-8.183492660522461,-5.347072601318359,-8.183492660522461,-7.571863174438477,-6.375579833984375
28,-7.828158378601074,-7.929840564727783,-5.0840301513671875,-7.929840564727783,-7.340267181396484,-6.402871608734131
29,-7.070614814758301,-6.885818004608154,-4.492208480834961,-6.885818004608154,-6.207775592803955,-6.244299411773682
30,-7.409543514251709,-7.748220443725586,-4.878524303436279,-7.748220443725586,-6.8053059577941895,-5.887716770172119
31,-6.629232883453369,-5.585052490234375,-4.102383136749268,-5.585052490234375,-5.01098108291626,-6.636213302612305
32,-7.005909442901611,-6.0430779457092285,-4.153963088989258,-6.0430779457092285,-5.109682083129883,-7.005849361419678
33,-7.095335960388184,-6.2027106285095215,-4.141539573669434,-6.2027106285095215,-5.135730266571045,-6.999931335449219
34,-6.78984260559082,-5.799893856048584,-4.073861122131348,-5.799893856048584,-5.235132217407227,-6.888674259185791
35,-7.024813652038574,-6.368972301483154,-4.231945037841797,-6.368972301483154,-5.200247287750244,-6.407968521118164
36,-6.790448188781738,-5.968882083892822,-4.149776458740234,-5.968882083892822,-5.503610134124756,-6.636213302612305
37,-7.346085548400879,-6.5545525550842285,-4.35859489440918,-6.5545525550842285,-6.048465251922607,-7.005849361419678
38,-7.285366535186768,-6.559658050537109,-4.185262680053711,-6.559658050537109,-5.840872287750244,-6.999931335449219
39,-6.782083034515381,-5.984832763671875,-4.059604644775391,-5.984832763671875,-5.730260848999023,-6.888674259185791
40,-7.038144111633301,-6.521790981292725,-4.273200988769531,-6.521790981292725,-5.805557727813721,-6.407968521118164
41,-7.7322235107421875,-7.9933624267578125,-5.261781692504883,-7.9933624267578125,-6.490861892700195,-6.636213302612305
42,-8.44667911529541,-8.771798133850098,-5.802753448486328,-8.771798133850098,-7.571863174438477,-7.005849361419678
