idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.2951531410217285,-4.320890426635742,-3.5979392528533936,-4.320890426635742,-4.413909435272217,-5.903520584106445
2,-5.534653663635254,-4.560063362121582,-3.705029249191284,-4.560063362121582,-4.743565082550049,-5.945880889892578
3,-5.787303924560547,-4.760532379150391,-3.7440025806427,-4.760532379150391,-4.993118762969971,-6.08946418762207
4,-5.658562183380127,-4.5187225341796875,-3.5536110401153564,-4.5187225341796875,-5.324031829833984,-5.800301551818848
5,-5.960479259490967,-4.929071426391602,-3.5723423957824707,-4.929071426391602,-5.370855808258057,-5.699975490570068
6,-5.260703086853027,-4.401211261749268,-3.6198792457580566,-4.401211261749268,-4.749083518981934,-5.903520584106445
7,-5.675705432891846,-4.729162693023682,-3.786724805831909,-4.729162693023682,-5.284267425537109,-5.945880889892578
8,-5.865597724914551,-4.8594818115234375,-3.7496466636657715,-4.8594818115234375,-5.415096282958984,-6.08946418762207
9,-5.51305627822876,-4.4864420890808105,-3.5085113048553467,-4.4864420890808105,-5.270196437835693,-5.800301551818848
10,-6.036168575286865,-5.0726637840271,-3.5749740600585938,-5.0726637840271,-5.80129861831665,-5.699975490570068
11,-6.536953926086426,-5.8560357093811035,-4.303582668304443,-5.8560357093811035,-6.157524108886719,-5.903520584106445
12,-7.093884468078613,-6.4530839920043945,-4.580529689788818,-6.4530839920043945,-7.177918910980225,-5.945880889892578
13,-6.984193325042725,-6.303796768188477,-4.512298583984375,-6.303796768188477,-6.8504462242126465,-6.08946418762207
14,-6.417572021484375,-5.504033088684082,-3.876300811767578,-5.504033088684082,-6.015388011932373,-5.800301551818848
15,-6.9855637550354,-6.3945207595825195,-4.244236946105957,-6.3945207595825195,-6.856263637542725,-5.699975490570068
16,-4.412920951843262,-3.0813817977905273,-2.6070616245269775,-3.0813817977905273,-4.413909435272217,-4.591571807861328
17,-4.593541622161865,-3.283163547515869,-2.6110239028930664,-3.283163547515869,-4.743565082550049,-4.623907089233398
18,-4.949167728424072,-3.611689567565918,-2.858215808868408,-3.611689567565918,-4.993118762969971,-4.712413787841797
19,-4.9043989181518555,-3.4510855674743652,-2.88688325881958,-3.4510855674743652,-5.324031829833984,-4.562183380126953
20,-5.225843906402588,-4.1166791915893555,-2.9233763217926025,-4.1166791915893555,-5.370855808258057,-4.726114273071289
21,-4.435019493103027,-3.1329874992370605,-2.684246301651001,-3.1329874992370605,-4.749083518981934,-4.591571807861328
22,-4.793829917907715,-3.550625801086426,-2.864497184753418,-3.550625801086426,-5.284267425537109,-4.623907089233398
23,-5.057019233703613,-3.747485637664795,-2.9355688095092773,-3.747485637664795,-5.415096282958984,-4.712413787841797
24,-4.797741889953613,-3.3882508277893066,-2.8611650466918945,-3.3882508277893066,-5.270196437835693,-4.562183380126953
25,-5.33609676361084,-4.177596569061279,-3.016488552093506,-4.177596569061279,-5.80129861831665,-4.726114273071289
26,-5.524064064025879,-4.366780757904053,-3.6226420402526855,-4.366780757904053,-6.157524108886719,-4.591571807861328
27,-6.155579566955566,-5.137028217315674,-3.9859931468963623,-5.137028217315674,-7.177918910980225,-4.623907089233398
28,-6.171172618865967,-5.058521270751953,-3.942866086959839,-5.058521270751953,-6.8504462242126465,-4.712413787841797
29,-5.689651012420654,-4.4091901779174805,-3.3742270469665527,-4.4091901779174805,-6.015388011932373,-4.562183380126953
30,-6.116245269775391,-5.187568187713623,-3.8195853233337402,-5.187568187713623,-6.856263637542725,-4.726114273071289
31,-5.018916130065918,-3.945155143737793,-3.3644356727600098,-3.945155143737793,-4.413909435272217,-5.5157389640808105
32,-5.415353775024414,-4.387573719024658,-3.487927198410034,-4.387573719024658,-4.743565082550049,-5.716238975524902
33,-5.713473796844482,-4.63346004486084,-3.6326212882995605,-4.63346004486084,-4.993118762969971,-5.930120468139648
34,-5.523857593536377,-4.277856349945068,-3.483893632888794,-4.277856349945068,-5.324031829833984,-5.568794250488281
35,-5.644332408905029,-4.6371259689331055,-3.3679726123809814,-4.6371259689331055,-5.370855808258057,-5.444963455200195
