idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.2806077003479,-5.471129417419434,-4.239340305328369,-5.471129417419434,-4.637196063995361,-5.8762006759643555
2,-6.328585624694824,-5.662829399108887,-4.130743026733398,-5.662829399108887,-4.6880717277526855,-5.568148612976074
3,-6.411495208740234,-5.721983909606934,-4.055574893951416,-5.721983909606934,-4.61914587020874,-5.720623016357422
4,-5.864543914794922,-4.814236640930176,-3.8889904022216797,-4.814236640930176,-4.658121109008789,-4.893233299255371
5,-6.2064948081970215,-5.500406265258789,-4.356300354003906,-5.500406265258789,-4.906359672546387,-4.9740824699401855
6,-6.5512895584106445,-5.601170063018799,-4.164977550506592,-5.601170063018799,-5.199767589569092,-5.8762006759643555
7,-6.616175174713135,-5.815454006195068,-4.233351230621338,-5.815454006195068,-5.460308074951172,-5.568148612976074
8,-6.756752967834473,-5.944514274597168,-4.007633209228516,-5.944514274597168,-5.304121494293213,-5.720623016357422
9,-6.123654365539551,-5.102603912353516,-3.6202213764190674,-5.102603912353516,-5.153345584869385,-4.893233299255371
10,-6.477097988128662,-5.600958824157715,-4.273632049560547,-5.600958824157715,-5.566468715667725,-4.9740824699401855
11,-7.147125244140625,-6.205156326293945,-4.684058666229248,-6.205156326293945,-5.95435094833374,-5.8762006759643555
12,-7.182005405426025,-6.525036811828613,-4.945473670959473,-6.525036811828613,-6.682401180267334,-5.568148612976074
13,-7.375330924987793,-6.681303977966309,-4.747633934020996,-6.681303977966309,-6.398149490356445,-5.720623016357422
14,-6.710463047027588,-5.561535358428955,-3.9189820289611816,-5.561535358428955,-5.765950679779053,-4.893233299255371
15,-6.900525093078613,-6.002261161804199,-4.713465690612793,-6.002261161804199,-6.183255672454834,-4.9740824699401855
16,-7.367114067077637,-6.543184757232666,-5.306828498840332,-6.543184757232666,-4.637196063995361,-6.634357452392578
17,-7.633843421936035,-7.164918899536133,-5.415846347808838,-7.164918899536133,-4.6880717277526855,-6.981117248535156
18,-7.4178361892700195,-6.597217559814453,-5.1257734298706055,-6.597217559814453,-4.61914587020874,-6.921263217926025
19,-7.101736068725586,-6.3903350830078125,-4.874024868011475,-6.3903350830078125,-4.658121109008789,-6.503403186798096
20,-7.952740669250488,-7.239236354827881,-5.667181968688965,-7.239236354827881,-4.906359672546387,-6.651485443115234
21,-7.532183647155762,-6.621420383453369,-5.275876045227051,-6.621420383453369,-5.199767589569092,-6.634357452392578
22,-8.055692672729492,-7.528810024261475,-5.465636253356934,-7.528810024261475,-5.460308074951172,-6.981117248535156
23,-7.805559158325195,-6.9450249671936035,-5.113306045532227,-6.9450249671936035,-5.304121494293213,-6.921263217926025
24,-7.331541538238525,-6.611761569976807,-4.482096195220947,-6.611761569976807,-5.153345584869385,-6.503403186798096
25,-8.16776180267334,-7.293496608734131,-5.655974864959717,-7.293496608734131,-5.566468715667725,-6.651485443115234
26,-7.388985633850098,-7.230448246002197,-5.951416015625,-7.230448246002197,-5.95435094833374,-6.634357452392578
27,-7.841187477111816,-8.04919147491455,-6.207075119018555,-8.04919147491455,-6.682401180267334,-6.981117248535156
28,-7.838085174560547,-7.626070022583008,-6.066949367523193,-7.626070022583008,-6.398149490356445,-6.921263217926025
29,-7.417346000671387,-7.131627559661865,-4.954197406768799,-7.131627559661865,-5.765950679779053,-6.503403186798096
30,-7.927511215209961,-7.469264507293701,-5.868969917297363,-7.469264507293701,-6.183255672454834,-6.651485443115234
31,-7.584524154663086,-6.860652923583984,-5.081297397613525,-6.860652923583984,-4.637196063995361,-6.645716190338135
32,-7.498880863189697,-7.1378254890441895,-5.188294887542725,-7.1378254890441895,-4.6880717277526855,-6.820749759674072
33,-7.4067606925964355,-6.80190896987915,-4.91312837600708,-6.80190896987915,-4.61914587020874,-6.654853343963623
34,-7.10436487197876,-6.200528621673584,-4.656773567199707,-6.200528621673584,-4.658121109008789,-6.540538311004639
35,-8.067459106445312,-8.024373054504395,-5.58376407623291,-8.024373054504395,-4.906359672546387,-6.962610721588135
36,-7.816728591918945,-7.200141906738281,-5.307982444763184,-7.200141906738281,-5.199767589569092,-6.645716190338135
37,-7.797424793243408,-7.582416534423828,-5.372556209564209,-7.582416534423828,-5.460308074951172,-6.820749759674072
38,-7.777839660644531,-7.1729888916015625,-4.979081153869629,-7.1729888916015625,-5.304121494293213,-6.654853343963623
39,-7.333234786987305,-6.357030391693115,-4.4786601066589355,-6.357030391693115,-5.153345584869385,-6.540538311004639
40,-8.414551734924316,-8.2520751953125,-5.616938591003418,-8.2520751953125,-5.566468715667725,-6.962610721588135
41,-8.127199172973633,-8.733687400817871,-5.874271392822266,-8.733687400817871,-5.95435094833374,-6.645716190338135
42,-8.184369087219238,-9.044960021972656,-6.098162651062012,-9.044960021972656,-6.682401180267334,-6.820749759674072
43,-8.331049919128418,-8.837653160095215,-5.971597671508789,-8.837653160095215,-6.398149490356445,-6.654853343963623
44,-7.901042938232422,-8.065620422363281,-4.9484171867370605,-8.065620422363281,-5.765950679779053,-6.540538311004639
45,-8.432801246643066,-9.048907279968262,-5.935773849487305,-9.048907279968262,-6.183255672454834,-6.962610721588135
46,-6.476981163024902,-5.937410354614258,-3.972410202026367,-5.937410354614258,-4.637196063995361,-5.507737159729004
47,-6.082267761230469,-5.531335830688477,-3.8907077312469482,-5.531335830688477,-4.6880717277526855,-5.231601238250732
48,-6.416196346282959,-5.772480010986328,-3.8157401084899902,-5.772480010986328,-4.61914587020874,-5.367961406707764
49,-6.068729877471924,-5.172204971313477,-3.65436053276062,-5.172204971313477,-4.658121109008789,-5.014808654785156
50,-6.655272483825684,-6.174468994140625,-4.259972095489502,-6.174468994140625,-4.906359672546387,-5.3776469230651855
51,-7.078251838684082,-6.011176109313965,-3.9337716102600098,-6.011176109313965,-5.199767589569092,-5.507737159729004
52,-6.70871114730835,-5.692718982696533,-3.9070041179656982,-5.692718982696533,-5.460308074951172,-5.231601238250732
53,-7.060235500335693,-5.942361831665039,-3.7078566551208496,-5.942361831665039,-5.304121494293213,-5.367961406707764
54,-6.699317932128906,-5.334432125091553,-3.495126247406006,-5.334432125091553,-5.153345584869385,-5.014808654785156
55,-7.200678825378418,-6.30903434753418,-4.274006366729736,-6.30903434753418,-5.566468715667725,-5.3776469230651855
56,-7.188661098480225,-6.122661590576172,-4.519861698150635,-6.122661590576172,-5.95435094833374,-5.507737159729004
