idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.4425048828125,-5.464390277862549,-5.277087211608887,-5.464390277862549,-6.215775012969971,-6.575137138366699
2,-5.971704959869385,-5.119783878326416,-5.026599884033203,-5.119783878326416,-6.083234786987305,-6.406230449676514
3,-5.704189300537109,-4.765035629272461,-4.973258018493652,-4.765035629272461,-5.876715183258057,-6.015240669250488
4,-5.318576335906982,-4.301424026489258,-4.911928176879883,-4.301424026489258,-5.372229099273682,-5.687108039855957
5,-6.768810272216797,-5.958584785461426,-5.4080119132995605,-5.958584785461426,-6.751014709472656,-6.314270973205566
6,-6.309107303619385,-5.5087890625,-5.16264009475708,-5.5087890625,-6.188201904296875,-6.575137138366699
7,-5.937495708465576,-5.224143028259277,-5.1593122482299805,-5.224143028259277,-6.462284088134766,-6.406230449676514
8,-5.620534420013428,-4.863128662109375,-5.122457981109619,-4.863128662109375,-6.243289947509766,-6.015240669250488
9,-5.218413352966309,-4.4347639083862305,-4.871407985687256,-4.4347639083862305,-5.619802951812744,-5.687108039855957
10,-6.432656764984131,-5.89791202545166,-5.188140392303467,-5.89791202545166,-6.9115424156188965,-6.314270973205566
11,-6.572347164154053,-6.035392761230469,-5.457888126373291,-6.035392761230469,-6.813909530639648,-6.575137138366699
12,-6.422505855560303,-5.939027786254883,-5.754171848297119,-5.939027786254883,-7.31347131729126,-6.406230449676514
13,-6.245574474334717,-5.67165470123291,-5.541402339935303,-5.67165470123291,-7.155423641204834,-6.015240669250488
14,-5.712920188903809,-5.297540664672852,-4.68626594543457,-5.297540664672852,-5.84430456161499,-5.687108039855957
15,-6.622112274169922,-6.192821502685547,-5.568778038024902,-6.192821502685547,-7.360872745513916,-6.314270973205566
16,-7.196291446685791,-6.684861660003662,-5.873765468597412,-6.684861660003662,-6.215775012969971,-6.65491247177124
17,-6.920909881591797,-6.52105188369751,-5.443163871765137,-6.52105188369751,-6.083234786987305,-6.77891731262207
18,-6.62845516204834,-6.171021938323975,-5.445145606994629,-6.171021938323975,-5.876715183258057,-6.365950107574463
19,-5.832987308502197,-5.113724231719971,-5.335892200469971,-5.113724231719971,-5.372229099273682,-5.711227893829346
20,-7.589676856994629,-7.2563395500183105,-5.813359260559082,-7.2563395500183105,-6.751014709472656,-6.368873119354248
21,-7.327277183532715,-7.128138065338135,-5.9051899909973145,-7.128138065338135,-6.188201904296875,-6.65491247177124
22,-7.279559135437012,-7.050052642822266,-5.769320487976074,-7.050052642822266,-6.462284088134766,-6.77891731262207
23,-6.892607688903809,-6.671977519989014,-5.766176223754883,-6.671977519989014,-6.243289947509766,-6.365950107574463
24,-6.09943151473999,-5.550100803375244,-5.324365139007568,-5.550100803375244,-5.619802951812744,-5.711227893829346
25,-7.5690765380859375,-7.639768123626709,-5.948841571807861,-7.639768123626709,-6.9115424156188965,-6.368873119354248
26,-8.002755165100098,-7.798966884613037,-6.266641139984131,-7.798966884613037,-6.813909530639648,-6.65491247177124
27,-7.956573009490967,-7.621562957763672,-6.5724873542785645,-7.621562957763672,-7.31347131729126,-6.77891731262207
28,-7.97685432434082,-7.609304904937744,-6.4813337326049805,-7.609304904937744,-7.155423641204834,-6.365950107574463
29,-6.787467956542969,-6.2753777503967285,-5.320111274719238,-6.2753777503967285,-5.84430456161499,-5.711227893829346
30,-7.954891204833984,-7.872016906738281,-6.21741247177124,-7.872016906738281,-7.360872745513916,-6.368873119354248
31,-7.492798805236816,-7.305765151977539,-5.811007499694824,-7.305765151977539,-6.215775012969971,-6.76331090927124
32,-7.137905597686768,-7.224584579467773,-5.382219314575195,-7.224584579467773,-6.083234786987305,-6.731552600860596
33,-6.981344223022461,-6.987396717071533,-5.2813944816589355,-6.987396717071533,-5.876715183258057,-6.530702114105225
34,-5.782536029815674,-5.2418670654296875,-4.882616996765137,-5.2418670654296875,-5.372229099273682,-5.838250637054443
35,-8.219265937805176,-8.052787780761719,-6.031655788421631,-8.052787780761719,-6.751014709472656,-7.2453789710998535
36,-7.478442668914795,-7.298818588256836,-5.881438255310059,-7.298818588256836,-6.188201904296875,-6.76331090927124
37,-7.2822794914245605,-7.248415470123291,-5.63382625579834,-7.248415470123291,-6.462284088134766,-6.731552600860596
38,-7.001111030578613,-6.852494716644287,-5.501775741577148,-6.852494716644287,-6.243289947509766,-6.530702114105225
39,-5.843926429748535,-5.192584037780762,-4.935689926147461,-5.192584037780762,-5.619802951812744,-5.838250637054443
40,-8.04581356048584,-7.992620944976807,-6.052423477172852,-7.992620944976807,-6.9115424156188965,-7.2453789710998535
41,-7.967646598815918,-8.687870979309082,-6.241250038146973,-8.687870979309082,-6.813909530639648,-6.76331090927124
42,-8.100884437561035,-8.996933937072754,-6.480676651000977,-8.996933937072754,-7.31347131729126,-6.731552600860596
43,-8.13116455078125,-8.9506196975708,-6.354313850402832,-8.9506196975708,-7.155423641204834,-6.530702114105225
44,-6.69918155670166,-7.251079082489014,-5.165304183959961,-7.251079082489014,-5.84430456161499,-5.838250637054443
45,-8.506044387817383,-9.29684066772461,-6.381218910217285,-9.29684066772461,-7.360872745513916,-7.2453789710998535
46,-6.480151176452637,-5.991349220275879,-4.833374977111816,-5.991349220275879,-6.215775012969971,-5.457265853881836
47,-6.037782669067383,-5.6472015380859375,-4.371885776519775,-5.6472015380859375,-6.083234786987305,-5.283326148986816
48,-5.760252952575684,-5.1741485595703125,-4.329973220825195,-5.1741485595703125,-5.876715183258057,-4.709913730621338
49,-5.383942127227783,-4.719225883483887,-4.230036735534668,-4.719225883483887,-5.372229099273682,-4.545356273651123
50,-6.988256931304932,-6.81024694442749,-5.305348873138428,-6.81024694442749,-6.751014709472656,-5.533987045288086
51,-6.556527614593506,-5.8665876388549805,-4.943309783935547,-5.8665876388549805,-6.188201904296875,-5.457265853881836
52,-6.231083869934082,-5.5112385749816895,-4.684577941894531,-5.5112385749816895,-6.462284088134766,-5.283326148986816
53,-5.9110188484191895,-5.042458534240723,-4.653624534606934,-5.042458534240723,-6.243289947509766,-4.709913730621338
54,-5.42485237121582,-4.594888210296631,-4.26210880279541,-4.594888210296631,-5.619802951812744,-4.545356273651123
55,-6.957762241363525,-6.614875793457031,-5.184017181396484,-6.614875793457031,-6.9115424156188965,-5.533987045288086
56,-6.269659519195557,-6.464018821716309,-5.041806221008301,-6.464018821716309,-6.813909530639648,-5.457265853881836
57,-6.215504169464111,-6.31468391418457,-5.183353900909424,-6.31468391418457,-7.31347131729126,-5.283326148986816
58,-5.991900444030762,-6.124079704284668,-5.100710868835449,-6.124079704284668,-7.155423641204834,-4.709913730621338
59,-5.433576583862305,-5.601467132568359,-4.208609104156494,-5.601467132568359,-5.84430456161499,-4.545356273651123
60,-6.617819309234619,-7.180845260620117,-5.258727073669434,-7.180845260620117,-7.360872745513916,-5.533987045288086
61,-8.505971908569336,-8.442111015319824,-6.369383811950684,-8.442111015319824,-6.215775012969971,-7.615659713745117
62,-7.971410751342773,-8.0383939743042,-5.8456830978393555,-8.0383939743042,-6.083234786987305,-7.282778263092041
63,-7.656796932220459,-7.415342807769775,-5.737545013427734,-7.415342807769775,-5.876715183258057,-7.1276702880859375
64,-7.0786895751953125,-6.763423919677734,-5.490314483642578,-6.763423919677734,-5.372229099273682,-6.683879375457764
65,-8.969503402709961,-9.171860694885254,-6.6358184814453125,-9.171860694885254,-6.751014709472656,-7.458850860595703
66,-8.463504791259766,-8.721453666687012,-6.320896148681641,-8.721453666687012,-6.188201904296875,-7.615659713745117
67,-8.094963073730469,-8.268197059631348,-6.093196392059326,-8.268197059631348,-6.462284088134766,-7.282778263092041
68,-7.549812316894531,-7.415421962738037,-5.993720054626465,-7.415421962738037,-6.243289947509766,-7.1276702880859375
69,-7.055516719818115,-6.9180006980896,-5.549801826477051,-6.9180006980896,-5.619802951812744,-6.683879375457764
70,-8.70058822631836,-9.214091300964355,-6.381131172180176,-9.214091300964355,-6.9115424156188965,-7.458850860595703
71,-8.84721851348877,-9.222271919250488,-6.24796199798584,-9.222271919250488,-6.813909530639648,-7.615659713745117
72,-8.568704605102539,-8.739970207214355,-6.528270244598389,-8.739970207214355,-7.31347131729126,-7.282778263092041
73,-8.629639625549316,-8.647475242614746,-6.347773551940918,-8.647475242614746,-7.155423641204834,-7.1276702880859375
74,-7.69199800491333,-8.070174217224121,-5.206830024719238,-8.070174217224121,-5.84430456161499,-6.683879375457764
75,-8.823986053466797,-9.195968627929688,-6.444324493408203,-9.195968627929688,-7.360872745513916,-7.458850860595703
76,-6.918107509613037,-6.317310333251953,-4.865113258361816,-6.317310333251953,-6.215775012969971,-6.043282985687256
77,-6.576523780822754,-6.212001800537109,-4.682662487030029,-6.212001800537109,-6.083234786987305,-5.830248832702637
78,-6.179474830627441,-5.542869567871094,-4.480086326599121,-5.542869567871094,-5.876715183258057,-5.199545860290527
79,-5.871095180511475,-5.025622367858887,-4.342494010925293,-5.025622367858887,-5.372229099273682,-5.0175347328186035
80,-7.284736633300781,-6.839550018310547,-5.255992889404297,-6.839550018310547,-6.751014709472656,-6.214931488037109
81,-7.0273847579956055,-6.563398361206055,-4.939696311950684,-6.563398361206055,-6.188201904296875,-6.043282985687256
