idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.943727016448975,-5.24709415435791,-4.5011773109436035,-5.24709415435791,-5.232834339141846,-5.836809158325195
2,-6.526614189147949,-4.96026611328125,-4.466736793518066,-4.96026611328125,-5.1458845138549805,-5.887725353240967
3,-6.5835676193237305,-5.001011371612549,-4.364847660064697,-5.001011371612549,-5.067844867706299,-6.051558494567871
4,-6.430809020996094,-4.803213119506836,-4.625936985015869,-4.803213119506836,-5.09088659286499,-5.765138626098633
5,-6.706962585449219,-5.303537368774414,-4.353359222412109,-5.303537368774414,-5.451061248779297,-5.4532623291015625
6,-7.01485538482666,-5.708754539489746,-4.321381092071533,-5.708754539489746,-5.8063483238220215,-5.836809158325195
7,-6.780673980712891,-5.537059783935547,-4.443022727966309,-5.537059783935547,-6.08683443069458,-5.887725353240967
8,-6.732747554779053,-5.452172756195068,-4.380995750427246,-5.452172756195068,-5.992455959320068,-6.051558494567871
9,-6.623189449310303,-5.298105239868164,-4.3342204093933105,-5.298105239868164,-5.606975555419922,-5.765138626098633
10,-6.896824836730957,-5.710061073303223,-4.221327304840088,-5.710061073303223,-6.189119815826416,-5.4532623291015625
11,-7.665489196777344,-6.34843635559082,-5.324409484863281,-6.34843635559082,-6.925648212432861,-5.836809158325195
12,-7.409358024597168,-6.28010368347168,-5.649781703948975,-6.28010368347168,-7.607635498046875,-5.887725353240967
13,-7.4762983322143555,-6.291790962219238,-5.320586204528809,-6.291790962219238,-7.19180154800415,-6.051558494567871
14,-7.26376485824585,-5.9023518562316895,-4.583101749420166,-5.9023518562316895,-5.844305515289307,-5.765138626098633
15,-7.3000078201293945,-6.014315128326416,-5.103000640869141,-6.014315128326416,-7.152521133422852,-5.4532623291015625
16,-7.522244453430176,-6.140038967132568,-5.976382732391357,-6.140038967132568,-5.232834339141846,-7.089296817779541
17,-7.47698450088501,-6.432102203369141,-6.2770094871521,-6.432102203369141,-5.1458845138549805,-7.6328911781311035
18,-7.517939567565918,-6.15371561050415,-6.057314395904541,-6.15371561050415,-5.067844867706299,-7.621715545654297
19,-6.907310485839844,-5.5396552085876465,-6.247767448425293,-5.5396552085876465,-5.09088659286499,-7.374566555023193
20,-7.587061882019043,-6.6529364585876465,-6.167608261108398,-6.6529364585876465,-5.451061248779297,-7.10650634765625
21,-7.891596794128418,-6.7607879638671875,-6.108508586883545,-6.7607879638671875,-5.8063483238220215,-7.089296817779541
22,-8.046239852905273,-7.205589294433594,-6.369898796081543,-7.205589294433594,-6.08683443069458,-7.6328911781311035
23,-7.869026184082031,-6.730174541473389,-6.216119766235352,-6.730174541473389,-5.992455959320068,-7.621715545654297
24,-7.490753173828125,-6.303768157958984,-6.10870885848999,-6.303768157958984,-5.606975555419922,-7.374566555023193
25,-8.052196502685547,-7.1594109535217285,-6.242258071899414,-7.1594109535217285,-6.189119815826416,-7.10650634765625
26,-7.848727226257324,-7.629830837249756,-7.424674987792969,-7.629830837249756,-6.925648212432861,-7.089296817779541
27,-7.974338531494141,-8.246323585510254,-7.92192268371582,-8.246323585510254,-7.607635498046875,-7.6328911781311035
28,-7.965237617492676,-7.982659816741943,-7.49356746673584,-7.982659816741943,-7.19180154800415,-7.621715545654297
29,-7.401811599731445,-7.033851146697998,-6.324502468109131,-7.033851146697998,-5.844305515289307,-7.374566555023193
30,-7.974839210510254,-7.6129536628723145,-7.327212333679199,-7.6129536628723145,-7.152521133422852,-7.10650634765625
31,-7.248983383178711,-6.090773105621338,-6.24715518951416,-6.090773105621338,-5.232834339141846,-7.278225421905518
32,-7.404977321624756,-6.373973846435547,-6.1874542236328125,-6.373973846435547,-5.1458845138549805,-7.772188663482666
33,-7.307926177978516,-6.1684112548828125,-6.206031799316406,-6.1684112548828125,-5.067844867706299,-7.629767894744873
