idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.137913227081299,-5.073075294494629,-5.542301177978516,-5.073075294494629,-6.327693462371826,-6.116601943969727
2,-6.0768961906433105,-4.790388107299805,-5.5188307762146,-4.790388107299805,-6.0200324058532715,-6.4732770919799805
3,-6.326381206512451,-5.054381370544434,-5.29343318939209,-5.054381370544434,-5.5398430824279785,-6.3083930015563965
4,-5.787219047546387,-4.668063163757324,-5.159173965454102,-4.668063163757324,-5.12890625,-5.7446393966674805
5,-6.4303436279296875,-5.385750770568848,-5.522387504577637,-5.385750770568848,-6.5149993896484375,-5.61956262588501
6,-6.550008296966553,-5.828188896179199,-5.89424991607666,-5.828188896179199,-6.925065994262695,-6.116601943969727
7,-6.492258548736572,-5.5168962478637695,-5.839482307434082,-5.5168962478637695,-6.993028163909912,-6.4732770919799805
8,-6.807981967926025,-5.847290992736816,-5.606072425842285,-5.847290992736816,-6.313906192779541,-6.3083930015563965
9,-6.329909324645996,-5.41550350189209,-5.292665004730225,-5.41550350189209,-5.429544925689697,-5.7446393966674805
10,-6.848198890686035,-6.005801200866699,-5.891609191894531,-6.005801200866699,-7.304158687591553,-5.61956262588501
11,-6.325371742248535,-6.170682907104492,-6.003006935119629,-6.170682907104492,-7.014589786529541,-6.116601943969727
12,-6.636538505554199,-6.197710990905762,-6.247952461242676,-6.197710990905762,-7.448378086090088,-6.4732770919799805
13,-6.757391452789307,-6.555872440338135,-5.922172546386719,-6.555872440338135,-6.765989780426025,-6.3083930015563965
14,-6.217561721801758,-6.165957450866699,-5.0347771644592285,-6.165957450866699,-5.225525379180908,-5.7446393966674805
15,-6.651177883148193,-6.4882588386535645,-5.621713161468506,-6.4882588386535645,-7.3654913902282715,-5.61956262588501
16,-8.126096725463867,-6.612052917480469,-6.817017078399658,-6.612052917480469,-6.327693462371826,-7.392781734466553
17,-7.901025772094727,-6.397366046905518,-6.665681838989258,-6.397366046905518,-6.0200324058532715,-7.842695713043213
18,-8.135334014892578,-6.976465702056885,-6.431599140167236,-6.976465702056885,-5.5398430824279785,-7.435050964355469
19,-7.317960739135742,-5.8939208984375,-6.201870918273926,-5.8939208984375,-5.12890625,-6.751163482666016
