idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.81558895111084,-5.647454261779785,-4.479977607727051,-5.647454261779785,-5.387367248535156,-5.26704216003418
2,-6.162381172180176,-5.0476298332214355,-4.58623743057251,-5.0476298332214355,-5.327927112579346,-5.236965179443359
3,-5.94412899017334,-4.7641215324401855,-4.318663597106934,-4.7641215324401855,-5.340482234954834,-5.094721794128418
4,-5.4417524337768555,-4.131376266479492,-4.112250804901123,-4.131376266479492,-4.971791744232178,-4.6038336753845215
5,-6.667916297912598,-5.793022155761719,-4.788344383239746,-5.793022155761719,-6.445625305175781,-4.999477386474609
6,-6.973604679107666,-5.8698577880859375,-4.383090019226074,-5.8698577880859375,-5.94916296005249,-5.26704216003418
7,-6.41983699798584,-5.281999588012695,-4.717020511627197,-5.281999588012695,-6.117015361785889,-5.236965179443359
8,-6.3483171463012695,-5.151063919067383,-4.464758396148682,-5.151063919067383,-6.18637228012085,-5.094721794128418
9,-5.759285926818848,-4.527775287628174,-3.963698148727417,-4.527775287628174,-5.257359504699707,-4.6038336753845215
10,-6.7359490394592285,-5.850350379943848,-4.640635013580322,-5.850350379943848,-7.059179782867432,-4.999477386474609
11,-7.405404567718506,-6.749819755554199,-5.301377773284912,-6.749819755554199,-6.511190891265869,-5.26704216003418
12,-6.948244571685791,-6.512381553649902,-5.522149085998535,-6.512381553649902,-6.990077495574951,-5.236965179443359
13,-6.871301174163818,-6.399809837341309,-5.296323299407959,-6.399809837341309,-6.6905341148376465,-5.094721794128418
14,-6.331419467926025,-5.908207893371582,-4.375253677368164,-5.908207893371582,-5.157664775848389,-4.6038336753845215
15,-6.848242282867432,-6.15798807144165,-5.165284156799316,-6.15798807144165,-6.698204040527344,-4.999477386474609
16,-7.994542121887207,-7.000516414642334,-6.351064682006836,-7.000516414642334,-5.387367248535156,-7.537822723388672
17,-7.658188343048096,-6.9624481201171875,-6.245633125305176,-6.9624481201171875,-5.327927112579346,-7.4379401206970215
18,-7.829930305480957,-7.01260232925415,-6.250604629516602,-7.01260232925415,-5.340482234954834,-7.748743534088135
19,-7.233188629150391,-5.996525287628174,-6.075800895690918,-5.996525287628174,-4.971791744232178,-6.73503303527832
20,-8.341480255126953,-7.72051477432251,-6.669612884521484,-7.72051477432251,-6.445625305175781,-7.212564945220947
