idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.818328857421875,-5.75398063659668,-4.027060031890869,-5.75398063659668,-6.013281345367432,-4.9601359367370605
2,-7.036090850830078,-5.833605766296387,-3.977245807647705,-5.833605766296387,-6.00482702255249,-5.787840366363525
3,-6.559658050537109,-5.271522045135498,-3.820634365081787,-5.271522045135498,-5.830707550048828,-5.247434616088867
4,-5.947831630706787,-4.472634792327881,-3.6305007934570312,-4.472634792327881,-5.102083683013916,-4.631119728088379
5,-6.769898891448975,-5.799014091491699,-4.311326026916504,-5.799014091491699,-6.569658279418945,-4.850708961486816
6,-7.154875755310059,-6.136452674865723,-3.918875217437744,-6.136452674865723,-6.278598308563232,-4.9601359367370605
7,-7.380484580993652,-6.180475234985352,-4.103307247161865,-6.180475234985352,-6.561058044433594,-5.787840366363525
8,-6.942286491394043,-5.632747650146484,-3.8566246032714844,-5.632747650146484,-6.455989837646484,-5.247434616088867
9,-6.32848596572876,-4.765433311462402,-3.3884787559509277,-4.765433311462402,-5.600959777832031,-4.631119728088379
10,-7.1309685707092285,-6.115727424621582,-4.288082599639893,-6.115727424621582,-7.007193088531494,-4.850708961486816
11,-7.167810916900635,-7.24617862701416,-4.645689964294434,-7.24617862701416,-6.758227825164795,-4.9601359367370605
12,-7.567694187164307,-7.488328456878662,-4.9740142822265625,-7.488328456878662,-7.301672458648682,-5.787840366363525
13,-7.0711565017700195,-7.171948432922363,-4.685899257659912,-7.171948432922363,-7.1554131507873535,-5.247434616088867
14,-6.440174102783203,-6.031684875488281,-3.56453013420105,-6.031684875488281,-5.184397220611572,-4.631119728088379
15,-6.848877906799316,-7.097951412200928,-4.660237789154053,-7.097951412200928,-6.999895095825195,-4.850708961486816
16,-7.810434818267822,-6.3396172523498535,-6.090630054473877,-6.3396172523498535,-6.013281345367432,-6.2382941246032715
17,-8.54010009765625,-7.0361809730529785,-6.2736005783081055,-7.0361809730529785,-6.00482702255249,-7.920456409454346
