idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.10854434967041,-6.705243110656738,-4.925925254821777,-6.705243110656738,-6.288271427154541,-6.5785651206970215
2,-7.3900604248046875,-7.158725261688232,-4.6613969802856445,-7.158725261688232,-5.930838108062744,-6.607054233551025
3,-7.097100257873535,-6.855965614318848,-4.514145374298096,-6.855965614318848,-5.646862030029297,-6.515913963317871
4,-6.433394432067871,-6.1260666847229,-4.290623188018799,-6.1260666847229,-5.3289313316345215,-5.410708427429199
5,-7.611508846282959,-7.3927106857299805,-5.295194149017334,-7.3927106857299805,-6.730865478515625,-6.436256408691406
6,-6.921717643737793,-6.680650234222412,-4.56516695022583,-6.680650234222412,-6.669325351715088,-6.5785651206970215
7,-7.272965431213379,-7.350349426269531,-4.508284568786621,-7.350349426269531,-6.7091498374938965,-6.607054233551025
8,-7.03894567489624,-7.048371315002441,-4.22622013092041,-7.048371315002441,-6.127915859222412,-6.515913963317871
9,-6.5271806716918945,-6.312501907348633,-3.8971340656280518,-6.312501907348633,-5.4593353271484375,-5.410708427429199
10,-7.396101951599121,-7.424919128417969,-4.936881065368652,-7.424919128417969,-7.164137363433838,-6.436256408691406
11,-7.223970890045166,-7.418560028076172,-5.532266139984131,-7.418560028076172,-7.2485270500183105,-6.5785651206970215
12,-7.634563446044922,-8.043871879577637,-5.558318614959717,-8.043871879577637,-7.2472243309021,-6.607054233551025
13,-7.507639408111572,-7.824444770812988,-5.466320037841797,-7.824444770812988,-7.183202266693115,-6.515913963317871
14,-6.780653476715088,-7.15371036529541,-4.337747097015381,-7.15371036529541,-5.249441146850586,-5.410708427429199
15,-7.603726863861084,-8.047579765319824,-5.671304225921631,-8.047579765319824,-7.209695339202881,-6.436256408691406
16,-8.904263496398926,-7.565269947052002,-6.902736186981201,-7.565269947052002,-6.288271427154541,-7.918365001678467
17,-9.286822319030762,-8.394625663757324,-6.6463823318481445,-8.394625663757324,-5.930838108062744,-8.550127983093262
18,-9.099940299987793,-8.070677757263184,-6.410378456115723,-8.070677757263184,-5.646862030029297,-8.451172828674316
19,-8.303858757019043,-7.088430404663086,-5.869117736816406,-7.088430404663086,-5.3289313316345215,-7.435984134674072
20,-9.684863090515137,-8.37578296661377,-7.279468536376953,-8.37578296661377,-6.730865478515625,-7.985908508300781
21,-8.895462036132812,-7.76738977432251,-6.958543300628662,-7.76738977432251,-6.669325351715088,-7.918365001678467
22,-9.333423614501953,-8.616241455078125,-6.941126346588135,-8.616241455078125,-6.7091498374938965,-8.550127983093262
23,-9.021822929382324,-8.26330852508545,-6.528695106506348,-8.26330852508545,-6.127915859222412,-8.451172828674316
24,-8.401247024536133,-7.419801235198975,-5.839650630950928,-7.419801235198975,-5.4593353271484375,-7.435984134674072
25,-9.574687957763672,-8.493583679199219,-7.302845001220703,-8.493583679199219,-7.164137363433838,-7.985908508300781
26,-8.891091346740723,-9.10666561126709,-7.6112775802612305,-9.10666561126709,-7.2485270500183105,-7.918365001678467
27,-9.317976951599121,-9.97198486328125,-7.714964866638184,-9.97198486328125,-7.2472243309021,-8.550127983093262
28,-9.162456512451172,-9.652397155761719,-7.463109493255615,-9.652397155761719,-7.183202266693115,-8.451172828674316
29,-8.26439094543457,-8.541290283203125,-6.001841068267822,-8.541290283203125,-5.249441146850586,-7.435984134674072
30,-9.253541946411133,-9.758525848388672,-7.681242942810059,-9.758525848388672,-7.209695339202881,-7.985908508300781
31,-8.257594108581543,-7.665577411651611,-6.245752811431885,-7.665577411651611,-6.288271427154541,-7.496420383453369
32,-8.574368476867676,-8.561038970947266,-5.956567764282227,-8.561038970947266,-5.930838108062744,-7.714927673339844
33,-8.37762451171875,-8.232898712158203,-5.694759368896484,-8.232898712158203,-5.646862030029297,-7.439121246337891
34,-7.643847465515137,-7.229942321777344,-5.14129638671875,-7.229942321777344,-5.3289313316345215,-6.231539249420166
35,-9.408523559570312,-9.290091514587402,-6.639885425567627,-9.290091514587402,-6.730865478515625,-7.829338073730469
36,-8.124967575073242,-7.762388229370117,-6.197845458984375,-7.762388229370117,-6.669325351715088,-7.496420383453369
37,-8.752710342407227,-8.97881031036377,-6.21109676361084,-8.97881031036377,-6.7091498374938965,-7.714927673339844
38,-8.536856651306152,-8.698009490966797,-5.722134590148926,-8.698009490966797,-6.127915859222412,-7.439121246337891
39,-7.898398399353027,-7.7187347412109375,-5.069861888885498,-7.7187347412109375,-5.4593353271484375,-6.231539249420166
40,-9.227139472961426,-9.326188087463379,-6.6044440269470215,-9.326188087463379,-7.164137363433838,-7.829338073730469
41,-8.65990924835205,-8.898755073547363,-6.941279888153076,-8.898755073547363,-7.2485270500183105,-7.496420383453369
42,-9.055102348327637,-10.039873123168945,-6.883735656738281,-10.039873123168945,-7.2472243309021,-7.714927673339844
43,-8.936694145202637,-9.676068305969238,-6.566504001617432,-9.676068305969238,-7.183202266693115,-7.439121246337891
44,-8.303250312805176,-9.006543159484863,-5.109975814819336,-9.006543159484863,-5.249441146850586,-6.231539249420166
45,-9.287970542907715,-9.82182788848877,-7.165600776672363,-9.82182788848877,-7.209695339202881,-7.829338073730469
46,-7.278560638427734,-6.094145774841309,-4.650726318359375,-6.094145774841309,-6.288271427154541,-5.911610126495361
47,-6.890683174133301,-5.890973091125488,-4.445765495300293,-5.890973091125488,-5.930838108062744,-5.77158784866333
48,-7.01312255859375,-6.051279544830322,-4.24654483795166,-6.051279544830322,-5.646862030029297,-5.751051902770996
49,-6.180294990539551,-5.147772312164307,-4.016910552978516,-5.147772312164307,-5.3289313316345215,-4.762355804443359
50,-8.51856803894043,-7.502541542053223,-5.186800479888916,-7.502541542053223,-6.730865478515625,-6.4402689933776855
51,-7.003904819488525,-6.140376091003418,-4.739259243011475,-6.140376091003418,-6.669325351715088,-5.911610126495361
52,-6.741192817687988,-5.974235534667969,-4.6547651290893555,-5.974235534667969,-6.7091498374938965,-5.77158784866333
53,-6.843323707580566,-6.07818603515625,-4.393047332763672,-6.07818603515625,-6.127915859222412,-5.751051902770996
54,-6.203230381011963,-5.238583564758301,-4.09250545501709,-5.238583564758301,-5.4593353271484375,-4.762355804443359
55,-8.212121963500977,-7.421599864959717,-5.314070701599121,-7.421599864959717,-7.164137363433838,-6.4402689933776855
56,-6.8408203125,-7.047124862670898,-5.520408630371094,-7.047124862670898,-7.2485270500183105,-5.911610126495361
57,-6.5467071533203125,-6.871438503265381,-5.4704461097717285,-6.871438503265381,-7.2472243309021,-5.77158784866333
58,-6.600031852722168,-6.846613883972168,-5.439772129058838,-6.846613883972168,-7.183202266693115,-5.751051902770996
59,-5.831276893615723,-6.207245826721191,-4.3723931312561035,-6.207245826721191,-5.249441146850586,-4.762355804443359
60,-7.780548095703125,-8.058778762817383,-5.695683479309082,-8.058778762817383,-7.209695339202881,-6.4402689933776855
61,-9.868377685546875,-9.651124000549316,-6.668402194976807,-9.651124000549316,-6.288271427154541,-8.95580768585205
