idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.775242805480957,-6.646872043609619,-4.452883720397949,-6.646872043609619,-6.185209274291992,-5.446471214294434
2,-6.718279838562012,-6.641005992889404,-4.46171236038208,-6.641005992889404,-5.956007480621338,-5.657715320587158
3,-6.483431339263916,-6.474303245544434,-4.213536262512207,-6.474303245544434,-5.826318264007568,-4.800807476043701
4,-6.0339155197143555,-5.801207542419434,-3.9694201946258545,-5.801207542419434,-5.040202617645264,-4.586971759796143
5,-7.2338104248046875,-7.034826755523682,-4.8138957023620605,-7.034826755523682,-6.908017635345459,-5.047036647796631
6,-7.21011209487915,-7.265417098999023,-4.704216003417969,-7.265417098999023,-6.345603942871094,-5.446471214294434
7,-7.272045135498047,-7.301996231079102,-4.936574459075928,-7.301996231079102,-6.474785327911377,-5.657715320587158
8,-6.913327693939209,-7.057464599609375,-4.64111852645874,-7.057464599609375,-6.230705261230469,-4.800807476043701
9,-6.388753414154053,-6.3110809326171875,-3.9879226684570312,-6.3110809326171875,-4.989327907562256,-4.586971759796143
10,-7.667636871337891,-7.634596824645996,-4.94268798828125,-7.634596824645996,-7.061321258544922,-5.047036647796631
11,-7.437966823577881,-7.622617721557617,-4.844841003417969,-7.622617721557617,-7.049561023712158,-5.446471214294434
12,-7.6320953369140625,-7.818735122680664,-5.499098300933838,-7.818735122680664,-8.013226509094238,-5.657715320587158
13,-7.219326972961426,-7.626235485076904,-5.091122627258301,-7.626235485076904,-7.485879421234131,-4.800807476043701
14,-6.691174507141113,-6.868565082550049,-4.249502182006836,-6.868565082550049,-6.182314395904541,-4.586971759796143
15,-7.724440097808838,-7.9136810302734375,-4.935876846313477,-7.9136810302734375,-7.488525390625,-5.047036647796631
16,-7.8978986740112305,-7.27886438369751,-6.291193008422852,-7.27886438369751,-6.185209274291992,-6.991962909698486
17,-8.043415069580078,-7.575863361358643,-6.353702545166016,-7.575863361358643,-5.956007480621338,-7.623873233795166
18,-8.040383338928223,-7.621404647827148,-6.130887031555176,-7.621404647827148,-5.826318264007568,-7.116125583648682
