idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.79052209854126,-6.283319473266602,-4.870586395263672,-6.283319473266602,-5.451841831207275,-6.689411163330078
2,-6.486732482910156,-5.717761039733887,-4.49655294418335,-5.717761039733887,-4.865767955780029,-5.947970390319824
3,-6.717634677886963,-6.075904369354248,-4.545583248138428,-6.075904369354248,-5.004693508148193,-6.313776969909668
4,-6.084263801574707,-5.325191497802734,-4.342785835266113,-5.325191497802734,-4.8674798011779785,-5.7958269119262695
5,-6.917258262634277,-6.530442714691162,-5.100207805633545,-6.530442714691162,-5.91970682144165,-6.176397323608398
6,-7.431826591491699,-6.794541358947754,-4.810360908508301,-6.794541358947754,-6.212611675262451,-6.689411163330078
7,-7.0335540771484375,-6.372841835021973,-4.530811309814453,-6.372841835021973,-5.984376430511475,-5.947970390319824
8,-7.3592376708984375,-6.6718034744262695,-4.486475467681885,-6.6718034744262695,-6.104042053222656,-6.313776969909668
9,-6.647767066955566,-5.7341108322143555,-4.148687839508057,-5.7341108322143555,-5.368039608001709,-5.7958269119262695
10,-7.474062919616699,-6.892178058624268,-5.068340301513672,-6.892178058624268,-6.591989040374756,-6.176397323608398
11,-8.611905097961426,-7.835789680480957,-5.140508651733398,-7.835789680480957,-7.254581928253174,-6.689411163330078
12,-8.090265274047852,-7.441344261169434,-5.3662824630737305,-7.441344261169434,-7.358689785003662,-5.947970390319824
13,-8.444692611694336,-7.939167022705078,-5.218771457672119,-7.939167022705078,-7.1727471351623535,-6.313776969909668
14,-7.683457374572754,-6.975859642028809,-4.418182373046875,-6.975859642028809,-5.97634744644165,-5.7958269119262695
15,-8.253236770629883,-7.553351879119873,-5.417108058929443,-7.553351879119873,-7.710835933685303,-6.176397323608398
16,-8.004377365112305,-7.199199676513672,-5.660784721374512,-7.199199676513672,-5.451841831207275,-7.394695281982422
17,-7.72329568862915,-6.854785919189453,-5.085606575012207,-6.854785919189453,-4.865767955780029,-6.894453525543213
18,-8.039113998413086,-7.238765716552734,-5.102301597595215,-7.238765716552734,-5.004693508148193,-7.091363430023193
19,-7.165454864501953,-6.373881816864014,-4.951809883117676,-6.373881816864014,-4.8674798011779785,-6.394460678100586
20,-8.533732414245605,-7.9736328125,-5.589015960693359,-7.9736328125,-5.91970682144165,-7.090181827545166
21,-8.554373741149902,-8.230545997619629,-5.980494499206543,-8.230545997619629,-6.212611675262451,-7.394695281982422
22,-8.25645637512207,-7.836801052093506,-5.82378625869751,-7.836801052093506,-5.984376430511475,-6.894453525543213
23,-8.576189041137695,-8.109076499938965,-5.657271385192871,-8.109076499938965,-6.104042053222656,-7.091363430023193
24,-7.5042009353637695,-7.066075801849365,-5.0644755363464355,-7.066075801849365,-5.368039608001709,-6.394460678100586
