idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.151393890380859,-5.732135772705078,-4.471859455108643,-5.732135772705078,-5.597892761230469,-5.133727073669434
2,-6.992997646331787,-5.666329383850098,-4.254275321960449,-5.666329383850098,-5.322363376617432,-5.2803263664245605
3,-7.124571323394775,-5.845084190368652,-4.269217491149902,-5.845084190368652,-5.401847839355469,-5.465834140777588
4,-6.50033712387085,-5.275938034057617,-4.277278423309326,-5.275938034057617,-4.9724016189575195,-4.838388919830322
5,-7.451058864593506,-6.341165542602539,-4.901391506195068,-6.341165542602539,-6.316465377807617,-5.4901604652404785
6,-7.199902534484863,-6.029509544372559,-4.693148612976074,-6.029509544372559,-5.61990213394165,-5.133727073669434
7,-7.069602966308594,-6.025804042816162,-4.643723487854004,-6.025804042816162,-5.86300802230835,-5.2803263664245605
8,-7.148563385009766,-6.21708869934082,-4.523360252380371,-6.21708869934082,-5.858262538909912,-5.465834140777588
9,-6.583347320556641,-5.619010925292969,-4.172298431396484,-5.619010925292969,-5.088251113891602,-4.838388919830322
10,-7.468059539794922,-6.625940322875977,-5.204405307769775,-6.625940322875977,-6.453668117523193,-5.4901604652404785
11,-7.518237113952637,-6.641812324523926,-5.323174953460693,-6.641812324523926,-6.689633846282959,-5.133727073669434
12,-7.581826686859131,-6.9315667152404785,-5.53057336807251,-6.9315667152404785,-6.779097080230713,-5.2803263664245605
13,-7.6968841552734375,-7.234705448150635,-5.472297668457031,-7.234705448150635,-6.831522464752197,-5.465834140777588
14,-7.216117858886719,-6.713474273681641,-4.453860282897949,-6.713474273681641,-5.154414653778076,-4.838388919830322
15,-7.955519199371338,-7.300766944885254,-5.452927589416504,-7.300766944885254,-7.069538116455078,-5.4901604652404785
16,-7.761436462402344,-7.3506622314453125,-6.354557037353516,-7.3506622314453125,-5.597892761230469,-6.644233226776123
17,-7.951911449432373,-7.60504674911499,-5.965065002441406,-7.60504674911499,-5.322363376617432,-6.753468990325928
18,-7.964048385620117,-7.50548791885376,-6.053534507751465,-7.50548791885376,-5.401847839355469,-6.930765628814697
19,-7.464120388031006,-7.094875335693359,-6.066206932067871,-7.094875335693359,-4.9724016189575195,-5.8302459716796875
