idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.676372528076172,-6.233884811401367,-4.532817840576172,-6.233884811401367,-5.430535793304443,-6.135327339172363
2,-6.773343086242676,-6.225873947143555,-4.525357723236084,-6.225873947143555,-5.44851541519165,-6.286744594573975
3,-6.79752254486084,-6.199579238891602,-4.429852485656738,-6.199579238891602,-5.0914483070373535,-5.873538017272949
4,-5.976321697235107,-5.179984092712402,-4.325664520263672,-5.179984092712402,-4.803651332855225,-5.321223258972168
5,-7.153601169586182,-6.639272689819336,-4.570059299468994,-6.639272689819336,-6.555176258087158,-5.906547546386719
6,-6.753140449523926,-6.867682456970215,-4.797397613525391,-6.867682456970215,-5.819540500640869,-6.135327339172363
7,-6.935173034667969,-6.9312286376953125,-4.627988338470459,-6.9312286376953125,-5.948338985443115,-6.286744594573975
8,-6.851461887359619,-6.819666862487793,-4.529811382293701,-6.819666862487793,-5.561561584472656,-5.873538017272949
9,-5.933417320251465,-5.687808036804199,-4.120299339294434,-5.687808036804199,-4.849565029144287,-5.321223258972168
10,-7.157325744628906,-7.303652763366699,-4.733654975891113,-7.303652763366699,-6.623174667358398,-5.906547546386719
11,-8.376860618591309,-7.778695106506348,-5.688244819641113,-7.778695106506348,-7.58622407913208,-6.135327339172363
12,-8.703129768371582,-7.9080305099487305,-5.710878372192383,-7.9080305099487305,-7.981974124908447,-6.286744594573975
13,-8.562582969665527,-8.020549774169922,-5.423276901245117,-8.020549774169922,-7.51576566696167,-5.873538017272949
14,-7.829859256744385,-6.9987993240356445,-4.483556747436523,-6.9987993240356445,-5.837589263916016,-5.321223258972168
15,-8.504204750061035,-7.921701431274414,-5.629921913146973,-7.921701431274414,-8.273269653320312,-5.906547546386719
16,-8.101372718811035,-7.575778961181641,-5.969797134399414,-7.575778961181641,-5.430535793304443,-7.092848300933838
17,-8.4503173828125,-8.01389217376709,-5.915510177612305,-8.01389217376709,-5.44851541519165,-7.622623920440674
18,-8.431888580322266,-7.829833984375,-5.539819717407227,-7.829833984375,-5.0914483070373535,-7.099259853363037
19,-7.595048904418945,-6.668422222137451,-5.282092094421387,-6.668422222137451,-4.803651332855225,-6.056797027587891
20,-8.80163860321045,-8.287335395812988,-6.214973449707031,-8.287335395812988,-6.555176258087158,-7.2685017585754395
21,-7.956031322479248,-7.922902584075928,-5.992583274841309,-7.922902584075928,-5.819540500640869,-7.092848300933838
22,-8.267189025878906,-8.453890800476074,-5.992916107177734,-8.453890800476074,-5.948338985443115,-7.622623920440674
23,-8.340348243713379,-8.355018615722656,-5.419377326965332,-8.355018615722656,-5.561561584472656,-7.099259853363037
24,-7.4673357009887695,-7.052690029144287,-4.834195137023926,-7.052690029144287,-4.849565029144287,-6.056797027587891
25,-8.495115280151367,-8.394439697265625,-6.14990758895874,-8.394439697265625,-6.623174667358398,-7.2685017585754395
