idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.2572221755981445,-6.8698320388793945,-6.521489143371582,-6.8698320388793945,-5.132177352905273,-7.46577787399292
2,-6.905007839202881,-6.225284576416016,-6.127540588378906,-6.225284576416016,-4.755453109741211,-8.015613555908203
3,-7.1360321044921875,-6.703463554382324,-6.145977973937988,-6.703463554382324,-4.773779392242432,-8.029427528381348
4,-6.246944427490234,-5.493645668029785,-5.956559181213379,-5.493645668029785,-4.5143914222717285,-6.714685440063477
5,-7.7765302658081055,-7.924713611602783,-6.84182596206665,-7.924713611602783,-5.541388034820557,-7.856756210327148
6,-7.875628471374512,-7.652348518371582,-6.695364475250244,-7.652348518371582,-5.678352355957031,-7.46577787399292
7,-7.452893257141113,-6.847857475280762,-6.535119533538818,-6.847857475280762,-5.67348051071167,-8.015613555908203
8,-7.8175048828125,-7.462480545043945,-6.5134453773498535,-7.462480545043945,-5.6047539710998535,-8.029427528381348
9,-6.995573997497559,-6.193387508392334,-6.101861476898193,-6.193387508392334,-5.055338382720947,-6.714685440063477
10,-8.319860458374023,-8.61616039276123,-7.046566963195801,-8.61616039276123,-6.258487224578857,-7.856756210327148
11,-8.878364562988281,-8.635724067687988,-6.9611663818359375,-8.635724067687988,-6.11395788192749,-7.46577787399292
12,-8.613839149475098,-8.105328559875488,-7.132236480712891,-8.105328559875488,-6.35144567489624,-8.015613555908203
13,-8.861246109008789,-8.8541841506958,-6.9070234298706055,-8.8541841506958,-6.223222255706787,-8.029427528381348
14,-8.076748847961426,-7.5142035484313965,-6.090493202209473,-7.5142035484313965,-5.105909824371338,-6.714685440063477
15,-9.073147773742676,-9.204172134399414,-7.081843376159668,-9.204172134399414,-6.33172082901001,-7.856756210327148
16,-8.024580001831055,-7.561295986175537,-8.073836326599121,-7.561295986175537,-5.132177352905273,-9.197514533996582
17,-8.237728118896484,-7.701127529144287,-7.782700061798096,-7.701127529144287,-4.755453109741211,-9.84102725982666
18,-8.50459098815918,-8.04493522644043,-7.54262638092041,-8.04493522644043,-4.773779392242432,-10.284668922424316
19,-7.55021858215332,-6.716044902801514,-7.4769673347473145,-6.716044902801514,-4.5143914222717285,-8.8311185836792
20,-8.65476131439209,-8.680256843566895,-8.395478248596191,-8.680256843566895,-5.541388034820557,-8.937920570373535
21,-8.764492988586426,-8.090353965759277,-8.440401077270508,-8.090353965759277,-5.678352355957031,-9.197514533996582
22,-8.915722846984863,-8.118725776672363,-8.368227005004883,-8.118725776672363,-5.67348051071167,-9.84102725982666
23,-9.325675964355469,-8.707778930664062,-8.177800178527832,-8.707778930664062,-5.6047539710998535,-10.284668922424316
24,-8.161561965942383,-6.946768283843994,-7.719703674316406,-6.946768283843994,-5.055338382720947,-8.8311185836792
25,-9.242288589477539,-8.947392463684082,-8.906880378723145,-8.947392463684082,-6.258487224578857,-8.937920570373535
26,-8.888209342956543,-9.975897789001465,-9.478958129882812,-9.975897789001465,-6.11395788192749,-9.197514533996582
27,-8.953710556030273,-10.379725456237793,-9.853055000305176,-10.379725456237793,-6.35144567489624,-9.84102725982666
28,-9.51220989227295,-10.95624828338623,-9.520561218261719,-10.95624828338623,-6.223222255706787,-10.284668922424316
29,-7.937861442565918,-8.53244686126709,-8.379977226257324,-8.53244686126709,-5.105909824371338,-8.8311185836792
30,-8.776787757873535,-10.846397399902344,-9.737857818603516,-10.846397399902344,-6.33172082901001,-8.937920570373535
31,-8.503435134887695,-7.992748260498047,-8.966800689697266,-7.992748260498047,-5.132177352905273,-9.733758926391602
32,-8.3077392578125,-7.901063919067383,-8.437758445739746,-7.901063919067383,-4.755453109741211,-10.092400550842285
33,-8.425698280334473,-8.046683311462402,-8.402154922485352,-8.046683311462402,-4.773779392242432,-10.177384376525879
34,-7.6265411376953125,-6.8837571144104,-8.348468780517578,-6.8837571144104,-4.5143914222717285,-9.039325714111328
35,-8.740769386291504,-8.628470420837402,-9.109671592712402,-8.628470420837402,-5.541388034820557,-9.498050689697266
36,-9.102745056152344,-8.587737083435059,-8.920072555541992,-8.587737083435059,-5.678352355957031,-9.733758926391602
37,-8.839927673339844,-8.492904663085938,-8.534721374511719,-8.492904663085938,-5.67348051071167,-10.092400550842285
38,-8.975387573242188,-8.674317359924316,-8.414461135864258,-8.674317359924316,-5.6047539710998535,-10.177384376525879
39,-8.172250747680664,-7.309298038482666,-8.100712776184082,-7.309298038482666,-5.055338382720947,-9.039325714111328
40,-9.29129409790039,-9.137131690979004,-9.134417533874512,-9.137131690979004,-6.258487224578857,-9.498050689697266
41,-9.95528793334961,-10.130547523498535,-9.338325500488281,-10.130547523498535,-6.11395788192749,-9.733758926391602
42,-9.917370796203613,-10.483870506286621,-9.556926727294922,-10.483870506286621,-6.35144567489624,-10.092400550842285
43,-10.094326972961426,-10.770562171936035,-9.210930824279785,-10.770562171936035,-6.223222255706787,-10.177384376525879
44,-9.047290802001953,-9.032821655273438,-8.340043067932129,-9.032821655273438,-5.105909824371338,-9.039325714111328
45,-9.804574012756348,-10.773722648620605,-9.46989631652832,-10.773722648620605,-6.33172082901001,-9.498050689697266
46,-6.9285888671875,-4.985723495483398,-6.113944053649902,-4.985723495483398,-5.132177352905273,-6.66611385345459
47,-6.524801731109619,-4.261207580566406,-5.758875846862793,-4.261207580566406,-4.755453109741211,-7.029442310333252
48,-6.641646385192871,-4.2917938232421875,-5.811164855957031,-4.2917938232421875,-4.773779392242432,-7.153870582580566
49,-6.461910247802734,-4.060645580291748,-5.797867774963379,-4.060645580291748,-4.5143914222717285,-6.680986404418945
50,-7.709105491638184,-5.96913480758667,-6.406655311584473,-5.96913480758667,-5.541388034820557,-7.34016752243042
51,-7.311347961425781,-5.722174167633057,-6.37686014175415,-5.722174167633057,-5.678352355957031,-6.66611385345459
52,-6.833160400390625,-4.946468353271484,-6.198441982269287,-4.946468353271484,-5.67348051071167,-7.029442310333252
53,-7.028158664703369,-5.039363861083984,-6.147395133972168,-5.039363861083984,-5.6047539710998535,-7.153870582580566
54,-6.895834445953369,-4.709450721740723,-5.890425682067871,-4.709450721740723,-5.055338382720947,-6.680986404418945
55,-8.035322189331055,-6.622287750244141,-6.770501136779785,-6.622287750244141,-6.258487224578857,-7.34016752243042
56,-7.689679145812988,-6.451902866363525,-6.6579694747924805,-6.451902866363525,-6.11395788192749,-6.66611385345459
57,-7.417508125305176,-5.783608436584473,-6.795557975769043,-5.783608436584473,-6.35144567489624,-7.029442310333252
58,-7.595646858215332,-6.081055641174316,-6.680062770843506,-6.081055641174316,-6.223222255706787,-7.153870582580566
59,-7.396508693695068,-5.735446453094482,-5.9755144119262695,-5.735446453094482,-5.105909824371338,-6.680986404418945
60,-8.008952140808105,-6.939538955688477,-6.950045108795166,-6.939538955688477,-6.33172082901001,-7.34016752243042
61,-8.612825393676758,-8.507783889770508,-8.055191993713379,-8.507783889770508,-5.132177352905273,-9.43614673614502
62,-8.009171485900879,-8.022150039672852,-7.827765464782715,-8.022150039672852,-4.755453109741211,-9.546626091003418
63,-8.495389938354492,-8.439872741699219,-7.788791179656982,-8.439872741699219,-4.773779392242432,-10.362420082092285
64,-7.663553237915039,-7.255973815917969,-7.643039226531982,-7.255973815917969,-4.5143914222717285,-8.663987159729004
65,-8.62701416015625,-8.933433532714844,-8.384893417358398,-8.933433532714844,-5.541388034820557,-9.053864479064941
66,-9.409316062927246,-9.432782173156738,-8.32380485534668,-9.432782173156738,-5.678352355957031,-9.43614673614502
67,-8.481321334838867,-8.609769821166992,-8.331273078918457,-8.609769821166992,-5.67348051071167,-9.546626091003418
68,-9.096891403198242,-9.209102630615234,-8.262096405029297,-9.209102630615234,-5.6047539710998535,-10.362420082092285
69,-8.118663787841797,-7.685663223266602,-7.912525177001953,-7.685663223266602,-5.055338382720947,-8.663987159729004
70,-9.295827865600586,-9.745387077331543,-8.851628303527832,-9.745387077331543,-6.258487224578857,-9.053864479064941
71,-10.280485153198242,-11.818042755126953,-8.790111541748047,-11.818042755126953,-6.11395788192749,-9.43614673614502
72,-9.644498825073242,-11.433266639709473,-9.166828155517578,-11.433266639709473,-6.35144567489624,-9.546626091003418
73,-10.366665840148926,-12.583699226379395,-9.06273365020752,-12.583699226379395,-6.223222255706787,-10.362420082092285
74,-9.073969841003418,-9.939212799072266,-8.009673118591309,-9.939212799072266,-5.105909824371338,-8.663987159729004
75,-9.757190704345703,-11.967201232910156,-9.126605987548828,-11.967201232910156,-6.33172082901001,-9.053864479064941
76,-7.095812797546387,-6.362028121948242,-6.2682061195373535,-6.362028121948242,-5.132177352905273,-7.102983474731445
77,-7.297329902648926,-6.671480178833008,-5.965595245361328,-6.671480178833008,-4.755453109741211,-7.951604843139648
78,-7.004359245300293,-6.249395370483398,-5.8530731201171875,-6.249395370483398,-4.773779392242432,-7.518599510192871
79,-6.339848041534424,-5.447536945343018,-5.803084373474121,-5.447536945343018,-4.5143914222717285,-6.3338303565979
80,-7.635336399078369,-7.514369487762451,-6.837647438049316,-7.514369487762451,-5.541388034820557,-7.898398399353027
81,-7.2340545654296875,-6.366154670715332,-6.563472747802734,-6.366154670715332,-5.678352355957031,-7.102983474731445
82,-7.525413513183594,-6.768115043640137,-6.32733678817749,-6.768115043640137,-5.67348051071167,-7.951604843139648
83,-7.219252109527588,-6.253065586090088,-6.185089111328125,-6.253065586090088,-5.6047539710998535,-7.518599510192871
84,-6.515328884124756,-5.327662944793701,-5.975350856781006,-5.327662944793701,-5.055338382720947,-6.3338303565979
85,-7.760069370269775,-7.487233638763428,-6.9571990966796875,-7.487233638763428,-6.258487224578857,-7.898398399353027
86,-8.226690292358398,-7.168073654174805,-7.0901689529418945,-7.168073654174805,-6.11395788192749,-7.102983474731445
87,-8.495767593383789,-7.7824835777282715,-7.167181491851807,-7.7824835777282715,-6.35144567489624,-7.951604843139648
88,-8.228094100952148,-7.331427574157715,-6.996030330657959,-7.331427574157715,-6.223222255706787,-7.518599510192871
89,-7.523409843444824,-6.2873029708862305,-6.240801811218262,-6.2873029708862305,-5.105909824371338,-6.3338303565979
90,-8.536639213562012,-8.136634826660156,-7.50457763671875,-8.136634826660156,-6.33172082901001,-7.898398399353027
91,-7.584752082824707,-7.521704196929932,-8.013481140136719,-7.521704196929932,-5.132177352905273,-8.683647155761719
92,-7.334517002105713,-7.27260160446167,-7.792121887207031,-7.27260160446167,-4.755453109741211,-8.696955680847168
93,-7.462198257446289,-7.46649169921875,-7.857091903686523,-7.46649169921875,-4.773779392242432,-9.540068626403809
94,-7.415729522705078,-7.04444694519043,-7.8276567459106445,-7.04444694519043,-4.5143914222717285,-9.22711181640625
95,-7.97706413269043,-8.608585357666016,-8.40637493133545,-8.608585357666016,-5.541388034820557,-9.259045600891113
96,-8.211968421936035,-7.886510848999023,-8.241205215454102,-7.886510848999023,-5.678352355957031,-8.683647155761719
97,-8.058063507080078,-7.76361083984375,-8.2406005859375,-7.76361083984375,-5.67348051071167,-8.696955680847168
98,-8.157522201538086,-7.7292160987854,-8.360666275024414,-7.7292160987854,-5.6047539710998535,-9.540068626403809
99,-8.105162620544434,-7.107789516448975,-8.055121421813965,-7.107789516448975,-5.055338382720947,-9.22711181640625
100,-8.450675010681152,-8.72115421295166,-8.69723892211914,-8.72115421295166,-6.258487224578857,-9.259045600891113
101,-8.228280067443848,-9.086329460144043,-8.742176055908203,-9.086329460144043,-6.11395788192749,-8.683647155761719
102,-7.929018974304199,-8.813361167907715,-9.085634231567383,-8.813361167907715,-6.35144567489624,-8.696955680847168
103,-8.318824768066406,-9.478507041931152,-8.92000961303711,-9.478507041931152,-6.223222255706787,-9.540068626403809
104,-8.034516334533691,-8.394190788269043,-8.165717124938965,-8.394190788269043,-5.105909824371338,-9.22711181640625
105,-8.178670883178711,-9.335307121276855,-9.092458724975586,-9.335307121276855,-6.33172082901001,-9.259045600891113
106,-7.771694660186768,-7.140183925628662,-7.546908378601074,-7.140183925628662,-5.132177352905273,-8.804112434387207
107,-7.86170768737793,-7.042520999908447,-7.3561248779296875,-7.042520999908447,-4.755453109741211,-9.042948722839355
108,-7.844834327697754,-7.194377899169922,-7.027683258056641,-7.194377899169922,-4.773779392242432,-9.25344467163086
109,-6.91870641708374,-5.76739501953125,-6.930001258850098,-5.76739501953125,-4.5143914222717285,-8.011040687561035
110,-7.7448930740356445,-7.089874744415283,-8.0132474899292,-7.089874744415283,-5.541388034820557,-8.102120399475098
111,-8.450162887573242,-7.9142913818359375,-7.948782444000244,-7.9142913818359375,-5.678352355957031,-8.804112434387207
112,-8.461588859558105,-7.887939453125,-7.895135879516602,-7.887939453125,-5.67348051071167,-9.042948722839355
113,-8.583006858825684,-8.242026329040527,-7.601169586181641,-8.242026329040527,-5.6047539710998535,-9.25344467163086
114,-7.604689121246338,-6.452660083770752,-7.274506092071533,-6.452660083770752,-5.055338382720947,-8.011040687561035
115,-8.256893157958984,-7.742269039154053,-8.407787322998047,-7.742269039154053,-6.258487224578857,-8.102120399475098
116,-8.934645652770996,-9.368654251098633,-8.200567245483398,-9.368654251098633,-6.11395788192749,-8.804112434387207
117,-9.016487121582031,-9.63732624053955,-8.63144588470459,-9.63732624053955,-6.35144567489624,-9.042948722839355
118,-9.150735855102539,-9.808442115783691,-8.253190994262695,-9.808442115783691,-6.223222255706787,-9.25344467163086
119,-8.028532981872559,-7.711303234100342,-7.3253560066223145,-7.711303234100342,-5.105909824371338,-8.011040687561035
120,-8.229839324951172,-9.054831504821777,-8.560444831848145,-9.054831504821777,-6.33172082901001,-8.102120399475098
121,-6.545069217681885,-6.03480863571167,-5.3516716957092285,-6.03480863571167,-5.132177352905273,-5.464987277984619
122,-6.4021172523498535,-5.827872276306152,-5.328330039978027,-5.827872276306152,-4.755453109741211,-5.813210487365723
123,-6.563355922698975,-6.117584705352783,-5.1572089195251465,-6.117584705352783,-4.773779392242432,-5.802018642425537
124,-6.040724277496338,-5.258344650268555,-5.060783863067627,-5.258344650268555,-4.5143914222717285,-4.948101997375488
