idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.142385959625244,-5.56387996673584,-5.970343112945557,-5.56387996673584,-4.918517112731934,-6.118530750274658
2,-6.144704341888428,-5.6274895668029785,-5.811081409454346,-5.6274895668029785,-4.877903461456299,-6.3970866203308105
3,-6.029767036437988,-5.486152648925781,-5.748701095581055,-5.486152648925781,-4.566365718841553,-6.541149139404297
4,-5.727496147155762,-4.887800693511963,-5.5097150802612305,-4.887800693511963,-4.3724589347839355,-6.088997840881348
5,-6.66690731048584,-6.417391777038574,-6.350220203399658,-6.417391777038574,-5.599843502044678,-6.674292087554932
6,-6.788233757019043,-5.765898704528809,-6.133114814758301,-5.765898704528809,-5.565046787261963,-6.118530750274658
7,-6.79999303817749,-5.908394813537598,-6.096440315246582,-5.908394813537598,-5.950056552886963,-6.3970866203308105
8,-6.771433353424072,-5.79815149307251,-5.93209171295166,-5.79815149307251,-5.540177822113037,-6.541149139404297
9,-6.387890815734863,-5.179877281188965,-5.413268089294434,-5.179877281188965,-4.90768575668335,-6.088997840881348
10,-7.3016862869262695,-6.570711612701416,-6.407523155212402,-6.570711612701416,-6.319981098175049,-6.674292087554932
11,-7.544425964355469,-7.1593217849731445,-6.938290596008301,-7.1593217849731445,-6.711282253265381,-6.118530750274658
12,-7.638012886047363,-7.536097526550293,-7.245858669281006,-7.536097526550293,-7.352390289306641,-6.3970866203308105
13,-7.660813808441162,-7.542513370513916,-7.1288862228393555,-7.542513370513916,-6.895349979400635,-6.541149139404297
14,-7.152864933013916,-6.859210968017578,-6.1276350021362305,-6.859210968017578,-5.487432956695557,-6.088997840881348
15,-7.829049587249756,-7.527923107147217,-7.0730791091918945,-7.527923107147217,-7.2699456214904785,-6.674292087554932
16,-8.258038520812988,-7.116985321044922,-7.548825263977051,-7.116985321044922,-4.918517112731934,-8.059172630310059
17,-8.005123138427734,-6.968031406402588,-7.275855541229248,-6.968031406402588,-4.877903461456299,-8.526522636413574
18,-8.035533905029297,-6.723641872406006,-7.157458782196045,-6.723641872406006,-4.566365718841553,-8.35926342010498
19,-7.2717132568359375,-5.975959777832031,-6.908383846282959,-5.975959777832031,-4.3724589347839355,-7.804052829742432
20,-8.856822967529297,-7.905970096588135,-7.540498733520508,-7.905970096588135,-5.599843502044678,-8.761763572692871
21,-8.944364547729492,-7.325466156005859,-7.451691627502441,-7.325466156005859,-5.565046787261963,-8.059172630310059
22,-8.783914566040039,-7.342469692230225,-7.353692531585693,-7.342469692230225,-5.950056552886963,-8.526522636413574
23,-8.787150382995605,-7.069678783416748,-7.165533065795898,-7.069678783416748,-5.540177822113037,-8.35926342010498
24,-7.95920991897583,-6.416075229644775,-6.555386543273926,-6.416075229644775,-4.90768575668335,-7.804052829742432
25,-9.396783828735352,-8.013934135437012,-7.490556240081787,-8.013934135437012,-6.319981098175049,-8.761763572692871
26,-9.322176933288574,-8.3584566116333,-8.208562850952148,-8.3584566116333,-6.711282253265381,-8.059172630310059
27,-9.21440315246582,-8.573169708251953,-8.496315002441406,-8.573169708251953,-7.352390289306641,-8.526522636413574
28,-9.063375473022461,-8.495864868164062,-8.327384948730469,-8.495864868164062,-6.895349979400635,-8.35926342010498
29,-8.311777114868164,-7.624202728271484,-7.229990005493164,-7.624202728271484,-5.487432956695557,-7.804052829742432
30,-9.19015121459961,-8.318787574768066,-8.178586959838867,-8.318787574768066,-7.2699456214904785,-8.761763572692871
31,-8.520515441894531,-8.245918273925781,-7.703519344329834,-8.245918273925781,-4.918517112731934,-9.123068809509277
32,-8.326742172241211,-8.0615816116333,-7.375766754150391,-8.0615816116333,-4.877903461456299,-9.261836051940918
