idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.183146953582764,-5.532002925872803,-5.370057106018066,-5.532002925872803,-6.101998805999756,-5.375418663024902
2,-6.395974159240723,-5.830631256103516,-5.167789936065674,-5.830631256103516,-5.579827785491943,-5.735786437988281
3,-6.134256839752197,-5.461544990539551,-4.875730037689209,-5.461544990539551,-5.563992977142334,-5.605857849121094
4,-6.007163047790527,-5.418979644775391,-4.938098430633545,-5.418979644775391,-5.812206268310547,-5.5338134765625
5,-5.972579002380371,-5.267372131347656,-5.251309394836426,-5.267372131347656,-6.856462001800537,-5.409846305847168
6,-6.365673065185547,-5.725243091583252,-5.600405693054199,-5.725243091583252,-6.976615905761719,-5.375418663024902
7,-6.74985408782959,-6.104504585266113,-5.549468040466309,-6.104504585266113,-6.781378269195557,-5.735786437988281
8,-6.529488563537598,-5.672764778137207,-5.355308532714844,-5.672764778137207,-6.890989303588867,-5.605857849121094
9,-6.414493560791016,-5.64759635925293,-5.130110263824463,-5.64759635925293,-6.241827011108398,-5.5338134765625
10,-6.272595405578613,-5.428836345672607,-5.58706521987915,-5.428836345672607,-8.175820350646973,-5.409846305847168
11,-8.022915840148926,-7.8295087814331055,-5.5016350746154785,-7.8295087814331055,-7.348577976226807,-5.375418663024902
12,-8.499053955078125,-8.340784072875977,-6.277276515960693,-8.340784072875977,-8.009413719177246,-5.735786437988281
13,-8.339424133300781,-8.036214828491211,-5.929936408996582,-8.036214828491211,-7.692831516265869,-5.605857849121094
14,-8.143122673034668,-7.93418550491333,-4.965880393981934,-7.93418550491333,-6.34869384765625,-5.5338134765625
15,-7.882891654968262,-7.513635635375977,-5.677256107330322,-7.513635635375977,-8.383206367492676,-5.409846305847168
16,-8.348808288574219,-7.278656005859375,-7.416651725769043,-7.278656005859375,-6.101998805999756,-6.863597393035889
17,-8.582235336303711,-7.392036437988281,-6.837709903717041,-7.392036437988281,-5.579827785491943,-7.558810710906982
18,-8.416618347167969,-7.483896732330322,-6.823359489440918,-7.483896732330322,-5.563992977142334,-7.717492580413818
19,-7.6494646072387695,-6.801975250244141,-6.762602806091309,-6.801975250244141,-5.812206268310547,-6.967173099517822
20,-8.268227577209473,-7.334709644317627,-7.137757778167725,-7.334709644317627,-6.856462001800537,-7.207789897918701
21,-8.657812118530273,-7.7210822105407715,-8.123126983642578,-7.7210822105407715,-6.976615905761719,-6.863597393035889
22,-9.032962799072266,-7.942613124847412,-7.779346466064453,-7.942613124847412,-6.781378269195557,-7.558810710906982
23,-8.927875518798828,-7.972311496734619,-7.785710334777832,-7.972311496734619,-6.890989303588867,-7.717492580413818
24,-8.105520248413086,-7.198995113372803,-7.340968132019043,-7.198995113372803,-6.241827011108398,-6.967173099517822
25,-8.610666275024414,-7.649092197418213,-8.146621704101562,-7.649092197418213,-8.175820350646973,-7.207789897918701
26,-9.046431541442871,-8.613179206848145,-7.76854944229126,-8.613179206848145,-7.348577976226807,-6.863597393035889
27,-9.651302337646484,-9.153541564941406,-8.44711685180664,-9.153541564941406,-8.009413719177246,-7.558810710906982
28,-9.6781587600708,-9.350653648376465,-8.11404800415039,-9.350653648376465,-7.692831516265869,-7.717492580413818
29,-8.49276351928711,-8.063504219055176,-6.75865364074707,-8.063504219055176,-6.34869384765625,-6.967173099517822
30,-8.801291465759277,-8.656209945678711,-8.067218780517578,-8.656209945678711,-8.383206367492676,-7.207789897918701
31,-8.995465278625488,-7.471582889556885,-6.744884490966797,-7.471582889556885,-6.101998805999756,-6.8089447021484375
32,-9.09061336517334,-7.814070224761963,-6.1702752113342285,-7.814070224761963,-5.579827785491943,-7.205626010894775
33,-8.992305755615234,-7.6685919761657715,-6.102229118347168,-7.6685919761657715,-5.563992977142334,-7.013792514801025
34,-8.106239318847656,-6.726240634918213,-6.063915252685547,-6.726240634918213,-5.812206268310547,-6.03370475769043
35,-9.253530502319336,-7.828666687011719,-6.58262825012207,-7.828666687011719,-6.856462001800537,-7.31851053237915
36,-9.322958946228027,-8.159993171691895,-7.25826358795166,-8.159993171691895,-6.976615905761719,-6.8089447021484375
37,-9.654873847961426,-8.597900390625,-6.927033424377441,-8.597900390625,-6.781378269195557,-7.205626010894775
38,-9.468101501464844,-8.445473670959473,-6.788193702697754,-8.445473670959473,-6.890989303588867,-7.013792514801025
39,-8.46508502960205,-7.2777485847473145,-6.3222761154174805,-7.2777485847473145,-6.241827011108398,-6.03370475769043
40,-9.463072776794434,-8.351095199584961,-7.340993404388428,-8.351095199584961,-8.175820350646973,-7.31851053237915
41,-9.48123836517334,-9.30646800994873,-7.504876136779785,-9.30646800994873,-7.348577976226807,-6.8089447021484375
42,-9.973869323730469,-9.986538887023926,-8.175664901733398,-9.986538887023926,-8.009413719177246,-7.205626010894775
43,-9.780216217041016,-9.859442710876465,-7.781867027282715,-9.859442710876465,-7.692831516265869,-7.013792514801025
44,-8.377950668334961,-8.311490058898926,-6.471477031707764,-8.311490058898926,-6.34869384765625,-6.03370475769043
45,-9.23355770111084,-9.457491874694824,-7.680765151977539,-9.457491874694824,-8.383206367492676,-7.31851053237915
46,-7.301506042480469,-5.486738204956055,-5.349119663238525,-5.486738204956055,-6.101998805999756,-5.469886779785156
47,-7.008108615875244,-5.1802473068237305,-5.101596832275391,-5.1802473068237305,-5.579827785491943,-5.358253479003906
48,-6.809991359710693,-4.833735466003418,-4.808175086975098,-4.833735466003418,-5.563992977142334,-5.188930988311768
49,-6.661099433898926,-4.748804092407227,-4.746689796447754,-4.748804092407227,-5.812206268310547,-4.985507011413574
50,-7.341082572937012,-5.6428728103637695,-5.590493679046631,-5.6428728103637695,-6.856462001800537,-5.906524658203125
51,-7.293185234069824,-5.981906890869141,-5.454456806182861,-5.981906890869141,-6.976615905761719,-5.469886779785156
52,-7.080700874328613,-5.666040420532227,-5.327295303344727,-5.666040420532227,-6.781378269195557,-5.358253479003906
53,-6.938394069671631,-5.335433006286621,-5.026132583618164,-5.335433006286621,-6.890989303588867,-5.188930988311768
54,-6.731381416320801,-5.145288467407227,-4.800965309143066,-5.145288467407227,-6.241827011108398,-4.985507011413574
55,-7.4290056228637695,-6.075847625732422,-5.767517566680908,-6.075847625732422,-8.175820350646973,-5.906524658203125
56,-7.514408111572266,-6.71731424331665,-5.744014263153076,-6.71731424331665,-7.348577976226807,-5.469886779785156
57,-7.3774094581604,-6.683557510375977,-6.4636430740356445,-6.683557510375977,-8.009413719177246,-5.358253479003906
58,-7.199095249176025,-6.338506698608398,-5.983811378479004,-6.338506698608398,-7.692831516265869,-5.188930988311768
59,-6.874486446380615,-5.973872661590576,-5.0067033767700195,-5.973872661590576,-6.34869384765625,-4.985507011413574
60,-7.588644981384277,-6.793254375457764,-6.096642017364502,-6.793254375457764,-8.383206367492676,-5.906524658203125
61,-9.360918045043945,-8.202909469604492,-8.08242416381836,-8.202909469604492,-6.101998805999756,-8.905330657958984
62,-9.171514511108398,-8.065380096435547,-7.582706451416016,-8.065380096435547,-5.579827785491943,-8.982486724853516
63,-8.697643280029297,-7.635728359222412,-7.40783166885376,-7.635728359222412,-5.563992977142334,-8.852751731872559
64,-8.362834930419922,-7.343529224395752,-7.455577850341797,-7.343529224395752,-5.812206268310547,-8.3388032913208
65,-9.15441608428955,-8.114105224609375,-7.895077705383301,-8.114105224609375,-6.856462001800537,-8.815142631530762
66,-9.467741966247559,-8.855168342590332,-8.475467681884766,-8.855168342590332,-6.976615905761719,-8.905330657958984
67,-9.497542381286621,-8.762042999267578,-8.1739501953125,-8.762042999267578,-6.781378269195557,-8.982486724853516
68,-9.080724716186523,-8.439948081970215,-7.987639427185059,-8.439948081970215,-6.890989303588867,-8.852751731872559
69,-8.560859680175781,-7.8752312660217285,-7.7522969245910645,-7.8752312660217285,-6.241827011108398,-8.3388032913208
70,-9.213247299194336,-8.863826751708984,-8.58344841003418,-8.863826751708984,-8.175820350646973,-8.815142631530762
71,-9.969375610351562,-10.904125213623047,-8.69999885559082,-10.904125213623047,-7.348577976226807,-8.905330657958984
72,-10.24740219116211,-11.12120532989502,-9.530405044555664,-11.12120532989502,-8.009413719177246,-8.982486724853516
73,-9.96185302734375,-10.835693359375,-9.096017837524414,-10.835693359375,-7.692831516265869,-8.852751731872559
74,-9.31371021270752,-10.12195110321045,-7.738437652587891,-10.12195110321045,-6.34869384765625,-8.3388032913208
75,-9.668966293334961,-10.729110717773438,-9.112824440002441,-10.729110717773438,-8.383206367492676,-8.815142631530762
76,-7.264452934265137,-6.041977882385254,-5.9635772705078125,-6.041977882385254,-6.101998805999756,-6.264782905578613
77,-7.167443752288818,-6.01754903793335,-5.777141571044922,-6.01754903793335,-5.579827785491943,-6.27675724029541
78,-6.757925510406494,-5.511783599853516,-5.474673271179199,-5.511783599853516,-5.563992977142334,-5.905519962310791
79,-6.570073127746582,-5.3059492111206055,-5.364189147949219,-5.3059492111206055,-5.812206268310547,-5.678360462188721
80,-7.2945966720581055,-6.120421409606934,-6.165072441101074,-6.120421409606934,-6.856462001800537,-6.482668876647949
81,-7.704533576965332,-6.60551643371582,-6.380896091461182,-6.60551643371582,-6.976615905761719,-6.264782905578613
82,-7.658804416656494,-6.663210868835449,-6.186577796936035,-6.663210868835449,-6.781378269195557,-6.27675724029541
83,-7.314419746398926,-6.231276512145996,-5.971545696258545,-6.231276512145996,-6.890989303588867,-5.905519962310791
84,-7.0691070556640625,-5.939276218414307,-5.6139607429504395,-5.939276218414307,-6.241827011108398,-5.678360462188721
85,-7.659276008605957,-6.549118995666504,-6.469108581542969,-6.549118995666504,-8.175820350646973,-6.482668876647949
86,-8.995821952819824,-7.61476993560791,-6.390207767486572,-7.61476993560791,-7.348577976226807,-6.264782905578613
87,-9.059293746948242,-7.922656059265137,-7.044039726257324,-7.922656059265137,-8.009413719177246,-6.27675724029541
88,-8.74104118347168,-7.503819465637207,-6.5994439125061035,-7.503819465637207,-7.692831516265869,-5.905519962310791
89,-8.370671272277832,-7.085846900939941,-5.641805171966553,-7.085846900939941,-6.34869384765625,-5.678360462188721
90,-8.886202812194824,-7.5504231452941895,-6.803361415863037,-7.5504231452941895,-8.383206367492676,-6.482668876647949
91,-8.541009902954102,-7.6924262046813965,-7.684343338012695,-7.6924262046813965,-6.101998805999756,-7.7962327003479
92,-8.254526138305664,-7.813173770904541,-7.126587390899658,-7.813173770904541,-5.579827785491943,-7.949882507324219
93,-7.960927963256836,-7.540690898895264,-6.960400104522705,-7.540690898895264,-5.563992977142334,-7.6776251792907715
94,-7.842057228088379,-7.383142948150635,-7.3716230392456055,-7.383142948150635,-5.812206268310547,-7.572483062744141
95,-8.709297180175781,-8.10754680633545,-7.7220611572265625,-8.10754680633545,-6.856462001800537,-7.922791957855225
96,-8.60698413848877,-8.011096000671387,-8.075272560119629,-8.011096000671387,-6.976615905761719,-7.7962327003479
97,-8.43950080871582,-8.033371925354004,-7.889141082763672,-8.033371925354004,-6.781378269195557,-7.949882507324219
98,-8.182005882263184,-7.899898529052734,-7.702648639678955,-7.899898529052734,-6.890989303588867,-7.6776251792907715
99,-7.749283790588379,-7.520819187164307,-7.509387969970703,-7.520819187164307,-6.241827011108398,-7.572483062744141
100,-8.611536026000977,-8.505267143249512,-8.44780158996582,-8.505267143249512,-8.175820350646973,-7.922791957855225
101,-8.92858600616455,-8.453317642211914,-8.297662734985352,-8.453317642211914,-7.348577976226807,-7.7962327003479
102,-8.965118408203125,-8.616793632507324,-8.835412979125977,-8.616793632507324,-8.009413719177246,-7.949882507324219
103,-8.633203506469727,-8.646430015563965,-8.453523635864258,-8.646430015563965,-7.692831516265869,-7.6776251792907715
104,-8.12985897064209,-8.384627342224121,-7.060138702392578,-8.384627342224121,-6.34869384765625,-7.572483062744141
105,-8.590801239013672,-8.40450382232666,-8.325149536132812,-8.40450382232666,-8.383206367492676,-7.922791957855225
106,-8.354767799377441,-5.984851837158203,-7.045706748962402,-5.984851837158203,-6.101998805999756,-7.328668594360352
107,-8.681981086730957,-6.399421215057373,-6.727550506591797,-6.399421215057373,-5.579827785491943,-7.974798679351807
108,-8.30006217956543,-6.1265034675598145,-6.718381881713867,-6.1265034675598145,-5.563992977142334,-7.848100185394287
109,-7.473008155822754,-4.986222743988037,-6.869981288909912,-4.986222743988037,-5.812206268310547,-7.038944244384766
110,-8.551885604858398,-6.482122421264648,-7.229321479797363,-6.482122421264648,-6.856462001800537,-7.826564788818359
111,-8.246711730957031,-6.4525275230407715,-7.370931625366211,-6.4525275230407715,-6.976615905761719,-7.328668594360352
112,-8.884565353393555,-6.927954196929932,-7.209741592407227,-6.927954196929932,-6.781378269195557,-7.974798679351807
113,-8.562193870544434,-6.653621673583984,-7.25992488861084,-6.653621673583984,-6.890989303588867,-7.848100185394287
114,-7.571545124053955,-5.362679958343506,-7.159654140472412,-5.362679958343506,-6.241827011108398,-7.038944244384766
115,-8.46903133392334,-6.663566589355469,-7.655041217803955,-6.663566589355469,-8.175820350646973,-7.826564788818359
116,-9.41042709350586,-9.032746315002441,-7.637070178985596,-9.032746315002441,-7.348577976226807,-7.328668594360352
117,-10.063650131225586,-9.653526306152344,-8.531953811645508,-9.653526306152344,-8.009413719177246,-7.974798679351807
118,-9.77579402923584,-9.585018157958984,-8.207046508789062,-9.585018157958984,-7.692831516265869,-7.848100185394287
119,-8.551703453063965,-8.312169075012207,-6.841933250427246,-8.312169075012207,-6.34869384765625,-7.038944244384766
120,-9.187211036682129,-9.252705574035645,-8.186573028564453,-9.252705574035645,-8.383206367492676,-7.826564788818359
121,-6.501114368438721,-5.915233135223389,-5.335000514984131,-5.915233135223389,-6.101998805999756,-5.683593273162842
122,-6.354909896850586,-5.857390880584717,-5.129522800445557,-5.857390880584717,-5.579827785491943,-5.906313419342041
123,-6.106144428253174,-5.641560077667236,-4.899841785430908,-5.641560077667236,-5.563992977142334,-5.682668209075928
124,-5.3688836097717285,-4.650094985961914,-4.784928798675537,-4.650094985961914,-5.812206268310547,-4.972425937652588
125,-5.990457534790039,-5.499212265014648,-5.349965572357178,-5.499212265014648,-6.856462001800537,-5.411928653717041
126,-7.007389545440674,-6.189936637878418,-5.291367053985596,-6.189936637878418,-6.976615905761719,-5.683593273162842
127,-6.931041717529297,-6.209992408752441,-5.208654403686523,-6.209992408752441,-6.781378269195557,-5.906313419342041
128,-6.722923278808594,-6.026824951171875,-4.82948112487793,-6.026824951171875,-6.890989303588867,-5.682668209075928
129,-5.950112819671631,-5.017546653747559,-4.539196491241455,-5.017546653747559,-6.241827011108398,-4.972425937652588
130,-6.435306549072266,-5.706796169281006,-5.426424026489258,-5.706796169281006,-8.175820350646973,-5.411929130554199
131,-8.164478302001953,-6.797506809234619,-5.857558727264404,-6.797506809234619,-7.348577976226807,-5.68359375
132,-8.15112590789795,-6.918208122253418,-6.272078990936279,-6.918208122253418,-8.009413719177246,-5.906313419342041
133,-7.923490524291992,-6.7723493576049805,-5.774444103240967,-6.7723493576049805,-7.692831516265869,-5.682668685913086
134,-7.151483058929443,-5.689723968505859,-4.82416296005249,-5.689723968505859,-6.34869384765625,-4.972425937652588
135,-7.63837194442749,-6.420091152191162,-6.038482189178467,-6.420091152191162,-8.383206367492676,-5.411929130554199
136,-6.171444416046143,-5.467366695404053,-5.640807151794434,-5.467366695404053,-6.101998805999756,-5.684885501861572
137,-6.020473003387451,-5.23760461807251,-5.399714946746826,-5.23760461807251,-5.579827785491943,-5.5226569175720215
138,-6.009120464324951,-5.102795124053955,-5.229154109954834,-5.102795124053955,-5.563992977142334,-5.430789947509766
139,-5.863053321838379,-4.996509075164795,-5.269825458526611,-4.996509075164795,-5.812206268310547,-5.3480987548828125
140,-6.112807273864746,-5.350691318511963,-5.66580867767334,-5.350691318511963,-6.856462001800537,-5.521615505218506
141,-6.71109676361084,-5.865304946899414,-5.714264869689941,-5.865304946899414,-6.976615905761719,-5.684885501861572
142,-6.679311275482178,-5.757999897003174,-5.666805744171143,-5.757999897003174,-6.781378269195557,-5.5226569175720215
143,-6.696591854095459,-5.681196689605713,-5.583859920501709,-5.681196689605713,-6.890989303588867,-5.430789947509766
144,-6.4990386962890625,-5.472753047943115,-5.352681636810303,-5.472753047943115,-6.241827011108398,-5.3480987548828125
145,-6.657696723937988,-5.739349365234375,-5.911971092224121,-5.739349365234375,-8.175820350646973,-5.521615505218506
146,-8.003454208374023,-6.428965091705322,-5.628363609313965,-6.428965091705322,-7.348577976226807,-5.684885501861572
147,-8.036985397338867,-6.563344478607178,-6.123648643493652,-6.563344478607178,-8.009413719177246,-5.5226569175720215
148,-7.949328899383545,-6.455538272857666,-5.939228534698486,-6.455538272857666,-7.692831516265869,-5.430789947509766
149,-7.780834674835205,-6.307566165924072,-5.09490442276001,-6.307566165924072,-6.34869384765625,-5.3480987548828125
150,-7.897585868835449,-6.419148921966553,-5.975428104400635,-6.419148921966553,-8.383206367492676,-5.521615505218506
151,-7.5681538581848145,-5.771478652954102,-5.668951034545898,-5.771478652954102,-6.101998805999756,-4.880770206451416
152,-7.403761863708496,-5.730265140533447,-5.164309024810791,-5.730265140533447,-5.579827785491943,-5.319167137145996
153,-7.343608379364014,-5.764682769775391,-5.256259918212891,-5.764682769775391,-5.563992977142334,-5.737064361572266
154,-6.986016273498535,-5.599316120147705,-5.570047378540039,-5.599316120147705,-5.812206268310547,-5.569679260253906
155,-7.687593460083008,-6.130764484405518,-5.606112480163574,-6.130764484405518,-6.856462001800537,-5.372489929199219
156,-7.874022483825684,-6.128822326660156,-6.203280448913574,-6.128822326660156,-6.976615905761719,-4.880770206451416
157,-8.028495788574219,-6.28161096572876,-6.2271857261657715,-6.28161096572876,-6.781378269195557,-5.319167137145996
158,-7.990861892700195,-6.356910705566406,-6.309798240661621,-6.356910705566406,-6.890989303588867,-5.737064361572266
159,-7.42983341217041,-5.943051815032959,-6.13430643081665,-5.943051815032959,-6.241827011108398,-5.569679260253906
160,-7.812687397003174,-6.485978603363037,-6.650528907775879,-6.485978603363037,-8.175820350646973,-5.372489929199219
161,-8.314847946166992,-7.558948993682861,-6.475637435913086,-7.558948993682861,-7.348577976226807,-4.880770206451416
162,-8.806845664978027,-7.961299896240234,-7.284558296203613,-7.961299896240234,-8.009413719177246,-5.319167137145996
163,-8.533065795898438,-8.239363670349121,-7.0273661613464355,-8.239363670349121,-7.692831516265869,-5.737064361572266
164,-7.623665809631348,-7.513370990753174,-5.810233116149902,-7.513370990753174,-6.34869384765625,-5.569679260253906
165,-8.285367965698242,-8.0192289352417,-6.635928630828857,-8.0192289352417,-8.383206367492676,-5.372489929199219
166,-7.600785732269287,-5.988871097564697,-6.010683059692383,-5.988871097564697,-6.101998805999756,-5.3725128173828125
167,-7.636950969696045,-6.216481685638428,-5.464484214782715,-6.216481685638428,-5.579827785491943,-5.916419506072998
168,-7.675622940063477,-6.266563415527344,-5.58510160446167,-6.266563415527344,-5.563992977142334,-6.203086853027344
169,-7.198017120361328,-5.873732089996338,-5.954658508300781,-5.873732089996338,-5.812206268310547,-5.885518550872803
170,-7.830953598022461,-6.751461029052734,-6.049958229064941,-6.751461029052734,-6.856462001800537,-6.087207794189453
171,-7.544084072113037,-6.3742995262146,-6.801661491394043,-6.3742995262146,-6.976615905761719,-5.3725128173828125
172,-7.892088413238525,-6.640498638153076,-6.588174819946289,-6.640498638153076,-6.781378269195557,-5.916419506072998
173,-8.002851486206055,-6.784239292144775,-6.728586196899414,-6.784239292144775,-6.890989303588867,-6.203086853027344
174,-7.431314468383789,-6.270894527435303,-6.618618011474609,-6.270894527435303,-6.241827011108398,-5.885518550872803
175,-7.74555778503418,-6.852606296539307,-7.30133581161499,-6.852606296539307,-8.175820350646973,-6.087207794189453
