idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.099732875823975,-5.916296005249023,-4.9830756187438965,-5.916296005249023,-6.250637531280518,-6.034395217895508
2,-6.992323398590088,-6.230518341064453,-4.891467094421387,-6.230518341064453,-6.0392303466796875,-6.033184051513672
3,-6.811408996582031,-5.966290473937988,-4.479508399963379,-5.966290473937988,-5.755834102630615,-6.376401901245117
4,-6.320764064788818,-5.262429237365723,-4.76053524017334,-5.262429237365723,-5.833448886871338,-5.681149959564209
5,-7.130516052246094,-5.967360019683838,-4.799643516540527,-5.967360019683838,-6.58317756652832,-5.627042770385742
6,-7.226929664611816,-6.32813835144043,-5.294946670532227,-6.32813835144043,-6.462743282318115,-6.034395217895508
7,-7.174134731292725,-6.644850254058838,-5.383175849914551,-6.644850254058838,-6.422044277191162,-6.033184051513672
8,-7.019114017486572,-6.44981575012207,-4.892000675201416,-6.44981575012207,-5.963681697845459,-6.376401901245117
9,-6.4246344566345215,-5.6439995765686035,-4.840604305267334,-5.6439995765686035,-5.841228485107422,-5.681149959564209
10,-7.206724643707275,-6.293578147888184,-5.062015056610107,-6.293578147888184,-6.939840793609619,-5.627042770385742
11,-7.586189270019531,-6.710927486419678,-5.72582483291626,-6.710927486419678,-6.946336269378662,-6.034395217895508
12,-7.624701023101807,-7.1142425537109375,-6.111507892608643,-7.1142425537109375,-7.0181121826171875,-6.033184051513672
13,-7.597918510437012,-7.170319080352783,-5.628190040588379,-7.170319080352783,-6.740423679351807,-6.376401901245117
14,-6.89532470703125,-6.027546405792236,-5.124965190887451,-6.027546405792236,-5.70812463760376,-5.681149959564209
15,-7.515631198883057,-6.719112396240234,-5.737589359283447,-6.719112396240234,-7.2902703285217285,-5.627042770385742
16,-8.349952697753906,-7.036316394805908,-6.283304691314697,-7.036316394805908,-6.250637531280518,-7.143603801727295
17,-8.496110916137695,-7.491308689117432,-6.246415138244629,-7.491308689117432,-6.0392303466796875,-6.686939239501953
18,-8.378053665161133,-7.111442565917969,-5.962563991546631,-7.111442565917969,-5.755834102630615,-7.363603591918945
19,-8.160572052001953,-6.789387226104736,-5.9599504470825195,-6.789387226104736,-5.833448886871338,-6.934852600097656
20,-8.710427284240723,-7.656769275665283,-6.1417999267578125,-7.656769275665283,-6.58317756652832,-6.889070987701416
21,-8.36624526977539,-7.46169900894165,-6.648438453674316,-7.46169900894165,-6.462743282318115,-7.143603801727295
22,-8.51967716217041,-8.007209777832031,-6.7647318840026855,-8.007209777832031,-6.422044277191162,-6.686939239501953
23,-8.39652156829834,-7.563485622406006,-6.2794413566589355,-7.563485622406006,-5.963681697845459,-7.363603591918945
24,-8.029627799987793,-7.112083435058594,-6.006846904754639,-7.112083435058594,-5.841228485107422,-6.934852600097656
25,-8.67359447479248,-8.143950462341309,-6.493188858032227,-8.143950462341309,-6.939840793609619,-6.889070987701416
26,-8.349453926086426,-7.769773006439209,-7.045496463775635,-7.769773006439209,-6.946336269378662,-7.143603801727295
27,-8.587329864501953,-8.431002616882324,-7.463719844818115,-8.431002616882324,-7.0181121826171875,-6.686939239501953
28,-8.497509002685547,-8.130305290222168,-7.092536926269531,-8.130305290222168,-6.740423679351807,-7.363603591918945
29,-8.070271492004395,-7.640448093414307,-6.231226921081543,-7.640448093414307,-5.70812463760376,-6.934852600097656
30,-8.491352081298828,-8.327523231506348,-7.233929634094238,-8.327523231506348,-7.2902703285217285,-6.889070987701416
31,-9.05823040008545,-8.29194450378418,-6.310654163360596,-8.29194450378418,-6.250637531280518,-7.225240230560303
32,-8.978078842163086,-8.098893165588379,-6.180903434753418,-8.098893165588379,-6.0392303466796875,-6.496636867523193
33,-8.849308013916016,-7.879006862640381,-5.780734062194824,-7.879006862640381,-5.755834102630615,-7.090281009674072
34,-8.534202575683594,-7.4603118896484375,-5.7395100593566895,-7.4603118896484375,-5.833448886871338,-6.6005778312683105
35,-9.915578842163086,-9.225125312805176,-6.031322479248047,-9.225125312805176,-6.58317756652832,-7.506855010986328
36,-8.909704208374023,-8.643401145935059,-6.542994499206543,-8.643401145935059,-6.462743282318115,-7.225240230560303
37,-8.9395112991333,-8.496664047241211,-6.589201927185059,-8.496664047241211,-6.422044277191162,-6.496636867523193
38,-8.808029174804688,-8.289791107177734,-6.055128574371338,-8.289791107177734,-5.963681697845459,-7.090281009674072
39,-8.317811965942383,-7.822144985198975,-5.786964416503906,-7.822144985198975,-5.841228485107422,-6.6005778312683105
40,-9.745972633361816,-9.56155776977539,-6.406199932098389,-9.56155776977539,-6.939840793609619,-7.506855010986328
41,-9.054191589355469,-8.859234809875488,-6.883970260620117,-8.859234809875488,-6.946336269378662,-7.225240230560303
42,-9.044218063354492,-8.792759895324707,-7.087635040283203,-8.792759895324707,-7.0181121826171875,-6.496636867523193
43,-9.113443374633789,-8.92470645904541,-6.695929527282715,-8.92470645904541,-6.740423679351807,-7.090281009674072
44,-8.457076072692871,-8.03113842010498,-5.906956672668457,-8.03113842010498,-5.70812463760376,-6.6005778312683105
45,-9.489518165588379,-9.749823570251465,-6.842041015625,-9.749823570251465,-7.2902703285217285,-7.506855010986328
46,-7.0038652420043945,-5.849870204925537,-5.097071647644043,-5.849870204925537,-6.250637531280518,-6.068990707397461
47,-6.643444061279297,-5.7201642990112305,-4.831348419189453,-5.7201642990112305,-6.0392303466796875,-5.739818572998047
48,-6.583762168884277,-5.4765424728393555,-4.4358038902282715,-5.4765424728393555,-5.755834102630615,-5.816279411315918
49,-6.432480812072754,-5.047635555267334,-4.576355934143066,-5.047635555267334,-5.833448886871338,-5.580272674560547
50,-7.2438530921936035,-6.177496910095215,-5.242035865783691,-6.177496910095215,-6.58317756652832,-6.072007179260254
51,-7.246115207672119,-6.184820175170898,-5.195429801940918,-6.184820175170898,-6.462743282318115,-6.068990707397461
52,-6.858079433441162,-6.030640602111816,-5.159819602966309,-6.030640602111816,-6.422044277191162,-5.739818572998047
53,-6.757023811340332,-5.805100440979004,-4.684165000915527,-5.805100440979004,-5.963681697845459,-5.816279411315918
54,-6.5040998458862305,-5.288010597229004,-4.576986312866211,-5.288010597229004,-5.841228485107422,-5.580272674560547
55,-7.412928581237793,-6.377843856811523,-5.356545448303223,-6.377843856811523,-6.939840793609619,-6.072007179260254
56,-6.667468070983887,-6.172758102416992,-5.621496677398682,-6.172758102416992,-6.946336269378662,-6.068990707397461
57,-6.404562473297119,-6.070104598999023,-5.802546977996826,-6.070104598999023,-7.0181121826171875,-5.739818572998047
58,-6.377861499786377,-5.966487884521484,-5.37609338760376,-5.966487884521484,-6.740423679351807,-5.816279411315918
