idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.502752304077148,-5.835196495056152,-4.104934215545654,-5.835196495056152,-5.01469087600708,-4.594865322113037
2,-5.297711372375488,-5.549380302429199,-4.2972307205200195,-5.549380302429199,-5.12692403793335,-4.752060413360596
3,-5.059990406036377,-5.497633934020996,-4.1958746910095215,-5.497633934020996,-5.054336071014404,-4.658161640167236
4,-4.726326942443848,-5.031749725341797,-3.875847339630127,-5.031749725341797,-4.7028398513793945,-3.818382740020752
5,-5.763700485229492,-6.147623062133789,-4.877298355102539,-6.147623062133789,-6.357946395874023,-5.106471061706543
6,-5.5029096603393555,-6.007910251617432,-4.311688423156738,-6.007910251617432,-5.357580184936523,-4.594865322113037
7,-5.46487283706665,-6.014537811279297,-4.571812629699707,-6.014537811279297,-5.83908224105835,-4.752060413360596
8,-5.173525333404541,-5.855973720550537,-4.381964683532715,-5.855973720550537,-5.43759298324585,-4.658161640167236
9,-4.672599792480469,-5.329102516174316,-3.7719054222106934,-5.329102516174316,-4.582723140716553,-3.818382740020752
10,-5.920599937438965,-6.409165382385254,-4.953024864196777,-6.409165382385254,-6.7863593101501465,-5.106471061706543
11,-5.839581489562988,-7.010478496551514,-4.444253444671631,-7.010478496551514,-6.05917501449585,-4.594865322113037
12,-5.816023826599121,-7.024348258972168,-4.954798698425293,-7.024348258972168,-6.7427802085876465,-4.752060413360596
13,-5.705562591552734,-7.155864715576172,-4.831475734710693,-7.155864715576172,-6.591920375823975,-4.658161640167236
14,-5.311371326446533,-6.634612083435059,-3.8328890800476074,-6.634612083435059,-5.301079273223877,-3.818382740020752
15,-6.0965752601623535,-7.14174222946167,-4.945834636688232,-7.14174222946167,-7.190248012542725,-5.106471061706543
16,-6.873349666595459,-7.45436429977417,-5.580695152282715,-7.45436429977417,-5.01469087600708,-6.080923557281494
17,-7.017883777618408,-7.667045593261719,-5.722193717956543,-7.667045593261719,-5.12692403793335,-6.919741153717041
18,-6.938197612762451,-7.7689127922058105,-5.817166328430176,-7.7689127922058105,-5.054336071014404,-6.698793888092041
19,-6.273179054260254,-6.235877990722656,-5.351171493530273,-6.235877990722656,-4.7028398513793945,-5.36533784866333
20,-7.634214401245117,-8.187569618225098,-6.36131477355957,-8.187569618225098,-6.357946395874023,-6.742401123046875
21,-6.921544075012207,-7.864991664886475,-5.685135364532471,-7.864991664886475,-5.357580184936523,-6.080923557281494
22,-7.187022686004639,-8.215553283691406,-6.175839900970459,-8.215553283691406,-5.83908224105835,-6.919741153717041
