idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.400765419006348,-6.539529800415039,-4.8460001945495605,-6.539529800415039,-5.732826232910156,-6.676148414611816
2,-7.718140602111816,-7.042076110839844,-4.628085136413574,-7.042076110839844,-5.82374906539917,-6.947320938110352
3,-7.546244144439697,-6.534262657165527,-4.2987751960754395,-6.534262657165527,-5.508878231048584,-6.760320663452148
4,-6.683106422424316,-5.861562728881836,-3.9676899909973145,-5.861562728881836,-4.975603103637695,-5.888054847717285
5,-7.4666876792907715,-6.874818325042725,-5.159962177276611,-6.874818325042725,-6.584599018096924,-6.812004089355469
6,-7.512972831726074,-6.769349098205566,-5.0496931076049805,-6.769349098205566,-6.414077281951904,-6.676148414611816
7,-7.828895568847656,-7.2559614181518555,-4.998991966247559,-7.2559614181518555,-6.822022914886475,-6.947320938110352
8,-7.682533264160156,-6.744139671325684,-4.520839691162109,-6.744139671325684,-6.346105098724365,-6.760320663452148
9,-6.853582859039307,-6.151880264282227,-3.972306728363037,-6.151880264282227,-5.196443557739258,-5.888054847717285
10,-7.756126403808594,-7.175721168518066,-5.478604316711426,-7.175721168518066,-7.376348972320557,-6.812004089355469
11,-7.6090192794799805,-7.592135429382324,-4.78915548324585,-7.592135429382324,-6.774467468261719,-6.676148414611816
12,-7.855284214019775,-8.01451301574707,-5.002313137054443,-8.01451301574707,-7.419136047363281,-6.947320938110352
13,-7.730298042297363,-7.578200340270996,-4.780647277832031,-7.578200340270996,-7.294155120849609,-6.760320663452148
14,-6.963294982910156,-7.049029350280762,-3.856055498123169,-7.049029350280762,-5.482652187347412,-5.888054847717285
15,-7.708014011383057,-7.828804969787598,-5.037088871002197,-7.828804969787598,-7.1374831199646,-6.812004089355469
16,-8.610420227050781,-7.732776165008545,-6.6257123947143555,-7.732776165008545,-5.732826232910156,-8.546452522277832
