idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.663241386413574,-6.04019021987915,-4.875245094299316,-6.04019021987915,-5.22383451461792,-6.728397369384766
2,-6.33419132232666,-5.932086944580078,-4.698042869567871,-5.932086944580078,-5.102618217468262,-6.840787887573242
3,-6.172862529754639,-5.667444229125977,-4.705300807952881,-5.667444229125977,-5.2871270179748535,-6.743551254272461
4,-5.696660995483398,-5.152449607849121,-4.371626377105713,-5.152449607849121,-4.970025539398193,-5.903857231140137
5,-6.956995964050293,-6.539911270141602,-4.958653926849365,-6.539911270141602,-5.827878475189209,-6.205327033996582
6,-7.1287946701049805,-6.995021820068359,-5.2753071784973145,-6.995021820068359,-6.0655837059021,-6.728397369384766
7,-7.000349521636963,-7.0446014404296875,-5.029823303222656,-7.0446014404296875,-5.9885735511779785,-6.840787887573242
8,-6.790793418884277,-6.694323539733887,-4.986713886260986,-6.694323539733887,-6.045019149780273,-6.743551254272461
9,-6.354592323303223,-6.177150726318359,-4.503208160400391,-6.177150726318359,-5.367443084716797,-5.903857231140137
10,-7.346301078796387,-7.252684593200684,-5.307440280914307,-7.252684593200684,-6.75018835067749,-6.205327033996582
11,-7.404079437255859,-7.861362457275391,-5.709287166595459,-7.861362457275391,-7.2408270835876465,-6.728397369384766
12,-7.396907806396484,-7.967121601104736,-5.929086208343506,-7.967121601104736,-7.591115474700928,-6.840787887573242
13,-7.272106170654297,-7.6968536376953125,-5.882781982421875,-7.6968536376953125,-7.409568786621094,-6.743551254272461
14,-6.604917049407959,-6.935077667236328,-4.959878444671631,-6.935077667236328,-5.916112422943115,-5.903857231140137
15,-7.550753116607666,-7.967958450317383,-5.622956275939941,-7.967958450317383,-7.578917980194092,-6.205327033996582
16,-7.753876686096191,-6.351554870605469,-6.292822360992432,-6.351554870605469,-5.22383451461792,-7.640403747558594
17,-7.5499491691589355,-6.325937747955322,-6.079750061035156,-6.325937747955322,-5.102618217468262,-8.5679292678833
18,-7.710821151733398,-6.248821258544922,-6.020406723022461,-6.248821258544922,-5.2871270179748535,-8.47701644897461
19,-7.003567695617676,-5.382211208343506,-5.823001861572266,-5.382211208343506,-4.970025539398193,-7.293752193450928
20,-8.331466674804688,-6.946746349334717,-6.26005744934082,-6.946746349334717,-5.827878475189209,-7.2964935302734375
21,-7.865748405456543,-7.433000087738037,-6.727240562438965,-7.433000087738037,-6.0655837059021,-7.640403747558594
22,-7.923946380615234,-7.631206512451172,-6.484901428222656,-7.631206512451172,-5.9885735511779785,-8.5679292678833
23,-7.978689193725586,-7.568239688873291,-6.3558759689331055,-7.568239688873291,-6.045019149780273,-8.47701644897461
24,-7.218514919281006,-6.607463836669922,-5.706401824951172,-6.607463836669922,-5.367443084716797,-7.293752193450928
25,-8.40460205078125,-7.941179275512695,-6.564239501953125,-7.941179275512695,-6.75018835067749,-7.2964935302734375
26,-8.592666625976562,-8.463801383972168,-7.368131637573242,-8.463801383972168,-7.2408270835876465,-7.640403747558594
27,-8.858196258544922,-9.036298751831055,-7.761836051940918,-9.036298751831055,-7.591115474700928,-8.5679292678833
28,-8.898937225341797,-9.063813209533691,-7.483076095581055,-9.063813209533691,-7.409568786621094,-8.47701644897461
29,-7.935090065002441,-7.87238073348999,-6.0873870849609375,-7.87238073348999,-5.916112422943115,-7.293752193450928
30,-8.755134582519531,-8.627373695373535,-7.1598992347717285,-8.627373695373535,-7.578917980194092,-7.2964935302734375
31,-7.940229415893555,-7.645727157592773,-5.9074296951293945,-7.645727157592773,-5.22383451461792,-8.052105903625488
32,-7.623105049133301,-7.53972053527832,-5.736167907714844,-7.53972053527832,-5.102618217468262,-8.14631175994873
33,-7.725622177124023,-7.395687580108643,-5.731924057006836,-7.395687580108643,-5.2871270179748535,-8.192742347717285
34,-6.658045768737793,-6.044300079345703,-5.471113681793213,-6.044300079345703,-4.970025539398193,-7.085037708282471
35,-8.347978591918945,-8.066650390625,-6.237804412841797,-8.066650390625,-5.827878475189209,-7.369058132171631
36,-8.524064064025879,-9.228888511657715,-6.231393814086914,-9.228888511657715,-6.0655837059021,-8.052105903625488
37,-8.449006080627441,-9.24575138092041,-6.11528205871582,-9.24575138092041,-5.9885735511779785,-8.14631175994873
38,-8.324357032775879,-8.952476501464844,-6.010702133178711,-8.952476501464844,-6.045019149780273,-8.192742347717285
39,-7.246708869934082,-7.671603679656982,-5.443075180053711,-7.671603679656982,-5.367443084716797,-7.085037708282471
40,-8.83682918548584,-9.646515846252441,-6.5234527587890625,-9.646515846252441,-6.75018835067749,-7.369058132171631
41,-9.371065139770508,-9.713193893432617,-7.040256500244141,-9.713193893432617,-7.2408270835876465,-8.052105903625488
42,-9.306466102600098,-9.951244354248047,-7.331844329833984,-9.951244354248047,-7.591115474700928,-8.14631175994873
43,-9.421662330627441,-9.881891250610352,-7.096066951751709,-9.881891250610352,-7.409568786621094,-8.192742347717285
44,-8.115236282348633,-8.237401962280273,-5.884034633636475,-8.237401962280273,-5.916112422943115,-7.085037708282471
45,-9.620500564575195,-10.131631851196289,-6.992873191833496,-10.131631851196289,-7.578917980194092,-7.369058132171631
46,-6.694631099700928,-5.5591535568237305,-5.0982537269592285,-5.5591535568237305,-5.22383451461792,-6.716142177581787
47,-6.04966402053833,-5.126014232635498,-4.953647613525391,-5.126014232635498,-5.102618217468262,-6.396827697753906
48,-6.24910306930542,-5.083849906921387,-5.014401912689209,-5.083849906921387,-5.2871270179748535,-6.606166839599609
49,-5.843098163604736,-4.604916572570801,-4.5556440353393555,-4.604916572570801,-4.970025539398193,-6.052705764770508
50,-7.29607629776001,-6.397402286529541,-5.665348052978516,-6.397402286529541,-5.827878475189209,-6.934998512268066
51,-7.1283159255981445,-6.197059631347656,-5.123368263244629,-6.197059631347656,-6.0655837059021,-6.716142177581787
52,-6.6155104637146,-5.899897575378418,-5.089478492736816,-5.899897575378418,-5.9885735511779785,-6.396827697753906
53,-6.833548069000244,-5.816210746765137,-5.107303619384766,-5.816210746765137,-6.045019149780273,-6.606166839599609
54,-6.400378227233887,-5.372309684753418,-4.499344825744629,-5.372309684753418,-5.367443084716797,-6.052705764770508
55,-7.63055419921875,-7.092453479766846,-5.659341335296631,-7.092453479766846,-6.75018835067749,-6.934998512268066
56,-7.5330305099487305,-5.9532060623168945,-6.008235931396484,-5.9532060623168945,-7.2408270835876465,-6.716142177581787
57,-7.116696357727051,-5.90876579284668,-6.3035407066345215,-5.90876579284668,-7.591115474700928,-6.396827697753906
58,-7.1745147705078125,-5.886947154998779,-6.3259124755859375,-5.886947154998779,-7.409568786621094,-6.606166839599609
59,-6.776147365570068,-5.385021209716797,-5.4814653396606445,-5.385021209716797,-5.916112422943115,-6.052705764770508
60,-7.808006286621094,-6.60627555847168,-6.2849836349487305,-6.60627555847168,-7.578917980194092,-6.934998512268066
61,-8.404048919677734,-8.288506507873535,-6.608640193939209,-8.288506507873535,-5.22383451461792,-8.55494213104248
62,-7.714604377746582,-7.8421950340271,-6.34690523147583,-7.8421950340271,-5.102618217468262,-8.716447830200195
63,-8.025436401367188,-8.075432777404785,-6.26257848739624,-8.075432777404785,-5.2871270179748535,-8.886724472045898
64,-7.44602632522583,-7.298551082611084,-6.007989406585693,-7.298551082611084,-4.970025539398193,-8.360459327697754
65,-8.615171432495117,-8.46981143951416,-6.888564109802246,-8.46981143951416,-5.827878475189209,-8.33055591583252
66,-8.943096160888672,-9.333538055419922,-6.960226535797119,-9.333538055419922,-6.0655837059021,-8.55494213104248
67,-8.472480773925781,-8.938183784484863,-6.839727878570557,-8.938183784484863,-5.9885735511779785,-8.716447830200195
68,-8.759578704833984,-9.043588638305664,-6.776435375213623,-9.043588638305664,-6.045019149780273,-8.886724472045898
69,-8.013091087341309,-8.102219581604004,-6.159440040588379,-8.102219581604004,-5.367443084716797,-8.360459327697754
70,-8.817337989807129,-8.937966346740723,-7.232317924499512,-8.937966346740723,-6.75018835067749,-8.33055591583252
71,-8.814111709594727,-9.676841735839844,-7.845444679260254,-9.676841735839844,-7.2408270835876465,-8.55494213104248
72,-8.419184684753418,-9.555468559265137,-8.118429183959961,-9.555468559265137,-7.591115474700928,-8.716447830200195
73,-8.70048713684082,-9.620223999023438,-7.861852169036865,-9.620223999023438,-7.409568786621094,-8.886724472045898
74,-7.776607513427734,-8.670746803283691,-6.671185493469238,-8.670746803283691,-5.916112422943115,-8.360459327697754
75,-8.355657577514648,-9.23837947845459,-7.8963165283203125,-9.23837947845459,-7.578917980194092,-8.33055591583252
76,-7.237643241882324,-6.528208255767822,-5.3226165771484375,-6.528208255767822,-5.22383451461792,-7.156359672546387
77,-6.808174133300781,-6.014861106872559,-5.201329231262207,-6.014861106872559,-5.102618217468262,-6.959410190582275
78,-6.601348876953125,-5.819055557250977,-5.282674312591553,-5.819055557250977,-5.2871270179748535,-6.544254779815674
79,-6.331527233123779,-5.273321151733398,-5.0184454917907715,-5.273321151733398,-4.970025539398193,-6.06047248840332
80,-7.074488639831543,-6.679051399230957,-5.752612113952637,-6.679051399230957,-5.827878475189209,-6.762622833251953
81,-7.8214006423950195,-7.166366100311279,-5.5742902755737305,-7.166366100311279,-6.0655837059021,-7.156359672546387
82,-7.46721887588501,-6.638547897338867,-5.4472432136535645,-6.638547897338867,-5.9885735511779785,-6.959410190582275
83,-7.2523193359375,-6.394896507263184,-5.448433876037598,-6.394896507263184,-6.045019149780273,-6.544254779815674
84,-6.966114044189453,-5.785279273986816,-4.772209644317627,-5.785279273986816,-5.367443084716797,-6.06047248840332
85,-7.665968418121338,-7.122646331787109,-5.871894359588623,-7.122646331787109,-6.75018835067749,-6.762622833251953
86,-8.218729972839355,-8.01782512664795,-6.117290019989014,-8.01782512664795,-7.2408270835876465,-7.156359672546387
87,-7.921954154968262,-7.552302360534668,-6.4094696044921875,-7.552302360534668,-7.591115474700928,-6.959410190582275
88,-7.6842756271362305,-7.380170822143555,-6.4335784912109375,-7.380170822143555,-7.409568786621094,-6.544254779815674
89,-7.225450038909912,-6.561537265777588,-5.267714977264404,-6.561537265777588,-5.916112422943115,-6.06047248840332
90,-7.899685859680176,-7.747815132141113,-6.331858158111572,-7.747815132141113,-7.578917980194092,-6.762622833251953
91,-6.91728401184082,-7.262884616851807,-6.481880187988281,-7.262884616851807,-5.22383451461792,-8.197304725646973
92,-6.814210414886475,-7.184902191162109,-6.285811424255371,-7.184902191162109,-5.102618217468262,-8.191598892211914
93,-7.135900974273682,-7.394486904144287,-6.293318271636963,-7.394486904144287,-5.2871270179748535,-8.719170570373535
94,-6.850656509399414,-6.911360263824463,-6.32014274597168,-6.911360263824463,-4.970025539398193,-8.043679237365723
95,-7.17928409576416,-7.477235317230225,-6.533109188079834,-7.477235317230225,-5.827878475189209,-7.428930282592773
96,-7.208970546722412,-8.572875022888184,-6.719621658325195,-8.572875022888184,-6.0655837059021,-8.197304725646973
97,-7.427630424499512,-8.706377029418945,-6.605411529541016,-8.706377029418945,-5.9885735511779785,-8.191598892211914
98,-7.591734886169434,-8.727336883544922,-6.54620361328125,-8.727336883544922,-6.045019149780273,-8.719170570373535
99,-7.258913516998291,-8.165239334106445,-6.051085472106934,-8.165239334106445,-5.367443084716797,-8.043679237365723
100,-7.460446357727051,-8.736628532409668,-6.644342422485352,-8.736628532409668,-6.75018835067749,-7.428930282592773
101,-7.81230354309082,-8.884753227233887,-7.776845932006836,-8.884753227233887,-7.2408270835876465,-8.197304725646973
102,-7.883172988891602,-9.160368919372559,-8.167338371276855,-9.160368919372559,-7.591115474700928,-8.191598892211914
103,-8.263580322265625,-9.368134498596191,-7.907441139221191,-9.368134498596191,-7.409568786621094,-8.719170570373535
104,-7.75169563293457,-8.60872745513916,-6.6644463539123535,-8.60872745513916,-5.916112422943115,-8.043679237365723
105,-7.832391262054443,-8.898343086242676,-7.519661903381348,-8.898343086242676,-7.578917980194092,-7.428930282592773
106,-8.166988372802734,-6.720226287841797,-5.709689140319824,-6.720226287841797,-5.22383451461792,-7.239105701446533
107,-7.675748825073242,-6.326669216156006,-5.557513236999512,-6.326669216156006,-5.102618217468262,-7.3912529945373535
108,-7.865796089172363,-6.457279205322266,-5.5574140548706055,-6.457279205322266,-5.2871270179748535,-7.4997687339782715
109,-7.2064409255981445,-5.386722564697266,-5.4818501472473145,-5.386722564697266,-4.970025539398193,-6.370194911956787
110,-8.555973052978516,-7.362070083618164,-5.920609474182129,-7.362070083618164,-5.827878475189209,-7.018829345703125
111,-8.686854362487793,-7.664403915405273,-6.074294090270996,-7.664403915405273,-6.0655837059021,-7.239105701446533
112,-8.322443008422852,-7.386694431304932,-5.940503120422363,-7.386694431304932,-5.9885735511779785,-7.3912529945373535
113,-8.41845703125,-7.52520751953125,-5.90887451171875,-7.52520751953125,-6.045019149780273,-7.4997687339782715
114,-7.584545135498047,-6.2973785400390625,-5.3654985427856445,-6.2973785400390625,-5.367443084716797,-6.370194911956787
115,-8.901540756225586,-8.050740242004395,-6.281943321228027,-8.050740242004395,-6.75018835067749,-7.018829345703125
116,-9.02875804901123,-8.484957695007324,-7.123703956604004,-8.484957695007324,-7.2408270835876465,-7.239105701446533
117,-8.774742126464844,-8.38930892944336,-7.531142711639404,-8.38930892944336,-7.591115474700928,-7.3912529945373535
118,-8.927576065063477,-8.562592506408691,-7.26983642578125,-8.562592506408691,-7.409568786621094,-7.4997687339782715
119,-7.807257175445557,-7.2122626304626465,-5.853543281555176,-7.2122626304626465,-5.916112422943115,-6.370194911956787
120,-9.213501930236816,-8.83788776397705,-7.1181182861328125,-8.83788776397705,-7.578917980194092,-7.018829345703125
121,-5.222433567047119,-4.4967193603515625,-4.796121120452881,-4.4967193603515625,-5.22383451461792,-5.801986217498779
122,-5.3751959800720215,-4.657521724700928,-4.822093963623047,-4.657521724700928,-5.102618217468262,-6.10642147064209
123,-5.6482110023498535,-4.849112510681152,-4.732560634613037,-4.849112510681152,-5.2871270179748535,-6.432974338531494
124,-4.8678364753723145,-4.009829521179199,-4.635667324066162,-4.009829521179199,-4.970025539398193,-5.445700645446777
125,-5.1267876625061035,-4.600616455078125,-5.048464298248291,-4.600616455078125,-5.827878475189209,-5.694285869598389
126,-5.620262145996094,-5.174780368804932,-4.873433589935303,-5.174780368804932,-6.0655837059021,-5.801986217498779
127,-5.814436435699463,-5.345032215118408,-4.922627925872803,-5.345032215118408,-5.9885735511779785,-6.10642147064209
128,-6.056903839111328,-5.520186424255371,-4.75548791885376,-5.520186424255371,-6.045019149780273,-6.432974338531494
129,-5.270877838134766,-4.678298473358154,-4.390250205993652,-4.678298473358154,-5.367443084716797,-5.4457011222839355
130,-5.553947925567627,-5.245120048522949,-5.1731133460998535,-5.245120048522949,-6.75018835067749,-5.694285869598389
131,-6.32114839553833,-5.80471134185791,-5.663472652435303,-5.80471134185791,-7.2408270835876465,-5.8019866943359375
132,-6.5387797355651855,-5.996039390563965,-5.865416049957275,-5.996039390563965,-7.591115474700928,-6.106421947479248
133,-6.725826740264893,-6.214658260345459,-5.7218170166015625,-6.214658260345459,-7.409568786621094,-6.432974338531494
134,-5.943288803100586,-5.326214790344238,-5.010357856750488,-5.326214790344238,-5.916112422943115,-5.4457011222839355
135,-6.16322660446167,-5.554384231567383,-5.698827266693115,-5.554384231567383,-7.578917980194092,-5.694285869598389
136,-5.357504844665527,-4.914896488189697,-4.320889949798584,-4.914896488189697,-5.22383451461792,-4.3246684074401855
137,-5.246951580047607,-4.928189277648926,-4.179343223571777,-4.928189277648926,-5.102618217468262,-4.530310153961182
138,-5.2127814292907715,-4.559708118438721,-4.162899494171143,-4.559708118438721,-5.2871270179748535,-4.397617816925049
139,-5.0041680335998535,-4.386296272277832,-4.056391716003418,-4.386296272277832,-4.970025539398193,-4.222629070281982
140,-5.287177085876465,-5.144745349884033,-4.50250244140625,-5.144745349884033,-5.827878475189209,-3.912982225418091
141,-5.367825508117676,-5.092390060424805,-4.31425142288208,-5.092390060424805,-6.0655837059021,-4.3246684074401855
142,-5.314333915710449,-5.19639253616333,-4.251532554626465,-5.19639253616333,-5.9885735511779785,-4.530310153961182
143,-5.25006103515625,-4.731420993804932,-4.184635639190674,-4.731420993804932,-6.045019149780273,-4.397617816925049
144,-5.0099616050720215,-4.5984110832214355,-3.7782132625579834,-4.5984110832214355,-5.367443084716797,-4.222629070281982
145,-5.2631988525390625,-5.237605571746826,-4.394731044769287,-5.237605571746826,-6.75018835067749,-3.912982225418091
146,-5.759413719177246,-4.862539768218994,-4.539340496063232,-4.862539768218994,-7.2408270835876465,-4.3246684074401855
147,-5.742430210113525,-5.05792236328125,-4.783408164978027,-5.05792236328125,-7.591115474700928,-4.530310153961182
148,-5.663664817810059,-4.70176887512207,-4.736002445220947,-4.70176887512207,-7.409568786621094,-4.397617816925049
149,-5.391129493713379,-4.310546875,-4.032795429229736,-4.310546875,-5.916112422943115,-4.222629070281982
150,-5.578225135803223,-4.828572750091553,-4.597864627838135,-4.828572750091553,-7.578917980194092,-3.912982225418091
151,-6.805852890014648,-5.301592826843262,-5.680634498596191,-5.301592826843262,-5.22383451461792,-7.186546325683594
