idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.973292350769043,-6.412228584289551,-5.069082736968994,-6.412228584289551,-5.683080673217773,-6.599855422973633
2,-6.475404262542725,-6.0925750732421875,-4.896910667419434,-6.0925750732421875,-5.358684539794922,-6.384740829467773
3,-6.600186347961426,-6.00771951675415,-4.768763065338135,-6.00771951675415,-5.256194591522217,-6.337385654449463
4,-6.491781711578369,-5.632452964782715,-4.623171329498291,-5.632452964782715,-5.104371547698975,-5.964747428894043
5,-6.919661045074463,-6.696103096008301,-5.0922393798828125,-6.696103096008301,-6.390199184417725,-6.384189605712891
6,-7.0444769859313965,-6.922463417053223,-5.642167568206787,-6.922463417053223,-6.738170623779297,-6.599855422973633
7,-6.711878776550293,-6.772798538208008,-5.504580020904541,-6.772798538208008,-6.789117813110352,-6.384740829467773
8,-6.675543785095215,-6.552264213562012,-5.207013130187988,-6.552264213562012,-6.3855462074279785,-6.337385654449463
9,-6.4900641441345215,-6.203238487243652,-4.900423049926758,-6.203238487243652,-5.585052490234375,-5.964747428894043
10,-6.9707770347595215,-7.262513160705566,-5.673111915588379,-7.262513160705566,-7.473626613616943,-6.384189605712891
11,-7.593264579772949,-8.190964698791504,-6.306856632232666,-8.190964698791504,-7.1307549476623535,-6.599855422973633
12,-7.463152885437012,-8.46056842803955,-6.375082969665527,-8.46056842803955,-7.961968898773193,-6.384740829467773
13,-7.342019557952881,-8.375615119934082,-6.15789794921875,-8.375615119934082,-7.6634979248046875,-6.337385654449463
14,-7.157548427581787,-7.744612693786621,-5.397547245025635,-7.744612693786621,-6.334083557128906,-5.964747428894043
15,-7.433287143707275,-8.482711791992188,-6.186898231506348,-8.482711791992188,-7.663580417633057,-6.384189605712891
16,-7.554507732391357,-7.096246242523193,-7.246572017669678,-7.096246242523193,-5.683080673217773,-8.197108268737793
17,-7.754848480224609,-7.490560054779053,-7.141756057739258,-7.490560054779053,-5.358684539794922,-8.599915504455566
18,-7.685649871826172,-7.428615570068359,-7.096816062927246,-7.428615570068359,-5.256194591522217,-8.6528959274292
19,-7.155373573303223,-7.030699253082275,-6.909518241882324,-7.030699253082275,-5.104371547698975,-8.222489356994629
20,-8.113319396972656,-8.103052139282227,-7.224434852600098,-8.103052139282227,-6.390199184417725,-7.934091567993164
21,-7.379557132720947,-7.390305042266846,-7.838705062866211,-7.390305042266846,-6.738170623779297,-8.197108268737793
22,-7.83839225769043,-8.106535911560059,-7.956192970275879,-8.106535911560059,-6.789117813110352,-8.599915504455566
