idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.824984550476074,-6.812611103057861,-5.141375541687012,-6.812611103057861,-5.803521633148193,-5.780612945556641
2,-6.4671311378479,-6.3669867515563965,-4.971540927886963,-6.3669867515563965,-5.785755157470703,-5.644120693206787
3,-6.598658561706543,-6.499452590942383,-4.921903133392334,-6.499452590942383,-5.630340576171875,-5.790890693664551
4,-6.2697296142578125,-5.774620532989502,-4.731644630432129,-5.774620532989502,-5.153146266937256,-5.297515392303467
5,-6.956273078918457,-7.175288200378418,-5.36818790435791,-7.175288200378418,-6.509792327880859,-5.800684928894043
6,-7.216837406158447,-6.856000900268555,-5.668674945831299,-6.856000900268555,-6.327051639556885,-5.780612945556641
7,-6.898772239685059,-6.530884742736816,-5.445185661315918,-6.530884742736816,-6.626242160797119,-5.644120693206787
8,-7.037177085876465,-6.658947944641113,-5.3791823387146,-6.658947944641113,-6.438700199127197,-5.790890693664551
9,-6.619391441345215,-5.798655986785889,-4.934054374694824,-5.798655986785889,-5.6315598487854,-5.297515392303467
10,-7.494412422180176,-7.305419921875,-5.740124225616455,-7.305419921875,-7.021762847900391,-5.800684928894043
11,-7.783410549163818,-6.85921573638916,-5.989216327667236,-6.85921573638916,-6.776803493499756,-5.780612945556641
12,-7.5343337059021,-6.782166481018066,-6.259282112121582,-6.782166481018066,-7.2647857666015625,-5.644120693206787
13,-7.609488010406494,-6.866159439086914,-6.081921577453613,-6.866159439086914,-6.7440056800842285,-5.790890693664551
14,-7.145510673522949,-6.03240442276001,-5.307747840881348,-6.03240442276001,-5.495249271392822,-5.297515392303467
15,-7.943209171295166,-7.4043684005737305,-6.162904262542725,-7.4043684005737305,-6.995952606201172,-5.800684928894043
16,-8.49983024597168,-8.37973403930664,-6.728506088256836,-8.37973403930664,-5.803521633148193,-7.280887603759766
17,-8.393779754638672,-8.305232048034668,-6.39602518081665,-8.305232048034668,-5.785755157470703,-7.390527248382568
18,-8.601115226745605,-8.66268253326416,-6.4923200607299805,-8.66268253326416,-5.630340576171875,-7.683839321136475
19,-7.8527069091796875,-7.4584527015686035,-6.1492695808410645,-7.4584527015686035,-5.153146266937256,-6.453439712524414
20,-8.658475875854492,-8.413482666015625,-6.737176895141602,-8.413482666015625,-6.509792327880859,-7.464540958404541
21,-9.216962814331055,-8.843073844909668,-7.191860198974609,-8.843073844909668,-6.327051639556885,-7.280887603759766
22,-9.124168395996094,-8.764172554016113,-7.115626335144043,-8.764172554016113,-6.626242160797119,-7.390527248382568
23,-9.302231788635254,-9.197457313537598,-7.14029598236084,-9.197457313537598,-6.438700199127197,-7.683839321136475
24,-8.473161697387695,-7.779121398925781,-6.394230842590332,-7.779121398925781,-5.6315598487854,-6.453439712524414
25,-9.377646446228027,-9.012344360351562,-7.18422794342041,-9.012344360351562,-7.021762847900391,-7.464540958404541
26,-9.438225746154785,-9.302108764648438,-7.745955467224121,-9.302108764648438,-6.776803493499756,-7.280887603759766
27,-9.376482009887695,-9.43973159790039,-8.085212707519531,-9.43973159790039,-7.2647857666015625,-7.390527248382568
28,-9.632390975952148,-9.922760009765625,-7.88267707824707,-9.922760009765625,-6.7440056800842285,-7.683839321136475
29,-8.712646484375,-8.522013664245605,-6.701852798461914,-8.522013664245605,-5.495249271392822,-6.453439712524414
30,-9.628459930419922,-9.7830228805542,-7.75225830078125,-9.7830228805542,-6.995952606201172,-7.464540958404541
31,-8.322517395019531,-8.173419952392578,-6.435421943664551,-8.173419952392578,-5.803521633148193,-7.266692638397217
32,-7.994935035705566,-8.175230979919434,-5.943431854248047,-8.175230979919434,-5.785755157470703,-7.022367000579834
33,-8.084205627441406,-8.206379890441895,-5.875090599060059,-8.206379890441895,-5.630340576171875,-7.15754508972168
34,-7.121158599853516,-6.984559535980225,-5.331050395965576,-6.984559535980225,-5.153146266937256,-6.134636402130127
35,-8.321081161499023,-8.684956550598145,-6.505732536315918,-8.684956550598145,-6.509792327880859,-7.414465427398682
36,-8.877094268798828,-8.374224662780762,-7.060212135314941,-8.374224662780762,-6.327051639556885,-7.266692638397217
37,-8.447478294372559,-8.300472259521484,-6.586092472076416,-8.300472259521484,-6.626242160797119,-7.022367000579834
38,-8.605934143066406,-8.454974174499512,-6.514114856719971,-8.454974174499512,-6.438700199127197,-7.15754508972168
39,-7.6034040451049805,-7.118679046630859,-5.703839302062988,-7.118679046630859,-5.6315598487854,-6.134636402130127
40,-8.939188957214355,-8.9079008102417,-7.210372447967529,-8.9079008102417,-7.021762847900391,-7.414465427398682
41,-9.201498031616211,-9.025466918945312,-7.825727939605713,-9.025466918945312,-6.776803493499756,-7.266692638397217
42,-8.97510051727295,-9.170037269592285,-7.837226390838623,-9.170037269592285,-7.2647857666015625,-7.022367000579834
43,-9.105175018310547,-9.312270164489746,-7.672553062438965,-9.312270164489746,-6.7440056800842285,-7.15754508972168
44,-8.054283142089844,-8.244243621826172,-6.486484050750732,-8.244243621826172,-5.495249271392822,-6.134636402130127
45,-9.21403694152832,-9.422396659851074,-7.9419264793396,-9.422396659851074,-6.995952606201172,-7.414465427398682
46,-7.042336940765381,-6.563179969787598,-5.451857089996338,-6.563179969787598,-5.803521633148193,-6.493184566497803
47,-6.496482849121094,-5.915583610534668,-4.8745036125183105,-5.915583610534668,-5.785755157470703,-5.851233005523682
48,-6.47406005859375,-5.815509796142578,-4.914405822753906,-5.815509796142578,-5.630340576171875,-5.830802917480469
49,-6.185039043426514,-5.270174980163574,-4.616774559020996,-5.270174980163574,-5.153146266937256,-5.494137287139893
50,-7.161378383636475,-6.954814910888672,-5.744272708892822,-6.954814910888672,-6.509792327880859,-6.516615867614746
51,-7.557137489318848,-6.871842861175537,-5.6734771728515625,-6.871842861175537,-6.327051639556885,-6.493184566497803
52,-7.006546974182129,-6.2555437088012695,-5.3354573249816895,-6.2555437088012695,-6.626242160797119,-5.851233005523682
53,-7.023667335510254,-6.189996719360352,-5.35381555557251,-6.189996719360352,-6.438700199127197,-5.830802917480469
54,-6.640857696533203,-5.513089179992676,-4.804657936096191,-5.513089179992676,-5.6315598487854,-5.494137287139893
55,-7.694146156311035,-7.3106489181518555,-6.1855149269104,-7.3106489181518555,-7.021762847900391,-6.516615867614746
56,-7.324160575866699,-7.240482330322266,-6.602593898773193,-7.240482330322266,-6.776803493499756,-6.493184566497803
57,-6.900225639343262,-6.910321235656738,-6.631446838378906,-6.910321235656738,-7.2647857666015625,-5.851233005523682
58,-6.794011116027832,-6.898303031921387,-6.65164041519165,-6.898303031921387,-6.7440056800842285,-5.830802917480469
59,-6.485926628112793,-6.228107452392578,-5.565634250640869,-6.228107452392578,-5.495249271392822,-5.494137287139893
60,-7.49249267578125,-7.964107513427734,-7.181478023529053,-7.964107513427734,-6.995952606201172,-6.516615867614746
61,-8.250495910644531,-9.424469947814941,-7.183605194091797,-9.424469947814941,-5.803521633148193,-8.502433776855469
62,-8.182504653930664,-9.553065299987793,-6.872100830078125,-9.553065299987793,-5.785755157470703,-8.10828685760498
63,-8.037806510925293,-9.525622367858887,-6.734960556030273,-9.525622367858887,-5.630340576171875,-8.566637992858887
64,-7.721583366394043,-8.574088096618652,-6.396645545959473,-8.574088096618652,-5.153146266937256,-7.932042598724365
65,-8.445612907409668,-10.107810974121094,-7.27432107925415,-10.107810974121094,-6.509792327880859,-8.692170143127441
66,-9.293079376220703,-10.13742446899414,-7.766000747680664,-10.13742446899414,-6.327051639556885,-8.502433776855469
67,-9.040412902832031,-10.080013275146484,-7.616008758544922,-10.080013275146484,-6.626242160797119,-8.10828685760498
68,-8.92568588256836,-9.973918914794922,-7.4762163162231445,-9.973918914794922,-6.438700199127197,-8.566637992858887
69,-8.426847457885742,-8.837653160095215,-6.767182350158691,-8.837653160095215,-5.6315598487854,-7.932042598724365
70,-9.377241134643555,-10.77312183380127,-7.947195529937744,-10.77312183380127,-7.021762847900391,-8.692170143127441
71,-9.55935287475586,-10.89620304107666,-7.7332258224487305,-10.89620304107666,-6.776803493499756,-8.502433776855469
72,-9.20139217376709,-11.000895500183105,-8.05949592590332,-11.000895500183105,-7.2647857666015625,-8.10828685760498
