idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.082589149475098,-6.8719377517700195,-4.751043796539307,-6.8719377517700195,-5.726464748382568,-6.206271171569824
2,-7.0892534255981445,-6.819635391235352,-4.673435211181641,-6.819635391235352,-5.1662278175354,-6.282078742980957
3,-6.513815879821777,-6.1580610275268555,-4.4874372482299805,-6.1580610275268555,-5.013437271118164,-5.733545303344727
4,-6.105401515960693,-5.697690963745117,-4.358172416687012,-5.697690963745117,-4.8745198249816895,-5.653565406799316
5,-7.132988929748535,-6.57520866394043,-5.187283515930176,-6.57520866394043,-6.231359958648682,-6.288754463195801
6,-7.2817888259887695,-6.917468070983887,-4.926609992980957,-6.917468070983887,-6.123008728027344,-6.206271171569824
7,-7.2873053550720215,-6.894110679626465,-5.166159629821777,-6.894110679626465,-5.980396270751953,-6.282078742980957
8,-6.706450462341309,-6.1897358894348145,-4.969546318054199,-6.1897358894348145,-5.758905410766602,-5.733545303344727
9,-6.257719993591309,-5.5720109939575195,-4.5661702156066895,-5.5720109939575195,-5.165703296661377,-5.653565406799316
10,-7.381433963775635,-6.583345413208008,-5.359000205993652,-6.583345413208008,-6.54271125793457,-6.288754463195801
11,-8.13595199584961,-8.214969635009766,-5.4763503074646,-8.214969635009766,-7.617751598358154,-6.206271171569824
12,-8.226545333862305,-8.304006576538086,-5.764988899230957,-8.304006576538086,-7.939342021942139,-6.282078742980957
13,-7.781777858734131,-7.70939826965332,-5.649411201477051,-7.70939826965332,-7.693698406219482,-5.733545303344727
14,-7.3002753257751465,-6.985298156738281,-4.658109664916992,-6.985298156738281,-6.0169358253479,-5.653565406799316
15,-7.959983825683594,-7.616899013519287,-5.495530128479004,-7.616899013519287,-8.000061988830566,-6.288754463195801
16,-8.054421424865723,-7.392805099487305,-6.485233306884766,-7.392805099487305,-5.726464748382568,-7.293856143951416
17,-8.290020942687988,-8.050724029541016,-6.259183883666992,-8.050724029541016,-5.1662278175354,-7.868797779083252
18,-7.895425319671631,-7.527581691741943,-6.13302755355835,-7.527581691741943,-5.013437271118164,-7.437114715576172
19,-7.271866321563721,-6.87837553024292,-6.1073150634765625,-6.87837553024292,-4.8745198249816895,-6.7835259437561035
20,-8.670035362243652,-7.804002285003662,-6.928870677947998,-7.804002285003662,-6.231359958648682,-7.900503635406494
21,-8.319628715515137,-7.929575443267822,-6.769331932067871,-7.929575443267822,-6.123008728027344,-7.293856143951416
22,-8.678274154663086,-8.457429885864258,-6.842156410217285,-8.457429885864258,-5.980396270751953,-7.868797779083252
23,-8.221050262451172,-7.924617767333984,-6.583379745483398,-7.924617767333984,-5.758905410766602,-7.437114715576172
24,-7.440532684326172,-7.068967342376709,-6.1672539710998535,-7.068967342376709,-5.165703296661377,-6.7835259437561035
25,-8.753265380859375,-8.09778881072998,-6.946347236633301,-8.09778881072998,-6.54271125793457,-7.900503635406494
26,-9.039728164672852,-9.377167701721191,-7.264652252197266,-9.377167701721191,-7.617751598358154,-7.293856143951416
27,-9.464486122131348,-9.900757789611816,-7.64516544342041,-9.900757789611816,-7.939342021942139,-7.868797779083252
28,-9.039288520812988,-9.616646766662598,-7.40293025970459,-9.616646766662598,-7.693698406219482,-7.437114715576172
29,-8.080991744995117,-8.074896812438965,-6.110445976257324,-8.074896812438965,-6.0169358253479,-6.7835259437561035
30,-9.479915618896484,-9.351065635681152,-7.322355270385742,-9.351065635681152,-8.000061988830566,-7.900503635406494
31,-7.971316814422607,-7.6279988288879395,-6.423242092132568,-7.6279988288879395,-5.726464748382568,-6.785725116729736
32,-7.9478912353515625,-7.717087268829346,-6.012690544128418,-7.717087268829346,-5.1662278175354,-7.1929755210876465
33,-7.4091291427612305,-7.254608631134033,-5.797374248504639,-7.254608631134033,-5.013437271118164,-6.518947601318359
34,-6.715498924255371,-6.490396022796631,-5.558062553405762,-6.490396022796631,-4.8745198249816895,-6.150786876678467
35,-8.424054145812988,-7.973748683929443,-6.7260284423828125,-7.973748683929443,-6.231359958648682,-7.42495584487915
36,-8.390077590942383,-8.242432594299316,-6.531548023223877,-8.242432594299316,-6.123008728027344,-6.785725116729736
37,-8.47148323059082,-8.293463706970215,-6.405363082885742,-8.293463706970215,-5.980396270751953,-7.1929755210876465
38,-7.980979919433594,-7.886620044708252,-6.1988606452941895,-7.886620044708252,-5.758905410766602,-6.518947601318359
39,-7.187929153442383,-7.009527683258057,-5.716670036315918,-7.009527683258057,-5.165703296661377,-6.150786876678467
40,-8.777777671813965,-8.295783996582031,-6.893033981323242,-8.295783996582031,-6.54271125793457,-7.42495584487915
41,-8.309534072875977,-9.097187995910645,-7.107093811035156,-9.097187995910645,-7.617751598358154,-6.785725116729736
42,-8.486412048339844,-9.236722946166992,-7.467659950256348,-9.236722946166992,-7.939342021942139,-7.1929755210876465
43,-8.026211738586426,-9.079426765441895,-7.257225036621094,-9.079426765441895,-7.693698406219482,-6.518947601318359
44,-7.301785469055176,-7.876720428466797,-5.982287883758545,-7.876720428466797,-6.0169358253479,-6.150786876678467
