idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.122108459472656,-6.514122009277344,-5.6658430099487305,-6.514122009277344,-6.452913284301758,-6.758644104003906
2,-7.373960971832275,-6.748154163360596,-5.4915771484375,-6.748154163360596,-5.994460582733154,-7.355198860168457
3,-6.310919284820557,-5.661434173583984,-5.136676788330078,-5.661434173583984,-5.367239475250244,-6.066567420959473
4,-5.985804557800293,-5.132007598876953,-5.014640808105469,-5.132007598876953,-4.978236675262451,-5.770162582397461
5,-7.384324550628662,-7.01574182510376,-5.900145530700684,-7.01574182510376,-6.952007293701172,-6.538948059082031
6,-7.584725856781006,-6.620659828186035,-5.584881782531738,-6.620659828186035,-7.12774133682251,-6.758644104003906
7,-7.771359443664551,-6.831002235412598,-5.674718379974365,-6.831002235412598,-6.771675109863281,-7.355198860168457
8,-6.646589756011963,-5.762767314910889,-5.349897861480713,-5.762767314910889,-6.343860626220703,-6.066567420959473
9,-6.252886772155762,-5.121951103210449,-5.004561424255371,-5.121951103210449,-5.403339862823486,-5.770162582397461
10,-7.842469692230225,-7.027997016906738,-5.92287540435791,-7.027997016906738,-7.394702911376953,-6.538948059082031
11,-8.26586627960205,-8.098647117614746,-6.301476955413818,-8.098647117614746,-7.956481456756592,-6.758644104003906
12,-8.509071350097656,-8.318519592285156,-6.94048547744751,-8.318519592285156,-8.07304573059082,-7.355198860168457
13,-7.3458404541015625,-7.374056816101074,-6.414284706115723,-7.374056816101074,-7.11596155166626,-6.066567420959473
14,-6.841056823730469,-6.614825248718262,-5.475274085998535,-6.614825248718262,-6.013787746429443,-5.770162582397461
15,-8.337182998657227,-8.148171424865723,-6.580660343170166,-8.148171424865723,-7.898553371429443,-6.538948059082031
16,-8.153335571289062,-7.241016387939453,-6.868730545043945,-7.241016387939453,-6.452913284301758,-7.6548542976379395
17,-7.704821586608887,-6.758249759674072,-6.608452320098877,-6.758249759674072,-5.994460582733154,-7.692765712738037
18,-7.307186126708984,-6.52856969833374,-6.198691368103027,-6.52856969833374,-5.367239475250244,-6.930077075958252
19,-7.079836368560791,-6.164247989654541,-6.1855974197387695,-6.164247989654541,-4.978236675262451,-6.5412139892578125
20,-8.237489700317383,-7.593260288238525,-7.084554195404053,-7.593260288238525,-6.952007293701172,-7.365965366363525
21,-8.44503402709961,-7.694635391235352,-7.046869277954102,-7.694635391235352,-7.12774133682251,-7.6548542976379395
22,-8.180404663085938,-7.334964752197266,-7.160154342651367,-7.334964752197266,-6.771675109863281,-7.692765712738037
23,-7.825313568115234,-7.104822635650635,-6.85122537612915,-7.104822635650635,-6.343860626220703,-6.930077075958252
24,-7.324127197265625,-6.4694037437438965,-6.161886215209961,-6.4694037437438965,-5.403339862823486,-6.5412139892578125
25,-8.7505521774292,-8.379266738891602,-7.598642349243164,-8.379266738891602,-7.394702911376953,-7.365965366363525
26,-9.69248104095459,-9.295368194580078,-7.875890731811523,-9.295368194580078,-7.956481456756592,-7.6548542976379395
27,-9.67383098602295,-8.927997589111328,-8.326887130737305,-8.927997589111328,-8.07304573059082,-7.692765712738037
28,-9.17061996459961,-8.616471290588379,-7.751631736755371,-8.616471290588379,-7.11596155166626,-6.930077075958252
29,-8.045870780944824,-7.4075703620910645,-6.613595008850098,-7.4075703620910645,-6.013787746429443,-6.5412139892578125
30,-9.73948860168457,-9.282337188720703,-7.993782043457031,-9.282337188720703,-7.898553371429443,-7.365965366363525
31,-9.155031204223633,-7.5726189613342285,-7.0179443359375,-7.5726189613342285,-6.452913284301758,-8.249534606933594
32,-8.913169860839844,-7.27844762802124,-6.773421287536621,-7.27844762802124,-5.994460582733154,-7.955957889556885
33,-8.313772201538086,-7.034509658813477,-6.437338829040527,-7.034509658813477,-5.367239475250244,-7.12076997756958
34,-7.738719463348389,-6.314643383026123,-6.120270729064941,-6.314643383026123,-4.978236675262451,-6.665870189666748
35,-9.663163185119629,-8.544869422912598,-7.5428466796875,-8.544869422912598,-6.952007293701172,-7.876363754272461
36,-9.895124435424805,-8.32713794708252,-6.940839767456055,-8.32713794708252,-7.12774133682251,-8.249534606933594
37,-9.607129096984863,-7.994203567504883,-6.887844085693359,-7.994203567504883,-6.771675109863281,-7.955957889556885
38,-9.049779891967773,-7.9647064208984375,-6.694619178771973,-7.9647064208984375,-6.343860626220703,-7.12076997756958
39,-8.380020141601562,-6.884077548980713,-5.977873802185059,-6.884077548980713,-5.403339862823486,-6.665870189666748
40,-10.307893753051758,-9.236915588378906,-7.613348007202148,-9.236915588378906,-7.394702911376953,-7.876363754272461
41,-11.125162124633789,-10.128206253051758,-7.5770111083984375,-10.128206253051758,-7.956481456756592,-8.249534606933594
42,-10.833769798278809,-9.741914749145508,-8.078995704650879,-9.741914749145508,-8.07304573059082,-7.955957889556885
43,-10.136317253112793,-9.757759094238281,-7.527708053588867,-9.757759094238281,-7.11596155166626,-7.12076997756958
44,-9.295382499694824,-8.445374488830566,-6.1395721435546875,-8.445374488830566,-6.013787746429443,-6.665870189666748
45,-11.047003746032715,-10.645983695983887,-8.005666732788086,-10.645983695983887,-7.898553371429443,-7.876363754272461
46,-6.516079902648926,-5.093614101409912,-5.282044887542725,-5.093614101409912,-6.452913284301758,-5.717561721801758
47,-6.450860500335693,-4.899547576904297,-5.186326026916504,-4.899547576904297,-5.994460582733154,-6.017665863037109
48,-5.942150592803955,-4.453239440917969,-4.901118278503418,-4.453239440917969,-5.367239475250244,-5.2848052978515625
49,-5.745426654815674,-4.183213710784912,-4.6716461181640625,-4.183213710784912,-4.978236675262451,-5.050842761993408
50,-7.4976959228515625,-6.378593444824219,-5.925887107849121,-6.378593444824219,-6.952007293701172,-6.126128196716309
51,-6.858306884765625,-5.613265514373779,-5.260890007019043,-5.613265514373779,-7.12774133682251,-5.717561721801758
52,-6.807744026184082,-5.379215240478516,-5.215381622314453,-5.379215240478516,-6.771675109863281,-6.017665863037109
53,-6.248412132263184,-4.964993000030518,-5.105990409851074,-4.964993000030518,-6.343860626220703,-5.2848052978515625
54,-6.017157077789307,-4.685092926025391,-4.55164098739624,-4.685092926025391,-5.403339862823486,-5.050842761993408
55,-7.7805070877075195,-6.871779441833496,-5.899387359619141,-6.871779441833496,-7.394702911376953,-6.126128196716309
56,-7.378951072692871,-6.608482360839844,-5.748236656188965,-6.608482360839844,-7.956481456756592,-5.717561721801758
57,-7.439889430999756,-6.520183086395264,-6.216713905334473,-6.520183086395264,-8.07304573059082,-6.017665863037109
58,-6.781583309173584,-5.964423656463623,-5.803778171539307,-5.964423656463623,-7.11596155166626,-5.2848052978515625
59,-6.331739902496338,-5.506863594055176,-4.899138450622559,-5.506863594055176,-6.013787746429443,-5.050842761993408
60,-8.015718460083008,-7.364611625671387,-6.244889736175537,-7.364611625671387,-7.898553371429443,-6.126128196716309
61,-8.681184768676758,-7.839813709259033,-7.777362823486328,-7.839813709259033,-6.452913284301758,-9.474984169006348
62,-8.796537399291992,-7.804931163787842,-7.516958236694336,-7.804931163787842,-5.994460582733154,-9.72270679473877
63,-7.5543742179870605,-6.501101970672607,-6.975581169128418,-6.501101970672607,-5.367239475250244,-8.175031661987305
64,-6.965104103088379,-5.6893310546875,-6.611739158630371,-5.6893310546875,-4.978236675262451,-7.677520751953125
65,-9.320964813232422,-8.716697692871094,-8.354969024658203,-8.716697692871094,-6.952007293701172,-9.473111152648926
66,-8.774148941040039,-8.200769424438477,-7.52719783782959,-8.200769424438477,-7.12774133682251,-9.474984169006348
67,-8.985727310180664,-8.12793254852295,-7.463039398193359,-8.12793254852295,-6.771675109863281,-9.72270679473877
68,-7.675504207611084,-6.816214084625244,-7.06422233581543,-6.816214084625244,-6.343860626220703,-8.175031661987305
69,-7.004674911499023,-5.799993991851807,-6.402501106262207,-5.799993991851807,-5.403339862823486,-7.677520751953125
70,-9.468643188476562,-8.976092338562012,-8.19581413269043,-8.976092338562012,-7.394702911376953,-9.473111152648926
71,-10.473894119262695,-10.95708179473877,-8.335283279418945,-10.95708179473877,-7.956481456756592,-9.474984169006348
