idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.451406955718994,-6.262097358703613,-7.496607780456543,-6.262097358703613,-6.536571025848389,-7.145198822021484
2,-7.513897895812988,-6.3596906661987305,-7.361756324768066,-6.3596906661987305,-6.504524230957031,-7.236948490142822
3,-7.2341508865356445,-5.9008307456970215,-7.082995414733887,-5.9008307456970215,-5.733314037322998,-6.984152317047119
4,-6.624085903167725,-5.163934707641602,-6.840516090393066,-5.163934707641602,-5.545690536499023,-6.517004013061523
5,-7.824301242828369,-6.42831563949585,-7.712485313415527,-6.42831563949585,-6.972012042999268,-7.267029285430908
6,-8.251448631286621,-6.531656265258789,-7.02327823638916,-6.531656265258789,-7.303714275360107,-7.145198822021484
7,-8.283342361450195,-6.700355529785156,-6.945487976074219,-6.700355529785156,-7.220404148101807,-7.236948490142822
8,-7.992058753967285,-6.2524824142456055,-6.490790367126465,-6.2524824142456055,-6.290604114532471,-6.984152317047119
9,-7.355008602142334,-5.462774276733398,-5.909060478210449,-5.462774276733398,-5.740205764770508,-6.517004013061523
10,-8.506229400634766,-6.574456214904785,-7.1382155418396,-6.574456214904785,-7.735628604888916,-7.267029285430908
11,-8.29924488067627,-7.884519577026367,-7.295551300048828,-7.884519577026367,-7.8263115882873535,-7.145198822021484
12,-8.229352951049805,-8.10772705078125,-7.263381004333496,-8.10772705078125,-7.668186187744141,-7.236948490142822
13,-8.024460792541504,-7.793081283569336,-6.938498020172119,-7.793081283569336,-6.950606822967529,-6.984152317047119
14,-7.350597381591797,-6.918686866760254,-5.836033821105957,-6.918686866760254,-5.544429302215576,-6.517004013061523
15,-8.33323860168457,-7.66403865814209,-7.288863182067871,-7.66403865814209,-7.907088756561279,-7.267029285430908
16,-8.976973533630371,-7.619771957397461,-7.170710563659668,-7.619771957397461,-6.536571025848389,-7.301219940185547
17,-9.297322273254395,-8.149054527282715,-7.10512638092041,-8.149054527282715,-6.504524230957031,-7.263894557952881
18,-9.296173095703125,-8.03489875793457,-6.722672462463379,-8.03489875793457,-5.733314037322998,-7.590633869171143
19,-8.281416893005371,-6.342640399932861,-6.587648868560791,-6.342640399932861,-5.545690536499023,-6.835117340087891
20,-9.639852523803711,-8.105372428894043,-7.612757682800293,-8.105372428894043,-6.972012042999268,-7.4656243324279785
21,-9.105005264282227,-8.332322120666504,-7.372704029083252,-8.332322120666504,-7.303714275360107,-7.301219940185547
22,-9.685794830322266,-9.124346733093262,-7.575648784637451,-9.124346733093262,-7.220404148101807,-7.263894557952881
23,-9.350714683532715,-8.73195743560791,-7.132768630981445,-8.73195743560791,-6.290604114532471,-7.590633869171143
24,-8.023933410644531,-6.625463962554932,-6.314619064331055,-6.625463962554932,-5.740205764770508,-6.835117340087891
25,-9.616275787353516,-8.65909194946289,-7.562529563903809,-8.65909194946289,-7.735628604888916,-7.4656243324279785
26,-8.947088241577148,-9.198838233947754,-7.63984489440918,-9.198838233947754,-7.8263115882873535,-7.301219940185547
27,-9.359477996826172,-10.041610717773438,-7.677178382873535,-10.041610717773438,-7.668186187744141,-7.263894557952881
