idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.565693855285645,-6.817445755004883,-6.8704729080200195,-6.817445755004883,-7.1622748374938965,-6.963436603546143
2,-8.089975357055664,-6.549535751342773,-6.349178314208984,-6.549535751342773,-6.585056304931641,-6.435303688049316
3,-7.610927581787109,-5.687906265258789,-5.7177557945251465,-5.687906265258789,-6.153646945953369,-5.822372913360596
4,-7.302820682525635,-5.433357238769531,-5.687795162200928,-5.433357238769531,-6.028942108154297,-5.696869373321533
5,-8.339137077331543,-6.878746509552002,-6.805979251861572,-6.878746509552002,-8.03287124633789,-6.500787734985352
6,-8.836959838867188,-7.0216522216796875,-6.714053153991699,-7.0216522216796875,-8.080670356750488,-6.963436603546143
7,-8.375872611999512,-6.7738237380981445,-6.311896324157715,-6.7738237380981445,-7.680639266967773,-6.435303688049316
8,-7.8972063064575195,-5.9465484619140625,-5.90086030960083,-5.9465484619140625,-7.269799709320068,-5.822372913360596
9,-7.46221923828125,-5.6260223388671875,-5.549101829528809,-5.6260223388671875,-6.588064670562744,-5.696869373321533
10,-8.530668258666992,-6.935677528381348,-6.619656562805176,-6.935677528381348,-8.862160682678223,-6.500787734985352
11,-9.381797790527344,-8.715507507324219,-6.792049407958984,-8.715507507324219,-8.527050018310547,-6.963436603546143
12,-9.24913501739502,-8.74628734588623,-7.095028877258301,-8.74628734588623,-8.841757774353027,-6.435303688049316
13,-8.768338203430176,-7.937007904052734,-6.516287803649902,-7.937007904052734,-8.09061336517334,-5.822372913360596
14,-8.147615432739258,-7.348775863647461,-5.591716766357422,-7.348775863647461,-6.591484069824219,-5.696869373321533
15,-9.04084587097168,-8.287981986999512,-6.660611629486084,-8.287981986999512,-9.113158226013184,-6.500787734985352
16,-9.318904876708984,-7.516599178314209,-7.873836517333984,-7.516599178314209,-7.1622748374938965,-8.137858390808105
17,-9.112470626831055,-7.343832492828369,-7.441248893737793,-7.343832492828369,-6.585056304931641,-7.669034957885742
18,-9.07198715209961,-7.184916019439697,-7.008208274841309,-7.184916019439697,-6.153646945953369,-7.766984462738037
19,-8.26445198059082,-6.148733139038086,-6.8347954750061035,-6.148733139038086,-6.028942108154297,-6.949590682983398
20,-9.477288246154785,-7.787103176116943,-8.102334022521973,-7.787103176116943,-8.03287124633789,-8.253772735595703
21,-9.356928825378418,-7.896829128265381,-8.189664840698242,-7.896829128265381,-8.080670356750488,-8.137858390808105
22,-9.25965404510498,-7.7235870361328125,-7.817404747009277,-7.7235870361328125,-7.680639266967773,-7.669034957885742
23,-9.246026992797852,-7.650610446929932,-7.503691673278809,-7.650610446929932,-7.269799709320068,-7.766984462738037
24,-8.441726684570312,-6.4509196281433105,-7.006670951843262,-6.4509196281433105,-6.588064670562744,-6.949590682983398
25,-9.610481262207031,-8.121551513671875,-8.377116203308105,-8.121551513671875,-8.862160682678223,-8.253772735595703
26,-9.289774894714355,-9.50601577758789,-8.030773162841797,-9.50601577758789,-8.527050018310547,-8.137858390808105
27,-9.533407211303711,-9.788146018981934,-8.456792831420898,-9.788146018981934,-8.841757774353027,-7.669034957885742
28,-9.536874771118164,-9.746533393859863,-7.841630935668945,-9.746533393859863,-8.09061336517334,-7.766984462738037
29,-8.287073135375977,-7.839527130126953,-6.741949558258057,-7.839527130126953,-6.591484069824219,-6.949590682983398
30,-9.14826488494873,-9.320599555969238,-8.086477279663086,-9.320599555969238,-9.113158226013184,-8.253772735595703
31,-8.65727424621582,-7.175981521606445,-7.439179420471191,-7.175981521606445,-7.1622748374938965,-7.026872158050537
32,-8.381288528442383,-7.057947635650635,-7.029016017913818,-7.057947635650635,-6.585056304931641,-6.541398525238037
33,-8.372365951538086,-6.6968231201171875,-6.583095550537109,-6.6968231201171875,-6.153646945953369,-6.596390247344971
34,-7.9822187423706055,-6.260368347167969,-6.462355613708496,-6.260368347167969,-6.028942108154297,-6.241933345794678
35,-8.891618728637695,-7.431123733520508,-7.748913288116455,-7.431123733520508,-8.03287124633789,-7.172726154327393
