idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.998396873474121,-6.828743934631348,-5.279661178588867,-6.828743934631348,-6.1921162605285645,-5.601243019104004
2,-6.90152645111084,-6.658899307250977,-5.034523010253906,-6.658899307250977,-6.11010217666626,-5.5068359375
3,-6.5485100746154785,-6.049223899841309,-4.796596527099609,-6.049223899841309,-5.6257004737854,-4.908416271209717
4,-6.206678867340088,-5.536189556121826,-4.721268653869629,-5.536189556121826,-5.2936625480651855,-4.6823248863220215
5,-7.11101770401001,-6.807099342346191,-5.2028608322143555,-6.807099342346191,-6.522863864898682,-5.544610023498535
6,-7.5023369789123535,-7.251535892486572,-5.637868404388428,-7.251535892486572,-7.104142665863037,-5.601243019104004
7,-7.372305393218994,-7.108248710632324,-5.399813175201416,-7.108248710632324,-7.011650085449219,-5.5068359375
8,-6.994319915771484,-6.510234832763672,-5.205979347229004,-6.510234832763672,-6.581129550933838,-4.908416271209717
9,-6.732412815093994,-5.954551696777344,-4.851986885070801,-5.954551696777344,-5.6740593910217285,-4.6823248863220215
10,-7.637526035308838,-7.269238471984863,-5.534384250640869,-7.269238471984863,-7.4558587074279785,-5.544610023498535
11,-8.149531364440918,-8.402656555175781,-5.845012664794922,-8.402656555175781,-7.213826656341553,-5.601243019104004
12,-7.938951015472412,-8.332045555114746,-5.928559303283691,-8.332045555114746,-7.4261474609375,-5.5068359375
13,-7.5699872970581055,-7.717817306518555,-5.46279239654541,-7.717817306518555,-6.664927005767822,-4.908416271209717
14,-7.3158721923828125,-7.115231990814209,-4.563295841217041,-7.115231990814209,-5.315888404846191,-4.6823248863220215
15,-8.02509880065918,-7.965907096862793,-5.681565284729004,-7.965907096862793,-7.539865493774414,-5.544610023498535
16,-8.768287658691406,-8.69830322265625,-6.908014297485352,-8.69830322265625,-6.1921162605285645,-7.738272190093994
17,-8.37645435333252,-8.285624504089355,-6.551604270935059,-8.285624504089355,-6.11010217666626,-7.568174839019775
18,-8.129018783569336,-7.690943241119385,-6.454037666320801,-7.690943241119385,-5.6257004737854,-7.033149719238281
19,-7.633427619934082,-7.286044597625732,-6.396976470947266,-7.286044597625732,-5.2936625480651855,-6.481925964355469
20,-8.548665046691895,-8.754535675048828,-6.781041145324707,-8.754535675048828,-6.522863864898682,-7.311116695404053
21,-9.069583892822266,-9.145427703857422,-7.59259033203125,-9.145427703857422,-7.104142665863037,-7.738272190093994
22,-8.798395156860352,-8.91109561920166,-7.324812889099121,-8.91109561920166,-7.011650085449219,-7.568174839019775
23,-8.451090812683105,-8.193829536437988,-7.300196647644043,-8.193829536437988,-6.581129550933838,-7.033149719238281
24,-7.940762519836426,-7.714298725128174,-6.64603328704834,-7.714298725128174,-5.6740593910217285,-6.481925964355469
25,-9.054521560668945,-9.517791748046875,-7.575636386871338,-9.517791748046875,-7.4558587074279785,-7.311116695404053
26,-9.107282638549805,-10.304579734802246,-7.801491737365723,-10.304579734802246,-7.213826656341553,-7.738272190093994
27,-9.026315689086914,-10.499021530151367,-7.939268112182617,-10.499021530151367,-7.4261474609375,-7.568174839019775
28,-8.628912925720215,-9.70265007019043,-7.485439300537109,-9.70265007019043,-6.664927005767822,-7.033149719238281
29,-8.056262969970703,-8.70472240447998,-6.169018745422363,-8.70472240447998,-5.315888404846191,-6.481925964355469
30,-8.728875160217285,-10.071707725524902,-7.825745582580566,-10.071707725524902,-7.539865493774414,-7.311116695404053
31,-8.218503952026367,-8.2772798538208,-6.782859802246094,-8.2772798538208,-6.1921162605285645,-7.693883419036865
32,-8.089851379394531,-8.11270523071289,-6.537375450134277,-8.11270523071289,-6.11010217666626,-7.730226516723633
33,-7.580920219421387,-7.351833343505859,-6.1837382316589355,-7.351833343505859,-5.6257004737854,-7.052976608276367
34,-6.855168342590332,-6.30784797668457,-5.999641418457031,-6.30784797668457,-5.2936625480651855,-6.4670281410217285
35,-8.518115997314453,-8.920950889587402,-6.819648742675781,-8.920950889587402,-6.522863864898682,-7.603037357330322
36,-8.717886924743652,-9.187369346618652,-7.37487268447876,-9.187369346618652,-7.104142665863037,-7.693883419036865
37,-8.614654541015625,-9.114970207214355,-7.081789016723633,-9.114970207214355,-7.011650085449219,-7.730226516723633
38,-7.994794845581055,-8.215813636779785,-6.830057144165039,-8.215813636779785,-6.581129550933838,-7.052976608276367
39,-7.245114326477051,-6.98511266708374,-6.328449249267578,-6.98511266708374,-5.6740593910217285,-6.4670281410217285
40,-9.136377334594727,-9.958516120910645,-7.445499420166016,-9.958516120910645,-7.4558587074279785,-7.603037357330322
41,-8.908458709716797,-10.14305591583252,-7.578150749206543,-10.14305591583252,-7.213826656341553,-7.693883419036865
42,-8.973889350891113,-10.431373596191406,-7.783878326416016,-10.431373596191406,-7.4261474609375,-7.730226516723633
43,-8.407146453857422,-9.422179222106934,-7.111988067626953,-9.422179222106934,-6.664927005767822,-7.052976608276367
44,-7.737138748168945,-7.962991237640381,-5.900704860687256,-7.962991237640381,-5.315888404846191,-6.4670281410217285
45,-8.907198905944824,-10.244586944580078,-7.819770336151123,-10.244586944580078,-7.539865493774414,-7.603037357330322
46,-6.734981536865234,-6.2307281494140625,-4.970139503479004,-6.2307281494140625,-6.1921162605285645,-4.907223224639893
47,-6.526360988616943,-5.708244323730469,-4.6705522537231445,-5.708244323730469,-6.11010217666626,-5.110819339752197
48,-6.23296594619751,-5.258511543273926,-4.370362758636475,-5.258511543273926,-5.6257004737854,-4.527368545532227
49,-6.0068230628967285,-5.335910797119141,-4.235332489013672,-5.335910797119141,-5.2936625480651855,-4.391138553619385
50,-7.527239799499512,-6.907528877258301,-5.17635440826416,-6.907528877258301,-6.522863864898682,-5.662466049194336
51,-7.178076267242432,-6.699782371520996,-5.270666599273682,-6.699782371520996,-7.104142665863037,-4.907223224639893
52,-6.976122856140137,-6.203847408294678,-5.002890110015869,-6.203847408294678,-7.011650085449219,-5.110819339752197
53,-6.653866767883301,-5.7191572189331055,-4.705905914306641,-5.7191572189331055,-6.581129550933838,-4.527368545532227
54,-6.386786460876465,-5.731694221496582,-4.310282230377197,-5.731694221496582,-5.6740593910217285,-4.391138553619385
55,-7.987416744232178,-7.473019599914551,-5.447047233581543,-7.473019599914551,-7.4558587074279785,-5.662466049194336
