idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.777284145355225,-6.122304916381836,-5.280429840087891,-6.122304916381836,-5.721961498260498,-6.525318622589111
2,-6.5058913230896,-5.840271472930908,-5.285059452056885,-5.840271472930908,-5.6363844871521,-6.517843723297119
3,-6.4216156005859375,-5.61007833480835,-5.161766052246094,-5.61007833480835,-5.270484924316406,-6.401472568511963
4,-6.106735706329346,-5.120597839355469,-5.096632957458496,-5.120597839355469,-5.076122283935547,-5.987023830413818
5,-6.980177402496338,-6.387067794799805,-5.695717811584473,-6.387067794799805,-6.118117809295654,-6.208826541900635
6,-7.178913116455078,-6.572603225708008,-5.793170928955078,-6.572603225708008,-6.490329265594482,-6.525318622589111
7,-7.00726842880249,-6.329940319061279,-5.874194145202637,-6.329940319061279,-6.63246488571167,-6.517843723297119
8,-6.898599147796631,-6.059337615966797,-5.658693790435791,-6.059337615966797,-6.118580341339111,-6.401472568511963
9,-6.482460021972656,-5.530707359313965,-5.261146545410156,-5.530707359313965,-5.545133113861084,-5.987023830413818
10,-7.3170599937438965,-6.650321006774902,-6.1302642822265625,-6.650321006774902,-6.796850681304932,-6.208826541900635
11,-7.508841037750244,-7.348620891571045,-6.501107215881348,-7.348620891571045,-7.551206111907959,-6.525318622589111
12,-7.402227878570557,-7.3434319496154785,-6.8759260177612305,-7.3434319496154785,-8.33866024017334,-6.517843723297119
13,-7.430367946624756,-7.2811384201049805,-6.5865159034729,-7.2811384201049805,-7.637336254119873,-6.401472568511963
14,-6.7889723777771,-6.319273471832275,-5.820967674255371,-6.319273471832275,-6.19497537612915,-5.987023830413818
15,-7.455209255218506,-7.279311656951904,-6.696774482727051,-7.279311656951904,-7.9213547706604,-6.208826541900635
16,-8.245903968811035,-7.4380717277526855,-6.025482654571533,-7.4380717277526855,-5.721961498260498,-7.539941310882568
17,-7.996817588806152,-7.201098918914795,-5.939869403839111,-7.201098918914795,-5.6363844871521,-7.6414265632629395
18,-7.998156547546387,-7.116737365722656,-5.825206279754639,-7.116737365722656,-5.270484924316406,-7.453962802886963
19,-7.575905799865723,-6.59787130355835,-5.928322792053223,-6.59787130355835,-5.076122283935547,-7.0679931640625
20,-8.70728874206543,-7.992361545562744,-6.314975738525391,-7.992361545562744,-6.118117809295654,-7.3531036376953125
21,-8.714252471923828,-7.900482654571533,-6.618045806884766,-7.900482654571533,-6.490329265594482,-7.539941310882568
22,-8.569950103759766,-7.824134349822998,-6.792032241821289,-7.824134349822998,-6.63246488571167,-7.6414265632629395
23,-8.444872856140137,-7.638784885406494,-6.581958293914795,-7.638784885406494,-6.118580341339111,-7.453962802886963
24,-7.941508769989014,-7.1239776611328125,-6.101886749267578,-7.1239776611328125,-5.545133113861084,-7.0679931640625
25,-9.334494590759277,-8.550618171691895,-6.884055137634277,-8.550618171691895,-6.796850681304932,-7.3531036376953125
26,-9.129270553588867,-9.364568710327148,-7.748851299285889,-9.364568710327148,-7.551206111907959,-7.539941310882568
27,-9.066505432128906,-9.479405403137207,-8.126263618469238,-9.479405403137207,-8.33866024017334,-7.6414265632629395
28,-9.101107597351074,-9.580299377441406,-7.884579658508301,-9.580299377441406,-7.637336254119873,-7.453962802886963
29,-8.33514404296875,-8.74499225616455,-6.807319641113281,-8.74499225616455,-6.19497537612915,-7.0679931640625
30,-9.447369575500488,-9.680549621582031,-8.053166389465332,-9.680549621582031,-7.9213547706604,-7.3531036376953125
