idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.306502342224121,-6.691516876220703,-5.058299541473389,-6.691516876220703,-6.309713840484619,-6.559391498565674
2,-7.27251672744751,-6.662392616271973,-5.076903343200684,-6.662392616271973,-6.266993045806885,-6.42354679107666
3,-6.85866641998291,-6.154518127441406,-4.976104736328125,-6.154518127441406,-5.856523513793945,-5.920770168304443
4,-6.457034111022949,-5.550572872161865,-4.650897026062012,-5.550572872161865,-4.914078235626221,-5.401507377624512
5,-7.736203670501709,-7.395747184753418,-5.584341049194336,-7.395747184753418,-7.12316370010376,-6.245940685272217
6,-7.2869873046875,-7.2685441970825195,-5.093364238739014,-7.2685441970825195,-6.336904525756836,-6.559391498565674
7,-7.351597785949707,-7.280190467834473,-5.123271942138672,-7.280190467834473,-6.516808986663818,-6.42354679107666
8,-6.908480644226074,-6.758465766906738,-5.071164608001709,-6.758465766906738,-6.256753444671631,-5.920770168304443
9,-6.455676078796387,-6.0306477546691895,-4.494632244110107,-6.0306477546691895,-4.994198322296143,-5.401507377624512
10,-7.683720588684082,-7.87206506729126,-5.542048454284668,-7.87206506729126,-7.237009525299072,-6.245940685272217
11,-8.672277450561523,-8.435892105102539,-6.161933898925781,-8.435892105102539,-7.570870876312256,-6.559391498565674
12,-8.57348346710205,-8.558401107788086,-6.467176914215088,-8.558401107788086,-8.1764554977417,-6.42354679107666
13,-8.324140548706055,-8.155497550964355,-6.174574375152588,-8.155497550964355,-7.694299221038818,-5.920770168304443
14,-7.814671516418457,-7.337613582611084,-5.30762243270874,-7.337613582611084,-5.840712070465088,-5.401507377624512
15,-8.743435859680176,-8.699372291564941,-6.453688621520996,-8.699372291564941,-8.110376358032227,-6.245940685272217
16,-8.266237258911133,-7.362209320068359,-6.390206336975098,-7.362209320068359,-6.309713840484619,-6.600330352783203
17,-8.452884674072266,-7.5342698097229,-6.196478366851807,-7.5342698097229,-6.266993045806885,-7.17270040512085
18,-7.914734363555908,-7.105724334716797,-6.076450347900391,-7.105724334716797,-5.856523513793945,-6.401541233062744
19,-7.61759090423584,-6.650015354156494,-5.564138412475586,-6.650015354156494,-4.914078235626221,-5.5431694984436035
20,-8.738907814025879,-8.030377388000488,-6.751687049865723,-8.030377388000488,-7.12316370010376,-6.649324893951416
21,-8.555967330932617,-7.926019191741943,-6.453994274139404,-7.926019191741943,-6.336904525756836,-6.600330352783203
22,-8.84387493133545,-8.208050727844238,-6.481378555297852,-8.208050727844238,-6.516808986663818,-7.17270040512085
23,-8.259821891784668,-7.7467942237854,-6.327357292175293,-7.7467942237854,-6.256753444671631,-6.401541233062744
24,-8.123248100280762,-7.477672100067139,-5.40910530090332,-7.477672100067139,-4.994198322296143,-5.5431694984436035
25,-8.948477745056152,-8.523055076599121,-6.937172889709473,-8.523055076599121,-7.237009525299072,-6.649324893951416
26,-9.513567924499512,-9.729156494140625,-7.247499465942383,-9.729156494140625,-7.570870876312256,-6.600330352783203
27,-9.67592716217041,-9.95076847076416,-7.54099178314209,-9.95076847076416,-8.1764554977417,-7.17270040512085
28,-9.346809387207031,-9.661808967590332,-7.2870659828186035,-9.661808967590332,-7.694299221038818,-6.401541233062744
29,-8.495454788208008,-8.925994873046875,-6.029219627380371,-8.925994873046875,-5.840712070465088,-5.5431694984436035
30,-9.361462593078613,-9.808307647705078,-7.481359958648682,-9.808307647705078,-8.110376358032227,-6.649324893951416
31,-8.055866241455078,-7.8210320472717285,-5.370309829711914,-7.8210320472717285,-6.309713840484619,-5.5654778480529785
32,-7.9849042892456055,-7.706182479858398,-5.236171722412109,-7.706182479858398,-6.266993045806885,-5.550363540649414
33,-7.407955169677734,-7.22035026550293,-5.076369285583496,-7.22035026550293,-5.856523513793945,-5.004824638366699
34,-6.986387252807617,-6.387232303619385,-4.45576810836792,-6.387232303619385,-4.914078235626221,-4.228638172149658
35,-8.828117370605469,-9.019290924072266,-5.7096991539001465,-9.019290924072266,-7.12316370010376,-5.848089694976807
36,-8.163384437561035,-8.406582832336426,-5.52188777923584,-8.406582832336426,-6.336904525756836,-5.5654778480529785
37,-8.132548332214355,-8.34635066986084,-5.443387031555176,-8.34635066986084,-6.516808986663818,-5.550363540649414
38,-7.591342926025391,-7.832038879394531,-5.321633815765381,-7.832038879394531,-6.256753444671631,-5.004824638366699
39,-7.405300140380859,-7.115675449371338,-4.455842971801758,-7.115675449371338,-4.994198322296143,-4.228638172149658
40,-8.886031150817871,-9.510363578796387,-6.023340225219727,-9.510363578796387,-7.237009525299072,-5.848089694976807
41,-9.44405746459961,-10.34195613861084,-6.4708051681518555,-10.34195613861084,-7.570870876312256,-5.5654778480529785
42,-9.554457664489746,-10.63210678100586,-6.830846786499023,-10.63210678100586,-8.1764554977417,-5.550363540649414
43,-9.252532958984375,-10.269375801086426,-6.407344818115234,-10.269375801086426,-7.694299221038818,-5.004824638366699
44,-8.585958480834961,-9.372847557067871,-5.108116626739502,-9.372847557067871,-5.840712070465088,-4.228638172149658
45,-9.967005729675293,-11.125678062438965,-6.791663646697998,-11.125678062438965,-8.110376358032227,-5.848089694976807
46,-7.33957052230835,-6.177231788635254,-5.544435024261475,-6.177231788635254,-6.309713840484619,-6.549595832824707
47,-7.2246413230896,-6.043277263641357,-5.3392815589904785,-6.043277263641357,-6.266993045806885,-6.296106815338135
48,-6.860085487365723,-5.614579200744629,-5.313851356506348,-5.614579200744629,-5.856523513793945,-5.99593448638916
49,-6.743479251861572,-5.372147083282471,-4.793244361877441,-5.372147083282471,-4.914078235626221,-5.768813133239746
50,-8.057965278625488,-7.072040557861328,-6.1456427574157715,-7.072040557861328,-7.12316370010376,-7.306206703186035
