idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.963630676269531,-6.265544891357422,-4.940488815307617,-6.265544891357422,-6.272000789642334,-6.082775115966797
2,-7.158059597015381,-6.193753242492676,-4.787106513977051,-6.193753242492676,-5.754868984222412,-6.728682041168213
3,-6.7671074867248535,-5.673322677612305,-4.4323930740356445,-5.673322677612305,-5.349234104156494,-5.851114273071289
4,-6.615860939025879,-5.387770652770996,-4.364440441131592,-5.387770652770996,-5.2747802734375,-5.92195463180542
5,-7.899779319763184,-7.072847366333008,-5.349976539611816,-7.072847366333008,-6.79071569442749,-6.565573692321777
6,-7.427309513092041,-6.506512641906738,-4.863978385925293,-6.506512641906738,-6.646826267242432,-6.082775115966797
7,-7.73871374130249,-6.737963676452637,-4.788480281829834,-6.737963676452637,-6.3134002685546875,-6.728682041168213
8,-7.1837921142578125,-6.123227119445801,-4.391451358795166,-6.123227119445801,-5.962374210357666,-5.851114273071289
9,-6.997908592224121,-5.746971130371094,-4.190823078155518,-5.746971130371094,-5.417987823486328,-5.92195463180542
10,-8.359804153442383,-7.368647575378418,-5.232149124145508,-7.368647575378418,-7.361465930938721,-6.565573692321777
11,-7.909455299377441,-8.14444637298584,-6.040148735046387,-8.14444637298584,-7.617019176483154,-6.082775115966797
12,-8.023178100585938,-8.325916290283203,-6.236402988433838,-8.325916290283203,-7.582808017730713,-6.728682041168213
13,-7.609677791595459,-7.794649124145508,-5.801939487457275,-7.794649124145508,-7.07952880859375,-5.851114273071289
14,-7.686580657958984,-7.312954902648926,-5.228304862976074,-7.312954902648926,-6.071744441986084,-5.92195463180542
15,-8.40095043182373,-8.67595100402832,-6.107891082763672,-8.67595100402832,-7.8481268882751465,-6.565573692321777
16,-8.522951126098633,-7.4932074546813965,-6.060724258422852,-7.4932074546813965,-6.272000789642334,-8.138253211975098
17,-8.605134010314941,-7.609882354736328,-5.97926664352417,-7.609882354736328,-5.754868984222412,-8.450356483459473
18,-8.389607429504395,-7.6127610206604,-5.77157735824585,-7.6127610206604,-5.349234104156494,-8.14331340789795
19,-7.913538932800293,-6.913885116577148,-5.664507865905762,-6.913885116577148,-5.2747802734375,-7.584920883178711
20,-9.065601348876953,-7.828127384185791,-6.614213943481445,-7.828127384185791,-6.79071569442749,-8.03715991973877
