idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.331852912902832,-5.883500099182129,-5.167068958282471,-5.883500099182129,-6.4208984375,-6.84742546081543
2,-6.970345973968506,-5.595897674560547,-5.001439094543457,-5.595897674560547,-6.436517238616943,-6.539665222167969
3,-6.769522190093994,-5.225600242614746,-4.751368522644043,-5.225600242614746,-6.220380783081055,-6.243214130401611
4,-6.4916672706604,-5.082205772399902,-4.645236492156982,-5.082205772399902,-5.774160861968994,-6.235100269317627
5,-7.451744079589844,-6.043863296508789,-5.458345890045166,-6.043863296508789,-7.164175510406494,-6.648285388946533
6,-7.981387138366699,-6.527148723602295,-5.408553123474121,-6.527148723602295,-7.552928924560547,-6.84742546081543
7,-7.610887050628662,-6.180571556091309,-5.397721767425537,-6.180571556091309,-7.463296413421631,-6.539665222167969
8,-7.378761291503906,-5.802206993103027,-4.968488693237305,-5.802206993103027,-7.130092620849609,-6.243214130401611
9,-7.010348320007324,-5.531792640686035,-4.682326793670654,-5.531792640686035,-6.578344821929932,-6.235100269317627
10,-8.02979564666748,-6.530641078948975,-5.6646199226379395,-6.530641078948975,-8.104103088378906,-6.648285388946533
11,-8.800971031188965,-8.22761344909668,-5.521254539489746,-8.22761344909668,-7.670143127441406,-6.84742546081543
12,-8.644087791442871,-8.17773723602295,-5.780261039733887,-8.17773723602295,-8.49032211303711,-6.539665222167969
13,-8.541361808776855,-7.855039596557617,-5.517744064331055,-7.855039596557617,-7.864034175872803,-6.243214130401611
14,-8.03634262084961,-7.592408180236816,-4.909545421600342,-7.592408180236816,-6.515453338623047,-6.235100269317627
15,-8.722410202026367,-8.051164627075195,-5.937387466430664,-8.051164627075195,-8.318131446838379,-6.648285388946533
16,-8.630719184875488,-7.411016464233398,-5.614687919616699,-7.411016464233398,-6.4208984375,-7.4879889488220215
17,-8.181812286376953,-6.8090996742248535,-5.450399398803711,-6.8090996742248535,-6.436517238616943,-7.37482213973999
18,-7.957220077514648,-6.556433200836182,-5.368544578552246,-6.556433200836182,-6.220380783081055,-7.241725921630859
19,-7.921693325042725,-6.247615814208984,-5.168700695037842,-6.247615814208984,-5.774160861968994,-7.496649265289307
