idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.319223880767822,-5.404445648193359,-4.998931407928467,-5.404445648193359,-6.6816558837890625,-6.810249328613281
2,-6.404931545257568,-5.573520183563232,-4.921572685241699,-5.573520183563232,-6.276808261871338,-6.908530235290527
3,-6.160965919494629,-5.221904754638672,-4.742149353027344,-5.221904754638672,-6.006315231323242,-6.553900241851807
4,-5.75346040725708,-4.66986083984375,-4.619915008544922,-4.66986083984375,-5.878814697265625,-5.969821929931641
5,-6.764656066894531,-5.81922721862793,-5.573886394500732,-5.81922721862793,-7.498311996459961,-6.786909580230713
6,-6.556027889251709,-5.5451788902282715,-4.809699058532715,-5.5451788902282715,-6.719473361968994,-6.810249328613281
7,-6.807282447814941,-5.86356258392334,-4.874899387359619,-5.86356258392334,-6.682515621185303,-6.908530235290527
8,-6.481479644775391,-5.483673095703125,-4.701263427734375,-5.483673095703125,-6.3627777099609375,-6.553900241851807
9,-6.039190292358398,-4.953420162200928,-4.257925510406494,-4.953420162200928,-5.987039089202881,-5.969821929931641
10,-7.015467166900635,-5.934351444244385,-5.403694152832031,-5.934351444244385,-7.508056640625,-6.786909580230713
11,-7.8828630447387695,-6.8302717208862305,-4.987421035766602,-6.8302717208862305,-7.142180919647217,-6.810249328613281
12,-8.209866523742676,-7.2934417724609375,-5.493030071258545,-7.2934417724609375,-7.770300388336182,-6.908530235290527
13,-7.804864406585693,-6.850875377655029,-5.2134294509887695,-6.850875377655029,-7.389518737792969,-6.553900241851807
14,-7.390482425689697,-6.254380226135254,-4.342174530029297,-6.254380226135254,-6.162744045257568,-5.969821929931641
15,-8.356596946716309,-7.123164176940918,-5.493265628814697,-7.123164176940918,-7.612249851226807,-6.786909580230713
16,-8.175333023071289,-6.579808712005615,-5.879443168640137,-6.579808712005615,-6.6816558837890625,-7.555650234222412
17,-8.679194450378418,-7.073544979095459,-5.827109336853027,-7.073544979095459,-6.276808261871338,-7.899789333343506
18,-8.29857063293457,-6.487497806549072,-5.53944206237793,-6.487497806549072,-6.006315231323242,-7.554584503173828
19,-7.707580089569092,-5.7510857582092285,-5.232943534851074,-5.7510857582092285,-5.878814697265625,-6.800285339355469
20,-8.878714561462402,-7.424624919891357,-6.494744300842285,-7.424624919891357,-7.498311996459961,-7.777990818023682
21,-8.168508529663086,-7.115360260009766,-5.861517429351807,-7.115360260009766,-6.719473361968994,-7.555650234222412
22,-8.836913108825684,-7.896661281585693,-6.085868835449219,-7.896661281585693,-6.682515621185303,-7.899789333343506
23,-8.443792343139648,-7.31295919418335,-5.749815940856934,-7.31295919418335,-6.3627777099609375,-7.554584503173828
24,-7.743475914001465,-6.243099212646484,-5.103592395782471,-6.243099212646484,-5.987039089202881,-6.800285339355469
25,-8.947616577148438,-8.01021671295166,-6.488675594329834,-8.01021671295166,-7.508056640625,-7.777990818023682
26,-8.51329517364502,-7.550848484039307,-6.623724460601807,-7.550848484039307,-7.142180919647217,-7.555650234222412
27,-9.22632122039795,-8.211133003234863,-7.265606880187988,-8.211133003234863,-7.770300388336182,-7.899789333343506
28,-8.98233413696289,-7.945364475250244,-6.886329650878906,-7.945364475250244,-7.389518737792969,-7.554584503173828
29,-8.087162971496582,-6.525299549102783,-5.4567060470581055,-6.525299549102783,-6.162744045257568,-6.800285339355469
30,-9.192590713500977,-8.188621520996094,-7.041982650756836,-8.188621520996094,-7.612249851226807,-7.777990818023682
31,-7.870723724365234,-7.187530040740967,-5.088868141174316,-7.187530040740967,-6.6816558837890625,-7.455379486083984
32,-7.910364151000977,-7.198132038116455,-5.034422874450684,-7.198132038116455,-6.276808261871338,-7.8369832038879395
33,-7.874434471130371,-7.085758209228516,-4.710573196411133,-7.085758209228516,-6.006315231323242,-7.545616149902344
34,-6.89766263961792,-5.722537994384766,-4.348304271697998,-5.722537994384766,-5.878814697265625,-6.525365352630615
35,-8.443025588989258,-8.302202224731445,-5.712528228759766,-8.302202224731445,-7.498311996459961,-7.7256622314453125
36,-8.085336685180664,-8.064414024353027,-5.105812072753906,-8.064414024353027,-6.719473361968994,-7.455379486083984
37,-8.474242210388184,-8.381162643432617,-5.377300262451172,-8.381162643432617,-6.682515621185303,-7.8369832038879395
38,-8.36368179321289,-8.127175331115723,-4.935138702392578,-8.127175331115723,-6.3627777099609375,-7.545616149902344
39,-7.428657054901123,-6.60008430480957,-4.31195068359375,-6.60008430480957,-5.987039089202881,-6.525365352630615
40,-8.715269088745117,-8.887714385986328,-5.84288215637207,-8.887714385986328,-7.508056640625,-7.7256622314453125
41,-9.082841873168945,-9.320550918579102,-5.87819766998291,-9.320550918579102,-7.142180919647217,-7.455379486083984
42,-9.395421028137207,-9.678491592407227,-6.583980083465576,-9.678491592407227,-7.770300388336182,-7.8369832038879395
43,-9.526362419128418,-9.753759384155273,-6.097768783569336,-9.753759384155273,-7.389518737792969,-7.545616149902344
44,-8.38422966003418,-8.186564445495605,-4.713318824768066,-8.186564445495605,-6.162744045257568,-6.525365352630615
45,-9.52056884765625,-10.000443458557129,-6.327106475830078,-10.000443458557129,-7.612249851226807,-7.7256622314453125
46,-7.2018280029296875,-6.2077226638793945,-4.951448917388916,-6.2077226638793945,-6.6816558837890625,-6.601625442504883
47,-6.750805854797363,-5.851583957672119,-4.674010753631592,-5.851583957672119,-6.276808261871338,-6.410402297973633
48,-6.6997222900390625,-5.724029541015625,-4.501663684844971,-5.724029541015625,-6.006315231323242,-6.053689956665039
49,-6.627255439758301,-5.469045639038086,-4.355598449707031,-5.469045639038086,-5.878814697265625,-5.96335506439209
50,-7.62301778793335,-6.814485549926758,-5.4732770919799805,-6.814485549926758,-7.498311996459961,-6.9937744140625
51,-7.4321746826171875,-6.807843208312988,-4.963077545166016,-6.807843208312988,-6.719473361968994,-6.601625442504883
52,-6.977027893066406,-6.370940685272217,-4.819413185119629,-6.370940685272217,-6.682515621185303,-6.410402297973633
53,-6.945919990539551,-6.319365501403809,-4.658874988555908,-6.319365501403809,-6.3627777099609375,-6.053689956665039
54,-6.801275730133057,-6.056432723999023,-4.129648685455322,-6.056432723999023,-5.987039089202881,-5.96335506439209
55,-7.838444709777832,-7.332552909851074,-5.528033256530762,-7.332552909851074,-7.508056640625,-6.9937744140625
56,-8.494526863098145,-6.93945837020874,-5.771820545196533,-6.93945837020874,-7.142180919647217,-6.601625442504883
57,-8.238470077514648,-6.892941474914551,-5.997973442077637,-6.892941474914551,-7.770300388336182,-6.410402297973633
58,-7.999358177185059,-6.7003326416015625,-5.832252502441406,-6.7003326416015625,-7.389518737792969,-6.053689956665039
59,-8.002058029174805,-6.462372779846191,-4.873325347900391,-6.462372779846191,-6.162744045257568,-5.96335506439209
60,-8.850319862365723,-7.344104290008545,-6.149280071258545,-7.344104290008545,-7.612249851226807,-6.9937744140625
61,-8.793536186218262,-8.378410339355469,-6.108743667602539,-8.378410339355469,-6.6816558837890625,-8.861130714416504
62,-8.839170455932617,-8.245475769042969,-6.070105075836182,-8.245475769042969,-6.276808261871338,-9.050789833068848
63,-8.415351867675781,-7.7749714851379395,-5.850852966308594,-7.7749714851379395,-6.006315231323242,-8.569209098815918
64,-7.9374494552612305,-7.118200302124023,-5.749717712402344,-7.118200302124023,-5.878814697265625,-8.07453727722168
65,-9.769238471984863,-9.736318588256836,-6.800745487213135,-9.736318588256836,-7.498311996459961,-9.188849449157715
66,-8.665365219116211,-8.435343742370605,-6.507312774658203,-8.435343742370605,-6.719473361968994,-8.861130714416504
67,-9.013720512390137,-8.727798461914062,-6.714048385620117,-8.727798461914062,-6.682515621185303,-9.050789833068848
68,-8.609612464904785,-8.428048133850098,-6.451764106750488,-8.428048133850098,-6.3627777099609375,-8.569209098815918
69,-8.018932342529297,-7.492899417877197,-5.83186149597168,-7.492899417877197,-5.987039089202881,-8.07453727722168
70,-9.543599128723145,-9.747501373291016,-7.241813659667969,-9.747501373291016,-7.508056640625,-9.188849449157715
