idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.24200439453125,-6.20866584777832,-4.722073554992676,-6.20866584777832,-5.779628753662109,-6.6230058670043945
2,-7.991453647613525,-6.120833396911621,-4.611605644226074,-6.120833396911621,-5.813617706298828,-6.288920879364014
3,-7.796038627624512,-5.934197425842285,-4.455270290374756,-5.934197425842285,-5.2892842292785645,-6.181879997253418
4,-7.259817600250244,-5.152263164520264,-4.265271186828613,-5.152263164520264,-5.1724066734313965,-5.495945453643799
5,-8.099078178405762,-6.165719032287598,-5.188000202178955,-6.165719032287598,-6.580560684204102,-6.323142051696777
6,-7.820901393890381,-6.673044204711914,-4.516087532043457,-6.673044204711914,-5.588512420654297,-6.6230058670043945
7,-7.603489875793457,-6.608037948608398,-4.6338090896606445,-6.608037948608398,-5.8389668464660645,-6.288920879364014
8,-7.450585842132568,-6.459063529968262,-4.489635944366455,-6.459063529968262,-5.505312442779541,-6.181879997253418
9,-6.839582920074463,-5.515902042388916,-4.207630157470703,-5.515902042388916,-4.850626468658447,-5.495945453643799
10,-7.676302909851074,-6.488266944885254,-5.042382717132568,-6.488266944885254,-6.499209880828857,-6.323142051696777
11,-8.581741333007812,-7.001398086547852,-5.125472068786621,-7.001398086547852,-7.224668979644775,-6.6230058670043945
12,-8.4364652633667,-7.293362140655518,-5.57607889175415,-7.293362140655518,-7.623005390167236,-6.288920879364014
13,-8.30980396270752,-7.116617202758789,-5.221019744873047,-7.116617202758789,-7.0927557945251465,-6.181879997253418
14,-7.6632080078125,-6.102947235107422,-4.591662883758545,-6.102947235107422,-6.062992095947266,-5.495945453643799
15,-8.302291870117188,-6.759920597076416,-5.425612449645996,-6.759920597076416,-7.706995487213135,-6.323142051696777
16,-8.02647590637207,-7.509986877441406,-6.1188435554504395,-7.509986877441406,-5.779628753662109,-8.029598236083984
17,-7.772665023803711,-7.404689788818359,-5.782302379608154,-7.404689788818359,-5.813617706298828,-7.505712032318115
18,-7.499648571014404,-7.04580545425415,-5.659245014190674,-7.04580545425415,-5.2892842292785645,-7.428731441497803
19,-7.43369197845459,-6.476627826690674,-5.459203243255615,-6.476627826690674,-5.1724066734313965,-6.7106757164001465
20,-8.10411548614502,-7.870411396026611,-6.379854202270508,-7.870411396026611,-6.580560684204102,-8.02562427520752
21,-7.749903678894043,-7.961637020111084,-6.177289962768555,-7.961637020111084,-5.588512420654297,-8.029598236083984
22,-7.656367301940918,-7.909681797027588,-6.2775092124938965,-7.909681797027588,-5.8389668464660645,-7.505712032318115
23,-7.549844264984131,-7.713943004608154,-6.0772199630737305,-7.713943004608154,-5.505312442779541,-7.428731441497803
24,-7.128965377807617,-6.794948577880859,-5.558072090148926,-6.794948577880859,-4.850626468658447,-6.7106757164001465
25,-7.97230339050293,-8.054122924804688,-6.520402431488037,-8.054122924804688,-6.499209880828857,-8.02562427520752
26,-9.294499397277832,-9.160216331481934,-7.029690742492676,-9.160216331481934,-7.224668979644775,-8.029598236083984
27,-8.851531982421875,-9.35910701751709,-7.415151596069336,-9.35910701751709,-7.623005390167236,-7.505712032318115
28,-8.893267631530762,-9.245875358581543,-6.929721832275391,-9.245875358581543,-7.0927557945251465,-7.428731441497803
29,-8.554105758666992,-8.1123685836792,-5.892507076263428,-8.1123685836792,-6.062992095947266,-6.7106757164001465
30,-9.085853576660156,-8.845463752746582,-7.0668182373046875,-8.845463752746582,-7.706995487213135,-8.02562427520752
31,-8.118138313293457,-7.2260870933532715,-6.226618766784668,-7.2260870933532715,-5.779628753662109,-7.570982456207275
32,-8.0453519821167,-7.005834102630615,-5.915412902832031,-7.005834102630615,-5.813617706298828,-7.342548370361328
33,-7.8681488037109375,-7.257893085479736,-5.775996208190918,-7.257893085479736,-5.2892842292785645,-7.196340084075928
34,-7.004560470581055,-5.7433695793151855,-5.307806968688965,-5.7433695793151855,-5.1724066734313965,-5.961780071258545
35,-8.360894203186035,-7.608747959136963,-6.621451377868652,-7.608747959136963,-6.580560684204102,-7.670494079589844
36,-7.833641529083252,-7.4148993492126465,-5.946584701538086,-7.4148993492126465,-5.588512420654297,-7.570982456207275
37,-7.8839240074157715,-7.297135829925537,-6.001015663146973,-7.297135829925537,-5.8389668464660645,-7.342548370361328
38,-7.779546737670898,-7.542595386505127,-5.798218727111816,-7.542595386505127,-5.505312442779541,-7.196340084075928
39,-6.756467342376709,-5.863474369049072,-5.108965873718262,-5.863474369049072,-4.850626468658447,-5.961780071258545
40,-8.238333702087402,-7.800632476806641,-6.382444381713867,-7.800632476806641,-6.499209880828857,-7.670494079589844
41,-8.958393096923828,-8.632079124450684,-6.696173667907715,-8.632079124450684,-7.224668979644775,-7.570982456207275
42,-8.899971008300781,-8.899276733398438,-7.3110527992248535,-8.899276733398438,-7.623005390167236,-7.342548370361328
43,-8.948359489440918,-8.971397399902344,-6.685781478881836,-8.971397399902344,-7.0927557945251465,-7.196340084075928
44,-7.892388820648193,-7.338350772857666,-5.581522464752197,-7.338350772857666,-6.062992095947266,-5.961780071258545
45,-9.202547073364258,-8.684467315673828,-6.873201370239258,-8.684467315673828,-7.706995487213135,-7.670494079589844
46,-7.718479156494141,-5.8679304122924805,-3.6689109802246094,-5.8679304122924805,-5.779628753662109,-5.476963520050049
47,-7.222129821777344,-5.399379730224609,-3.5101380348205566,-5.399379730224609,-5.813617706298828,-5.06383752822876
48,-7.149031162261963,-5.233040809631348,-3.510296583175659,-5.233040809631348,-5.2892842292785645,-4.729961395263672
49,-7.2123870849609375,-5.118162155151367,-3.512425184249878,-5.118162155151367,-5.1724066734313965,-4.559571266174316
50,-8.104803085327148,-6.275575160980225,-4.214163780212402,-6.275575160980225,-6.580560684204102,-5.719582557678223
51,-7.64075231552124,-6.111235618591309,-3.5760936737060547,-6.111235618591309,-5.588512420654297,-5.476963520050049
52,-7.199109077453613,-5.626615047454834,-3.4587759971618652,-5.626615047454834,-5.8389668464660645,-5.06383752822876
53,-7.249124050140381,-5.606573104858398,-3.5195388793945312,-5.606573104858398,-5.505312442779541,-4.729961395263672
54,-7.321864128112793,-5.442669868469238,-3.285491943359375,-5.442669868469238,-4.850626468658447,-4.559571266174316
55,-8.102231979370117,-6.472702980041504,-3.9954590797424316,-6.472702980041504,-6.499209880828857,-5.719582557678223
