idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.031663417816162,-7.200888633728027,-4.713557243347168,-7.200888633728027,-5.251657962799072,-5.898806571960449
2,-6.841316223144531,-6.89509391784668,-4.476311206817627,-6.89509391784668,-5.049747467041016,-6.053661346435547
3,-6.885262966156006,-6.9766058921813965,-4.196037292480469,-6.9766058921813965,-4.800436496734619,-5.728259563446045
4,-6.073822021484375,-5.971578598022461,-3.879542112350464,-5.971578598022461,-4.693338871002197,-4.891887664794922
5,-7.296266078948975,-7.429117202758789,-5.132747650146484,-7.429117202758789,-5.926919460296631,-6.0336456298828125
6,-7.3517303466796875,-7.409306526184082,-4.405417442321777,-7.409306526184082,-6.162577152252197,-5.898806571960449
7,-7.165232181549072,-7.135059356689453,-4.5182600021362305,-7.135059356689453,-6.166908264160156,-6.053661346435547
8,-7.2051801681518555,-7.21926212310791,-4.065854072570801,-7.21926212310791,-5.9185919761657715,-5.728259563446045
9,-6.22487735748291,-6.080833911895752,-3.7032978534698486,-6.080833911895752,-5.171365737915039,-4.891887664794922
10,-7.558677673339844,-7.613234519958496,-4.971899032592773,-7.613234519958496,-6.996072292327881,-6.0336456298828125
11,-7.649813652038574,-7.641338348388672,-4.945852279663086,-7.641338348388672,-6.287668704986572,-5.898806571960449
12,-7.598511695861816,-7.646866798400879,-5.712338447570801,-7.646866798400879,-7.156017303466797,-6.053661346435547
13,-7.7681708335876465,-7.734646797180176,-5.111321926116943,-7.734646797180176,-6.372231960296631,-5.728259563446045
14,-6.912164211273193,-6.710782527923584,-4.31576681137085,-6.710782527923584,-5.127729892730713,-4.891887664794922
15,-7.8258867263793945,-7.842495441436768,-5.538540840148926,-7.842495441436768,-6.815950870513916,-6.0336456298828125
16,-8.523406028747559,-8.940760612487793,-6.199087142944336,-8.940760612487793,-5.251657962799072,-7.857062816619873
17,-8.856706619262695,-9.326386451721191,-6.045404434204102,-9.326386451721191,-5.049747467041016,-8.621150970458984
18,-8.169085502624512,-8.397958755493164,-5.604758262634277,-8.397958755493164,-4.800436496734619,-7.834549427032471
19,-7.511272430419922,-7.287225723266602,-5.351217269897461,-7.287225723266602,-4.693338871002197,-6.564798831939697
20,-8.510482788085938,-9.019689559936523,-6.521574020385742,-9.019689559936523,-5.926919460296631,-7.805612087249756
21,-9.153412818908691,-9.537307739257812,-6.249991416931152,-9.537307739257812,-6.162577152252197,-7.857062816619873
22,-9.461695671081543,-9.825705528259277,-6.502755641937256,-9.825705528259277,-6.166908264160156,-8.621150970458984
23,-8.849698066711426,-8.9373779296875,-5.92135763168335,-8.9373779296875,-5.9185919761657715,-7.834549427032471
24,-7.850052833557129,-7.6970438957214355,-5.426018238067627,-7.6970438957214355,-5.171365737915039,-6.564798831939697
25,-9.164217948913574,-9.444823265075684,-6.774173736572266,-9.444823265075684,-6.996072292327881,-7.805612087249756
