idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.259127616882324,-6.827587127685547,-4.579061985015869,-6.827587127685547,-5.3481574058532715,-6.113039016723633
2,-6.939496040344238,-6.6351189613342285,-4.655062675476074,-6.6351189613342285,-5.400782108306885,-5.979068756103516
3,-6.878701686859131,-6.3816728591918945,-4.415591239929199,-6.3816728591918945,-5.07016658782959,-5.901228904724121
4,-6.444932460784912,-5.774306297302246,-4.105241298675537,-5.774306297302246,-4.734455585479736,-5.509695529937744
5,-7.497027397155762,-6.9713454246521,-5.2735185623168945,-6.9713454246521,-6.351747989654541,-6.054553031921387
6,-7.484556674957275,-7.2774338722229,-4.4931840896606445,-7.2774338722229,-5.804093837738037,-6.113039016723633
7,-7.230587005615234,-7.167476177215576,-4.537537574768066,-7.167476177215576,-5.98180627822876,-5.979068756103516
8,-7.177136421203613,-6.891098976135254,-4.299074172973633,-6.891098976135254,-5.594760894775391,-5.901228904724121
9,-6.691227912902832,-6.236817359924316,-3.9132652282714844,-6.236817359924316,-4.88578462600708,-5.509695529937744
10,-7.6135358810424805,-7.3378005027771,-5.254856109619141,-7.3378005027771,-6.85894775390625,-6.054553031921387
11,-7.993368625640869,-7.12359619140625,-5.514428615570068,-7.12359619140625,-7.257435321807861,-6.113039016723633
12,-7.7837066650390625,-7.270622253417969,-5.9779767990112305,-7.270622253417969,-7.8424906730651855,-5.979068756103516
13,-7.7051286697387695,-6.997507572174072,-5.757620811462402,-6.997507572174072,-7.441443920135498,-5.901228904724121
14,-7.334573268890381,-6.286743640899658,-4.8308610916137695,-6.286743640899658,-5.756124973297119,-5.509695529937744
15,-7.982100009918213,-7.153359413146973,-6.080735206604004,-7.153359413146973,-8.047450065612793,-6.054553031921387
16,-9.040367126464844,-7.866701126098633,-5.599618911743164,-7.866701126098633,-5.3481574058532715,-7.30996561050415
17,-8.570974349975586,-7.396595001220703,-5.570944786071777,-7.396595001220703,-5.400782108306885,-7.440492153167725
18,-8.74309253692627,-7.454074382781982,-5.349032402038574,-7.454074382781982,-5.07016658782959,-7.497430324554443
19,-8.291141510009766,-6.867952823638916,-5.222290992736816,-6.867952823638916,-4.734455585479736,-6.932929992675781
20,-9.158350944519043,-8.183245658874512,-6.147027969360352,-8.183245658874512,-6.351747989654541,-7.393858432769775
21,-9.09434700012207,-8.31472110748291,-5.727334976196289,-8.31472110748291,-5.804093837738037,-7.30996561050415
22,-8.764945030212402,-7.938270568847656,-5.695209503173828,-7.938270568847656,-5.98180627822876,-7.440492153167725
23,-8.98495864868164,-7.938022613525391,-5.343229293823242,-7.938022613525391,-5.594760894775391,-7.497430324554443
24,-8.217157363891602,-7.149937152862549,-5.088740825653076,-7.149937152862549,-4.88578462600708,-6.932929992675781
25,-9.432428359985352,-8.662816047668457,-6.246795654296875,-8.662816047668457,-6.85894775390625,-7.393858432769775
26,-8.937994003295898,-8.403681755065918,-7.045371055603027,-8.403681755065918,-7.257435321807861,-7.30996561050415
27,-8.873900413513184,-8.836146354675293,-7.39998197555542,-8.836146354675293,-7.8424906730651855,-7.440492153167725
28,-8.951743125915527,-8.640154838562012,-7.313137531280518,-8.640154838562012,-7.441443920135498,-7.497430324554443
29,-8.181963920593262,-7.310896396636963,-5.961855888366699,-7.310896396636963,-5.756124973297119,-6.932929992675781
30,-9.131542205810547,-8.7330904006958,-7.52681303024292,-8.7330904006958,-8.047450065612793,-7.393858432769775
31,-9.095712661743164,-7.9228596687316895,-4.850800514221191,-7.9228596687316895,-5.3481574058532715,-6.759591579437256
32,-8.736740112304688,-7.3300042152404785,-4.890756607055664,-7.3300042152404785,-5.400782108306885,-6.436958312988281
33,-8.63062858581543,-7.6078667640686035,-4.613595008850098,-7.6078667640686035,-5.07016658782959,-6.4426093101501465
34,-7.515469074249268,-6.499874114990234,-4.177175521850586,-6.499874114990234,-4.734455585479736,-6.0013747215271
35,-9.88404655456543,-8.901901245117188,-5.511782646179199,-8.901901245117188,-6.351747989654541,-7.193172454833984
36,-9.582317352294922,-8.512164115905762,-4.976404190063477,-8.512164115905762,-5.804093837738037,-6.759591579437256
37,-9.095245361328125,-7.93948221206665,-4.993045806884766,-7.93948221206665,-5.98180627822876,-6.436958312988281
38,-8.989511489868164,-8.179778099060059,-4.571220397949219,-8.179778099060059,-5.594760894775391,-6.4426093101501465
39,-7.938767433166504,-7.063859462738037,-4.020398139953613,-7.063859462738037,-4.88578462600708,-6.0013747215271
40,-10.29712963104248,-9.383712768554688,-5.711085319519043,-9.383712768554688,-6.85894775390625,-7.193172454833984
41,-9.954069137573242,-9.618815422058105,-6.057923793792725,-9.618815422058105,-7.257435321807861,-6.759591579437256
42,-9.720678329467773,-9.493256568908691,-6.560436248779297,-9.493256568908691,-7.8424906730651855,-6.436958312988281
43,-9.55654525756836,-9.679620742797852,-6.332106590270996,-9.679620742797852,-7.441443920135498,-6.4426093101501465
44,-8.45685863494873,-8.301016807556152,-5.095837593078613,-8.301016807556152,-5.756124973297119,-6.0013747215271
45,-10.363191604614258,-10.247505187988281,-6.67084264755249,-10.247505187988281,-8.047450065612793,-7.193172454833984
46,-7.128822326660156,-6.290972709655762,-4.588064193725586,-6.290972709655762,-5.3481574058532715,-5.944467544555664
47,-6.792030334472656,-5.877744674682617,-4.454703330993652,-5.877744674682617,-5.400782108306885,-5.961599349975586
48,-6.746849060058594,-5.743676662445068,-4.279988765716553,-5.743676662445068,-5.07016658782959,-5.507917404174805
49,-6.08223819732666,-4.866265296936035,-4.0545654296875,-4.866265296936035,-4.734455585479736,-4.719026565551758
50,-7.4372711181640625,-6.828258037567139,-5.078976631164551,-6.828258037567139,-6.351747989654541,-6.403193473815918
51,-7.465797424316406,-6.646378040313721,-4.77935266494751,-6.646378040313721,-5.804093837738037,-5.944467544555664
52,-7.0929670333862305,-6.274535179138184,-4.672257900238037,-6.274535179138184,-5.98180627822876,-5.961599349975586
53,-6.924873352050781,-6.08824348449707,-4.2932000160217285,-6.08824348449707,-5.594760894775391,-5.507917404174805
54,-6.185745716094971,-5.227808475494385,-3.9354896545410156,-5.227808475494385,-4.88578462600708,-4.719026565551758
55,-7.717288017272949,-7.02815580368042,-5.405694484710693,-7.02815580368042,-6.85894775390625,-6.403193473815918
56,-8.205855369567871,-7.664610385894775,-5.182701110839844,-7.664610385894775,-7.257435321807861,-5.944467544555664
57,-7.9850172996521,-7.508052825927734,-5.4046149253845215,-7.508052825927734,-7.8424906730651855,-5.961599349975586
58,-7.675418853759766,-7.327963829040527,-5.243114471435547,-7.327963829040527,-7.441443920135498,-5.507917404174805
59,-6.865671634674072,-6.282785415649414,-4.3588080406188965,-6.282785415649414,-5.756124973297119,-4.719026565551758
60,-8.375555992126465,-8.097411155700684,-5.638003349304199,-8.097411155700684,-8.047450065612793,-6.403193473815918
61,-8.87578010559082,-8.260860443115234,-6.209424018859863,-8.260860443115234,-5.3481574058532715,-7.788164138793945
62,-8.256966590881348,-7.767279148101807,-6.196760177612305,-7.767279148101807,-5.400782108306885,-7.798062801361084
63,-8.527501106262207,-8.103362083435059,-5.942073822021484,-8.103362083435059,-5.07016658782959,-7.909553527832031
64,-7.718058109283447,-7.295139312744141,-5.8110857009887695,-7.295139312744141,-4.734455585479736,-7.640226364135742
65,-9.165273666381836,-8.990936279296875,-6.882631778717041,-8.990936279296875,-6.351747989654541,-7.769677639007568
66,-9.578800201416016,-9.186854362487793,-6.342639923095703,-9.186854362487793,-5.804093837738037,-7.788164138793945
67,-9.113722801208496,-8.721756935119629,-6.415345191955566,-8.721756935119629,-5.98180627822876,-7.798062801361084
