idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.498737335205078,-4.837981224060059,-4.965507507324219,-4.837981224060059,-5.193746089935303,-5.680422306060791
2,-6.332540035247803,-4.891051292419434,-5.028886318206787,-4.891051292419434,-5.014916896820068,-5.263311386108398
3,-6.176931381225586,-4.931166648864746,-4.911462306976318,-4.931166648864746,-5.015009880065918,-5.2109527587890625
4,-5.852266788482666,-4.261106491088867,-4.861634254455566,-4.261106491088867,-4.845729351043701,-5.162113189697266
5,-6.428232669830322,-4.851329803466797,-5.49757194519043,-4.851329803466797,-5.986875057220459,-5.434103488922119
6,-6.952246189117432,-4.980181694030762,-5.068306922912598,-4.980181694030762,-6.473527431488037,-5.680422306060791
7,-6.847936153411865,-5.128106117248535,-5.252325534820557,-5.128106117248535,-6.2856669425964355,-5.263311386108398
8,-6.751405239105225,-5.100558757781982,-5.0691351890563965,-5.100558757781982,-6.278402805328369,-5.2109527587890625
9,-6.319928169250488,-4.387755393981934,-4.847773551940918,-4.387755393981934,-5.755479335784912,-5.162113189697266
10,-6.894400119781494,-4.998316287994385,-5.521678447723389,-4.998316287994385,-7.00607442855835,-5.434103488922119
11,-7.326303958892822,-6.7896013259887695,-5.510270595550537,-6.7896013259887695,-6.660337924957275,-5.680422306060791
12,-6.968617916107178,-6.942109107971191,-5.6472954750061035,-6.942109107971191,-6.907686710357666,-5.263311386108398
13,-6.977194309234619,-7.072272300720215,-5.4534010887146,-7.072272300720215,-6.392028331756592,-5.2109527587890625
14,-6.493100166320801,-6.163992404937744,-4.723126411437988,-6.163992404937744,-5.23615837097168,-5.162113189697266
15,-7.000052452087402,-6.610989570617676,-5.687510013580322,-6.610989570617676,-7.067147731781006,-5.434103488922119
16,-8.076374053955078,-7.1786789894104,-7.44608211517334,-7.1786789894104,-5.193746089935303,-8.278002738952637
17,-8.198722839355469,-6.959146499633789,-7.62587308883667,-6.959146499633789,-5.014916896820068,-7.77518892288208
18,-8.20846939086914,-7.343601703643799,-7.497053623199463,-7.343601703643799,-5.015009880065918,-8.18703556060791
