idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.314194679260254,-6.671047210693359,-5.546775817871094,-6.671047210693359,-6.268418788909912,-6.6628007888793945
2,-6.71492862701416,-6.218653678894043,-5.3994011878967285,-6.218653678894043,-5.983880519866943,-6.35418701171875
3,-6.494804382324219,-5.633692741394043,-5.108664512634277,-5.633692741394043,-5.474891185760498,-6.164399147033691
4,-6.363829612731934,-5.608895301818848,-5.055747032165527,-5.608895301818848,-5.2686991691589355,-6.046286582946777
5,-6.920016288757324,-6.531196594238281,-5.834973335266113,-6.531196594238281,-6.9523749351501465,-5.952648162841797
6,-7.4544525146484375,-7.396673202514648,-5.5129899978637695,-7.396673202514648,-6.4026336669921875,-6.6628007888793945
7,-6.940052032470703,-7.026012420654297,-5.488243103027344,-7.026012420654297,-6.3003315925598145,-6.35418701171875
8,-6.647510528564453,-6.425156593322754,-5.224343299865723,-6.425156593322754,-5.793951034545898,-6.164399147033691
9,-6.570334434509277,-6.335847854614258,-4.861947536468506,-6.335847854614258,-5.262626647949219,-6.046286582946777
10,-7.171348571777344,-7.268568992614746,-5.783997058868408,-7.268568992614746,-6.902299404144287,-5.952648162841797
11,-7.326081275939941,-6.866033554077148,-5.970507621765137,-6.866033554077148,-7.180788516998291,-6.6628007888793945
12,-7.04489803314209,-6.95394229888916,-6.116586685180664,-6.95394229888916,-7.3607354164123535,-6.35418701171875
13,-6.8482866287231445,-6.433359146118164,-5.906033515930176,-6.433359146118164,-7.042915344238281,-6.164399147033691
14,-6.885916233062744,-6.329993724822998,-5.240203857421875,-6.329993724822998,-5.492736339569092,-6.046286582946777
15,-6.764188289642334,-6.614529609680176,-5.991341590881348,-6.614529609680176,-7.343456268310547,-5.952648162841797
16,-8.387235641479492,-7.462026119232178,-6.96092414855957,-7.462026119232178,-6.268418788909912,-8.369114875793457
17,-8.306102752685547,-7.557746410369873,-6.9083147048950195,-7.557746410369873,-5.983880519866943,-8.538561820983887
18,-8.248315811157227,-7.413424968719482,-6.737731456756592,-7.413424968719482,-5.474891185760498,-8.770344734191895
19,-7.574764251708984,-6.741922378540039,-6.683743476867676,-6.741922378540039,-5.2686991691589355,-8.513205528259277
20,-8.98594856262207,-8.05612850189209,-7.179103851318359,-8.05612850189209,-6.9523749351501465,-8.28848648071289
21,-8.60743522644043,-8.132892608642578,-7.291580677032471,-8.132892608642578,-6.4026336669921875,-8.369114875793457
22,-8.638763427734375,-8.3497896194458,-7.225690841674805,-8.3497896194458,-6.3003315925598145,-8.538561820983887
23,-8.620150566101074,-8.204163551330566,-7.110645294189453,-8.204163551330566,-5.793951034545898,-8.770344734191895
24,-7.857850074768066,-7.3332085609436035,-6.470860481262207,-7.3332085609436035,-5.262626647949219,-8.513205528259277
25,-9.200141906738281,-8.684416770935059,-7.421114921569824,-8.684416770935059,-6.902299404144287,-8.28848648071289
26,-7.741329193115234,-8.026799201965332,-8.211645126342773,-8.026799201965332,-7.180788516998291,-8.369114875793457
27,-8.208240509033203,-8.220036506652832,-8.335309982299805,-8.220036506652832,-7.3607354164123535,-8.538561820983887
28,-8.360983848571777,-8.396993637084961,-8.166515350341797,-8.396993637084961,-7.042915344238281,-8.770344734191895
29,-7.684628009796143,-7.542657375335693,-7.098518371582031,-7.542657375335693,-5.492736339569092,-8.513205528259277
30,-8.375664710998535,-8.172999382019043,-8.380226135253906,-8.172999382019043,-7.343456268310547,-8.28848648071289
31,-9.169729232788086,-7.749654293060303,-6.191111087799072,-7.749654293060303,-6.268418788909912,-7.598634243011475
32,-9.240074157714844,-7.86676025390625,-6.04849100112915,-7.86676025390625,-5.983880519866943,-8.156634330749512
33,-9.133553504943848,-7.353643894195557,-5.717953205108643,-7.353643894195557,-5.474891185760498,-7.985764026641846
34,-8.409579277038574,-6.289272308349609,-5.586613655090332,-6.289272308349609,-5.2686991691589355,-7.42889404296875
35,-9.437333106994629,-8.332802772521973,-6.707596778869629,-8.332802772521973,-6.9523749351501465,-7.461279392242432
36,-9.157428741455078,-8.670952796936035,-6.548847198486328,-8.670952796936035,-6.4026336669921875,-7.598634243011475
37,-9.22950553894043,-8.825213432312012,-6.463877201080322,-8.825213432312012,-6.3003315925598145,-8.156634330749512
38,-9.075702667236328,-8.284831047058105,-6.1786580085754395,-8.284831047058105,-5.793951034545898,-7.985764026641846
39,-8.245878219604492,-7.1382737159729,-5.559547424316406,-7.1382737159729,-5.262626647949219,-7.42889404296875
40,-9.423755645751953,-9.220964431762695,-7.052961349487305,-9.220964431762695,-6.902299404144287,-7.461279392242432
41,-9.11947250366211,-8.83935546875,-7.500080108642578,-8.83935546875,-7.180788516998291,-7.598634243011475
42,-9.606833457946777,-9.216826438903809,-7.465036392211914,-9.216826438903809,-7.3607354164123535,-8.156634330749512
43,-9.431797981262207,-8.871020317077637,-7.353017330169678,-8.871020317077637,-7.042915344238281,-7.985764026641846
44,-8.812064170837402,-7.803153991699219,-6.391861438751221,-7.803153991699219,-5.492736339569092,-7.42889404296875
45,-9.258545875549316,-9.007874488830566,-7.787972450256348,-9.007874488830566,-7.343456268310547,-7.461279392242432
46,-8.130515098571777,-7.663887023925781,-5.141274452209473,-7.663887023925781,-6.268418788909912,-6.409494876861572
47,-7.1274213790893555,-6.764030456542969,-4.8322553634643555,-6.764030456542969,-5.983880519866943,-5.8866376876831055
48,-7.200327396392822,-6.744420051574707,-4.559924602508545,-6.744420051574707,-5.474891185760498,-5.610301494598389
49,-6.627573490142822,-5.998594284057617,-4.455508708953857,-5.998594284057617,-5.2686991691589355,-5.416469097137451
50,-8.621614456176758,-8.555391311645508,-5.725444316864014,-8.555391311645508,-6.9523749351501465,-6.389263153076172
51,-8.0443754196167,-8.023805618286133,-5.275341033935547,-8.023805618286133,-6.4026336669921875,-6.409494876861572
52,-7.041987419128418,-7.0826416015625,-5.066428184509277,-7.0826416015625,-6.3003315925598145,-5.8866376876831055
53,-7.076769828796387,-7.120870590209961,-4.854208469390869,-7.120870590209961,-5.793951034545898,-5.610301494598389
54,-6.626466274261475,-6.351778984069824,-4.338148593902588,-6.351778984069824,-5.262626647949219,-5.416469097137451
55,-8.510744094848633,-8.994660377502441,-5.88214635848999,-8.994660377502441,-6.902299404144287,-6.389263153076172
56,-7.915050506591797,-8.095430374145508,-5.874517440795898,-8.095430374145508,-7.180788516998291,-6.409494876861572
57,-7.199584007263184,-7.351056098937988,-5.910552978515625,-7.351056098937988,-7.3607354164123535,-5.8866376876831055
58,-7.20352840423584,-7.469358444213867,-5.6638288497924805,-7.469358444213867,-7.042915344238281,-5.610301494598389
59,-6.98431921005249,-6.836268424987793,-5.09590482711792,-6.836268424987793,-5.492736339569092,-5.416469097137451
60,-8.089165687561035,-8.858135223388672,-6.318368434906006,-8.858135223388672,-7.343456268310547,-6.389263153076172
61,-9.335282325744629,-9.117253303527832,-7.524065971374512,-9.117253303527832,-6.268418788909912,-8.866813659667969
62,-9.339827537536621,-9.202987670898438,-7.423850059509277,-9.202987670898438,-5.983880519866943,-9.09321117401123
63,-9.176713943481445,-8.89124870300293,-6.980671405792236,-8.89124870300293,-5.474891185760498,-8.956286430358887
64,-8.551397323608398,-8.238421440124512,-6.855410575866699,-8.238421440124512,-5.2686991691589355,-8.763197898864746
65,-9.726579666137695,-9.487622261047363,-8.047853469848633,-9.487622261047363,-6.9523749351501465,-8.503998756408691
66,-9.803265571594238,-10.38841724395752,-7.878301620483398,-10.38841724395752,-6.4026336669921875,-8.866813659667969
67,-9.872116088867188,-10.550612449645996,-7.8753743171691895,-10.550612449645996,-6.3003315925598145,-9.09321117401123
68,-9.73902702331543,-10.28543758392334,-7.592898845672607,-10.28543758392334,-5.793951034545898,-8.956286430358887
69,-8.966846466064453,-9.396449089050293,-6.945149898529053,-9.396449089050293,-5.262626647949219,-8.763197898864746
70,-10.221195220947266,-10.806793212890625,-8.45419692993164,-10.806793212890625,-6.902299404144287,-8.503998756408691
71,-8.967118263244629,-10.2201509475708,-8.42655086517334,-10.2201509475708,-7.180788516998291,-8.866813659667969
72,-9.244880676269531,-10.301411628723145,-8.669954299926758,-10.301411628723145,-7.3607354164123535,-9.09321117401123
73,-9.585972785949707,-10.5261869430542,-8.3156156539917,-10.5261869430542,-7.042915344238281,-8.956286430358887
74,-9.066338539123535,-9.512946128845215,-7.34333610534668,-9.512946128845215,-5.492736339569092,-8.763197898864746
75,-9.730464935302734,-10.454737663269043,-8.710030555725098,-10.454737663269043,-7.343456268310547,-8.503998756408691
76,-8.241523742675781,-7.029029846191406,-5.688412189483643,-7.029029846191406,-6.268418788909912,-7.030311584472656
77,-7.612174987792969,-6.547534465789795,-5.438732624053955,-6.547534465789795,-5.983880519866943,-6.559652328491211
78,-7.371803283691406,-6.022419452667236,-5.183495998382568,-6.022419452667236,-5.474891185760498,-6.245059967041016
79,-7.183274745941162,-5.79754638671875,-5.066640377044678,-5.79754638671875,-5.2686991691589355,-5.871367454528809
80,-7.866659641265869,-7.00355339050293,-6.071473121643066,-7.00355339050293,-6.9523749351501465,-6.5691657066345215
81,-8.061843872070312,-7.417607307434082,-5.673269748687744,-7.417607307434082,-6.4026336669921875,-7.030311584472656
82,-7.521263122558594,-6.978283882141113,-5.619266510009766,-6.978283882141113,-6.3003315925598145,-6.559652328491211
83,-7.212089538574219,-6.488020896911621,-5.413573265075684,-6.488020896911621,-5.793951034545898,-6.245059967041016
84,-7.046034336090088,-6.250292778015137,-4.864912986755371,-6.250292778015137,-5.262626647949219,-5.871367454528809
85,-7.773798942565918,-7.333622932434082,-6.190718650817871,-7.333622932434082,-6.902299404144287,-6.5691657066345215
86,-7.8361711502075195,-7.415903091430664,-6.174936294555664,-7.415903091430664,-7.180788516998291,-7.030311584472656
87,-7.297050476074219,-7.039778709411621,-6.233377456665039,-7.039778709411621,-7.3607354164123535,-6.559652328491211
88,-7.084509372711182,-6.567769527435303,-6.0912041664123535,-6.567769527435303,-7.042915344238281,-6.245059967041016
89,-7.048057556152344,-6.435425281524658,-5.27919864654541,-6.435425281524658,-5.492736339569092,-5.871367454528809
90,-7.390370845794678,-7.069369316101074,-6.486520290374756,-7.069369316101074,-7.343456268310547,-6.5691657066345215
91,-8.972326278686523,-8.733302116394043,-7.170629501342773,-8.733302116394043,-6.268418788909912,-8.174835205078125
92,-8.732048988342285,-8.704126358032227,-7.186267852783203,-8.704126358032227,-5.983880519866943,-8.577726364135742
