idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.864762306213379,-5.395930290222168,-4.509134769439697,-5.395930290222168,-6.69336462020874,-5.9303741455078125
2,-6.720346927642822,-5.155424118041992,-4.2909836769104,-5.155424118041992,-6.346673488616943,-5.7344560623168945
3,-6.804739475250244,-5.311664581298828,-3.9250922203063965,-5.311664581298828,-5.802036285400391,-5.518559455871582
4,-6.215012550354004,-4.597623348236084,-3.8830440044403076,-4.597623348236084,-5.8327789306640625,-5.289224624633789
5,-7.16719913482666,-5.813138008117676,-4.6891069412231445,-5.813138008117676,-7.190406799316406,-5.701320171356201
6,-7.3020172119140625,-5.776907920837402,-4.484339714050293,-5.776907920837402,-7.322493076324463,-5.9303741455078125
7,-7.1079254150390625,-5.55804967880249,-4.388976097106934,-5.55804967880249,-7.065839767456055,-5.7344560623168945
8,-7.263674736022949,-5.813244819641113,-3.9740004539489746,-5.813244819641113,-6.487045764923096,-5.518559455871582
9,-6.6558990478515625,-5.0525007247924805,-3.6484787464141846,-5.0525007247924805,-6.101084232330322,-5.289224624633789
10,-7.572000026702881,-6.094826698303223,-4.584433078765869,-6.094826698303223,-7.54764986038208,-5.701320171356201
11,-8.078132629394531,-6.482992649078369,-5.389382839202881,-6.482992649078369,-7.88220739364624,-5.9303741455078125
12,-7.9863433837890625,-6.605681896209717,-5.553240776062012,-6.605681896209717,-7.682476043701172,-5.7344560623168945
13,-8.04997730255127,-6.685971736907959,-5.180140495300293,-6.685971736907959,-7.427432537078857,-5.518559455871582
14,-7.627741813659668,-6.275343894958496,-4.3844709396362305,-6.275343894958496,-6.130914211273193,-5.289224624633789
15,-8.3311767578125,-6.778482437133789,-5.43425989151001,-6.778482437133789,-8.162430763244629,-5.701320171356201
16,-8.92632007598877,-8.442127227783203,-6.6292500495910645,-8.442127227783203,-6.69336462020874,-8.522871971130371
17,-8.712777137756348,-8.239142417907715,-6.514303207397461,-8.239142417907715,-6.346673488616943,-8.390276908874512
18,-8.959473609924316,-8.56433391571045,-6.040558815002441,-8.56433391571045,-5.802036285400391,-8.317501068115234
19,-7.983783721923828,-6.914346218109131,-6.039460182189941,-6.914346218109131,-5.8327789306640625,-7.3133320808410645
20,-9.280526161193848,-9.016021728515625,-6.824891567230225,-9.016021728515625,-7.190406799316406,-8.47569751739502
21,-9.369160652160645,-9.359770774841309,-6.655935287475586,-9.359770774841309,-7.322493076324463,-8.522871971130371
22,-9.41576099395752,-9.380878448486328,-6.562712669372559,-9.380878448486328,-7.065839767456055,-8.390276908874512
23,-9.547660827636719,-9.735858917236328,-6.070281505584717,-9.735858917236328,-6.487045764923096,-8.317501068115234
24,-8.434256553649902,-7.952438831329346,-5.7404279708862305,-7.952438831329346,-6.101084232330322,-7.3133320808410645
25,-9.74560546875,-9.928390502929688,-6.617654800415039,-9.928390502929688,-7.54764986038208,-8.47569751739502
26,-9.311814308166504,-9.423956871032715,-7.747394561767578,-9.423956871032715,-7.88220739364624,-8.522871971130371
27,-9.378551483154297,-9.78197193145752,-7.7235026359558105,-9.78197193145752,-7.682476043701172,-8.390276908874512
28,-9.62252426147461,-10.361420631408691,-7.537952423095703,-10.361420631408691,-7.427432537078857,-8.317501068115234
29,-8.47372055053711,-8.583771705627441,-6.331609725952148,-8.583771705627441,-6.130914211273193,-7.3133320808410645
30,-9.541500091552734,-9.866923332214355,-7.753444194793701,-9.866923332214355,-8.162430763244629,-8.47569751739502
31,-7.9163408279418945,-7.687004089355469,-6.35519552230835,-7.687004089355469,-6.69336462020874,-7.999194622039795
32,-7.369407653808594,-7.2906317710876465,-6.078083038330078,-7.2906317710876465,-6.346673488616943,-7.441673278808594
33,-7.5382771492004395,-7.168592929840088,-5.527851581573486,-7.168592929840088,-5.802036285400391,-7.429261684417725
34,-6.562551498413086,-5.575022220611572,-5.591593265533447,-5.575022220611572,-5.8327789306640625,-6.397854328155518
35,-8.444375991821289,-8.472386360168457,-6.635653018951416,-8.472386360168457,-7.190406799316406,-7.890696048736572
36,-8.183878898620605,-8.087523460388184,-6.2949724197387695,-8.087523460388184,-7.322493076324463,-7.999194622039795
37,-7.589183807373047,-7.658067226409912,-5.995611190795898,-7.658067226409912,-7.065839767456055,-7.441673278808594
38,-7.748805522918701,-7.700833797454834,-5.480545997619629,-7.700833797454834,-6.487045764923096,-7.429261684417725
39,-6.797305107116699,-6.0871710777282715,-5.24918270111084,-6.0871710777282715,-6.101084232330322,-6.397854328155518
40,-8.610710144042969,-8.921435356140137,-6.419390678405762,-8.921435356140137,-7.54764986038208,-7.890696048736572
41,-8.949986457824707,-9.44902515411377,-7.480525016784668,-9.44902515411377,-7.88220739364624,-7.999194622039795
42,-8.478160858154297,-9.211569786071777,-7.313936233520508,-9.211569786071777,-7.682476043701172,-7.441673278808594
43,-8.646941184997559,-9.451327323913574,-7.106666088104248,-9.451327323913574,-7.427432537078857,-7.429261684417725
44,-7.635035514831543,-7.706544399261475,-5.940595626831055,-7.706544399261475,-6.130914211273193,-6.397854328155518
45,-9.20280647277832,-9.73693561553955,-7.420259475708008,-9.73693561553955,-8.162430763244629,-7.890696048736572
