idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.704787254333496,-5.820340156555176,-4.8783111572265625,-5.820340156555176,-5.952489376068115,-5.6050639152526855
2,-6.52542781829834,-5.709712982177734,-4.50717306137085,-5.709712982177734,-5.276193141937256,-5.702023506164551
3,-6.673171043395996,-5.834768772125244,-4.497415065765381,-5.834768772125244,-5.431251525878906,-5.766643524169922
4,-6.011105537414551,-5.013450622558594,-4.226366996765137,-5.013450622558594,-5.050290584564209,-5.076253890991211
5,-6.756052494049072,-5.857473373413086,-4.724336624145508,-5.857473373413086,-6.259687900543213,-5.43058967590332
6,-7.179749965667725,-6.661021709442139,-4.4780144691467285,-6.661021709442139,-6.276912212371826,-5.6050639152526855
7,-7.030830383300781,-6.501071929931641,-4.268792629241943,-6.501071929931641,-5.907108306884766,-5.702023506164551
8,-7.1410932540893555,-6.590953826904297,-4.243589878082275,-6.590953826904297,-5.7537689208984375,-5.766643524169922
9,-6.324302673339844,-5.6460981369018555,-3.608196258544922,-5.6460981369018555,-5.0645928382873535,-5.076253890991211
10,-7.281865119934082,-6.669284820556641,-4.44943904876709,-6.669284820556641,-6.8080267906188965,-5.43058967590332
11,-7.2284040451049805,-7.185328483581543,-5.266260623931885,-7.185328483581543,-7.204387187957764,-5.6050639152526855
12,-7.2401838302612305,-7.2252726554870605,-5.539464473724365,-7.2252726554870605,-7.3251776695251465,-5.702023506164551
13,-7.3289289474487305,-7.288651943206787,-5.285563945770264,-7.288651943206787,-6.848928928375244,-5.766643524169922
14,-6.360730171203613,-6.183603286743164,-4.243839263916016,-6.183603286743164,-5.869178295135498,-5.076253890991211
15,-7.3540754318237305,-7.187185764312744,-5.244337558746338,-7.187185764312744,-7.2802300453186035,-5.43058967590332
16,-8.791219711303711,-7.383826732635498,-6.2151265144348145,-7.383826732635498,-5.952489376068115,-7.858306884765625
17,-8.744099617004395,-7.712726593017578,-5.623641490936279,-7.712726593017578,-5.276193141937256,-7.974666118621826
18,-8.572711944580078,-7.46003532409668,-5.724242687225342,-7.46003532409668,-5.431251525878906,-8.105674743652344
19,-7.789216041564941,-6.315620422363281,-5.512789726257324,-6.315620422363281,-5.050290584564209,-7.459414958953857
20,-8.590898513793945,-7.513782501220703,-6.009574890136719,-7.513782501220703,-6.259687900543213,-7.614288806915283
21,-9.183235168457031,-8.280961036682129,-6.390612602233887,-8.280961036682129,-6.276912212371826,-7.858306884765625
22,-9.284553527832031,-8.696084022521973,-6.163958549499512,-8.696084022521973,-5.907108306884766,-7.974666118621826
23,-9.087326049804688,-8.323882102966309,-6.00626277923584,-8.323882102966309,-5.7537689208984375,-8.105674743652344
24,-8.302191734313965,-7.160476207733154,-5.26717472076416,-7.160476207733154,-5.0645928382873535,-7.459414958953857
25,-9.118091583251953,-8.512602806091309,-6.294785499572754,-8.512602806091309,-6.8080267906188965,-7.614288806915283
26,-9.517312049865723,-9.867744445800781,-7.317905902862549,-9.867744445800781,-7.204387187957764,-7.858306884765625
