idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.105574131011963,-6.925914764404297,-4.820455074310303,-6.925914764404297,-5.782527446746826,-6.874627113342285
2,-6.416489601135254,-6.241874694824219,-4.301558017730713,-6.241874694824219,-5.417179584503174,-6.1137309074401855
3,-6.377493858337402,-6.182709693908691,-4.231321811676025,-6.182709693908691,-5.1063923835754395,-5.780438423156738
4,-5.540539741516113,-5.066823959350586,-3.7414441108703613,-5.066823959350586,-4.923646450042725,-4.835485935211182
5,-6.6899733543396,-6.359580039978027,-4.805755615234375,-6.359580039978027,-6.2079176902771,-6.1384735107421875
6,-7.31381893157959,-7.4008636474609375,-5.1705322265625,-7.4008636474609375,-6.244192123413086,-6.874627113342285
7,-6.590863227844238,-6.657064437866211,-4.664649963378906,-6.657064437866211,-5.969506740570068,-6.1137309074401855
8,-6.544522285461426,-6.617274284362793,-4.537497520446777,-6.617274284362793,-5.539747714996338,-5.780438423156738
9,-5.641383171081543,-5.4425554275512695,-3.731372117996216,-5.4425554275512695,-4.74104118347168,-4.835485935211182
10,-6.858913421630859,-6.797399520874023,-5.060312747955322,-6.797399520874023,-6.528865814208984,-6.1384735107421875
11,-8.178899765014648,-8.082878112792969,-5.1745758056640625,-8.082878112792969,-6.968156337738037,-6.874627113342285
12,-7.5457611083984375,-7.5705766677856445,-5.089394569396973,-7.5705766677856445,-7.3436279296875,-6.1137309074401855
13,-7.565254211425781,-7.568630218505859,-5.104024410247803,-7.568630218505859,-6.9732513427734375,-5.780438423156738
14,-6.538036346435547,-6.168951034545898,-4.091244697570801,-6.168951034545898,-5.811121463775635,-4.835485935211182
15,-7.699638366699219,-7.394319534301758,-5.323810577392578,-7.394319534301758,-7.715875148773193,-6.1384735107421875
16,-7.245595932006836,-7.977896213531494,-7.310477256774902,-7.977896213531494,-5.782527446746826,-8.559298515319824
17,-6.964223384857178,-7.921712875366211,-6.876540660858154,-7.921712875366211,-5.417179584503174,-8.062914848327637
18,-6.851451873779297,-7.796040058135986,-6.558423042297363,-7.796040058135986,-5.1063923835754395,-8.237898826599121
19,-6.292760848999023,-6.679903507232666,-5.871562957763672,-6.679903507232666,-4.923646450042725,-7.3961663246154785
20,-7.297158718109131,-8.025500297546387,-7.089679718017578,-8.025500297546387,-6.2079176902771,-7.888935089111328
21,-7.322361946105957,-8.357468605041504,-7.792580604553223,-8.357468605041504,-6.244192123413086,-8.559298515319824
22,-7.269453525543213,-8.474778175354004,-7.2983198165893555,-8.474778175354004,-5.969506740570068,-8.062914848327637
23,-7.1689653396606445,-8.378045082092285,-6.986100196838379,-8.378045082092285,-5.539747714996338,-8.237898826599121
24,-6.481186866760254,-7.1326775550842285,-6.028866767883301,-7.1326775550842285,-4.74104118347168,-7.3961663246154785
25,-7.391357898712158,-8.324774742126465,-7.480717658996582,-8.324774742126465,-6.528865814208984,-7.888935089111328
26,-7.798267841339111,-8.660755157470703,-8.067361831665039,-8.660755157470703,-6.968156337738037,-8.559298515319824
27,-7.545177936553955,-8.566576957702637,-8.340327262878418,-8.566576957702637,-7.3436279296875,-8.062914848327637
28,-7.6364850997924805,-8.58379077911377,-8.136188507080078,-8.58379077911377,-6.9732513427734375,-8.237898826599121
29,-6.818251609802246,-7.117848873138428,-6.790879726409912,-7.117848873138428,-5.811121463775635,-7.3961663246154785
30,-7.616135597229004,-8.394816398620605,-8.003894805908203,-8.394816398620605,-7.715875148773193,-7.888935089111328
31,-7.568039417266846,-8.515015602111816,-5.940935134887695,-8.515015602111816,-5.782527446746826,-7.2719035148620605
32,-6.869847297668457,-7.8965983390808105,-5.5136823654174805,-7.8965983390808105,-5.417179584503174,-6.469041347503662
33,-6.81201696395874,-7.830637454986572,-5.177881240844727,-7.830637454986572,-5.1063923835754395,-6.620138168334961
34,-5.712817192077637,-6.2351202964782715,-4.270352363586426,-6.2351202964782715,-4.923646450042725,-5.254524230957031
35,-7.537695407867432,-8.416707038879395,-5.9226837158203125,-8.416707038879395,-6.2079176902771,-7.363178730010986
36,-7.682629108428955,-8.949629783630371,-6.596379280090332,-8.949629783630371,-6.244192123413086,-7.2719035148620605
37,-7.094846725463867,-8.442461967468262,-5.9882307052612305,-8.442461967468262,-5.969506740570068,-6.469041347503662
38,-7.027492046356201,-8.40534496307373,-5.600310802459717,-8.40534496307373,-5.539747714996338,-6.620138168334961
39,-5.859230995178223,-6.678345203399658,-4.322447299957275,-6.678345203399658,-4.74104118347168,-5.254524230957031
40,-7.7531843185424805,-9.018597602844238,-6.457046985626221,-9.018597602844238,-6.528865814208984,-7.363178730010986
41,-8.289011001586914,-9.155069351196289,-6.224925994873047,-9.155069351196289,-6.968156337738037,-7.2719035148620605
42,-7.60194206237793,-8.49992847442627,-6.4546918869018555,-8.49992847442627,-7.3436279296875,-6.469041347503662
43,-7.791143894195557,-8.679215431213379,-6.329155921936035,-8.679215431213379,-6.9732513427734375,-6.620138168334961
44,-6.506842613220215,-6.8939080238342285,-4.845150947570801,-6.8939080238342285,-5.811121463775635,-5.254524230957031
45,-8.207443237304688,-8.891143798828125,-6.415900230407715,-8.891143798828125,-7.715875148773193,-7.363178730010986
46,-6.844531059265137,-7.150446891784668,-5.111703395843506,-7.150446891784668,-5.782527446746826,-6.746176719665527
47,-6.342482566833496,-6.5118865966796875,-4.6639723777771,-6.5118865966796875,-5.417179584503174,-6.037800312042236
48,-6.0642242431640625,-6.199063301086426,-4.517772674560547,-6.199063301086426,-5.1063923835754395,-5.716186046600342
49,-5.592982292175293,-5.534992218017578,-4.052812576293945,-5.534992218017578,-4.923646450042725,-5.069238185882568
50,-7.051170349121094,-7.343504428863525,-5.126797676086426,-7.343504428863525,-6.2079176902771,-6.994026184082031
51,-6.949268341064453,-7.597294330596924,-5.423818588256836,-7.597294330596924,-6.244192123413086,-6.746176719665527
52,-6.423164367675781,-6.819955825805664,-4.995589256286621,-6.819955825805664,-5.969506740570068,-6.037800312042236
53,-6.177901744842529,-6.5126800537109375,-4.906451225280762,-6.5126800537109375,-5.539747714996338,-5.716186046600342
54,-5.674989700317383,-5.8780035972595215,-4.26295280456543,-5.8780035972595215,-4.74104118347168,-5.069238185882568
55,-7.103109836578369,-7.634161949157715,-5.5114593505859375,-7.634161949157715,-6.528865814208984,-6.994026184082031
56,-7.1865105628967285,-8.152414321899414,-5.906953811645508,-8.152414321899414,-6.968156337738037,-6.746176719665527
57,-6.539740085601807,-7.369319915771484,-5.840112209320068,-7.369319915771484,-7.3436279296875,-6.037800312042236
58,-6.426919460296631,-7.153124809265137,-5.786871433258057,-7.153124809265137,-6.9732513427734375,-5.716186046600342
59,-5.8337578773498535,-6.318447589874268,-5.0146074295043945,-6.318447589874268,-5.811121463775635,-5.069238185882568
60,-7.298239707946777,-8.164669036865234,-6.319680213928223,-8.164669036865234,-7.715875148773193,-6.994026184082031
61,-8.551980972290039,-9.470026969909668,-7.703211307525635,-9.470026969909668,-5.782527446746826,-10.832493782043457
62,-8.235817909240723,-9.286988258361816,-7.086800575256348,-9.286988258361816,-5.417179584503174,-10.011985778808594
63,-7.658694267272949,-8.738086700439453,-6.823785305023193,-8.738086700439453,-5.1063923835754395,-9.41180419921875
64,-7.158810615539551,-7.894067287445068,-6.204156398773193,-7.894067287445068,-4.923646450042725,-8.625374794006348
65,-8.705595970153809,-9.171265602111816,-7.599146842956543,-9.171265602111816,-6.2079176902771,-10.655421257019043
66,-8.541646003723145,-9.941303253173828,-8.159058570861816,-9.941303253173828,-6.244192123413086,-10.832493782043457
67,-8.39476203918457,-9.756529808044434,-7.5274457931518555,-9.756529808044434,-5.969506740570068,-10.011985778808594
68,-7.797252655029297,-9.288073539733887,-7.227185249328613,-9.288073539733887,-5.539747714996338,-9.41180419921875
69,-7.309116363525391,-8.469771385192871,-6.224433898925781,-8.469771385192871,-4.74104118347168,-8.625374794006348
70,-8.56934928894043,-9.548062324523926,-7.933566570281982,-9.548062324523926,-6.528865814208984,-10.655421257019043
71,-9.667054176330566,-11.11329174041748,-8.316734313964844,-11.11329174041748,-6.968156337738037,-10.832493782043457
72,-9.396085739135742,-10.88895034790039,-8.424729347229004,-10.88895034790039,-7.3436279296875,-10.011985778808594
73,-9.073781967163086,-10.527071952819824,-8.257231712341309,-10.527071952819824,-6.9732513427734375,-9.41180419921875
74,-8.507338523864746,-9.515210151672363,-6.932870388031006,-9.515210151672363,-5.811121463775635,-8.625374794006348
75,-9.558404922485352,-10.713658332824707,-8.558549880981445,-10.713658332824707,-7.715875148773193,-10.655421257019043
76,-6.728266716003418,-6.659286975860596,-4.916689872741699,-6.659286975860596,-5.782527446746826,-6.739989757537842
77,-6.539559364318848,-6.707737922668457,-4.524209022521973,-6.707737922668457,-5.417179584503174,-6.390284538269043
78,-5.886061668395996,-5.923206329345703,-4.375270843505859,-5.923206329345703,-5.1063923835754395,-5.789851188659668
79,-5.466844081878662,-5.2833638191223145,-4.180655002593994,-5.2833638191223145,-4.923646450042725,-5.1186137199401855
80,-6.889173984527588,-6.975266933441162,-5.0393500328063965,-6.975266933441162,-6.2079176902771,-6.8007659912109375
81,-7.100461006164551,-7.277961254119873,-5.375100612640381,-7.277961254119873,-6.244192123413086,-6.739989757537842
82,-6.959383964538574,-7.344364166259766,-4.933114528656006,-7.344364166259766,-5.969506740570068,-6.390284538269043
