idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.480645656585693,-5.520636558532715,-4.939496994018555,-5.520636558532715,-5.291877269744873,-5.326840400695801
2,-6.7216291427612305,-5.6580047607421875,-4.895366191864014,-5.6580047607421875,-4.911040306091309,-5.804882526397705
3,-6.565062046051025,-5.446263790130615,-4.730462074279785,-5.446263790130615,-4.805099010467529,-5.526662826538086
4,-6.273313999176025,-5.021486282348633,-4.700173377990723,-5.021486282348633,-4.546342849731445,-5.329583168029785
5,-6.8422532081604,-6.15926456451416,-5.180662155151367,-6.15926456451416,-5.407201290130615,-5.493715286254883
6,-6.820757865905762,-6.026144981384277,-5.097522735595703,-6.026144981384277,-5.629052639007568,-5.326840400695801
7,-7.017716884613037,-6.2226409912109375,-5.198782444000244,-6.2226409912109375,-5.560436248779297,-5.804882526397705
8,-6.859775543212891,-6.019500255584717,-5.049386024475098,-6.019500255584717,-5.412130832672119,-5.526662826538086
9,-6.545126914978027,-5.551504135131836,-4.748587131500244,-5.551504135131836,-4.6497979164123535,-5.329583168029785
10,-7.122729301452637,-6.651430130004883,-5.240848541259766,-6.651430130004883,-5.806148529052734,-5.493715286254883
11,-7.20681619644165,-6.676451683044434,-5.175284385681152,-6.676451683044434,-5.909782409667969,-5.326840400695801
12,-7.514230251312256,-6.815645217895508,-5.502039909362793,-6.815645217895508,-6.297359466552734,-5.804882526397705
13,-7.362617492675781,-6.58787727355957,-5.29000186920166,-6.58787727355957,-6.025119304656982,-5.526662826538086
14,-7.026577949523926,-6.014215469360352,-4.630846977233887,-6.014215469360352,-5.110495090484619,-5.329583168029785
15,-7.48043966293335,-6.713346481323242,-5.332550525665283,-6.713346481323242,-6.140817165374756,-5.493715286254883
16,-7.628182411193848,-6.9607834815979,-6.258316993713379,-6.9607834815979,-5.291877269744873,-6.8224263191223145
17,-7.775811195373535,-6.913771152496338,-6.153573989868164,-6.913771152496338,-4.911040306091309,-7.568994045257568
18,-7.667010307312012,-6.938077449798584,-5.822752952575684,-6.938077449798584,-4.805099010467529,-7.293996334075928
19,-7.149476051330566,-6.165365219116211,-5.823726654052734,-6.165365219116211,-4.546342849731445,-6.440677165985107
20,-7.856365203857422,-7.2645721435546875,-6.359930038452148,-7.2645721435546875,-5.407201290130615,-6.807106018066406
21,-7.919946670532227,-7.467191219329834,-6.705315113067627,-7.467191219329834,-5.629052639007568,-6.8224263191223145
22,-8.134662628173828,-7.557029724121094,-6.86977481842041,-7.557029724121094,-5.560436248779297,-7.568994045257568
23,-8.005300521850586,-7.624749660491943,-6.5772833824157715,-7.624749660491943,-5.412130832672119,-7.293996334075928
24,-7.4524688720703125,-6.636000156402588,-5.964631080627441,-6.636000156402588,-4.6497979164123535,-6.440677165985107
25,-8.141439437866211,-7.890684604644775,-6.665201187133789,-7.890684604644775,-5.806148529052734,-6.807106018066406
26,-8.350218772888184,-8.718938827514648,-6.550148963928223,-8.718938827514648,-5.909782409667969,-6.8224263191223145
27,-8.4995756149292,-8.753524780273438,-6.984708309173584,-8.753524780273438,-6.297359466552734,-7.568994045257568
28,-8.580142974853516,-9.093770980834961,-6.57047176361084,-9.093770980834961,-6.025119304656982,-7.293996334075928
29,-7.836042404174805,-7.649729251861572,-5.619385719299316,-7.649729251861572,-5.110495090484619,-6.440677165985107
30,-8.626608848571777,-8.776825904846191,-6.772006034851074,-8.776825904846191,-6.140817165374756,-6.807106018066406
31,-8.06287670135498,-7.4292893409729,-5.509804725646973,-7.4292893409729,-5.291877269744873,-6.438896179199219
32,-7.808506488800049,-7.185230731964111,-5.431745529174805,-7.185230731964111,-4.911040306091309,-6.760761260986328
33,-7.855162620544434,-7.333983898162842,-5.097714424133301,-7.333983898162842,-4.805099010467529,-6.707958221435547
34,-7.575776100158691,-6.62200927734375,-4.949234485626221,-6.62200927734375,-4.546342849731445,-6.20918083190918
35,-8.479204177856445,-8.094486236572266,-5.642687797546387,-8.094486236572266,-5.407201290130615,-6.687656879425049
36,-8.40395450592041,-8.159955024719238,-5.751160621643066,-8.159955024719238,-5.629052639007568,-6.438896179199219
37,-8.139189720153809,-7.9406585693359375,-5.821881294250488,-7.9406585693359375,-5.560436248779297,-6.760761260986328
38,-8.135714530944824,-8.182036399841309,-5.553268909454346,-8.182036399841309,-5.412130832672119,-6.707958221435547
39,-7.880226135253906,-7.358245849609375,-5.057250022888184,-7.358245849609375,-4.6497979164123535,-6.20918083190918
40,-8.724333763122559,-8.840593338012695,-5.857540130615234,-8.840593338012695,-5.806148529052734,-6.687656879425049
41,-8.453868865966797,-8.87943172454834,-6.11336612701416,-8.87943172454834,-5.909782409667969,-6.438896179199219
42,-8.434062957763672,-8.717896461486816,-6.431249141693115,-8.717896461486816,-6.297359466552734,-6.760761260986328
43,-8.468486785888672,-9.111063003540039,-6.152853012084961,-9.111063003540039,-6.025119304656982,-6.707958221435547
44,-8.051855087280273,-8.051129341125488,-5.226383209228516,-8.051129341125488,-5.110495090484619,-6.20918083190918
45,-8.849281311035156,-9.228853225708008,-6.380855083465576,-9.228853225708008,-6.140817165374756,-6.687656879425049
46,-7.16717529296875,-6.297329902648926,-4.871701240539551,-6.297329902648926,-5.291877269744873,-5.522375583648682
47,-6.500633239746094,-5.556795120239258,-4.690879821777344,-5.556795120239258,-4.911040306091309,-5.561702251434326
48,-6.558149814605713,-5.588124752044678,-4.666662693023682,-5.588124752044678,-4.805099010467529,-5.245505332946777
49,-6.325091361999512,-5.2465057373046875,-4.405159950256348,-5.2465057373046875,-4.546342849731445,-5.140349388122559
50,-7.619363307952881,-7.180086135864258,-5.218038082122803,-7.180086135864258,-5.407201290130615,-6.038841247558594
51,-7.391053676605225,-6.519582748413086,-4.8042826652526855,-6.519582748413086,-5.629052639007568,-5.522375583648682
52,-6.683606147766113,-5.737028121948242,-4.826581001281738,-5.737028121948242,-5.560436248779297,-5.561702251434326
53,-6.72939920425415,-5.877133369445801,-4.863006114959717,-5.877133369445801,-5.412130832672119,-5.245505332946777
54,-6.584628105163574,-5.6311163902282715,-4.517824172973633,-5.6311163902282715,-4.6497979164123535,-5.140349388122559
55,-7.752403259277344,-7.348308563232422,-5.158907413482666,-7.348308563232422,-5.806148529052734,-6.038841247558594
56,-7.645761013031006,-7.192621231079102,-5.2509050369262695,-7.192621231079102,-5.909782409667969,-5.522375583648682
57,-7.0963134765625,-6.480267524719238,-5.208154201507568,-6.480267524719238,-6.297359466552734,-5.561702251434326
58,-7.045951843261719,-6.615689277648926,-5.080321311950684,-6.615689277648926,-6.025119304656982,-5.245505332946777
59,-6.890708923339844,-6.222184181213379,-4.503465175628662,-6.222184181213379,-5.110495090484619,-5.140349388122559
60,-7.9689788818359375,-7.576924800872803,-5.287705421447754,-7.576924800872803,-6.140817165374756,-6.038841247558594
61,-8.928985595703125,-8.375908851623535,-6.309985160827637,-8.375908851623535,-5.291877269744873,-7.812310695648193
62,-8.450002670288086,-7.849483966827393,-6.23867130279541,-7.849483966827393,-4.911040306091309,-7.785127639770508
63,-8.36594009399414,-7.7436957359313965,-5.984687805175781,-7.7436957359313965,-4.805099010467529,-7.544633388519287
64,-8.07623291015625,-7.292227268218994,-5.9277849197387695,-7.292227268218994,-4.546342849731445,-7.363483905792236
65,-9.26240348815918,-9.086708068847656,-6.725736618041992,-9.086708068847656,-5.407201290130615,-8.009020805358887
66,-9.22024917602539,-9.171512603759766,-6.429478168487549,-9.171512603759766,-5.629052639007568,-7.812310695648193
67,-8.810696601867676,-8.75875473022461,-6.5044755935668945,-8.75875473022461,-5.560436248779297,-7.785127639770508
68,-8.715872764587402,-8.720763206481934,-6.322708606719971,-8.720763206481934,-5.412130832672119,-7.544633388519287
69,-8.299362182617188,-7.98362398147583,-5.957518577575684,-7.98362398147583,-4.6497979164123535,-7.363483905792236
70,-9.552369117736816,-9.92737865447998,-6.673059940338135,-9.92737865447998,-5.806148529052734,-8.009020805358887
71,-9.41162395477295,-10.371670722961426,-6.788649082183838,-10.371670722961426,-5.909782409667969,-7.812310695648193
72,-9.191951751708984,-10.1381196975708,-7.070968151092529,-10.1381196975708,-6.297359466552734,-7.785127639770508
73,-9.135047912597656,-10.077736854553223,-6.808467864990234,-10.077736854553223,-6.025119304656982,-7.544633388519287
74,-8.691206932067871,-9.108745574951172,-6.009410381317139,-9.108745574951172,-5.110495090484619,-7.363483905792236
75,-9.60882568359375,-10.452744483947754,-7.088709831237793,-10.452744483947754,-6.140817165374756,-8.009020805358887
76,-7.791947364807129,-6.514105796813965,-4.796618938446045,-6.514105796813965,-5.291877269744873,-5.495546340942383
77,-7.660624027252197,-6.408173084259033,-4.601578712463379,-6.408173084259033,-4.911040306091309,-5.777657508850098
78,-7.37903356552124,-6.012392520904541,-4.437790393829346,-6.012392520904541,-4.805099010467529,-5.373447895050049
79,-7.082418918609619,-5.6306257247924805,-4.373067855834961,-5.6306257247924805,-4.546342849731445,-4.970760345458984
80,-8.239988327026367,-7.306921005249023,-5.168445110321045,-7.306921005249023,-5.407201290130615,-6.032180309295654
81,-7.977085113525391,-7.014305114746094,-5.123185634613037,-7.014305114746094,-5.629052639007568,-5.495546340942383
82,-7.811362266540527,-6.987423896789551,-5.142374515533447,-6.987423896789551,-5.560436248779297,-5.777657508850098
83,-7.561059474945068,-6.576298713684082,-4.97504997253418,-6.576298713684082,-5.412130832672119,-5.373447895050049
84,-7.243943691253662,-6.136084079742432,-4.616713523864746,-6.136084079742432,-4.6497979164123535,-4.970760345458984
85,-8.362496376037598,-7.789883613586426,-5.394635200500488,-7.789883613586426,-5.806148529052734,-6.032180309295654
86,-8.069108009338379,-7.69376802444458,-5.236715316772461,-7.69376802444458,-5.909782409667969,-5.495546340942383
87,-8.08077335357666,-7.5733642578125,-5.520009994506836,-7.5733642578125,-6.297359466552734,-5.777657508850098
88,-7.745650291442871,-7.239510536193848,-5.2544169425964355,-7.239510536193848,-6.025119304656982,-5.373447895050049
89,-7.28688907623291,-6.578585147857666,-4.573475360870361,-6.578585147857666,-5.110495090484619,-4.970760345458984
90,-8.49588680267334,-8.187726020812988,-5.545810699462891,-8.187726020812988,-6.140817165374756,-6.032180309295654
91,-7.5739030838012695,-7.0694403648376465,-5.980222702026367,-7.0694403648376465,-5.291877269744873,-6.423823833465576
92,-7.646489143371582,-7.075937271118164,-6.102384090423584,-7.075937271118164,-4.911040306091309,-6.873155117034912
93,-7.448267459869385,-6.922574996948242,-5.951624870300293,-6.922574996948242,-4.805099010467529,-6.770877838134766
94,-7.335689067840576,-6.672880172729492,-5.97453498840332,-6.672880172729492,-4.546342849731445,-6.587391376495361
95,-7.701667308807373,-7.48491096496582,-6.28360652923584,-7.48491096496582,-5.407201290130615,-6.554907321929932
96,-8.01833438873291,-7.289365291595459,-6.675987720489502,-7.289365291595459,-5.629052639007568,-6.423823833465576
97,-8.071544647216797,-7.314845561981201,-7.079416275024414,-7.314845561981201,-5.560436248779297,-6.873155117034912
98,-7.8768720626831055,-7.2048211097717285,-7.025165557861328,-7.2048211097717285,-5.412130832672119,-6.770877838134766
99,-7.643738746643066,-6.847917556762695,-6.509279727935791,-6.847917556762695,-4.6497979164123535,-6.587391376495361
100,-8.036166191101074,-7.7318902015686035,-6.910036563873291,-7.7318902015686035,-5.806148529052734,-6.554907321929932
101,-8.490300178527832,-8.720256805419922,-6.780756950378418,-8.720256805419922,-5.909782409667969,-6.423823833465576
102,-8.673715591430664,-8.827927589416504,-7.244073390960693,-8.827927589416504,-6.297359466552734,-6.873155117034912
103,-8.52431583404541,-8.893706321716309,-6.9706830978393555,-8.893706321716309,-6.025119304656982,-6.770877838134766
104,-8.113990783691406,-8.092240333557129,-6.191037654876709,-8.092240333557129,-5.110495090484619,-6.587391376495361
105,-8.777114868164062,-8.91773509979248,-6.957088947296143,-8.91773509979248,-6.140817165374756,-6.554907321929932
106,-8.554645538330078,-7.471046447753906,-6.339876174926758,-7.471046447753906,-5.291877269744873,-7.170546054840088
107,-8.53091049194336,-7.423295497894287,-6.190081596374512,-7.423295497894287,-4.911040306091309,-7.420228481292725
108,-8.487845420837402,-7.414823055267334,-5.951625823974609,-7.414823055267334,-4.805099010467529,-7.442773342132568
109,-7.7165846824646,-6.313114643096924,-5.672944068908691,-6.313114643096924,-4.546342849731445,-6.546686172485352
110,-8.892278671264648,-8.20349407196045,-6.584022045135498,-8.20349407196045,-5.407201290130615,-7.424013614654541
111,-8.997950553894043,-8.298179626464844,-6.420115947723389,-8.298179626464844,-5.629052639007568,-7.170546054840088
112,-8.95977783203125,-8.272368431091309,-6.559356212615967,-8.272368431091309,-5.560436248779297,-7.420228481292725
113,-8.901568412780762,-8.359990119934082,-6.365908145904541,-8.359990119934082,-5.412130832672119,-7.442773342132568
114,-8.063685417175293,-7.094484806060791,-5.666670322418213,-7.094484806060791,-4.6497979164123535,-6.546686172485352
115,-9.305980682373047,-9.159287452697754,-6.564220428466797,-9.159287452697754,-5.806148529052734,-7.424013614654541
116,-9.020723342895508,-8.970179557800293,-6.381267547607422,-8.970179557800293,-5.909782409667969,-7.170546054840088
117,-9.023555755615234,-9.010651588439941,-6.7444939613342285,-9.010651588439941,-6.297359466552734,-7.420228481292725
118,-9.062519073486328,-9.285350799560547,-6.573787689208984,-9.285350799560547,-6.025119304656982,-7.442773342132568
119,-8.225950241088867,-7.932199001312256,-5.676697731018066,-7.932199001312256,-5.110495090484619,-6.546686172485352
120,-9.3190336227417,-9.371088981628418,-6.642142295837402,-9.371088981628418,-6.140817165374756,-7.424013614654541
121,-6.080073833465576,-5.295370101928711,-4.647467136383057,-5.295370101928711,-5.291877269744873,-5.137879371643066
