idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.76801061630249,-6.331868648529053,-4.930840492248535,-6.331868648529053,-5.76603889465332,-4.923489093780518
2,-5.362296104431152,-6.248053550720215,-4.897171974182129,-6.248053550720215,-5.811609268188477,-5.048563480377197
3,-5.1155009269714355,-5.806543827056885,-4.7437744140625,-5.806543827056885,-5.6931681632995605,-4.734226226806641
4,-4.95057487487793,-5.5414814949035645,-4.808250427246094,-5.5414814949035645,-5.525645732879639,-4.395413398742676
5,-5.994983196258545,-6.770075798034668,-5.201132774353027,-6.770075798034668,-6.699339389801025,-4.8580193519592285
6,-5.885255813598633,-6.507369041442871,-5.179354190826416,-6.507369041442871,-6.267313480377197,-4.923489093780518
7,-5.517068386077881,-6.503791809082031,-5.347442626953125,-6.503791809082031,-6.361673831939697,-5.048563480377197
8,-5.286409378051758,-6.027787208557129,-4.99060583114624,-6.027787208557129,-6.003637790679932,-4.734226226806641
9,-5.092322826385498,-5.704713821411133,-4.84948205947876,-5.704713821411133,-5.571496486663818,-4.395413398742676
10,-6.084502220153809,-6.900465965270996,-5.403161525726318,-6.900465965270996,-7.021249294281006,-4.8580193519592285
11,-5.720760345458984,-6.550291061401367,-5.40618371963501,-6.550291061401367,-6.760719299316406,-4.923489093780518
12,-5.746132850646973,-6.928537845611572,-5.688946723937988,-6.928537845611572,-7.19923210144043,-5.048563480377197
13,-5.468260765075684,-6.570980072021484,-5.4505295753479,-6.570980072021484,-6.918315887451172,-4.734226226806641
14,-5.157412528991699,-5.960995197296143,-4.506743907928467,-5.960995197296143,-5.617376804351807,-4.395413398742676
15,-5.749361515045166,-6.601024627685547,-5.600981712341309,-6.601024627685547,-7.268126010894775,-4.8580193519592285
16,-6.694266319274902,-7.793424129486084,-6.846709251403809,-7.793424129486084,-5.76603889465332,-7.27642822265625
17,-6.216396808624268,-7.461421489715576,-6.885651111602783,-7.461421489715576,-5.811609268188477,-7.311853408813477
18,-6.256357192993164,-7.461906909942627,-6.573902606964111,-7.461906909942627,-5.6931681632995605,-7.089287281036377
19,-5.951543807983398,-7.011728763580322,-6.534538269042969,-7.011728763580322,-5.525645732879639,-6.303195953369141
20,-7.282074928283691,-8.579031944274902,-7.151681900024414,-8.579031944274902,-6.699339389801025,-7.3034586906433105
21,-7.080224990844727,-8.27493953704834,-7.179498672485352,-8.27493953704834,-6.267313480377197,-7.27642822265625
22,-6.588829517364502,-8.025700569152832,-7.248562335968018,-8.025700569152832,-6.361673831939697,-7.311853408813477
23,-6.65147590637207,-7.960867404937744,-6.758786201477051,-7.960867404937744,-6.003637790679932,-7.089287281036377
24,-6.2832512855529785,-7.284444332122803,-6.333378791809082,-7.284444332122803,-5.571496486663818,-6.303195953369141
25,-7.6283745765686035,-8.94591999053955,-7.347599029541016,-8.94591999053955,-7.021249294281006,-7.3034586906433105
26,-7.074036598205566,-8.6759672164917,-7.136441230773926,-8.6759672164917,-6.760719299316406,-7.27642822265625
27,-6.7939581871032715,-8.857284545898438,-7.4454426765441895,-8.857284545898438,-7.19923210144043,-7.311853408813477
28,-6.94641637802124,-8.740704536437988,-7.1679253578186035,-8.740704536437988,-6.918315887451172,-7.089287281036377
29,-6.165702819824219,-7.541844844818115,-5.997058868408203,-7.541844844818115,-5.617376804351807,-6.303195953369141
30,-7.4047064781188965,-9.056492805480957,-7.498533725738525,-9.056492805480957,-7.268126010894775,-7.3034586906433105
31,-5.448111534118652,-8.022900581359863,-6.359338283538818,-8.022900581359863,-5.76603889465332,-6.8174967765808105
32,-5.027507305145264,-7.634435653686523,-6.253527641296387,-7.634435653686523,-5.811609268188477,-7.0651535987854
33,-4.882748126983643,-7.438543796539307,-5.96774959564209,-7.438543796539307,-5.6931681632995605,-6.677783489227295
34,-4.685093402862549,-6.846608638763428,-5.928158760070801,-6.846608638763428,-5.525645732879639,-6.109344482421875
35,-6.191113471984863,-8.9953031539917,-6.734452247619629,-8.9953031539917,-6.699339389801025,-7.206762790679932
36,-5.58086633682251,-8.088345527648926,-6.644740104675293,-8.088345527648926,-6.267313480377197,-6.8174967765808105
37,-5.198259353637695,-7.856409549713135,-6.711671352386475,-7.856409549713135,-6.361673831939697,-7.0651535987854
38,-5.090766906738281,-7.644464015960693,-6.1907806396484375,-7.644464015960693,-6.003637790679932,-6.677783489227295
39,-4.806015491485596,-6.922607898712158,-5.837697982788086,-6.922607898712158,-5.571496486663818,-6.109344482421875
40,-6.283498287200928,-8.961925506591797,-6.9493865966796875,-8.961925506591797,-7.021249294281006,-7.206762790679932
41,-6.182783126831055,-8.57702922821045,-7.025367736816406,-8.57702922821045,-6.760719299316406,-6.8174967765808105
42,-5.956122398376465,-8.640946388244629,-7.306726932525635,-8.640946388244629,-7.19923210144043,-7.0651535987854
43,-5.936755180358887,-8.745383262634277,-6.935542106628418,-8.745383262634277,-6.918315887451172,-6.677783489227295
44,-5.345158576965332,-7.742036819458008,-5.851046562194824,-7.742036819458008,-5.617376804351807,-6.109344482421875
45,-6.596077919006348,-8.955965995788574,-7.369900226593018,-8.955965995788574,-7.268126010894775,-7.206762790679932
46,-5.798214435577393,-6.184791088104248,-5.242867469787598,-6.184791088104248,-5.76603889465332,-5.386688232421875
47,-5.285943031311035,-5.697030067443848,-5.145057678222656,-5.697030067443848,-5.811609268188477,-5.613559246063232
48,-5.190067291259766,-5.536707878112793,-4.749594211578369,-5.536707878112793,-5.6931681632995605,-5.203341484069824
49,-5.037999629974365,-5.146061897277832,-5.001112937927246,-5.146061897277832,-5.525645732879639,-4.817750930786133
50,-6.350062370300293,-6.825786113739014,-5.527754783630371,-6.825786113739014,-6.699339389801025,-6.251076698303223
51,-5.775976181030273,-6.399822235107422,-5.345437049865723,-6.399822235107422,-6.267313480377197,-5.386688232421875
52,-5.261570930480957,-6.0551605224609375,-5.38575553894043,-6.0551605224609375,-6.361673831939697,-5.613559246063232
53,-5.213555335998535,-5.789350509643555,-4.908844947814941,-5.789350509643555,-6.003637790679932,-5.203341484069824
