idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.864615440368652,-5.948486328125,-5.568066120147705,-5.948486328125,-7.335893630981445,-6.052744388580322
2,-7.718287467956543,-6.012333869934082,-5.6525068283081055,-6.012333869934082,-7.054380416870117,-6.004987716674805
3,-7.212796688079834,-5.468082904815674,-5.284163475036621,-5.468082904815674,-6.519913196563721,-5.4492011070251465
4,-7.141313076019287,-5.28913688659668,-5.230629920959473,-5.28913688659668,-6.257120609283447,-5.468636512756348
5,-8.408750534057617,-6.399706840515137,-6.101442813873291,-6.399706840515137,-8.109138488769531,-6.061488628387451
6,-8.234442710876465,-6.8671088218688965,-5.535824298858643,-6.8671088218688965,-7.690283298492432,-6.052744388580322
7,-8.087620735168457,-6.964424133300781,-5.805190086364746,-6.964424133300781,-7.648063659667969,-6.004987716674805
8,-7.5382819175720215,-6.351596355438232,-5.477798938751221,-6.351596355438232,-7.047901153564453,-5.4492011070251465
9,-7.438010215759277,-6.121668815612793,-5.056126594543457,-6.121668815612793,-5.956034183502197,-5.468636512756348
10,-8.682088851928711,-7.211994171142578,-5.96785831451416,-7.211994171142578,-8.294323921203613,-6.061488628387451
11,-8.544303894042969,-7.625776290893555,-6.922914028167725,-7.625776290893555,-8.171780586242676,-6.052744388580322
12,-8.371513366699219,-7.6644062995910645,-7.120522975921631,-7.6644062995910645,-8.187409400939941,-6.004987716674805
13,-8.001238822937012,-7.266717910766602,-6.747186183929443,-7.266717910766602,-7.682458877563477,-5.4492011070251465
14,-7.7553391456604,-6.7767839431762695,-5.607642650604248,-6.7767839431762695,-6.563260555267334,-5.468636512756348
15,-8.988815307617188,-7.987777233123779,-7.203030586242676,-7.987777233123779,-8.605212211608887,-6.061488628387451
16,-9.031852722167969,-7.360542297363281,-7.099477767944336,-7.360542297363281,-7.335893630981445,-8.203747749328613
17,-8.542098999023438,-6.99700403213501,-7.285245895385742,-6.99700403213501,-7.054380416870117,-7.5854058265686035
18,-8.345033645629883,-6.817714214324951,-6.76378059387207,-6.817714214324951,-6.519913196563721,-7.356691837310791
19,-8.147749900817871,-6.212673187255859,-6.695863246917725,-6.212673187255859,-6.257120609283447,-7.307889461517334
20,-9.281804084777832,-7.381498336791992,-7.7526774406433105,-7.381498336791992,-8.109138488769531,-7.901952266693115
21,-9.674505233764648,-8.661059379577637,-7.100679397583008,-8.661059379577637,-7.690283298492432,-8.203747749328613
22,-9.18527603149414,-8.29137134552002,-7.3956193923950195,-8.29137134552002,-7.648063659667969,-7.5854058265686035
23,-8.918071746826172,-8.165804862976074,-6.991266250610352,-8.165804862976074,-7.047901153564453,-7.356691837310791
24,-8.61803150177002,-7.2754225730896,-6.386094093322754,-7.2754225730896,-5.956034183502197,-7.307889461517334
25,-10.035015106201172,-8.67980670928955,-7.588089942932129,-8.67980670928955,-8.294323921203613,-7.901952266693115
26,-10.224318504333496,-10.718232154846191,-8.985679626464844,-10.718232154846191,-8.171780586242676,-8.203747749328613
27,-9.622147560119629,-10.201969146728516,-9.096307754516602,-10.201969146728516,-8.187409400939941,-7.5854058265686035
28,-9.510284423828125,-10.083270072937012,-8.579996109008789,-10.083270072937012,-7.682458877563477,-7.356691837310791
29,-8.609230041503906,-8.460783958435059,-7.274696350097656,-8.460783958435059,-6.563260555267334,-7.307889461517334
30,-10.493125915527344,-10.722309112548828,-9.154658317565918,-10.722309112548828,-8.605212211608887,-7.901952266693115
31,-10.274758338928223,-8.877171516418457,-6.896171569824219,-8.877171516418457,-7.335893630981445,-7.646657466888428
32,-9.916860580444336,-8.2819185256958,-7.1938629150390625,-8.2819185256958,-7.054380416870117,-7.394887447357178
33,-9.401471138000488,-7.970180034637451,-6.482627868652344,-7.970180034637451,-6.519913196563721,-6.7208709716796875
34,-9.379050254821777,-7.440950870513916,-6.295720100402832,-7.440950870513916,-6.257120609283447,-7.035364627838135
35,-10.891448974609375,-8.870354652404785,-7.782585144042969,-8.870354652404785,-8.109138488769531,-7.736278057098389
36,-11.042616844177246,-10.280282020568848,-6.877164840698242,-10.280282020568848,-7.690283298492432,-7.646657466888428
37,-10.504283905029297,-9.641074180603027,-7.4505205154418945,-9.641074180603027,-7.648063659667969,-7.394887447357178
38,-10.00754165649414,-9.2223482131958,-6.700619697570801,-9.2223482131958,-7.047901153564453,-6.7208709716796875
39,-9.896317481994629,-8.369534492492676,-6.124534606933594,-8.369534492492676,-5.956034183502197,-7.035364627838135
40,-11.650369644165039,-10.309473991394043,-7.544478416442871,-10.309473991394043,-8.294323921203613,-7.736278057098389
41,-11.104080200195312,-11.530486106872559,-8.355012893676758,-11.530486106872559,-8.171780586242676,-7.646657466888428
42,-10.445395469665527,-10.648383140563965,-8.431901931762695,-10.648383140563965,-8.187409400939941,-7.394887447357178
43,-9.974050521850586,-10.352777481079102,-7.804557800292969,-10.352777481079102,-7.682458877563477,-6.7208709716796875
44,-9.704378128051758,-9.145179748535156,-6.6585612297058105,-9.145179748535156,-6.563260555267334,-7.035364627838135
45,-11.653665542602539,-11.77209186553955,-8.61015510559082,-11.77209186553955,-8.605212211608887,-7.736278057098389
46,-8.2674560546875,-6.453585147857666,-6.113923072814941,-6.453585147857666,-7.335893630981445,-7.204098701477051
47,-7.841744899749756,-6.078927040100098,-6.0463080406188965,-6.078927040100098,-7.054380416870117,-6.860584259033203
