idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.2158522605896,-6.129356384277344,-5.9910478591918945,-6.129356384277344,-7.072116851806641,-6.165157794952393
2,-7.465065002441406,-6.275808811187744,-5.875836372375488,-6.275808811187744,-7.116097927093506,-6.046616554260254
3,-7.068482875823975,-5.975998401641846,-5.748169898986816,-5.975998401641846,-6.677114486694336,-5.7878193855285645
4,-6.768284797668457,-5.609829902648926,-5.341980457305908,-5.609829902648926,-6.072634220123291,-5.303368091583252
5,-7.453616142272949,-6.512113571166992,-6.196428298950195,-6.512113571166992,-8.105040550231934,-5.830892562866211
6,-7.019949913024902,-6.350525856018066,-5.812628269195557,-6.350525856018066,-7.673038959503174,-6.165157794952393
7,-7.263978004455566,-6.475128650665283,-5.695510387420654,-6.475128650665283,-7.817355632781982,-6.046616554260254
8,-6.827353477478027,-6.117338180541992,-5.551047325134277,-6.117338180541992,-7.334372043609619,-5.7878193855285645
9,-6.491236209869385,-5.68056058883667,-4.706729412078857,-5.68056058883667,-5.968053340911865,-5.303368091583252
10,-7.269471168518066,-6.682246208190918,-6.030106067657471,-6.682246208190918,-8.5454683303833,-5.830892562866211
11,-8.015231132507324,-7.343827247619629,-6.3708367347717285,-7.343827247619629,-8.260740280151367,-6.165157794952393
12,-8.320785522460938,-7.612168788909912,-6.745659828186035,-7.612168788909912,-8.936279296875,-6.046616554260254
13,-7.950064182281494,-7.4340009689331055,-6.525250434875488,-7.4340009689331055,-8.3827486038208,-5.7878193855285645
14,-7.560188293457031,-6.898821830749512,-5.524270534515381,-6.898821830749512,-6.86986780166626,-5.303368091583252
15,-8.146970748901367,-7.269781112670898,-6.562351226806641,-7.269781112670898,-8.621066093444824,-5.830892562866211
16,-9.436605453491211,-7.90564489364624,-7.070711612701416,-7.90564489364624,-7.072116851806641,-7.5531182289123535
17,-9.834712028503418,-8.559721946716309,-7.098100662231445,-8.559721946716309,-7.116097927093506,-7.941206455230713
18,-9.363191604614258,-8.13684368133545,-6.887014865875244,-8.13684368133545,-6.677114486694336,-7.801345348358154
19,-8.450457572937012,-6.913114070892334,-6.624534606933594,-6.913114070892334,-6.072634220123291,-6.76975679397583
20,-10.257025718688965,-9.007962226867676,-7.418926239013672,-9.007962226867676,-8.105040550231934,-7.480350494384766
21,-9.453649520874023,-8.38119888305664,-7.3881425857543945,-8.38119888305664,-7.673038959503174,-7.5531182289123535
22,-9.897120475769043,-8.927043914794922,-7.522093772888184,-8.927043914794922,-7.817355632781982,-7.941206455230713
23,-9.432621002197266,-8.656427383422852,-7.252740859985352,-8.656427383422852,-7.334372043609619,-7.801345348358154
24,-8.408181190490723,-7.126776218414307,-6.273560523986816,-7.126776218414307,-5.968053340911865,-6.76975679397583
25,-10.335869789123535,-9.49496841430664,-7.808350563049316,-9.49496841430664,-8.5454683303833,-7.480350494384766
26,-10.249675750732422,-9.025544166564941,-7.914103984832764,-9.025544166564941,-8.260740280151367,-7.5531182289123535
27,-10.772265434265137,-9.956555366516113,-8.462981224060059,-9.956555366516113,-8.936279296875,-7.941206455230713
28,-10.364114761352539,-9.724737167358398,-8.15178108215332,-9.724737167358398,-8.3827486038208,-7.801345348358154
29,-9.185925483703613,-8.030285835266113,-6.762045860290527,-8.030285835266113,-6.86986780166626,-6.76975679397583
30,-10.855661392211914,-9.6090669631958,-7.849743843078613,-9.6090669631958,-8.621066093444824,-7.480350494384766
31,-9.159261703491211,-7.423797607421875,-6.604227542877197,-7.423797607421875,-7.072116851806641,-7.513767719268799
32,-9.287978172302246,-7.987509250640869,-6.641195297241211,-7.987509250640869,-7.116097927093506,-7.594949722290039
33,-8.87877082824707,-7.385147571563721,-6.410989284515381,-7.385147571563721,-6.677114486694336,-7.431571960449219
34,-7.951840877532959,-6.154018878936768,-5.905331611633301,-6.154018878936768,-6.072634220123291,-5.996918201446533
35,-9.768409729003906,-8.439445495605469,-7.327815055847168,-8.439445495605469,-8.105040550231934,-7.288680553436279
36,-9.449896812438965,-8.25759506225586,-7.091249942779541,-8.25759506225586,-7.673038959503174,-7.513767719268799
37,-9.542862892150879,-8.82721996307373,-7.18858528137207,-8.82721996307373,-7.817355632781982,-7.594949722290039
38,-9.179486274719238,-8.274237632751465,-6.792111396789551,-8.274237632751465,-7.334372043609619,-7.431571960449219
39,-8.034104347229004,-6.5844645500183105,-5.667078018188477,-6.5844645500183105,-5.968053340911865,-5.996918201446533
40,-10.099414825439453,-9.26734447479248,-7.7057671546936035,-9.26734447479248,-8.5454683303833,-7.288680553436279
41,-9.837384223937988,-9.095906257629395,-7.459742546081543,-9.095906257629395,-8.260740280151367,-7.513767719268799
42,-10.338106155395508,-9.603473663330078,-7.898723602294922,-9.603473663330078,-8.936279296875,-7.594949722290039
43,-10.133101463317871,-9.560128211975098,-7.6316704750061035,-9.560128211975098,-8.3827486038208,-7.431571960449219
44,-9.003812789916992,-7.744351863861084,-6.286881923675537,-7.744351863861084,-6.86986780166626,-5.996918201446533
45,-10.637439727783203,-9.593091011047363,-7.816758632659912,-9.593091011047363,-8.621066093444824,-7.288680553436279
46,-7.33981466293335,-5.765200138092041,-5.667585849761963,-5.765200138092041,-7.072116851806641,-6.247345924377441
47,-7.2609052658081055,-5.688641548156738,-5.528461456298828,-5.688641548156738,-7.116097927093506,-5.9940948486328125
48,-6.9105329513549805,-5.3822431564331055,-5.4540300369262695,-5.3822431564331055,-6.677114486694336,-5.740791320800781
49,-6.625450134277344,-4.944701194763184,-5.072126865386963,-4.944701194763184,-6.072634220123291,-5.278816223144531
50,-7.943566799163818,-6.603069305419922,-6.308476448059082,-6.603069305419922,-8.105040550231934,-6.5732269287109375
51,-7.634371757507324,-6.293038368225098,-5.565053939819336,-6.293038368225098,-7.673038959503174,-6.247345924377441
52,-7.570713996887207,-6.210393905639648,-5.534483909606934,-6.210393905639648,-7.817355632781982,-5.9940948486328125
53,-7.194558620452881,-5.841944694519043,-5.430706977844238,-5.841944694519043,-7.334372043609619,-5.740791320800781
54,-6.860022068023682,-5.414680480957031,-4.708763599395752,-5.414680480957031,-5.968053340911865,-5.278816223144531
55,-8.2293062210083,-7.1078596115112305,-6.253573417663574,-7.1078596115112305,-8.5454683303833,-6.5732269287109375
56,-7.880201816558838,-6.712848663330078,-6.304623603820801,-6.712848663330078,-8.260740280151367,-6.247345924377441
