idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.95955753326416,-5.309037208557129,-5.296952247619629,-5.309037208557129,-6.738656520843506,-6.050924301147461
2,-6.264364719390869,-5.014289855957031,-5.0832600593566895,-5.014289855957031,-6.380500316619873,-5.879786491394043
3,-6.657081604003906,-5.340306282043457,-5.147339344024658,-5.340306282043457,-6.193840503692627,-6.353287696838379
4,-6.249432563781738,-4.889601707458496,-5.003696441650391,-4.889601707458496,-6.051887035369873,-5.736684322357178
5,-6.881472110748291,-5.480672836303711,-5.428051948547363,-5.480672836303711,-6.845125675201416,-5.762294292449951
6,-7.304197788238525,-5.871670246124268,-5.456746578216553,-5.871670246124268,-7.112753391265869,-6.050924301147461
7,-6.536678314208984,-5.488211631774902,-5.185893535614014,-5.488211631774902,-7.003915309906006,-5.879786491394043
8,-6.977189540863037,-5.818734169006348,-5.540749549865723,-5.818734169006348,-6.820499420166016,-6.353287696838379
9,-6.377634525299072,-5.337947845458984,-4.990629196166992,-5.337947845458984,-6.137746334075928,-5.736684322357178
10,-7.2052202224731445,-5.978498458862305,-5.428206920623779,-5.978498458862305,-7.281778812408447,-5.762294292449951
11,-8.373913764953613,-7.1384124755859375,-6.256926536560059,-7.1384124755859375,-7.2865376472473145,-6.050924301147461
12,-7.711916923522949,-6.924461364746094,-6.544729709625244,-6.924461364746094,-7.4314093589782715,-5.879786491394043
13,-8.139431953430176,-7.380119323730469,-6.649359226226807,-7.380119323730469,-7.351555347442627,-6.353287696838379
14,-7.595410346984863,-6.839417457580566,-5.31893253326416,-6.839417457580566,-5.843631744384766,-5.736684322357178
15,-8.086206436157227,-7.313811302185059,-6.28141975402832,-7.313811302185059,-7.428280353546143,-5.762294292449951
16,-7.5569963455200195,-7.135556697845459,-7.226097106933594,-7.135556697845459,-6.738656520843506,-7.088701248168945
17,-7.267234802246094,-7.324239253997803,-7.027795314788818,-7.324239253997803,-6.380500316619873,-7.325877666473389
18,-7.622452735900879,-7.642369747161865,-7.107691764831543,-7.642369747161865,-6.193840503692627,-8.17130184173584
19,-7.120223045349121,-7.001047134399414,-6.889520645141602,-7.001047134399414,-6.051887035369873,-7.321359157562256
20,-7.407718181610107,-7.463654041290283,-7.316618919372559,-7.463654041290283,-6.845125675201416,-7.320072650909424
21,-7.977953910827637,-7.952131748199463,-7.557519912719727,-7.952131748199463,-7.112753391265869,-7.088701248168945
