idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.244229316711426,-5.966342926025391,-4.8200883865356445,-5.966342926025391,-6.268803119659424,-6.19669246673584
2,-7.155484199523926,-5.806271076202393,-4.768068790435791,-5.806271076202393,-6.236237049102783,-6.136079788208008
3,-6.98556661605835,-5.65545654296875,-4.593050479888916,-5.65545654296875,-5.879292964935303,-6.249569892883301
4,-6.207760334014893,-4.723606109619141,-4.447106838226318,-4.723606109619141,-5.388369083404541,-5.052029609680176
5,-7.347201347351074,-5.984714508056641,-5.612303256988525,-5.984714508056641,-7.8073248863220215,-6.0261077880859375
6,-7.36407470703125,-6.318150043487549,-4.765256881713867,-6.318150043487549,-6.331850528717041,-6.19669246673584
7,-7.3380446434021,-6.210823059082031,-4.882207870483398,-6.210823059082031,-6.653451442718506,-6.136079788208008
8,-7.190657138824463,-5.972349166870117,-4.6232500076293945,-5.972349166870117,-6.308091640472412,-6.249569892883301
9,-6.306744575500488,-4.914427280426025,-4.14676570892334,-4.914427280426025,-5.400563716888428,-5.052029609680176
10,-7.399424076080322,-6.370756149291992,-5.545121192932129,-6.370756149291992,-7.9716668128967285,-6.0261077880859375
11,-7.785247802734375,-7.3291096687316895,-5.594110012054443,-7.3291096687316895,-6.995792388916016,-6.19669246673584
12,-7.946413993835449,-7.511102676391602,-5.974614143371582,-7.511102676391602,-7.763935089111328,-6.136079788208008
13,-7.701367378234863,-7.30824089050293,-5.780233860015869,-7.30824089050293,-7.463590145111084,-6.249569892883301
14,-6.578393459320068,-6.112167835235596,-4.741514682769775,-6.112167835235596,-5.711512088775635,-5.052029609680176
15,-7.576176643371582,-7.180205345153809,-5.773984432220459,-7.180205345153809,-7.5967230796813965,-6.0261077880859375
16,-8.315668106079102,-7.021340847015381,-6.380505561828613,-7.021340847015381,-6.268803119659424,-7.424219608306885
17,-8.038204193115234,-6.896443843841553,-6.325039386749268,-6.896443843841553,-6.236237049102783,-7.779571533203125
18,-8.256972312927246,-7.06304407119751,-6.19569206237793,-7.06304407119751,-5.879292964935303,-8.138440132141113
19,-7.545865058898926,-5.986703395843506,-5.843781471252441,-5.986703395843506,-5.388369083404541,-6.598520755767822
20,-8.87278938293457,-7.266704559326172,-7.320501327514648,-7.266704559326172,-7.8073248863220215,-7.736965656280518
21,-8.794811248779297,-7.509371280670166,-6.69744873046875,-7.509371280670166,-6.331850528717041,-7.424219608306885
22,-8.512592315673828,-7.507113933563232,-6.879734039306641,-7.507113933563232,-6.653451442718506,-7.779571533203125
23,-8.687253952026367,-7.5568413734436035,-6.737390518188477,-7.5568413734436035,-6.308091640472412,-8.138440132141113
24,-7.745460510253906,-6.379424571990967,-5.847141265869141,-6.379424571990967,-5.400563716888428,-6.598520755767822
25,-9.363471984863281,-7.78529167175293,-7.5615949630737305,-7.78529167175293,-7.9716668128967285,-7.736965656280518
26,-9.23427963256836,-8.643962860107422,-7.398311138153076,-8.643962860107422,-6.995792388916016,-7.424219608306885
27,-9.319478034973145,-8.998902320861816,-7.865999698638916,-8.998902320861816,-7.763935089111328,-7.779571533203125
28,-9.493317604064941,-8.83359432220459,-7.794195175170898,-8.83359432220459,-7.463590145111084,-8.138440132141113
29,-8.266940116882324,-7.371301651000977,-6.362415790557861,-7.371301651000977,-5.711512088775635,-6.598520755767822
30,-9.473550796508789,-8.332649230957031,-7.752695560455322,-8.332649230957031,-7.5967230796813965,-7.736965656280518
31,-7.919918060302734,-6.721488952636719,-6.786343574523926,-6.721488952636719,-6.268803119659424,-7.638256072998047
32,-7.4730987548828125,-6.09856653213501,-6.870059967041016,-6.09856653213501,-6.236237049102783,-7.904621124267578
33,-7.633719444274902,-6.193793773651123,-6.579395294189453,-6.193793773651123,-5.879292964935303,-8.41366195678711
34,-6.746419906616211,-5.307998180389404,-6.080008506774902,-5.307998180389404,-5.388369083404541,-6.622282028198242
35,-8.78547477722168,-7.472549915313721,-7.999809265136719,-7.472549915313721,-7.8073248863220215,-8.501677513122559
36,-8.399941444396973,-7.7303314208984375,-6.927112102508545,-7.7303314208984375,-6.331850528717041,-7.638256072998047
37,-8.060644149780273,-7.13379430770874,-7.208518981933594,-7.13379430770874,-6.653451442718506,-7.904621124267578
38,-8.218892097473145,-7.128940582275391,-6.908291339874268,-7.128940582275391,-6.308091640472412,-8.41366195678711
39,-7.001211166381836,-5.926315784454346,-5.925457954406738,-5.926315784454346,-5.400563716888428,-6.622282028198242
40,-9.342124938964844,-8.547865867614746,-8.095999717712402,-8.547865867614746,-7.9716668128967285,-8.501677513122559
41,-9.42457103729248,-9.851279258728027,-7.55288553237915,-9.851279258728027,-6.995792388916016,-7.638256072998047
42,-9.610488891601562,-9.630758285522461,-8.145303726196289,-9.630758285522461,-7.763935089111328,-7.904621124267578
43,-9.819897651672363,-9.67918872833252,-7.899374961853027,-9.67918872833252,-7.463590145111084,-8.41366195678711
44,-8.333999633789062,-8.381699562072754,-6.397590637207031,-8.381699562072754,-5.711512088775635,-6.622282028198242
45,-10.09818172454834,-10.33836841583252,-7.949429988861084,-10.33836841583252,-7.5967230796813965,-8.501677513122559
46,-6.882809638977051,-5.865602016448975,-5.105474472045898,-5.865602016448975,-6.268803119659424,-6.387104034423828
47,-6.525811672210693,-5.493000030517578,-4.660000801086426,-5.493000030517578,-6.236237049102783,-6.249477386474609
48,-6.462715148925781,-5.299954414367676,-4.468356132507324,-5.299954414367676,-5.879292964935303,-6.1017255783081055
49,-5.929301738739014,-4.861487865447998,-4.334902286529541,-4.861487865447998,-5.388369083404541,-5.159043312072754
50,-7.626986503601074,-6.413481712341309,-6.062350273132324,-6.413481712341309,-7.8073248863220215,-7.153790473937988
51,-6.742735385894775,-6.161683082580566,-5.317895412445068,-6.161683082580566,-6.331850528717041,-6.387104034423828
52,-6.480207920074463,-5.802967071533203,-5.005531311035156,-5.802967071533203,-6.653451442718506,-6.249477386474609
53,-6.418028354644775,-5.667731285095215,-4.737060546875,-5.667731285095215,-6.308091640472412,-6.1017255783081055
54,-5.8189849853515625,-5.207455635070801,-4.278188228607178,-5.207455635070801,-5.400563716888428,-5.159043312072754
55,-7.4361162185668945,-6.770037651062012,-6.285378456115723,-6.770037651062012,-7.9716668128967285,-7.153790473937988
56,-7.528316497802734,-7.070272922515869,-5.991494655609131,-7.070272922515869,-6.995792388916016,-6.387104034423828
57,-7.395214080810547,-6.828534126281738,-6.186987400054932,-6.828534126281738,-7.763935089111328,-6.249477386474609
58,-7.4724578857421875,-6.633304595947266,-6.024310111999512,-6.633304595947266,-7.463590145111084,-6.1017255783081055
59,-6.633851051330566,-6.064515590667725,-5.02460241317749,-6.064515590667725,-5.711512088775635,-5.159043312072754
60,-8.150201797485352,-7.356927394866943,-6.46368408203125,-7.356927394866943,-7.5967230796813965,-7.153790473937988
61,-9.713348388671875,-9.085749626159668,-6.0067644119262695,-9.085749626159668,-6.268803119659424,-8.200980186462402
62,-9.348038673400879,-8.867340087890625,-5.904162406921387,-8.867340087890625,-6.236237049102783,-8.097432136535645
63,-9.415904998779297,-8.87784194946289,-5.699799537658691,-8.87784194946289,-5.879292964935303,-8.476651191711426
64,-8.490399360656738,-7.636617183685303,-5.247690200805664,-7.636617183685303,-5.388369083404541,-6.888372898101807
65,-10.029953956604004,-9.141265869140625,-7.241330146789551,-9.141265869140625,-7.8073248863220215,-8.779953956604004
66,-10.040427207946777,-9.998635292053223,-6.258636474609375,-9.998635292053223,-6.331850528717041,-8.200980186462402
67,-9.77120590209961,-9.995319366455078,-6.48963737487793,-9.995319366455078,-6.653451442718506,-8.097432136535645
68,-9.699243545532227,-9.872258186340332,-6.295895576477051,-9.872258186340332,-6.308091640472412,-8.476651191711426
69,-8.672660827636719,-8.504374504089355,-5.403700828552246,-8.504374504089355,-5.400563716888428,-6.888372898101807
70,-10.34246826171875,-10.24410629272461,-7.380278587341309,-10.24410629272461,-7.9716668128967285,-8.779953956604004
71,-10.828333854675293,-11.225014686584473,-6.8953704833984375,-11.225014686584473,-6.995792388916016,-8.200980186462402
72,-10.793984413146973,-11.159034729003906,-7.5379228591918945,-11.159034729003906,-7.763935089111328,-8.097432136535645
73,-10.751989364624023,-11.227740287780762,-7.256618022918701,-11.227740287780762,-7.463590145111084,-8.476651191711426
74,-9.409727096557617,-9.956506729125977,-5.818863868713379,-9.956506729125977,-5.711512088775635,-6.888372898101807
75,-10.64093017578125,-10.57625961303711,-7.352278709411621,-10.57625961303711,-7.5967230796813965,-8.779953956604004
76,-7.330880165100098,-6.383485794067383,-4.690212249755859,-6.383485794067383,-6.268803119659424,-6.0975799560546875
77,-7.077402591705322,-6.074678421020508,-4.558539390563965,-6.074678421020508,-6.236237049102783,-5.845808029174805
78,-6.6346845626831055,-5.621507167816162,-4.437251091003418,-5.621507167816162,-5.879292964935303,-5.999725341796875
79,-6.32968282699585,-5.315857410430908,-4.334768772125244,-5.315857410430908,-5.388369083404541,-5.19254207611084
80,-7.8365478515625,-7.121686935424805,-5.561837673187256,-7.121686935424805,-7.8073248863220215,-6.731723308563232
81,-7.390328884124756,-6.56729793548584,-4.974484920501709,-6.56729793548584,-6.331850528717041,-6.0975799560546875
82,-7.2353363037109375,-6.42543888092041,-5.0666093826293945,-6.42543888092041,-6.653451442718506,-5.845808029174805
83,-6.757092475891113,-5.889787673950195,-4.929076194763184,-5.889787673950195,-6.308091640472412,-5.999725341796875
84,-6.428692817687988,-5.558138847351074,-4.306781768798828,-5.558138847351074,-5.400563716888428,-5.19254207611084
