idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.180722236633301,-6.419984340667725,-4.7362189292907715,-6.419984340667725,-6.448252201080322,-5.843552589416504
2,-7.1947021484375,-6.326395034790039,-4.798001766204834,-6.326395034790039,-6.436429977416992,-5.939953804016113
3,-7.065617561340332,-6.209826469421387,-4.752260208129883,-6.209826469421387,-6.230621814727783,-6.117461681365967
4,-6.697722434997559,-5.509040832519531,-4.620375633239746,-5.509040832519531,-5.7780303955078125,-5.636933326721191
5,-7.720189094543457,-6.925200939178467,-4.7476935386657715,-6.925200939178467,-6.703646183013916,-5.99821138381958
6,-6.915804862976074,-6.723546981811523,-4.701843738555908,-6.723546981811523,-6.180905818939209,-5.843552589416504
7,-6.970681667327881,-6.680934906005859,-4.855180740356445,-6.680934906005859,-6.230799198150635,-5.939953804016113
8,-6.878248691558838,-6.638374328613281,-4.841274261474609,-6.638374328613281,-6.086042404174805,-6.117461681365967
9,-6.330471992492676,-5.782302379608154,-4.463743686676025,-5.782302379608154,-5.415813446044922,-5.636933326721191
10,-7.420872688293457,-7.219257354736328,-4.856425762176514,-7.219257354736328,-6.425254821777344,-5.99821138381958
11,-7.888326168060303,-7.7422637939453125,-5.418292999267578,-7.7422637939453125,-7.344688892364502,-5.843552589416504
12,-8.13377857208252,-8.015474319458008,-5.856849670410156,-8.015474319458008,-8.058030128479004,-5.939953804016113
13,-8.126214981079102,-7.885486602783203,-5.884680271148682,-7.885486602783203,-7.903172016143799,-6.117461681365967
14,-7.479233741760254,-6.843610763549805,-4.846925258636475,-6.843610763549805,-6.455411434173584,-5.636933326721191
15,-8.323989868164062,-7.951333045959473,-5.4546356201171875,-7.951333045959473,-7.727853298187256,-5.99821138381958
16,-9.11404800415039,-7.670799255371094,-6.113032817840576,-7.670799255371094,-6.448252201080322,-6.912759304046631
17,-9.174665451049805,-7.574437618255615,-6.292107582092285,-7.574437618255615,-6.436429977416992,-7.1787190437316895
18,-9.149360656738281,-7.614563465118408,-6.030826091766357,-7.614563465118408,-6.230621814727783,-7.594842433929443
19,-8.884719848632812,-7.08527946472168,-5.6505022048950195,-7.08527946472168,-5.7780303955078125,-6.964991092681885
20,-9.575481414794922,-8.253662109375,-6.071558952331543,-8.253662109375,-6.703646183013916,-6.893078327178955
21,-8.813472747802734,-8.243332862854004,-6.163946151733398,-8.243332862854004,-6.180905818939209,-6.912759304046631
22,-8.857625961303711,-8.135233879089355,-6.618303298950195,-8.135233879089355,-6.230799198150635,-7.1787190437316895
23,-8.768169403076172,-8.156245231628418,-6.2725510597229,-8.156245231628418,-6.086042404174805,-7.594842433929443
24,-8.54267406463623,-7.548984050750732,-5.532806396484375,-7.548984050750732,-5.415813446044922,-6.964991092681885
25,-9.11295223236084,-8.671307563781738,-6.197113990783691,-8.671307563781738,-6.425254821777344,-6.893078327178955
26,-9.568438529968262,-10.125279426574707,-6.885704040527344,-10.125279426574707,-7.344688892364502,-6.912759304046631
27,-9.781192779541016,-10.3773775100708,-7.65181827545166,-10.3773775100708,-8.058030128479004,-7.1787190437316895
28,-9.865352630615234,-10.401415824890137,-7.360289096832275,-10.401415824890137,-7.903172016143799,-7.594842433929443
