idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-3.069375902414322,-3.065755980355399,-3.2981044948101044,-3.065755980355399,-2.701326778956822,-3.200275387082781
2,-3.1015464812517166,-3.148551889828273,-3.330275073647499,-3.148551889828273,-2.7380931547709872,-3.2370417628969466
3,-3.1253376603126526,-3.1413882800510953,-3.354066252708435,-3.1413882800510953,-2.765283073697771,-3.2642316818237305
4,-3.045022949576378,-3.0585896968841553,-3.2737515419721603,-3.0585896968841553,-2.6734948328563144,-3.1724434409822737
5,-3.1031049489974976,-3.0866202116012573,-3.3511474430561066,-3.0866202116012573,-2.7619472912379672,-3.238822868892125
6,-3.088156670331955,-3.087219715118408,-3.310187429189682,-3.087219715118408,-2.6961455004555837,-3.200275387082781
7,-3.1203272491693497,-3.1700156245912825,-3.342357948422432,-3.1700156245912825,-2.7329118081501553,-3.2370417628969466
8,-3.1441184282302856,-3.162852014814104,-3.3661491870880127,-3.162852014814104,-2.760101795196533,-3.2642316818237305
9,-3.063803717494011,-3.0800534316471646,-3.285834476351738,-3.0800534316471646,-2.6683135543550764,-3.1724434409822737
10,-3.1218857169151306,-3.1080839463642667,-3.3458541333675385,-3.1080839463642667,-2.7369074480874196,-3.238822868892125
11,-3.1550563275814056,-3.1636764662606374,-3.3480719327926636,-3.1636764662606374,-2.753739833831787,-3.200275387082781
12,-3.1872269064188004,-3.2464723757335117,-3.3802425116300583,-3.2464723757335117,-2.7905062096459523,-3.2370417628969466
13,-3.2110180854797363,-3.2393087659563338,-3.4040336906909943,-3.2393087659563338,-2.8176961285727367,-3.2642316818237305
14,-3.1307033747434616,-3.1565101827893938,-3.3237189799547195,-3.1565101827893938,-2.7259078877312795,-3.1724434409822737
15,-3.1887853741645813,-3.184540697506496,-3.4284007847309113,-3.184540697506496,-2.845544236046927,-3.238822868892125
16,-2.996894508600235,-2.9944330624171664,-3.235696941614151,-2.9944330624171664,-2.701326778956822,-3.1174395084381104
17,-3.0290650874376297,-3.0772289718900407,-3.2678675204515457,-3.0772289718900407,-2.7380931547709872,-3.1542058842522755
18,-3.0528562664985657,-3.070065362112863,-3.2916586995124817,-3.070065362112863,-2.765283073697771,-3.18139580317906
19,-2.972541555762291,-2.987266778945923,-3.211343988776207,-2.987266778945923,-2.6734948328563144,-3.0896075623376027
20,-3.040697395801544,-3.015297293663025,-3.288739889860153,-3.015297293663025,-2.7619472912379672,-3.1674999509538924
21,-3.015675276517868,-3.015896797180176,-3.2477798759937286,-3.015896797180176,-2.6961455004555837,-3.1174395084381104
22,-3.0478458553552628,-3.09869270665305,-3.2799503952264786,-3.09869270665305,-2.7329118081501553,-3.1542058842522755
23,-3.0716370344161987,-3.0915290968758717,-3.3037416338920593,-3.0915290968758717,-2.760101795196533,-3.18139580317906
24,-2.991322323679924,-3.008730513708932,-3.2234269231557846,-3.008730513708932,-2.6683135543550764,-3.0896075623376027
25,-3.0594781637191772,-3.0367610284260342,-3.283446580171585,-3.0367610284260342,-2.7369074480874196,-3.1674999509538924
26,-3.0825749337673187,-3.092353548322405,-3.28566437959671,-3.092353548322405,-2.753739833831787,-3.1174395084381104
27,-3.1147455126047134,-3.1751494577952792,-3.317834958434105,-3.1751494577952792,-2.7905062096459523,-3.1542058842522755
28,-3.1385366916656494,-3.1679858480181013,-3.341626137495041,-3.1679858480181013,-2.8176961285727367,-3.18139580317906
29,-3.0582219809293747,-3.0851872648511613,-3.261311426758766,-3.0851872648511613,-2.7259078877312795,-3.0896075623376027
30,-3.126377820968628,-3.1132177795682634,-3.365993231534958,-3.1132177795682634,-2.845544236046927,-3.1674999509538924
31,-2.966904789209366,-2.947890213557652,-3.255384922027588,-2.947890213557652,-2.701326778956822,-3.1522089753832137
32,-2.9990753680467606,-3.0306861230305264,-3.2875555008649826,-3.0306861230305264,-2.7380931547709872,-3.188975351197379
33,-3.0228665471076965,-3.023522513253348,-3.3113466799259186,-3.023522513253348,-2.765283073697771,-3.2161652701241628
34,-2.942551836371422,-2.9407239300864085,-3.231031969189644,-2.9407239300864085,-2.6734948328563144,-3.124377029282706
35,-2.9999723732471466,-2.9687544448035106,-3.30842787027359,-2.9687544448035106,-2.7619472912379672,-3.19000049999782
36,-3.0460985600948334,-3.0383973802839006,-3.2674678564071655,-3.0383973802839006,-2.6961455004555837,-3.1522089753832137
37,-3.078269138932228,-3.121193289756775,-3.2996383756399155,-3.121193289756775,-2.7329118081501553,-3.188975351197379
38,-3.102060317993164,-3.114029679979597,-3.323429614305496,-3.114029679979597,-2.760101795196533,-3.2161652701241628
39,-3.0217456072568893,-3.031231096812657,-3.2431149035692215,-3.031231096812657,-2.6683135543550764,-3.124377029282706
40,-3.079166144132614,-3.059261611529759,-3.303134560585022,-3.059261611529759,-2.7369074480874196,-3.19000049999782
41,-3.112998217344284,-3.11485413142613,-3.3053523898124695,-3.11485413142613,-2.753739833831787,-3.1522089753832137
42,-3.1451687961816788,-3.197650040899004,-3.337522968649864,-3.197650040899004,-2.7905062096459523,-3.188975351197379
43,-3.1689599752426147,-3.190486431121826,-3.3613141477108,-3.190486431121826,-2.8176961285727367,-3.2161652701241628
44,-3.08864526450634,-3.107687847954886,-3.2809994369745255,-3.107687847954886,-2.7259078877312795,-3.124377029282706
45,-3.146065801382065,-3.1357183626719882,-3.385681241750717,-3.1357183626719882,-2.845544236046927,-3.19000049999782
46,-3.0572618544101715,-3.0693810326712474,-3.301276385784149,-3.0693810326712474,-2.701326778956822,-3.1864307607923235
47,-3.0894324332475662,-3.1521769421441213,-3.333446964621544,-3.1521769421441213,-2.7380931547709872,-3.223197136606489
48,-3.113223612308502,-3.1450133323669434,-3.35723814368248,-3.1450133323669434,-2.765283073697771,-3.250387055533273
49,-3.0329089015722275,-3.0622147492000034,-3.276923432946205,-3.0622147492000034,-2.6734948328563144,-3.1585988146918162
50,-3.0520438849925995,-3.0902452639171054,-3.3543193340301514,-3.0902452639171054,-2.7619472912379672,-3.180467367172241
51,-3.0760426223278046,-3.0908447674342563,-3.313359349966049,-3.0908447674342563,-2.6961455004555837,-3.1864307607923235
52,-3.1082132011651993,-3.1736406769071306,-3.345529869198799,-3.1736406769071306,-2.7329118081501553,-3.223197136606489
53,-3.1320043802261353,-3.1664770671299527,-3.36932110786438,-3.1664770671299527,-2.760101795196533,-3.250387055533273
54,-3.0516896694898605,-3.0836784839630127,-3.289006397128105,-3.0836784839630127,-2.6683135543550764,-3.1585988146918162
55,-3.0708246529102325,-3.1117089986801147,-3.3490260541439056,-3.1117089986801147,-2.7369074480874196,-3.180467367172241
56,-3.1429422795772552,-3.167301518576486,-3.3512438535690308,-3.167301518576486,-2.753739833831787,-3.1864307607923235
57,-3.17511285841465,-3.25009742804936,-3.3834144324064255,-3.25009742804936,-2.7905062096459523,-3.223197136606489
58,-3.198904037475586,-3.242933818272182,-3.4072056114673615,-3.242933818272182,-2.8176961285727367,-3.250387055533273
