idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.797447204589844,-5.50685453414917,-8.796643257141113,-5.50685453414917,-6.193355560302734,-10.520302772521973
2,-7.852483749389648,-5.862879276275635,-9.308364868164062,-5.862879276275635,-6.686359405517578,-10.568863868713379
3,-7.985520839691162,-5.901836395263672,-9.55305290222168,-5.901836395263672,-7.1121087074279785,-10.297896385192871
4,-8.145797729492188,-5.718533992767334,-9.42116641998291,-5.718533992767334,-7.111505031585693,-10.197464942932129
5,-7.938128471374512,-6.219968318939209,-8.980910301208496,-6.219968318939209,-6.899068355560303,-10.043094635009766
6,-8.188041687011719,-5.901899337768555,-8.927602767944336,-5.901899337768555,-6.590487957000732,-10.520302772521973
7,-8.276479721069336,-6.419826984405518,-9.498438835144043,-6.419826984405518,-7.303386211395264,-10.568863868713379
8,-8.333268165588379,-6.277566909790039,-9.659355163574219,-6.277566909790039,-7.455891132354736,-10.297896385192871
9,-8.489627838134766,-5.928189754486084,-9.579544067382812,-5.928189754486084,-7.474475860595703,-10.197464942932129
10,-8.264095306396484,-6.464017391204834,-9.128595352172852,-6.464017391204834,-7.299516201019287,-10.043094635009766
11,-9.548149108886719,-8.10263729095459,-8.538047790527344,-8.10263729095459,-7.066585540771484,-10.520302772521973
12,-9.873900413513184,-8.792174339294434,-9.037571907043457,-8.792174339294434,-7.688055038452148,-10.568863868713379
13,-9.861832618713379,-8.478363990783691,-9.12159538269043,-8.478363990783691,-7.7711968421936035,-10.297896385192871
14,-9.906278610229492,-7.778190612792969,-8.905559539794922,-7.778190612792969,-7.485167026519775,-10.197464942932129
15,-9.582616806030273,-8.420138359069824,-9.088869094848633,-8.420138359069824,-7.8376994132995605,-10.043094635009766
16,-7.334249496459961,-4.866892337799072,-9.194211959838867,-4.866892337799072,-6.193355560302734,-10.246777534484863
17,-7.450868606567383,-5.3157172203063965,-9.80948257446289,-5.3157172203063965,-6.686359405517578,-10.350689888000488
18,-7.71199893951416,-5.530607223510742,-10.107760429382324,-5.530607223510742,-7.1121087074279785,-9.936922073364258
19,-7.75101375579834,-5.112127304077148,-9.878467559814453,-5.112127304077148,-7.111505031585693,-9.94959545135498
20,-7.803555488586426,-5.88396692276001,-9.55052661895752,-5.88396692276001,-6.899068355560303,-9.295195579528809
21,-7.707429885864258,-5.24582576751709,-9.315735816955566,-5.24582576751709,-6.590487957000732,-10.246777534484863
