idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.292168617248535,-4.320890426635742,-6.948150634765625,-4.320890426635742,-6.0581955909729,-7.1123857498168945
2,-6.482428073883057,-4.560063362121582,-7.268214225769043,-4.560063362121582,-6.624583721160889,-7.42283821105957
3,-6.6589460372924805,-4.760532379150391,-7.305962562561035,-4.760532379150391,-6.90825891494751,-7.519350051879883
4,-6.369406223297119,-4.5187225341796875,-6.973196506500244,-4.5187225341796875,-6.511958599090576,-7.445879936218262
5,-6.7110276222229,-4.929071426391602,-7.16422176361084,-4.929071426391602,-7.167961597442627,-7.554098129272461
6,-6.3461737632751465,-4.401211261749268,-6.992093086242676,-4.401211261749268,-6.484344959259033,-7.1123857498168945
7,-6.579560279846191,-4.729162693023682,-7.258736610412598,-4.729162693023682,-7.02685546875,-7.42283821105957
8,-6.782164573669434,-4.8594818115234375,-7.341790199279785,-4.8594818115234375,-7.37905740737915,-7.519350051879883
9,-6.472635746002197,-4.4864420890808105,-6.93878698348999,-4.4864420890808105,-6.897554874420166,-7.445879936218262
10,-6.759223937988281,-5.0726637840271,-7.0124969482421875,-5.0726637840271,-7.086859226226807,-7.554098129272461
11,-7.570294380187988,-5.8560357093811035,-7.419119834899902,-5.8560357093811035,-7.5937018394470215,-7.1123857498168945
12,-7.863376617431641,-6.4530839920043945,-7.7913360595703125,-6.4530839920043945,-8.252516746520996,-7.42283821105957
13,-7.946953773498535,-6.303796768188477,-7.813429832458496,-6.303796768188477,-8.300445556640625,-7.519350051879883
14,-7.537189483642578,-5.504033088684082,-7.317767143249512,-5.504033088684082,-7.474380016326904,-7.445879936218262
15,-7.770052909851074,-6.3945207595825195,-7.427149295806885,-6.3945207595825195,-8.220663070678711,-7.554098129272461
16,-5.028450965881348,-3.0813817977905273,-6.058600902557373,-3.0813817977905273,-6.0581955909729,-6.476371765136719
17,-5.217066287994385,-3.283163547515869,-6.401185512542725,-3.283163547515869,-6.624583721160889,-6.7404022216796875
18,-5.448698997497559,-3.611689567565918,-6.582464694976807,-3.611689567565918,-6.90825891494751,-6.777627468109131
19,-5.313579559326172,-3.4510855674743652,-6.305785655975342,-3.4510855674743652,-6.511958599090576,-6.670568466186523
20,-6.23056173324585,-4.1166791915893555,-6.862461090087891,-4.1166791915893555,-7.167961597442627,-7.030922889709473
21,-5.100125312805176,-3.1329874992370605,-6.059153079986572,-3.1329874992370605,-6.484344959259033,-6.476371765136719
22,-5.34986686706543,-3.550625801086426,-6.366841793060303,-3.550625801086426,-7.02685546875,-6.7404022216796875
23,-5.575262546539307,-3.747485637664795,-6.556273460388184,-3.747485637664795,-7.37905740737915,-6.777627468109131
24,-5.382233619689941,-3.3882508277893066,-6.207537651062012,-3.3882508277893066,-6.897554874420166,-6.670568466186523
25,-6.129177093505859,-4.177596569061279,-6.592402458190918,-4.177596569061279,-7.086859226226807,-7.030922889709473
