idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.821801662445068,-6.484503746032715,-7.759906768798828,-6.484503746032715,-7.074317932128906,-8.167115211486816
2,-7.548358917236328,-6.235639572143555,-7.89084005355835,-6.235639572143555,-7.367425918579102,-8.23580551147461
3,-7.7260026931762695,-6.277367115020752,-7.9646406173706055,-6.277367115020752,-7.6551055908203125,-8.646720886230469
4,-7.1874542236328125,-5.329833984375,-7.454274654388428,-5.329833984375,-6.395838260650635,-8.063507080078125
5,-8.402403831481934,-6.193399429321289,-7.727108955383301,-6.193399429321289,-6.9379425048828125,-8.405935287475586
6,-8.138723373413086,-6.817150115966797,-7.490220546722412,-6.817150115966797,-7.49091100692749,-8.167115211486816
7,-7.925537109375,-6.605105400085449,-7.675543308258057,-6.605105400085449,-7.739700794219971,-8.23580551147461
8,-8.12818431854248,-6.71867561340332,-7.894834995269775,-6.71867561340332,-8.206806182861328,-8.646720886230469
9,-7.6003313064575195,-5.63746452331543,-7.531318664550781,-5.63746452331543,-7.100819110870361,-8.063507080078125
10,-8.576105117797852,-6.7056050300598145,-7.455340385437012,-6.7056050300598145,-7.274450778961182,-8.405935287475586
11,-8.369718551635742,-7.629303932189941,-7.9838409423828125,-7.629303932189941,-7.131999969482422,-8.167115211486816
12,-8.09223747253418,-7.419443130493164,-8.162920951843262,-7.419443130493164,-7.570830821990967,-8.23580551147461
13,-8.36191177368164,-7.485157012939453,-8.264471054077148,-7.485157012939453,-7.935718536376953,-8.646720886230469
14,-7.819358825683594,-6.292956352233887,-7.637259006500244,-6.292956352233887,-6.627719402313232,-8.063507080078125
15,-8.678491592407227,-7.210207939147949,-7.666869163513184,-7.210207939147949,-6.588106632232666,-8.405935287475586
16,-9.176568031311035,-7.076358318328857,-10.13642692565918,-7.076358318328857,-7.074317932128906,-10.863965034484863
17,-9.351846694946289,-6.918652057647705,-10.230673789978027,-6.918652057647705,-7.367425918579102,-10.865321159362793
18,-9.37020492553711,-7.148338317871094,-10.400116920471191,-7.148338317871094,-7.6551055908203125,-11.5516939163208
19,-8.681143760681152,-5.754204273223877,-9.67363166809082,-5.754204273223877,-6.395838260650635,-10.038142204284668
20,-10.053247451782227,-7.1629204750061035,-10.315572738647461,-7.1629204750061035,-6.9379425048828125,-10.556992530822754
21,-9.4816255569458,-7.5093994140625,-10.152030944824219,-7.5093994140625,-7.49091100692749,-10.863965034484863
22,-9.735895156860352,-7.367950439453125,-10.171884536743164,-7.367950439453125,-7.739700794219971,-10.865321159362793
23,-9.714529991149902,-7.703085422515869,-10.390336990356445,-7.703085422515869,-8.206806182861328,-11.5516939163208
24,-9.103704452514648,-6.198690891265869,-9.749259948730469,-6.198690891265869,-7.100819110870361,-10.038142204284668
25,-10.381054878234863,-7.578633785247803,-10.14695930480957,-7.578633785247803,-7.274450778961182,-10.556992530822754
26,-9.987692832946777,-8.844412803649902,-9.485447883605957,-8.844412803649902,-7.131999969482422,-10.863965034484863
27,-9.987475395202637,-8.753851890563965,-9.633584976196289,-8.753851890563965,-7.570830821990967,-10.865321159362793
28,-10.13668155670166,-9.254046440124512,-9.825493812561035,-9.254046440124512,-7.935718536376953,-11.5516939163208
29,-9.308724403381348,-7.45709228515625,-8.95746898651123,-7.45709228515625,-6.627719402313232,-10.038142204284668
30,-10.429115295410156,-8.12680721282959,-9.550552368164062,-8.12680721282959,-6.588106632232666,-10.556992530822754
31,-8.901008605957031,-6.889101505279541,-9.988395690917969,-6.889101505279541,-7.074317932128906,-10.434941291809082
32,-9.13659954071045,-7.038751602172852,-10.331273078918457,-7.038751602172852,-7.367425918579102,-10.554740905761719
33,-9.143884658813477,-7.077447414398193,-10.322425842285156,-7.077447414398193,-7.6551055908203125,-11.317863464355469
34,-8.526975631713867,-6.589357376098633,-9.520829200744629,-6.589357376098633,-6.395838260650635,-9.981616973876953
35,-9.777627944946289,-7.10574197769165,-10.037640571594238,-7.10574197769165,-6.9379425048828125,-10.24288558959961
36,-9.162359237670898,-7.268832683563232,-10.125303268432617,-7.268832683563232,-7.49091100692749,-10.434941291809082
37,-9.49007797241211,-7.434364318847656,-10.452159881591797,-7.434364318847656,-7.739700794219971,-10.554740905761719
38,-9.462111473083496,-7.623565196990967,-10.570798873901367,-7.623565196990967,-8.206806182861328,-11.317863464355469
39,-8.912033081054688,-7.097686290740967,-9.894447326660156,-7.097686290740967,-7.100819110870361,-9.981616973876953
40,-10.059701919555664,-7.689262390136719,-10.254648208618164,-7.689262390136719,-7.274450778961182,-10.24288558959961
41,-9.818137168884277,-8.590522766113281,-9.841564178466797,-8.590522766113281,-7.131999969482422,-10.434941291809082
42,-10.047938346862793,-8.990323066711426,-10.068443298339844,-8.990323066711426,-7.570830821990967,-10.554740905761719
43,-10.146145820617676,-9.382832527160645,-10.140291213989258,-9.382832527160645,-7.935718536376953,-11.317863464355469
44,-9.477659225463867,-8.41598892211914,-9.229514122009277,-8.41598892211914,-6.627719402313232,-9.981616973876953
45,-10.486663818359375,-8.413294792175293,-9.658809661865234,-8.413294792175293,-6.588106632232666,-10.24288558959961
46,-7.987893104553223,-6.205436706542969,-8.16573429107666,-6.205436706542969,-7.074317932128906,-9.246435165405273
47,-7.7706708908081055,-5.942325592041016,-8.330431938171387,-5.942325592041016,-7.367425918579102,-9.484867095947266
48,-7.839837074279785,-5.775099754333496,-8.327142715454102,-5.775099754333496,-7.6551055908203125,-9.766365051269531
49,-7.422904968261719,-4.943559646606445,-7.827958106994629,-4.943559646606445,-6.395838260650635,-9.088037490844727
50,-8.120546340942383,-6.488795757293701,-8.256763458251953,-6.488795757293701,-6.9379425048828125,-9.176994323730469
51,-8.217944145202637,-6.367550373077393,-8.131387710571289,-6.367550373077393,-7.49091100692749,-9.246435165405273
52,-8.084436416625977,-6.24620246887207,-8.341848373413086,-6.24620246887207,-7.739700794219971,-9.484867095947266
53,-8.187851905822754,-6.1478271484375,-8.43233585357666,-6.1478271484375,-8.206806182861328,-9.766365051269531
54,-7.864853858947754,-5.288149833679199,-8.075944900512695,-5.288149833679199,-7.100819110870361,-9.088037490844727
55,-8.384063720703125,-6.669111728668213,-8.187187194824219,-6.669111728668213,-7.274450778961182,-9.176994323730469
56,-8.557784080505371,-7.087050437927246,-8.917512893676758,-7.087050437927246,-7.131999969482422,-9.246435165405273
57,-8.341550827026367,-6.974808216094971,-9.05012321472168,-6.974808216094971,-7.570830821990967,-9.484867095947266
58,-8.551725387573242,-6.867395401000977,-9.061468124389648,-6.867395401000977,-7.935718536376953,-9.766365051269531
59,-8.046538352966309,-5.846642971038818,-8.453548431396484,-5.846642971038818,-6.627719402313232,-9.088037490844727
60,-8.645684242248535,-7.205826759338379,-8.61436653137207,-7.205826759338379,-6.588106632232666,-9.176994323730469
61,-10.268009185791016,-8.10607624053955,-10.57448959350586,-8.10607624053955,-7.074317932128906,-12.697013854980469
62,-10.12043571472168,-8.100132942199707,-10.827832221984863,-8.100132942199707,-7.367425918579102,-12.886408805847168
63,-10.015695571899414,-8.349522590637207,-10.909196853637695,-8.349522590637207,-7.6551055908203125,-13.320415496826172
64,-9.324552536010742,-7.10858678817749,-10.1613187789917,-7.10858678817749,-6.395838260650635,-12.152130126953125
65,-10.984918594360352,-8.374993324279785,-10.682380676269531,-8.374993324279785,-6.9379425048828125,-12.39563274383545
66,-10.663196563720703,-8.752726554870605,-10.617116928100586,-8.752726554870605,-7.49091100692749,-12.697013854980469
67,-10.562356948852539,-8.767919540405273,-10.840261459350586,-8.767919540405273,-7.739700794219971,-12.886408805847168
68,-10.468191146850586,-9.2080659866333,-10.965635299682617,-9.2080659866333,-8.206806182861328,-13.320415496826172
69,-9.785745620727539,-7.848490238189697,-10.46022891998291,-7.848490238189697,-7.100819110870361,-12.152130126953125
70,-11.12410831451416,-9.202439308166504,-10.650838851928711,-9.202439308166504,-7.274450778961182,-12.39563274383545
71,-10.892756462097168,-9.54156494140625,-10.658282279968262,-9.54156494140625,-7.131999969482422,-12.697013854980469
72,-10.713566780090332,-9.82764720916748,-10.987676620483398,-9.82764720916748,-7.570830821990967,-12.886408805847168
73,-10.842479705810547,-10.46993637084961,-11.05562686920166,-10.46993637084961,-7.935718536376953,-13.320415496826172
74,-10.0867338180542,-8.770857810974121,-10.1799955368042,-8.770857810974121,-6.627719402313232,-12.152130126953125
75,-11.224088668823242,-9.799796104431152,-10.409536361694336,-9.799796104431152,-6.588106632232666,-12.39563274383545
76,-8.518623352050781,-6.112582206726074,-7.860409736633301,-6.112582206726074,-7.074317932128906,-8.480283737182617
77,-8.074090957641602,-5.938717842102051,-7.938185214996338,-5.938717842102051,-7.367425918579102,-8.323808670043945
78,-8.17015266418457,-5.457205772399902,-8.012556076049805,-5.457205772399902,-7.6551055908203125,-8.607049942016602
79,-8.232991218566895,-5.1816887855529785,-7.519510746002197,-5.1816887855529785,-6.395838260650635,-8.418651580810547
80,-8.81529426574707,-6.363577842712402,-8.196084976196289,-6.363577842712402,-6.9379425048828125,-8.63857364654541
81,-8.741841316223145,-6.785815238952637,-7.795719146728516,-6.785815238952637,-7.49091100692749,-8.480283737182617
82,-8.433036804199219,-6.596747398376465,-7.879209041595459,-6.596747398376465,-7.739700794219971,-8.323808670043945
83,-8.524499893188477,-6.138296127319336,-8.080029487609863,-6.138296127319336,-8.206806182861328,-8.607049942016602
84,-8.590542793273926,-5.732240676879883,-7.657492160797119,-5.732240676879883,-7.100819110870361,-8.418651580810547
85,-9.162985801696777,-7.075888633728027,-8.07398509979248,-7.075888633728027,-7.274450778961182,-8.63857364654541
86,-8.849027633666992,-7.885002613067627,-8.646451950073242,-7.885002613067627,-7.131999969482422,-8.480283737182617
87,-8.569337844848633,-7.604608535766602,-8.872736930847168,-7.604608535766602,-7.570830821990967,-8.323808670043945
88,-8.708385467529297,-7.171597003936768,-8.955615043640137,-7.171597003936768,-7.935718536376953,-8.607049942016602
89,-8.567732810974121,-6.394696235656738,-8.403471946716309,-6.394696235656738,-6.627719402313232,-8.418651580810547
90,-9.030426025390625,-7.696102142333984,-8.409151077270508,-7.696102142333984,-6.588106632232666,-8.63857364654541
91,-9.257685661315918,-7.159389495849609,-9.867574691772461,-7.159389495849609,-7.074317932128906,-11.200213432312012
92,-8.906919479370117,-6.928535461425781,-10.167961120605469,-6.928535461425781,-7.367425918579102,-11.093480110168457
93,-9.040326118469238,-6.895932674407959,-10.178546905517578,-6.895932674407959,-7.6551055908203125,-11.3851957321167
94,-8.495434761047363,-6.70036506652832,-9.555908203125,-6.70036506652832,-6.395838260650635,-10.516831398010254
95,-9.938895225524902,-7.226912975311279,-9.632652282714844,-7.226912975311279,-6.9379425048828125,-10.473344802856445
96,-9.525129318237305,-7.495082855224609,-9.421220779418945,-7.495082855224609,-7.49091100692749,-11.200213432312012
97,-9.193620681762695,-7.448493480682373,-9.700289726257324,-7.448493480682373,-7.739700794219971,-11.093480110168457
98,-9.391048431396484,-7.429070949554443,-9.800810813903809,-7.429070949554443,-8.206806182861328,-11.3851957321167
99,-8.939940452575684,-7.0466766357421875,-9.356218338012695,-7.0466766357421875,-7.100819110870361,-10.516831398010254
100,-10.155471801757812,-7.694159030914307,-9.309233665466309,-7.694159030914307,-7.274450778961182,-10.473344802856445
101,-9.385832786560059,-8.179688453674316,-9.297087669372559,-8.179688453674316,-7.131999969482422,-11.200213432312012
102,-9.141796112060547,-8.2210054397583,-9.681641578674316,-8.2210054397583,-7.570830821990967,-11.093480110168457
103,-9.299612045288086,-8.410895347595215,-9.722667694091797,-8.410895347595215,-7.935718536376953,-11.3851957321167
104,-8.702129364013672,-7.631185054779053,-8.852251052856445,-7.631185054779053,-6.627719402313232,-10.516831398010254
105,-10.04319953918457,-7.889947414398193,-9.056046485900879,-7.889947414398193,-6.588106632232666,-10.473344802856445
106,-9.714512825012207,-7.170682907104492,-9.947943687438965,-7.170682907104492,-7.074317932128906,-11.040684700012207
107,-9.809117317199707,-7.508638858795166,-10.177840232849121,-7.508638858795166,-7.367425918579102,-11.304481506347656
108,-9.692431449890137,-7.6550612449646,-10.192938804626465,-7.6550612449646,-7.6551055908203125,-11.7859468460083
