idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.794599533081055,-4.776927471160889,-7.762808322906494,-4.776927471160889,-6.031152725219727,-7.686056137084961
2,-4.731421947479248,-4.783079624176025,-7.953033447265625,-4.783079624176025,-6.589508533477783,-8.102636337280273
3,-4.5293779373168945,-4.633756637573242,-8.139298439025879,-4.633756637573242,-6.649806499481201,-7.987687110900879
4,-4.389194965362549,-4.34178352355957,-7.555480003356934,-4.34178352355957,-6.545121669769287,-7.672163963317871
5,-4.9416632652282715,-5.010282039642334,-7.788230895996094,-5.010282039642334,-5.87465238571167,-7.388044834136963
6,-4.898797988891602,-4.947714805603027,-7.675726413726807,-4.947714805603027,-6.443027496337891,-7.686056137084961
7,-4.804996967315674,-5.031474590301514,-8.2852783203125,-5.031474590301514,-7.296695709228516,-8.102636337280273
8,-4.635674476623535,-4.934267044067383,-8.296961784362793,-4.934267044067383,-7.322659015655518,-7.987687110900879
9,-4.432529926300049,-4.656349182128906,-7.73794412612915,-4.656349182128906,-6.951625347137451,-7.672163963317871
10,-4.938019752502441,-5.095797061920166,-7.851365089416504,-5.095797061920166,-6.391654968261719,-7.388044834136963
11,-5.479435920715332,-5.711012840270996,-7.364863395690918,-5.711012840270996,-6.670793533325195,-7.686056137084961
12,-5.445556163787842,-5.989582061767578,-7.815818786621094,-5.989582061767578,-7.0225372314453125,-8.102636337280273
13,-5.3587327003479,-5.974575042724609,-8.013952255249023,-5.974575042724609,-7.1600565910339355,-7.987687110900879
14,-4.876984119415283,-5.462108612060547,-7.09527587890625,-5.462108612060547,-6.369447231292725,-7.672163963317871
15,-5.477774620056152,-5.8473734855651855,-7.381402492523193,-5.8473734855651855,-7.010154724121094,-7.388044834136963
16,-6.651907444000244,-6.565589904785156,-9.51453685760498,-6.565589904785156,-6.031152725219727,-8.756487846374512
17,-6.7616119384765625,-6.752079486846924,-9.428322792053223,-6.752079486846924,-6.589508533477783,-9.292990684509277
18,-6.415661811828613,-6.522531032562256,-9.679962158203125,-6.522531032562256,-6.649806499481201,-8.956997871398926
19,-6.003188133239746,-5.708694934844971,-9.11621379852295,-5.708694934844971,-6.545121669769287,-8.443894386291504
