idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.226189613342285,-5.073075294494629,-9.69795036315918,-5.073075294494629,-8.456680297851562,-9.836536407470703
2,-7.348902225494385,-4.790388107299805,-9.86387825012207,-4.790388107299805,-8.5601806640625,-9.937583923339844
3,-7.616859436035156,-5.054381370544434,-10.301051139831543,-5.054381370544434,-8.644877433776855,-10.299161911010742
4,-7.4466552734375,-4.668063163757324,-10.031156539916992,-4.668063163757324,-8.11751651763916,-9.986589431762695
5,-7.224432468414307,-5.385750770568848,-9.93556022644043,-5.385750770568848,-8.848285675048828,-9.119321823120117
6,-8.045476913452148,-5.828188896179199,-10.100349426269531,-5.828188896179199,-9.720366477966309,-9.836536407470703
7,-8.216809272766113,-5.5168962478637695,-10.313395500183105,-5.5168962478637695,-9.80993938446045,-9.937583923339844
8,-8.47059440612793,-5.847290992736816,-10.508834838867188,-5.847290992736816,-9.611396789550781,-10.299161911010742
9,-8.307363510131836,-5.41550350189209,-9.97938060760498,-5.41550350189209,-8.78873348236084,-9.986589431762695
10,-7.927650451660156,-6.005801200866699,-9.925905227661133,-6.005801200866699,-9.159107208251953,-9.119321823120117
11,-8.524585723876953,-6.170682907104492,-9.80005931854248,-6.170682907104492,-9.712081909179688,-9.836536407470703
12,-8.871591567993164,-6.197710990905762,-10.024907112121582,-6.197710990905762,-10.145565032958984,-9.937583923339844
13,-9.146612167358398,-6.555872440338135,-10.039591789245605,-6.555872440338135,-9.70606517791748,-10.299161911010742
14,-8.79798698425293,-6.165957450866699,-9.380891799926758,-6.165957450866699,-8.637784004211426,-9.986589431762695
15,-8.296361923217773,-6.4882588386535645,-9.637038230895996,-6.4882588386535645,-8.727128028869629,-9.119321823120117
16,-8.986246109008789,-6.612052917480469,-10.359051704406738,-6.612052917480469,-8.456680297851562,-11.146194458007812
17,-9.080625534057617,-6.397366046905518,-10.461506843566895,-6.397366046905518,-8.5601806640625,-11.419575691223145
18,-9.368135452270508,-6.976465702056885,-10.754104614257812,-6.976465702056885,-8.644877433776855,-11.762181282043457
19,-9.416500091552734,-5.8939208984375,-10.569583892822266,-5.8939208984375,-8.11751651763916,-11.3439302444458
20,-9.065211296081543,-7.277609348297119,-10.498026847839355,-7.277609348297119,-8.848285675048828,-10.209309577941895
21,-10.681198120117188,-7.977503299713135,-10.984959602355957,-7.977503299713135,-9.720366477966309,-11.146194458007812
22,-10.719358444213867,-7.830038547515869,-11.176712036132812,-7.830038547515869,-9.80993938446045,-11.419575691223145
23,-10.971235275268555,-8.412878036499023,-11.24487590789795,-8.412878036499023,-9.611396789550781,-11.762181282043457
24,-10.973047256469727,-6.736570358276367,-10.713214874267578,-6.736570358276367,-8.78873348236084,-11.3439302444458
25,-10.319968223571777,-8.782821655273438,-10.719034194946289,-8.782821655273438,-9.159107208251953,-10.209309577941895
26,-11.675873756408691,-9.039104461669922,-10.796991348266602,-9.039104461669922,-9.712081909179688,-11.146194458007812
27,-12.111669540405273,-9.271101951599121,-11.120050430297852,-9.271101951599121,-10.145565032958984,-11.419575691223145
28,-12.208375930786133,-9.990311622619629,-10.876442909240723,-9.990311622619629,-9.70606517791748,-11.762181282043457
29,-11.988725662231445,-8.075032234191895,-10.10119915008545,-8.075032234191895,-8.637784004211426,-11.3439302444458
30,-11.120832443237305,-9.671277046203613,-10.33315372467041,-9.671277046203613,-8.727128028869629,-10.209309577941895
31,-9.364721298217773,-6.831912994384766,-10.730567932128906,-6.831912994384766,-8.456680297851562,-10.730606079101562
32,-9.65746784210205,-7.422761917114258,-10.928696632385254,-7.422761917114258,-8.5601806640625,-11.253470420837402
33,-9.906815528869629,-7.5482916831970215,-11.17269515991211,-7.5482916831970215,-8.644877433776855,-11.33245849609375
34,-9.856334686279297,-6.6352057456970215,-10.912742614746094,-6.6352057456970215,-8.11751651763916,-10.825623512268066
35,-9.333070755004883,-7.448218822479248,-10.728360176086426,-7.448218822479248,-8.848285675048828,-9.988572120666504
36,-9.91818618774414,-7.7018141746521,-10.642278671264648,-7.7018141746521,-9.720366477966309,-10.730606079101562
37,-10.211423873901367,-8.248276710510254,-10.979637145996094,-8.248276710510254,-9.80993938446045,-11.253470420837402
38,-10.477694511413574,-8.438345909118652,-10.888508796691895,-8.438345909118652,-9.611396789550781,-11.33245849609375
