idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.146666049957275,-5.75398063659668,-8.95221996307373,-5.75398063659668,-7.82709264755249,-7.676833629608154
2,-7.6389479637146,-5.833605766296387,-9.387840270996094,-5.833605766296387,-8.499011993408203,-8.7572603225708
3,-7.565582275390625,-5.271522045135498,-9.170463562011719,-5.271522045135498,-8.40977954864502,-8.567802429199219
4,-6.960914611816406,-4.472634792327881,-8.969537734985352,-4.472634792327881,-7.67002534866333,-8.078071594238281
5,-8.176856994628906,-5.799014091491699,-8.902040481567383,-5.799014091491699,-9.637764930725098,-7.263882160186768
6,-7.3575286865234375,-6.136452674865723,-8.353187561035156,-6.136452674865723,-8.292794227600098,-7.676833629608154
7,-7.896813869476318,-6.180475234985352,-8.963491439819336,-6.180475234985352,-9.284996032714844,-8.7572603225708
8,-7.709367275238037,-5.632747650146484,-8.923121452331543,-5.632747650146484,-9.368069648742676,-8.567802429199219
9,-7.282186985015869,-4.765433311462402,-8.724206924438477,-4.765433311462402,-8.688397407531738,-8.078071594238281
10,-8.354683876037598,-6.115727424621582,-8.519635200500488,-6.115727424621582,-9.676118850708008,-7.263882160186768
11,-8.02163028717041,-7.24617862701416,-8.214616775512695,-7.24617862701416,-8.453642845153809,-7.676833629608154
12,-8.663874626159668,-7.488328456878662,-9.07260799407959,-7.488328456878662,-9.827592849731445,-8.7572603225708
13,-8.509496688842773,-7.171948432922363,-9.11818790435791,-7.171948432922363,-9.87734603881836,-8.567802429199219
14,-8.252336502075195,-6.031684875488281,-8.536482810974121,-6.031684875488281,-8.689501762390137,-8.078071594238281
15,-8.27348518371582,-7.097951412200928,-8.110382080078125,-7.097951412200928,-8.459220886230469,-7.263882160186768
16,-8.724272727966309,-6.3396172523498535,-10.576896667480469,-6.3396172523498535,-7.82709264755249,-9.523747444152832
17,-9.388729095458984,-7.0361809730529785,-11.179073333740234,-7.0361809730529785,-8.499011993408203,-11.516151428222656
