idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-9.426908493041992,-6.705243110656738,-8.844194412231445,-6.705243110656738,-8.776373863220215,-8.41355037689209
2,-9.156756401062012,-7.158725261688232,-8.712387084960938,-7.158725261688232,-8.663471221923828,-8.309782981872559
3,-9.434385299682617,-6.855965614318848,-8.61429500579834,-6.855965614318848,-8.277412414550781,-8.624672889709473
4,-9.020729064941406,-6.1260666847229,-8.247686386108398,-6.1260666847229,-7.271861553192139,-8.441727638244629
5,-8.9254150390625,-7.3927106857299805,-8.469101905822754,-7.3927106857299805,-8.355352401733398,-8.0919189453125
6,-9.310901641845703,-6.680650234222412,-8.614537239074707,-6.680650234222412,-9.24834156036377,-8.41355037689209
7,-9.087576866149902,-7.350349426269531,-8.483016967773438,-7.350349426269531,-8.883430480957031,-8.309782981872559
8,-9.331341743469238,-7.048371315002441,-8.407167434692383,-7.048371315002441,-8.615307807922363,-8.624672889709473
9,-8.955790519714355,-6.312501907348633,-8.159318923950195,-6.312501907348633,-8.032559394836426,-8.441727638244629
10,-8.773198127746582,-7.424919128417969,-8.164298057556152,-7.424919128417969,-8.346687316894531,-8.0919189453125
11,-9.306177139282227,-7.418560028076172,-8.69499683380127,-7.418560028076172,-9.3736572265625,-8.41355037689209
12,-9.269190788269043,-8.043871879577637,-8.53400993347168,-8.043871879577637,-8.914986610412598,-8.309782981872559
13,-9.489960670471191,-7.824444770812988,-8.654260635375977,-7.824444770812988,-8.836125373840332,-8.624672889709473
14,-9.284954071044922,-7.15371036529541,-8.377123832702637,-7.15371036529541,-8.485328674316406,-8.441727638244629
15,-9.147244453430176,-8.047579765319824,-8.35328483581543,-8.047579765319824,-8.640419006347656,-8.0919189453125
16,-10.397468566894531,-7.565269947052002,-11.357404708862305,-7.565269947052002,-8.776373863220215,-12.146380424499512
17,-10.198630332946777,-8.394625663757324,-11.285953521728516,-8.394625663757324,-8.663471221923828,-11.89635181427002
18,-10.618764877319336,-8.070677757263184,-11.204405784606934,-8.070677757263184,-8.277412414550781,-12.186007499694824
19,-10.037216186523438,-7.088430404663086,-10.64631175994873,-7.088430404663086,-7.271861553192139,-11.833381652832031
20,-10.789226531982422,-8.37578296661377,-11.549042701721191,-8.37578296661377,-8.355352401733398,-11.86560344696045
21,-10.6002197265625,-7.76738977432251,-11.279719352722168,-7.76738977432251,-9.24834156036377,-12.146380424499512
22,-10.387283325195312,-8.616241455078125,-11.219982147216797,-8.616241455078125,-8.883430480957031,-11.89635181427002
23,-10.769312858581543,-8.26330852508545,-11.067170143127441,-8.26330852508545,-8.615307807922363,-12.186007499694824
24,-10.208044052124023,-7.419801235198975,-10.850123405456543,-7.419801235198975,-8.032559394836426,-11.833381652832031
25,-11.08548355102539,-8.493583679199219,-11.538251876831055,-8.493583679199219,-8.346687316894531,-11.86560344696045
26,-11.433162689208984,-9.10666561126709,-10.943756103515625,-9.10666561126709,-9.3736572265625,-12.146380424499512
27,-11.37773609161377,-9.97198486328125,-10.78897476196289,-9.97198486328125,-8.914986610412598,-11.89635181427002
28,-11.728474617004395,-9.652397155761719,-10.81788444519043,-9.652397155761719,-8.836125373840332,-12.186007499694824
29,-11.10265827178955,-8.541290283203125,-10.298651695251465,-8.541290283203125,-8.485328674316406,-11.833381652832031
30,-11.380546569824219,-9.758525848388672,-10.658860206604004,-9.758525848388672,-8.640419006347656,-11.86560344696045
31,-11.362582206726074,-7.665577411651611,-11.67788314819336,-7.665577411651611,-8.776373863220215,-12.475959777832031
32,-10.976264953613281,-8.561038970947266,-11.453868865966797,-8.561038970947266,-8.663471221923828,-12.065467834472656
33,-11.149453163146973,-8.232898712158203,-11.196371078491211,-8.232898712158203,-8.277412414550781,-12.363482475280762
34,-10.282299995422363,-7.229942321777344,-10.731850624084473,-7.229942321777344,-7.271861553192139,-11.971580505371094
35,-11.77596664428711,-9.290091514587402,-11.28081226348877,-9.290091514587402,-8.355352401733398,-11.923683166503906
36,-11.535318374633789,-7.762388229370117,-11.628639221191406,-7.762388229370117,-9.24834156036377,-12.475959777832031
37,-11.18598747253418,-8.97881031036377,-11.473115921020508,-8.97881031036377,-8.883430480957031,-12.065467834472656
38,-11.37550163269043,-8.698009490966797,-11.27525520324707,-8.698009490966797,-8.615307807922363,-12.363482475280762
39,-10.513444900512695,-7.7187347412109375,-11.056573867797852,-7.7187347412109375,-8.032559394836426,-11.971580505371094
40,-11.674670219421387,-9.326188087463379,-11.42096996307373,-9.326188087463379,-8.346687316894531,-11.923683166503906
41,-12.20136547088623,-8.898755073547363,-11.50680160522461,-8.898755073547363,-9.3736572265625,-12.475959777832031
42,-11.964332580566406,-10.039873123168945,-11.365333557128906,-10.039873123168945,-8.914986610412598,-12.065467834472656
43,-12.213020324707031,-9.676068305969238,-11.269594192504883,-9.676068305969238,-8.836125373840332,-12.363482475280762
