idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.07868480682373,-6.43595027923584,-8.63142204284668,-6.43595027923584,-7.598036289215088,-9.061578750610352
2,-8.471092224121094,-6.179252624511719,-9.229280471801758,-6.179252624511719,-8.526358604431152,-9.205150604248047
3,-8.324747085571289,-6.456992149353027,-8.905470848083496,-6.456992149353027,-8.057373046875,-9.169014930725098
4,-8.018423080444336,-5.217941761016846,-8.87472915649414,-5.217941761016846,-7.589489459991455,-8.754947662353516
5,-8.30888557434082,-6.138098239898682,-8.749481201171875,-6.138098239898682,-7.601132869720459,-9.124667167663574
6,-8.896183967590332,-7.193408966064453,-8.743243217468262,-7.193408966064453,-8.549304962158203,-9.061578750610352
7,-9.258575439453125,-7.059925556182861,-9.338534355163574,-7.059925556182861,-9.546820640563965,-9.205150604248047
8,-9.133392333984375,-7.331363201141357,-9.125773429870605,-7.331363201141357,-9.171242713928223,-9.169014930725098
9,-8.87848949432373,-6.145058631896973,-9.040300369262695,-6.145058631896973,-8.751423835754395,-8.754947662353516
10,-9.009474754333496,-6.73912239074707,-8.834681510925293,-6.73912239074707,-8.498924255371094,-9.124667167663574
11,-9.641372680664062,-8.044543266296387,-8.747383117675781,-8.044543266296387,-8.933392524719238,-9.061578750610352
12,-9.91740894317627,-8.159561157226562,-9.134744644165039,-8.159561157226562,-9.576764106750488,-9.205150604248047
13,-9.741216659545898,-8.178811073303223,-8.876899719238281,-8.178811073303223,-9.234118461608887,-9.169014930725098
14,-9.562627792358398,-6.965730667114258,-8.552251815795898,-6.965730667114258,-8.443620681762695,-8.754947662353516
15,-9.50745964050293,-7.284945487976074,-8.355676651000977,-7.284945487976074,-8.183772087097168,-9.124667167663574
16,-10.769266128540039,-7.540287017822266,-9.966534614562988,-7.540287017822266,-7.598036289215088,-11.092330932617188
17,-11.04515266418457,-7.885154724121094,-10.550095558166504,-7.885154724121094,-8.526358604431152,-11.259232521057129
18,-11.161138534545898,-7.700035095214844,-10.22772216796875,-7.700035095214844,-8.057373046875,-11.467005729675293
19,-10.690858840942383,-6.392396450042725,-10.298334121704102,-6.392396450042725,-7.589489459991455,-10.62204360961914
20,-11.36259651184082,-8.099292755126953,-10.475295066833496,-8.099292755126953,-7.601132869720459,-10.884625434875488
21,-11.469324111938477,-8.217442512512207,-10.044391632080078,-8.217442512512207,-8.549304962158203,-11.092330932617188
22,-11.787813186645508,-8.639161109924316,-10.524219512939453,-8.639161109924316,-9.546820640563965,-11.259232521057129
23,-11.860483169555664,-8.559403419494629,-10.434449195861816,-8.559403419494629,-9.171242713928223,-11.467005729675293
24,-11.35028076171875,-7.242940902709961,-10.46735668182373,-7.242940902709961,-8.751423835754395,-10.62204360961914
25,-12.006573677062988,-8.626823425292969,-10.287928581237793,-8.626823425292969,-8.498924255371094,-10.884625434875488
26,-12.10095500946045,-9.775944709777832,-10.493376731872559,-9.775944709777832,-8.933392524719238,-11.092330932617188
27,-12.322529792785645,-10.451602935791016,-10.885408401489258,-10.451602935791016,-9.576764106750488,-11.259232521057129
28,-12.306403160095215,-10.181278228759766,-10.803211212158203,-10.181278228759766,-9.234118461608887,-11.467005729675293
29,-11.776026725769043,-8.877346992492676,-10.447763442993164,-8.877346992492676,-8.443620681762695,-10.62204360961914
30,-12.63583755493164,-9.423473358154297,-10.05212116241455,-9.423473358154297,-8.183772087097168,-10.884625434875488
31,-9.833629608154297,-7.8850417137146,-10.004919052124023,-7.8850417137146,-7.598036289215088,-10.9266357421875
32,-10.356335639953613,-7.888922214508057,-10.740596771240234,-7.888922214508057,-8.526358604431152,-11.177696228027344
33,-10.09577751159668,-7.853704929351807,-10.29909896850586,-7.853704929351807,-8.057373046875,-11.1860990524292
34,-9.734681129455566,-6.453378677368164,-10.226040840148926,-6.453378677368164,-7.589489459991455,-10.68380355834961
35,-10.179230690002441,-8.676876068115234,-10.142539978027344,-8.676876068115234,-7.601132869720459,-10.876862525939941
36,-10.866762161254883,-8.64977741241455,-10.231033325195312,-8.64977741241455,-8.549304962158203,-10.9266357421875
37,-11.382219314575195,-8.930168151855469,-10.94167423248291,-8.930168151855469,-9.546820640563965,-11.177696228027344
38,-11.135261535644531,-8.863895416259766,-10.601797103881836,-8.863895416259766,-9.171242713928223,-11.1860990524292
39,-10.773163795471191,-7.461272716522217,-10.448439598083496,-7.461272716522217,-8.751423835754395,-10.68380355834961
40,-11.169506072998047,-9.415034294128418,-10.247422218322754,-9.415034294128418,-8.498924255371094,-10.876862525939941
41,-12.180051803588867,-10.39165210723877,-11.363848686218262,-10.39165210723877,-8.933392524719238,-10.9266357421875
42,-12.623875617980957,-10.72192096710205,-11.743219375610352,-10.72192096710205,-9.576764106750488,-11.177696228027344
43,-12.476058006286621,-10.782211303710938,-11.407478332519531,-10.782211303710938,-9.234118461608887,-11.1860990524292
