idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.086667060852051,-6.283319473266602,-8.062960624694824,-6.283319473266602,-7.076347351074219,-9.357702255249023
2,-6.978537082672119,-5.717761039733887,-8.113580703735352,-5.717761039733887,-7.0580596923828125,-9.034523010253906
3,-7.5394110679626465,-6.075904369354248,-8.429384231567383,-6.075904369354248,-7.460807800292969,-9.62725830078125
4,-7.512705326080322,-5.325191497802734,-8.41889762878418,-5.325191497802734,-7.1199493408203125,-9.430362701416016
5,-7.767614841461182,-6.530442714691162,-9.210223197937012,-6.530442714691162,-8.220921516418457,-8.781744003295898
6,-7.499560356140137,-6.794541358947754,-7.840085029602051,-6.794541358947754,-6.566309452056885,-9.357702255249023
7,-7.515078067779541,-6.372841835021973,-7.9448699951171875,-6.372841835021973,-6.993096828460693,-9.034523010253906
8,-8.116162300109863,-6.6718034744262695,-8.405041694641113,-6.6718034744262695,-7.533750534057617,-9.62725830078125
9,-7.961634635925293,-5.7341108322143555,-8.231163024902344,-5.7341108322143555,-6.738342761993408,-9.430362701416016
10,-8.258435249328613,-6.892178058624268,-9.194364547729492,-6.892178058624268,-9.330561637878418,-8.781744003295898
11,-8.110616683959961,-7.835789680480957,-7.843728065490723,-7.835789680480957,-7.447062969207764,-9.357702255249023
12,-8.152785301208496,-7.441344261169434,-8.10393238067627,-7.441344261169434,-7.797054290771484,-9.034523010253906
13,-8.676222801208496,-7.939167022705078,-8.427922248840332,-7.939167022705078,-8.110108375549316,-9.62725830078125
14,-8.45692253112793,-6.975859642028809,-7.969747066497803,-6.975859642028809,-7.314232349395752,-9.430362701416016
15,-8.998058319091797,-7.553351879119873,-8.018750190734863,-7.553351879119873,-8.172669410705566,-8.781744003295898
16,-8.494016647338867,-7.199199676513672,-10.088586807250977,-7.199199676513672,-7.076347351074219,-12.59546184539795
17,-8.749041557312012,-6.854785919189453,-10.066915512084961,-6.854785919189453,-7.0580596923828125,-12.926051139831543
18,-9.32059383392334,-7.238765716552734,-10.532045364379883,-7.238765716552734,-7.460807800292969,-13.2301607131958
19,-8.942145347595215,-6.373881816864014,-10.518062591552734,-6.373881816864014,-7.1199493408203125,-12.866148948669434
20,-9.453463554382324,-7.9736328125,-11.221888542175293,-7.9736328125,-8.220921516418457,-11.05109691619873
