idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.660077095031738,-5.694533348083496,-9.154900550842285,-5.694533348083496,-7.445138454437256,-8.062250137329102
2,-7.693545341491699,-5.4513325691223145,-9.320255279541016,-5.4513325691223145,-7.5748162269592285,-8.437536239624023
3,-7.861488342285156,-5.111804008483887,-9.272574424743652,-5.111804008483887,-7.664536952972412,-8.529891967773438
4,-7.922698974609375,-5.075529098510742,-9.231426239013672,-5.075529098510742,-7.561975479125977,-8.688929557800293
5,-7.605312347412109,-5.674011707305908,-9.095171928405762,-5.674011707305908,-7.6097092628479,-7.866410255432129
6,-8.3690767288208,-6.7178239822387695,-9.041993141174316,-6.7178239822387695,-8.329363822937012,-8.062250137329102
7,-8.406207084655762,-6.419726371765137,-9.13701057434082,-6.419726371765137,-8.107710838317871,-8.437536239624023
8,-8.67204475402832,-6.1414642333984375,-9.169400215148926,-6.1414642333984375,-8.339299201965332,-8.529891967773438
9,-8.659360885620117,-5.977894306182861,-8.954004287719727,-5.977894306182861,-8.143473625183105,-8.688929557800293
10,-8.393601417541504,-6.6194305419921875,-9.240083694458008,-6.6194305419921875,-8.532475471496582,-7.866410255432129
11,-8.646538734436035,-7.3581743240356445,-10.134103775024414,-7.3581743240356445,-9.481159210205078,-8.062250137329102
12,-8.748475074768066,-7.224717617034912,-10.28809642791748,-7.224717617034912,-9.51975154876709,-8.437536239624023
13,-8.868498802185059,-7.013564109802246,-10.268895149230957,-7.013564109802246,-9.7472562789917,-8.529891967773438
14,-8.900261878967285,-6.905423164367676,-10.20822525024414,-6.905423164367676,-9.688368797302246,-8.688929557800293
15,-8.378372192382812,-7.0803608894348145,-9.720990180969238,-7.0803608894348145,-9.252501487731934,-7.866410255432129
16,-8.863508224487305,-6.631253719329834,-10.750810623168945,-6.631253719329834,-7.445138454437256,-11.684311866760254
17,-8.974588394165039,-6.707451343536377,-10.880224227905273,-6.707451343536377,-7.5748162269592285,-12.363112449645996
18,-9.411993026733398,-6.861091613769531,-10.910462379455566,-6.861091613769531,-7.664536952972412,-12.566826820373535
19,-9.432952880859375,-6.0497894287109375,-10.891253471374512,-6.0497894287109375,-7.561975479125977,-12.538748741149902
20,-9.762989044189453,-7.090577602386475,-10.999556541442871,-7.090577602386475,-7.6097092628479,-11.31821060180664
21,-10.15970230102539,-8.086712837219238,-10.592294692993164,-8.086712837219238,-8.329363822937012,-11.684311866760254
22,-10.246928215026855,-8.076903343200684,-10.697792053222656,-8.076903343200684,-8.107710838317871,-12.363112449645996
23,-10.746352195739746,-8.215205192565918,-10.940289497375488,-8.215205192565918,-8.339299201965332,-12.566826820373535
24,-10.664047241210938,-7.110898494720459,-10.652030944824219,-7.110898494720459,-8.143473625183105,-12.538748741149902
25,-10.94166374206543,-8.489596366882324,-11.237283706665039,-8.489596366882324,-8.532475471496582,-11.31821060180664
26,-10.699371337890625,-8.730231285095215,-12.186795234680176,-8.730231285095215,-9.481159210205078,-11.684311866760254
27,-10.790182113647461,-8.959620475769043,-12.217754364013672,-8.959620475769043,-9.51975154876709,-12.363112449645996
28,-11.07797622680664,-9.014191627502441,-12.414295196533203,-9.014191627502441,-9.7472562789917,-12.566826820373535
29,-10.950136184692383,-7.90215539932251,-12.312024116516113,-7.90215539932251,-9.688368797302246,-12.538748741149902
30,-10.90315055847168,-8.802996635437012,-12.345455169677734,-8.802996635437012,-9.252501487731934,-11.31821060180664
31,-9.676665306091309,-7.067775726318359,-10.325223922729492,-7.067775726318359,-7.445138454437256,-10.901169776916504
32,-9.484909057617188,-7.15021276473999,-10.24428939819336,-7.15021276473999,-7.5748162269592285,-11.351700782775879
33,-10.088502883911133,-6.813085556030273,-10.408320426940918,-6.813085556030273,-7.664536952972412,-11.618433952331543
34,-10.000364303588867,-5.96002197265625,-10.423829078674316,-5.96002197265625,-7.561975479125977,-11.417091369628906
35,-9.686677932739258,-7.982547760009766,-10.737852096557617,-7.982547760009766,-7.6097092628479,-10.678691864013672
36,-10.807554244995117,-8.722129821777344,-10.335216522216797,-8.722129821777344,-8.329363822937012,-10.901169776916504
37,-10.50998306274414,-8.692412376403809,-10.292420387268066,-8.692412376403809,-8.107710838317871,-11.351700782775879
38,-11.162531852722168,-8.413634300231934,-10.572145462036133,-8.413634300231934,-8.339299201965332,-11.618433952331543
39,-10.9537935256958,-7.32952880859375,-10.391695022583008,-7.32952880859375,-8.143473625183105,-11.417091369628906
40,-10.772968292236328,-9.616035461425781,-11.010210037231445,-9.616035461425781,-8.532475471496582,-10.678691864013672
41,-11.98546314239502,-10.527149200439453,-11.899808883666992,-10.527149200439453,-9.481159210205078,-10.901169776916504
42,-11.807170867919922,-10.587504386901855,-11.879508972167969,-10.587504386901855,-9.51975154876709,-11.351700782775879
43,-12.341930389404297,-10.375195503234863,-12.01315689086914,-10.375195503234863,-9.7472562789917,-11.618433952331543
44,-12.082927703857422,-9.00604248046875,-11.905416488647461,-9.00604248046875,-9.688368797302246,-11.417091369628906
45,-11.865034103393555,-11.250052452087402,-11.638368606567383,-11.250052452087402,-9.252501487731934,-10.678691864013672
46,-8.07177734375,-5.7149763107299805,-8.832128524780273,-5.7149763107299805,-7.445138454437256,-9.455904006958008
47,-7.952692985534668,-5.426843643188477,-8.873272895812988,-5.426843643188477,-7.5748162269592285,-9.405872344970703
48,-8.611505508422852,-5.357026100158691,-8.9678373336792,-5.357026100158691,-7.664536952972412,-9.679590225219727
49,-8.488078117370605,-4.774415969848633,-9.054875373840332,-4.774415969848633,-7.561975479125977,-9.645724296569824
50,-8.57190990447998,-6.247333526611328,-9.313334465026855,-6.247333526611328,-7.6097092628479,-9.10379695892334
51,-8.696930885314941,-6.394525527954102,-8.942937850952148,-6.394525527954102,-8.329363822937012,-9.455904006958008
52,-8.503973007202148,-6.092007160186768,-9.094611167907715,-6.092007160186768,-8.107710838317871,-9.405872344970703
53,-9.235361099243164,-6.025369644165039,-9.253541946411133,-6.025369644165039,-8.339299201965332,-9.679590225219727
54,-9.143708229064941,-5.324419021606445,-9.279438972473145,-5.324419021606445,-8.143473625183105,-9.645724296569824
55,-8.899837493896484,-6.781806468963623,-9.572505950927734,-6.781806468963623,-8.532475471496582,-9.10379695892334
56,-8.733823776245117,-6.483929634094238,-9.851909637451172,-6.483929634094238,-9.481159210205078,-9.455904006958008
57,-8.733375549316406,-6.449739456176758,-9.902105331420898,-6.449739456176758,-9.51975154876709,-9.405872344970703
58,-9.207438468933105,-6.421090126037598,-10.075725555419922,-6.421090126037598,-9.7472562789917,-9.679590225219727
59,-9.081657409667969,-5.823608875274658,-10.018767356872559,-5.823608875274658,-9.688368797302246,-9.645724296569824
60,-8.66492748260498,-7.045834064483643,-9.980952262878418,-7.045834064483643,-9.252501487731934,-9.10379695892334
61,-11.0104398727417,-8.722916603088379,-10.885639190673828,-8.722916603088379,-7.445138454437256,-12.318008422851562
62,-10.995748519897461,-8.057991981506348,-10.892178535461426,-8.057991981506348,-7.5748162269592285,-12.388257026672363
