idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.018526077270508,-6.988245487213135,-8.189535140991211,-6.988245487213135,-7.093138217926025,-7.645763397216797
2,-8.09477710723877,-6.589948654174805,-8.067294120788574,-6.589948654174805,-7.109760761260986,-7.46868896484375
3,-7.950037956237793,-5.871888160705566,-8.095189094543457,-5.871888160705566,-7.230183124542236,-7.278578758239746
4,-7.694676399230957,-5.123946666717529,-7.918414115905762,-5.123946666717529,-6.636465549468994,-7.028107166290283
5,-8.812963485717773,-6.774842739105225,-8.879867553710938,-6.774842739105225,-8.209158897399902,-7.705205917358398
6,-8.499265670776367,-7.53785514831543,-7.946836948394775,-7.53785514831543,-7.56121301651001,-7.645763397216797
7,-8.593525886535645,-7.213722229003906,-7.81735372543335,-7.213722229003906,-7.5546112060546875,-7.46868896484375
8,-8.47415542602539,-6.532655715942383,-8.043434143066406,-6.532655715942383,-7.946500301361084,-7.278578758239746
9,-8.15418815612793,-5.7420477867126465,-7.689772129058838,-5.7420477867126465,-7.32421350479126,-7.028107166290283
10,-9.241591453552246,-7.378407955169678,-8.744787216186523,-7.378407955169678,-9.049999237060547,-7.705205917358398
11,-8.787483215332031,-7.993037223815918,-8.001546859741211,-7.993037223815918,-8.439972877502441,-7.645763397216797
12,-8.94788932800293,-7.799691200256348,-7.944766044616699,-7.799691200256348,-8.276412010192871,-7.46868896484375
13,-8.824116706848145,-7.279448509216309,-7.9283599853515625,-7.279448509216309,-8.370257377624512,-7.278578758239746
14,-8.504190444946289,-6.548751354217529,-7.500128269195557,-6.548751354217529,-7.572457790374756,-7.028107166290283
15,-9.530930519104004,-7.906388282775879,-8.465840339660645,-7.906388282775879,-9.195734977722168,-7.705205917358398
16,-9.625995635986328,-7.875728130340576,-9.71241569519043,-7.875728130340576,-7.093138217926025,-10.364602088928223
17,-9.981266975402832,-7.193414688110352,-9.775531768798828,-7.193414688110352,-7.109760761260986,-10.757668495178223
