idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.328782081604004,-5.955731391906738,-8.643731117248535,-5.955731391906738,-7.343364715576172,-9.054187774658203
2,-7.284442901611328,-5.881252288818359,-8.638649940490723,-5.881252288818359,-7.572885990142822,-9.119180679321289
3,-7.711321830749512,-5.809432029724121,-8.855478286743164,-5.809432029724121,-7.7373223304748535,-9.596168518066406
4,-7.719804286956787,-4.801559925079346,-8.886220932006836,-4.801559925079346,-7.443439960479736,-9.220376968383789
5,-8.268461227416992,-5.9414167404174805,-9.4257230758667,-5.9414167404174805,-8.09904956817627,-8.602346420288086
6,-7.849174499511719,-6.569549083709717,-7.902870178222656,-6.569549083709717,-7.038015365600586,-9.054187774658203
7,-7.6715593338012695,-6.4738359451293945,-7.765875339508057,-6.4738359451293945,-7.008323669433594,-9.119180679321289
8,-8.158646583557129,-6.439678192138672,-8.035520553588867,-6.439678192138672,-7.3408660888671875,-9.596168518066406
9,-8.135324478149414,-5.440384864807129,-8.190210342407227,-5.440384864807129,-7.179714202880859,-9.220376968383789
10,-8.768474578857422,-6.505623817443848,-8.956001281738281,-6.505623817443848,-7.816505432128906,-8.602346420288086
11,-9.715764999389648,-8.062840461730957,-9.306718826293945,-8.062840461730957,-8.916728973388672,-9.054187774658203
12,-9.492277145385742,-8.087363243103027,-8.961896896362305,-8.087363243103027,-8.294326782226562,-9.119180679321289
13,-10.116933822631836,-8.111177444458008,-9.261052131652832,-8.111177444458008,-8.698847770690918,-9.596168518066406
14,-10.00915813446045,-6.992372989654541,-9.293755531311035,-6.992372989654541,-8.344867706298828,-9.220376968383789
15,-10.162564277648926,-7.9522905349731445,-9.239376068115234,-7.9522905349731445,-8.615052223205566,-8.602346420288086
16,-8.84926986694336,-6.852882385253906,-9.702828407287598,-6.852882385253906,-7.343364715576172,-10.11794376373291
17,-8.692102432250977,-6.500408172607422,-9.888274192810059,-6.500408172607422,-7.572885990142822,-10.084443092346191
18,-9.534002304077148,-7.185960292816162,-10.171407699584961,-7.185960292816162,-7.7373223304748535,-11.15664005279541
19,-9.476280212402344,-5.623939514160156,-10.093924522399902,-5.623939514160156,-7.443439960479736,-10.712562561035156
20,-9.450852394104004,-6.595068454742432,-10.664817810058594,-6.595068454742432,-8.09904956817627,-9.75110149383545
21,-9.058777809143066,-7.3354668617248535,-9.101638793945312,-7.3354668617248535,-7.038015365600586,-10.11794376373291
22,-8.779104232788086,-6.9180779457092285,-9.03112506866455,-6.9180779457092285,-7.008323669433594,-10.084443092346191
23,-9.614446640014648,-7.5287766456604,-9.38293170928955,-7.5287766456604,-7.3408660888671875,-11.15664005279541
24,-9.454752922058105,-5.986934661865234,-9.341170310974121,-5.986934661865234,-7.179714202880859,-10.712562561035156
25,-9.550867080688477,-7.167757511138916,-10.033806800842285,-7.167757511138916,-7.816505432128906,-9.75110149383545
26,-10.664909362792969,-9.117115020751953,-10.8703031539917,-9.117115020751953,-8.916728973388672,-10.11794376373291
27,-10.341657638549805,-9.042320251464844,-10.31356430053711,-9.042320251464844,-8.294326782226562,-10.084443092346191
28,-11.271673202514648,-9.717968940734863,-10.818063735961914,-9.717968940734863,-8.698847770690918,-11.15664005279541
29,-11.169651985168457,-7.821220397949219,-10.634649276733398,-7.821220397949219,-8.344867706298828,-10.712562561035156
30,-10.87270736694336,-9.07045841217041,-10.562532424926758,-9.07045841217041,-8.615052223205566,-9.75110149383545
31,-9.855979919433594,-7.55273962020874,-10.247579574584961,-7.55273962020874,-7.343364715576172,-11.258116722106934
32,-9.923684120178223,-7.350372314453125,-10.416287422180176,-7.350372314453125,-7.572885990142822,-11.236534118652344
33,-10.375144958496094,-7.520656585693359,-10.618865013122559,-7.520656585693359,-7.7373223304748535,-12.19071102142334
34,-10.216300964355469,-6.079232692718506,-10.517147064208984,-6.079232692718506,-7.443439960479736,-11.64807415008545
35,-10.16962718963623,-7.714174270629883,-11.074886322021484,-7.714174270629883,-8.09904956817627,-10.917366981506348
36,-10.134464263916016,-7.980794906616211,-10.286556243896484,-7.980794906616211,-7.038015365600586,-11.258116722106934
