idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.033955574035645,-7.040541648864746,-8.782937049865723,-7.040541648864746,-8.102255821228027,-8.526433944702148
2,-7.722043037414551,-6.951160430908203,-8.571175575256348,-6.951160430908203,-8.196741104125977,-8.512237548828125
3,-7.801556587219238,-6.506859302520752,-8.768899917602539,-6.506859302520752,-8.38586711883545,-8.425111770629883
4,-7.49151611328125,-5.942976951599121,-8.382930755615234,-5.942976951599121,-7.124017238616943,-8.049320220947266
5,-8.56651782989502,-7.062595844268799,-9.299898147583008,-7.062595844268799,-8.585420608520508,-8.801218032836914
6,-8.735560417175293,-7.635784149169922,-9.065167427062988,-7.635784149169922,-8.946965217590332,-8.526433944702148
7,-8.539782524108887,-7.6499786376953125,-8.905332565307617,-7.6499786376953125,-9.05494213104248,-8.512237548828125
8,-8.51111125946045,-7.203065872192383,-8.957653999328613,-7.203065872192383,-9.100306510925293,-8.425111770629883
9,-8.160357475280762,-6.59893798828125,-8.497522354125977,-6.59893798828125,-7.8444504737854,-8.049320220947266
10,-9.20052719116211,-7.761887550354004,-9.663381576538086,-7.761887550354004,-9.514274597167969,-8.801218032836914
11,-9.306890487670898,-8.24338436126709,-9.41880989074707,-8.24338436126709,-9.087242126464844,-8.526433944702148
12,-9.367707252502441,-8.393357276916504,-9.36998176574707,-8.393357276916504,-9.116470336914062,-8.512237548828125
13,-9.256101608276367,-8.072002410888672,-9.297518730163574,-8.072002410888672,-9.021117210388184,-8.425111770629883
14,-8.855768203735352,-7.410758018493652,-8.774452209472656,-7.410758018493652,-8.016654968261719,-8.049320220947266
15,-9.519269943237305,-8.354196548461914,-9.830228805541992,-8.354196548461914,-9.66543197631836,-8.801218032836914
16,-9.428613662719727,-8.157119750976562,-10.962121963500977,-8.157119750976562,-8.102255821228027,-10.549817085266113
17,-9.000408172607422,-8.117133140563965,-10.4649658203125,-8.117133140563965,-8.196741104125977,-10.670669555664062
18,-9.09511947631836,-7.678834438323975,-10.830507278442383,-7.678834438323975,-8.38586711883545,-10.580586433410645
19,-8.537208557128906,-6.695560455322266,-10.297697067260742,-6.695560455322266,-7.124017238616943,-9.919831275939941
20,-10.511070251464844,-8.938347816467285,-11.436638832092285,-8.938347816467285,-8.585420608520508,-10.563314437866211
21,-10.226595878601074,-9.126917839050293,-10.99980354309082,-9.126917839050293,-8.946965217590332,-10.549817085266113
22,-9.913919448852539,-9.235899925231934,-10.736572265625,-9.235899925231934,-9.05494213104248,-10.670669555664062
23,-9.955302238464355,-8.764053344726562,-10.91162109375,-8.764053344726562,-9.100306510925293,-10.580586433410645
24,-9.39052963256836,-7.716097354888916,-10.275279998779297,-7.716097354888916,-7.8444504737854,-9.919831275939941
25,-11.24215316772461,-9.937045097351074,-11.572457313537598,-9.937045097351074,-9.514274597167969,-10.563314437866211
26,-11.463773727416992,-10.950896263122559,-11.125722885131836,-10.950896263122559,-9.087242126464844,-10.549817085266113
27,-11.442962646484375,-11.220382690429688,-11.046460151672363,-11.220382690429688,-9.116470336914062,-10.670669555664062
28,-11.270764350891113,-10.921855926513672,-11.034103393554688,-10.921855926513672,-9.021117210388184,-10.580586433410645
29,-10.700211524963379,-9.61433219909668,-10.120691299438477,-9.61433219909668,-8.016654968261719,-9.919831275939941
30,-11.881291389465332,-11.520529747009277,-11.822507858276367,-11.520529747009277,-9.66543197631836,-10.563314437866211
31,-9.641769409179688,-8.026705741882324,-10.770272254943848,-8.026705741882324,-8.102255821228027,-10.761311531066895
32,-9.026780128479004,-8.656376838684082,-10.344279289245605,-8.656376838684082,-8.196741104125977,-10.486003875732422
33,-9.422228813171387,-8.507843971252441,-10.790690422058105,-8.507843971252441,-8.38586711883545,-10.67105484008789
34,-8.696971893310547,-6.72081184387207,-10.060084342956543,-6.72081184387207,-7.124017238616943,-9.720344543457031
35,-10.282317161560059,-9.681559562683105,-11.446550369262695,-9.681559562683105,-8.585420608520508,-10.73687744140625
36,-10.601219177246094,-9.223427772521973,-10.683757781982422,-9.223427772521973,-8.946965217590332,-10.761311531066895
37,-10.082890510559082,-9.806432723999023,-10.420035362243652,-9.806432723999023,-9.05494213104248,-10.486003875732422
38,-10.399261474609375,-9.610367774963379,-10.71908950805664,-9.610367774963379,-9.100306510925293,-10.67105484008789
39,-9.640443801879883,-7.8612213134765625,-9.85222053527832,-7.8612213134765625,-7.8444504737854,-9.720344543457031
40,-11.143583297729492,-10.844207763671875,-11.42136001586914,-10.844207763671875,-9.514274597167969,-10.73687744140625
41,-11.636679649353027,-10.380290031433105,-11.63711929321289,-10.380290031433105,-9.087242126464844,-10.761311531066895
42,-11.441465377807617,-11.074193000793457,-11.35426139831543,-11.074193000793457,-9.116470336914062,-10.486003875732422
43,-11.61137580871582,-11.140137672424316,-11.461840629577637,-11.140137672424316,-9.021117210388184,-10.67105484008789
44,-10.719135284423828,-9.130057334899902,-10.440498352050781,-9.130057334899902,-8.016654968261719,-9.720344543457031
45,-12.114818572998047,-12.05424976348877,-12.33103084564209,-12.05424976348877,-9.66543197631836,-10.73687744140625
46,-7.461488246917725,-6.652470588684082,-8.907381057739258,-6.652470588684082,-8.102255821228027,-9.168864250183105
47,-7.055647373199463,-6.026700019836426,-8.480341911315918,-6.026700019836426,-8.196741104125977,-8.705653190612793
48,-7.2069549560546875,-5.941732406616211,-8.740440368652344,-5.941732406616211,-8.38586711883545,-8.577821731567383
49,-6.711185455322266,-5.423182010650635,-8.439935684204102,-5.423182010650635,-7.124017238616943,-8.3222074508667
50,-8.16263198852539,-6.748685836791992,-9.357682228088379,-6.748685836791992,-8.585420608520508,-9.144990921020508
51,-8.005114555358887,-7.298495292663574,-9.063076972961426,-7.298495292663574,-8.946965217590332,-9.168864250183105
52,-7.752039909362793,-6.732875823974609,-8.71048641204834,-6.732875823974609,-9.05494213104248,-8.705653190612793
53,-7.854055881500244,-6.722235679626465,-8.795166969299316,-6.722235679626465,-9.100306510925293,-8.577821731567383
