idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.111283779144287,-5.532002925872803,-8.63328742980957,-5.532002925872803,-8.02037525177002,-8.92515754699707
2,-7.693966865539551,-5.830631256103516,-8.674579620361328,-5.830631256103516,-7.915235996246338,-9.324288368225098
3,-7.164919853210449,-5.461544990539551,-8.430408477783203,-5.461544990539551,-7.260279178619385,-9.244613647460938
4,-7.460136413574219,-5.418979644775391,-8.687784194946289,-5.418979644775391,-7.98341703414917,-9.31787109375
5,-7.020539283752441,-5.267372131347656,-8.497746467590332,-5.267372131347656,-8.177791595458984,-8.316898345947266
6,-7.315976142883301,-5.725243091583252,-8.340934753417969,-5.725243091583252,-8.046797752380371,-8.92515754699707
7,-7.792881965637207,-6.104504585266113,-8.548749923706055,-6.104504585266113,-8.073088645935059,-9.324288368225098
8,-7.2919111251831055,-5.672764778137207,-8.241969108581543,-5.672764778137207,-7.493805408477783,-9.244613647460938
9,-7.6376214027404785,-5.64759635925293,-8.565051078796387,-5.64759635925293,-8.37406063079834,-9.31787109375
10,-7.206906795501709,-5.428836345672607,-8.446111679077148,-5.428836345672607,-7.77026891708374,-8.316898345947266
11,-8.93867015838623,-7.8295087814331055,-8.683500289916992,-7.8295087814331055,-8.06641674041748,-8.92515754699707
12,-9.535977363586426,-8.340784072875977,-9.367980003356934,-8.340784072875977,-8.935626983642578,-9.324288368225098
13,-9.053871154785156,-8.036214828491211,-9.091202735900879,-8.036214828491211,-8.27053451538086,-9.244613647460938
14,-9.243585586547852,-7.93418550491333,-9.039236068725586,-7.93418550491333,-8.322935104370117,-9.31787109375
15,-8.684033393859863,-7.513635635375977,-8.955578804016113,-7.513635635375977,-8.493884086608887,-8.316898345947266
16,-9.425326347351074,-7.278656005859375,-10.632373809814453,-7.278656005859375,-8.02037525177002,-11.71206283569336
17,-9.914566993713379,-7.392036437988281,-10.607585906982422,-7.392036437988281,-7.915235996246338,-12.476862907409668
18,-9.309417724609375,-7.483896732330322,-10.47415542602539,-7.483896732330322,-7.260279178619385,-11.972002983093262
19,-10.037803649902344,-6.801975250244141,-10.631636619567871,-6.801975250244141,-7.98341703414917,-12.525688171386719
20,-9.103202819824219,-7.334709644317627,-10.342496871948242,-7.334709644317627,-8.177791595458984,-10.428529739379883
21,-9.768248558044434,-7.7210822105407715,-10.445929527282715,-7.7210822105407715,-8.046797752380371,-11.71206283569336
22,-10.382944107055664,-7.942613124847412,-10.769932746887207,-7.942613124847412,-8.073088645935059,-12.476862907409668
23,-9.695720672607422,-7.972311496734619,-10.565723419189453,-7.972311496734619,-7.493805408477783,-11.972002983093262
24,-10.418123245239258,-7.198995113372803,-10.816617012023926,-7.198995113372803,-8.37406063079834,-12.525688171386719
25,-9.215980529785156,-7.649092197418213,-10.460356712341309,-7.649092197418213,-7.77026891708374,-10.428529739379883
26,-10.29483413696289,-8.613179206848145,-10.335199356079102,-8.613179206848145,-8.06641674041748,-11.71206283569336
27,-10.981795310974121,-9.153541564941406,-11.123198509216309,-9.153541564941406,-8.935626983642578,-12.476862907409668
28,-10.30014419555664,-9.350653648376465,-10.876026153564453,-9.350653648376465,-8.27053451538086,-11.972002983093262
29,-10.879266738891602,-8.063504219055176,-10.832111358642578,-8.063504219055176,-8.322935104370117,-12.525688171386719
30,-9.600353240966797,-8.656209945678711,-11.066545486450195,-8.656209945678711,-8.493884086608887,-10.428529739379883
