idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.574221611022949,-6.912683486938477,-8.359243392944336,-6.912683486938477,-7.509426116943359,-8.324780464172363
2,-7.400399208068848,-6.424654006958008,-8.451051712036133,-6.424654006958008,-7.684895992279053,-8.360734939575195
3,-7.900520324707031,-6.470940589904785,-9.087997436523438,-6.470940589904785,-8.586140632629395,-8.57376766204834
4,-7.6288323402404785,-6.185067176818848,-8.538668632507324,-6.185067176818848,-7.831018924713135,-7.994040489196777
5,-8.168744087219238,-7.1472578048706055,-8.533967971801758,-7.1472578048706055,-9.375977516174316,-8.472064018249512
6,-8.248623847961426,-7.6105732917785645,-8.613203048706055,-7.6105732917785645,-8.147457122802734,-8.324780464172363
7,-8.105707168579102,-7.1160383224487305,-8.867238998413086,-7.1160383224487305,-8.446260452270508,-8.360734939575195
8,-8.545173645019531,-7.141437530517578,-9.390317916870117,-7.141437530517578,-9.435439109802246,-8.57376766204834
9,-8.209419250488281,-6.851893424987793,-8.972376823425293,-6.851893424987793,-8.763056755065918,-7.994040489196777
10,-8.843782424926758,-7.914302825927734,-8.65660285949707,-7.914302825927734,-9.253170013427734,-8.472064018249512
11,-8.858909606933594,-8.552577018737793,-7.507994651794434,-8.552577018737793,-7.899587631225586,-8.324780464172363
12,-8.87762451171875,-8.358774185180664,-7.960380554199219,-8.358774185180664,-8.571276664733887,-8.360734939575195
13,-9.130386352539062,-8.459057807922363,-8.386926651000977,-8.459057807922363,-9.25244140625,-8.57376766204834
14,-8.858551979064941,-7.847714424133301,-7.820133209228516,-7.847714424133301,-8.344587326049805,-7.994040489196777
15,-9.1348876953125,-8.63518238067627,-8.120951652526855,-8.63518238067627,-8.991547584533691,-8.472064018249512
16,-10.326604843139648,-8.402727127075195,-11.650650978088379,-8.402727127075195,-7.509426116943359,-12.283676147460938
17,-10.322837829589844,-8.54455852508545,-12.11667251586914,-8.54455852508545,-7.684895992279053,-12.681363105773926
18,-11.137718200683594,-8.315154075622559,-12.869673728942871,-8.315154075622559,-8.586140632629395,-13.421272277832031
19,-10.394336700439453,-7.356359004974365,-12.178995132446289,-7.356359004974365,-7.831018924713135,-12.338610649108887
20,-11.713708877563477,-9.240975379943848,-12.497930526733398,-9.240975379943848,-9.375977516174316,-13.112942695617676
21,-10.843555450439453,-9.228316307067871,-11.392136573791504,-9.228316307067871,-8.147457122802734,-12.283676147460938
22,-10.85729694366455,-9.26826000213623,-12.043630599975586,-9.26826000213623,-8.446260452270508,-12.681363105773926
23,-11.6144437789917,-9.033956527709961,-12.70608139038086,-9.033956527709961,-9.435439109802246,-13.421272277832031
24,-10.845537185668945,-7.981520175933838,-12.093114852905273,-7.981520175933838,-8.763056755065918,-12.338610649108887
25,-12.259603500366211,-9.829315185546875,-11.916557312011719,-9.829315185546875,-9.253170013427734,-13.112942695617676
26,-11.274003028869629,-10.37285327911377,-10.396777153015137,-10.37285327911377,-7.899587631225586,-12.283676147460938
27,-11.27575969696045,-10.570940971374512,-11.046546936035156,-10.570940971374512,-8.571276664733887,-12.681363105773926
28,-11.872335433959961,-10.64637279510498,-11.49050521850586,-10.64637279510498,-9.25244140625,-13.421272277832031
29,-11.197549819946289,-9.260119438171387,-10.574512481689453,-9.260119438171387,-8.344587326049805,-12.338610649108887
30,-12.23448657989502,-10.454340934753418,-11.208308219909668,-10.454340934753418,-8.991547584533691,-13.112942695617676
31,-9.949170112609863,-8.484589576721191,-11.392889022827148,-8.484589576721191,-7.509426116943359,-12.949024200439453
32,-9.794321060180664,-7.785430908203125,-11.650944709777832,-7.785430908203125,-7.684895992279053,-13.074076652526855
33,-10.598881721496582,-7.864785671234131,-12.236374855041504,-7.864785671234131,-8.586140632629395,-13.643746376037598
34,-9.8214111328125,-6.823251247406006,-11.58105182647705,-6.823251247406006,-7.831018924713135,-12.856949806213379
35,-11.190723419189453,-10.199824333190918,-12.243824005126953,-10.199824333190918,-9.375977516174316,-13.812026023864746
36,-10.751946449279785,-9.217852592468262,-11.70224666595459,-9.217852592468262,-8.147457122802734,-12.949024200439453
37,-10.661050796508789,-8.65729808807373,-12.157017707824707,-8.65729808807373,-8.446260452270508,-13.074076652526855
38,-11.380319595336914,-8.683773040771484,-12.680766105651855,-8.683773040771484,-9.435439109802246,-13.643746376037598
39,-10.557000160217285,-7.650939464569092,-12.186016082763672,-7.650939464569092,-8.763056755065918,-12.856949806213379
40,-11.837790489196777,-11.045745849609375,-12.375567436218262,-11.045745849609375,-9.253170013427734,-13.812026023864746
41,-11.387598037719727,-10.616768836975098,-10.974510192871094,-10.616768836975098,-7.899587631225586,-12.949024200439453
42,-11.419954299926758,-10.513726234436035,-11.293684005737305,-10.513726234436035,-8.571276664733887,-13.074076652526855
43,-11.949886322021484,-10.640686988830566,-11.835917472839355,-10.640686988830566,-9.25244140625,-13.643746376037598
44,-11.229634284973145,-9.311039924621582,-11.064958572387695,-9.311039924621582,-8.344587326049805,-12.856949806213379
45,-11.92255973815918,-11.94588851928711,-11.525470733642578,-11.94588851928711,-8.991547584533691,-13.812026023864746
46,-7.9474196434021,-6.231757164001465,-9.47553539276123,-6.231757164001465,-7.509426116943359,-10.299554824829102
47,-7.778979301452637,-6.071629524230957,-9.50383472442627,-6.071629524230957,-7.684895992279053,-10.438725471496582
48,-8.3871431350708,-6.037611961364746,-10.010921478271484,-6.037611961364746,-8.586140632629395,-10.614584922790527
49,-8.070982933044434,-5.763368129730225,-9.612436294555664,-5.763368129730225,-7.831018924713135,-10.143587112426758
50,-8.381898880004883,-6.838920593261719,-9.498687744140625,-6.838920593261719,-9.375977516174316,-10.181068420410156
51,-9.080001831054688,-7.633780479431152,-9.927343368530273,-7.633780479431152,-8.147457122802734,-10.299554824829102
52,-8.975955963134766,-7.283687114715576,-10.106561660766602,-7.283687114715576,-8.446260452270508,-10.438725471496582
53,-9.50133228302002,-7.37247371673584,-10.567625045776367,-7.37247371673584,-9.435439109802246,-10.614584922790527
54,-9.2177152633667,-7.021775245666504,-10.355489730834961,-7.021775245666504,-8.763056755065918,-10.143587112426758
55,-9.246466636657715,-8.185247421264648,-9.855796813964844,-8.185247421264648,-9.253170013427734,-10.181068420410156
56,-8.436152458190918,-7.106950283050537,-8.612496376037598,-7.106950283050537,-7.899587631225586,-10.299554824829102
57,-8.48586654663086,-6.977621078491211,-8.787186622619629,-6.977621078491211,-8.571276664733887,-10.438725471496582
58,-8.876282691955566,-6.959303379058838,-9.246106147766113,-6.959303379058838,-9.25244140625,-10.614584922790527
59,-8.51259708404541,-6.682303428649902,-8.770427703857422,-6.682303428649902,-8.344587326049805,-10.143587112426758
60,-8.485258102416992,-7.569314002990723,-8.856669425964355,-7.569314002990723,-8.991547584533691,-10.181068420410156
61,-10.43001937866211,-8.626258850097656,-13.013594627380371,-8.626258850097656,-7.509426116943359,-14.14400863647461
62,-10.27376937866211,-8.507208824157715,-13.289427757263184,-8.507208824157715,-7.684895992279053,-14.399887084960938
63,-11.025383949279785,-8.602892875671387,-13.99394702911377,-8.602892875671387,-8.586140632629395,-14.779449462890625
